api_request_bytes,attempt,background,background_warnings,bandwidth,condition_index,deadline_met,deadline_s,destination,error,kv_evidence_warnings,kv_response_bytes,load_warnings,median_tcp_rtt_ms,migration_s,movement_tokens,pack,policy,realized_shed_w,repeat,request_failures,requested_shed_w,retransmissions,scenario_id,session_count,status,target_met,workload
2813482,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,False,45,germany,,0,22838016135,0,,49.725583678,648131,recorded-28-seed-8,queue_haul_deadline_blind,45.610218046611735,2,0,47.6296069898685,0,011df8d284b48195,28,complete,False,agentic_tool_loop
1648313,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,10468996928,0,,22.623442173,648131,recorded-28-seed-8,greedy,53.719362633651315,2,0,47.6296069898685,0,4f561f759b87fd70,28,complete,True,agentic_tool_loop
1943773,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,12079611840,0,,34.629525981,648131,recorded-28-seed-8,queue_haul_power_blind,34.7217852322603,2,0,47.6296069898685,0,ad9148ccf3a09be2,28,complete,False,agentic_tool_loop
664235,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,0,0,,10.41270797,648131,recorded-28-seed-8,replay_only,26.314278650408568,2,0,47.6296069898685,0,27bc972b1a8f8c45,28,complete,False,agentic_tool_loop
1139414,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,4529854440,0,,21.160514074,648131,recorded-28-seed-8,queue_haul_power_blind,20.063891333212382,0,0,33.40258152536233,0,4f8941b18a3a0e6a,28,complete,False,agentic_tool_loop
1430982,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,8279567282,0,,25.163614561,648131,recorded-28-seed-8,queue_haul,51.06109013793011,0,0,33.40258152536233,0,9e772e36589da21c,28,complete,True,agentic_tool_loop
593580,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,3586134765,0,,15.83045291,648131,recorded-28-seed-8,kv_only,20.316194099294137,0,0,33.40258152536233,0,af8f9bb431a8545b,28,complete,False,agentic_tool_loop
2527957,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,15175012374,0,,42.05708025,648131,recorded-28-seed-8,queue_haul_deadline_blind,54.926477932437265,0,0,33.40258152536233,0,eb9f750fa00effde,28,complete,True,agentic_tool_loop
725457,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,0,0,,10.589528664,648131,recorded-28-seed-8,replay_only,29.723151495751523,0,0,33.40258152536233,0,1a0df9bbb1f7745e,28,complete,False,agentic_tool_loop
1118409,1,"{""east"": [0.5, 0], ""germany"": [0.85, 0]}",0,controlled_40,2,True,45,"east,germany",,0,2894073670,0,,24.53316022,648131,recorded-28-seed-8,greedy,37.21701472562496,0,0,33.40258152536233,0,9ec0865eae6eb3d0,28,complete,True,agentic_tool_loop
