anchor,model_profile,state_scale,prefill_capacity,link_gbps,n_workflows,hypothesis,observed_regime,matches_hypothesis,dominant_bottleneck,strong_p50_s,mixed_p50_s,mixed_vs_strong_gap_frac
w2_data_rag_heavy,qwen3_next_hybrid,medium,loose,1,8,state_locality,state_locality,True,network,122.78781,7.77629137,0.936668865
w2_data_rag_heavy,qwen3_next_hybrid,medium,tight,5,8,state_locality,state_locality,True,network,26.7901025,8.82291366,0.670665176
w2_data_rag_heavy,qwen3_next_hybrid,medium,loose,100,8,state_locality,state_locality,True,workspace,15.5478102,7.77629137,0.499846522
w3_multi_agent_fanout,compact_kv,medium,loose,1,8,landing_pressure,landing_pressure,True,prefill,53.6923733,26.84704,0.499984107
w3_multi_agent_fanout,compact_kv,medium,tight,5,8,landing_pressure,landing_pressure,True,prefill,526.888533,197.619467,0.624931168
w3_multi_agent_fanout,compact_kv,medium,loose,100,8,landing_pressure,landing_pressure,True,prefill,52.7963733,19.798,0.625012122
w3_multi_agent_fanout,vanilla_gqa_fp16,medium,loose,1,8,landing_pressure,landing_pressure,True,prefill,76.5611964,38.2818221,0.499984015
w3_multi_agent_fanout,vanilla_gqa_fp16,medium,tight,5,8,landing_pressure,landing_pressure,True,prefill,755.576764,377.800621,0.499983802
w3_multi_agent_fanout,vanilla_gqa_fp16,medium,loose,100,8,landing_pressure,landing_pressure,True,prefill,75.6651964,37.8338221,0.499983825
w3_multi_agent_fanout,frontier_v4_fp8,medium,loose,1,8,landing_pressure,landing_pressure,True,prefill,138.720751,69.3626066,0.499983918
w3_multi_agent_fanout,frontier_v4_fp8,medium,tight,5,8,landing_pressure,state_locality,False,network,251.192773,125.562053,0.500136682
w3_multi_agent_fanout,frontier_v4_fp8,medium,loose,100,8,landing_pressure,state_locality,False,network,12.6773987,6.33890265,0.499983962
w3_multi_agent_fanout,glm_5_mla,medium,loose,1,8,landing_pressure,landing_pressure,True,prefill,94.6758298,47.3394322,0.499983973
w3_multi_agent_fanout,glm_5_mla,medium,tight,5,8,landing_pressure,landing_pressure,True,prefill,936.723098,351.259782,0.625012149
w3_multi_agent_fanout,glm_5_mla,medium,loose,100,8,landing_pressure,landing_pressure,True,prefill,93.7798298,23.4472335,0.74997573
w3_multi_agent_fanout,qwen3_next_hybrid,medium,loose,1,8,landing_pressure,landing_pressure,True,prefill,5.42785181,2.71399726,0.499986855
w3_multi_agent_fanout,qwen3_next_hybrid,medium,tight,5,8,landing_pressure,landing_pressure,True,prefill,44.2433181,22.1223726,0.499983873
w3_multi_agent_fanout,qwen3_next_hybrid,medium,loose,100,8,landing_pressure,landing_pressure,True,prefill,4.53185181,2.26599726,0.499984256
