phase,scenario_id,condition_index,repeat,policy,pack,movement_tokens,mean_destination_load,deadline_s,requested_shed_w,attainment_s,attained_by_deadline
pilot,fb6b79f8da360f91,25,0,queue_haul,8x31k,251904,0.0,30,49.48530596349974,20.250175189,True
pilot,9bbf73e61d9bf48d,31,0,greedy,8x16k,131072,0.675,30,49.48530596349974,5.867577063,True
pilot,b7758baad1d5a5a1,33,0,kv_only,8x16k,131072,0.725,30,49.48530596349974,12.600952853,True
pilot,e0135874a90954b6,18,0,queue_haul,8x8k,65536,0.9,30,49.48530596349974,4.986978782,True
pilot,152f9f98935cdf24,8,0,greedy,8x16k,131072,0.9,30,49.48530596349974,8.765523273,True
pilot,2315111cade8c7e1,20,0,kv_only,8x24k,196608,0.0,30,49.48530596349974,12.765930434,True
pilot,4b8ef288dbe603d1,20,0,queue_haul_power_blind,8x24k,196608,0.0,30,49.48530596349974,,False
pilot,d18552aebaa9931f,2,0,queue_haul_power_blind,4x16k,65536,0.85,30,49.485305963499734,7.496220709,True
pilot,3a159eab1cf4ccbf,15,0,queue_haul_power_blind,8x8k,65536,0.0,30,49.48530596349974,,False
pilot,5495520aa1396b34,7,0,kv_only,8x16k,131072,0.85,30,49.48530596349974,8.70858201,True
pilot,59fa3c3b31a13bb4,17,0,replay_only,8x8k,65536,0.85,30,49.48530596349974,7.102817005,True
pilot,733fa8580dcd4f9f,23,0,greedy,8x24k,196608,0.9,30,49.48530596349974,12.084530725,True
pilot,1c67db1528dde7a1,14,0,greedy,16x16k,262144,0.95,30,49.48530596349974,10.180242805,True
pilot,21e6382208edc66f,24,0,greedy,8x24k,196608,0.95,30,49.48530596349974,11.793512518,True
pilot,dd66a80a4468f3b9,28,0,replay_only,8x31k,251904,0.9,30,49.48530596349974,,False
pilot,2bd657e0d447e027,26,0,greedy,8x31k,251904,0.5,30,49.48530596349974,10.194578333,True
pilot,b559b504e834c835,33,0,queue_haul,8x16k,131072,0.725,30,49.48530596349974,8.698932986,True
pilot,14d3d65cda1162d0,21,0,replay_only,8x24k,196608,0.5,30,49.48530596349974,9.459259277,True
pilot,25ed7e2b8c0e6c50,35,0,greedy,8x16k,131072,0.7,30,49.48530596349974,8.63209683,True
pilot,f0c8acd914a2fb0b,29,0,queue_haul_power_blind,8x31k,251904,0.95,30,49.48530596349974,,False
pilot,caafc427930eb133,23,0,kv_only,8x24k,196608,0.9,30,49.48530596349974,14.072178971,True
pilot,456af06b91757093,32,0,greedy,8x16k,131072,0.7,30,49.48530596349974,6.472055863,True
pilot,5754d926ba679f3f,6,0,replay_only,8x16k,131072,0.5,30,49.48530596349974,9.945322318,True
pilot,fd03d8d3c12eb78d,2,0,replay_only,4x16k,65536,0.85,30,49.485305963499734,6.839588884,True
pilot,919efb8b9fdc3fc0,7,0,queue_haul,8x16k,131072,0.85,30,49.48530596349974,9.216293019,True
pilot,47d016c3cfe2e7a3,7,0,greedy,8x16k,131072,0.85,30,49.48530596349974,9.141849218,True
pilot,8edafd977460138c,4,0,kv_only,4x16k,65536,0.95,30,49.485305963499734,6.654930959,True
pilot,976e9f33a143fda6,30,0,queue_haul_power_blind,8x16k,131072,0.5,30,49.48530596349974,,False
pilot,dfed410fc4939009,32,0,kv_only,8x16k,131072,0.7,30,49.48530596349974,10.175916066,True
pilot,a478d2fea4771e83,18,0,replay_only,8x8k,65536,0.9,30,49.48530596349974,6.825570651,True
pilot,a3de6aae73f797b3,18,0,greedy,8x8k,65536,0.9,30,49.48530596349974,5.479049739,True
pilot,364c9572e9fce764,10,0,queue_haul_power_blind,16x16k,262144,0.0,30,49.48530596349974,17.151893946,True
pilot,4f355644880cc815,32,0,replay_only,8x16k,131072,0.7,30,49.48530596349974,9.966612963,True
pilot,f63bc4058dd6ff61,36,0,replay_only,8x16k,131072,0.725,30,49.48530596349974,10.156975514,True
pilot,81c37b5c65f67c0d,14,0,kv_only,16x16k,262144,0.95,30,49.48530596349974,15.082043024,True
pilot,94bde8c34e27bcc7,9,0,queue_haul_power_blind,8x16k,131072,0.95,30,49.48530596349974,,False
pilot,6236563a245ebfc2,33,0,replay_only,8x16k,131072,0.725,30,49.48530596349974,9.91849976,True
pilot,de731ee4d06f41e8,36,0,queue_haul_power_blind,8x16k,131072,0.725,30,49.48530596349974,,False
pilot,627e47aeeabc417d,32,0,queue_haul_power_blind,8x16k,131072,0.7,30,49.48530596349974,,False
pilot,e4fcfe3da294fb2e,9,0,queue_haul,8x16k,131072,0.95,30,49.48530596349974,10.36445585,True
pilot,9d45425c37488954,8,0,queue_haul_power_blind,8x16k,131072,0.9,30,49.48530596349974,,False
pilot,9164814b64e0b89c,20,0,greedy,8x24k,196608,0.0,30,49.48530596349974,11.222101288,True
pilot,1888f2557e46f079,35,0,kv_only,8x16k,131072,0.7,30,49.48530596349974,10.039186517,True
pilot,27cb6cc61dc9ec50,16,0,queue_haul,8x8k,65536,0.5,30,49.48530596349974,5.650649905,True
pilot,cd4179d3b940cba9,33,0,queue_haul_power_blind,8x16k,131072,0.725,30,49.48530596349974,,False
pilot,46da44e6e41e0938,13,0,queue_haul_power_blind,16x16k,262144,0.9,30,49.48530596349974,16.155409333,True
pilot,6a64d8b382616be3,31,0,replay_only,8x16k,131072,0.675,30,49.48530596349974,10.107785387,True
pilot,99c98cc9e4c6ca16,0,0,greedy,4x16k,65536,0.0,30,49.485305963499734,6.340678163,True
pilot,a74c712a465b6964,5,0,queue_haul_power_blind,8x16k,131072,0.0,30,49.48530596349974,,False
pilot,2671799ebeebabaf,34,0,replay_only,8x16k,131072,0.675,30,49.48530596349974,10.244254651,True
pilot,7da0a5bf778868ed,16,0,kv_only,8x8k,65536,0.5,30,49.48530596349974,5.577854408,True
pilot,cb7bb7bd56fcc99b,4,0,greedy,4x16k,65536,0.95,30,49.485305963499734,6.51757953,True
pilot,9be314810077e96b,16,0,replay_only,8x8k,65536,0.5,30,49.48530596349974,5.883142983,True
pilot,4829868af57d0a88,19,0,greedy,8x8k,65536,0.95,30,49.48530596349974,5.492836641,True
pilot,12174f7986ce916b,29,0,replay_only,8x31k,251904,0.95,30,49.48530596349974,,False
pilot,6d2d85bc408d4a45,24,0,replay_only,8x24k,196608,0.95,30,49.48530596349974,9.72448136,True
pilot,62f3a99b0b52ddc2,15,0,kv_only,8x8k,65536,0.0,30,49.48530596349974,7.378363508,True
pilot,1ba191264ca57c33,7,0,queue_haul_power_blind,8x16k,131072,0.85,30,49.48530596349974,,False
pilot,0c62b0a3f8593384,28,0,queue_haul,8x31k,251904,0.9,30,49.48530596349974,14.281001785,True
pilot,2bc75dea2566d498,12,0,queue_haul,16x16k,262144,0.85,30,49.48530596349974,10.573026842,True
pilot,08841a2dd93bc69a,0,0,kv_only,4x16k,65536,0.0,30,49.485305963499734,7.292953921,True
pilot,d25228e969e1c2a9,18,0,kv_only,8x8k,65536,0.9,30,49.48530596349974,5.934145549,True
pilot,14778cc737d5eaac,12,0,replay_only,16x16k,262144,0.85,30,49.48530596349974,10.295136529,True
pilot,4ccd6e78baa37400,21,0,queue_haul,8x24k,196608,0.5,30,49.48530596349974,15.005318162,True
pilot,68244995411e704e,24,0,kv_only,8x24k,196608,0.95,30,49.48530596349974,13.288289264,True
pilot,8dd03bbfd0e23406,13,0,greedy,16x16k,262144,0.9,30,49.48530596349974,10.222742711,True
pilot,8d4217bfa9cda740,4,0,queue_haul,4x16k,65536,0.95,30,49.485305963499734,8.234259171,True
pilot,08efb43f84357d48,29,0,kv_only,8x31k,251904,0.95,30,49.48530596349974,19.853117204,True
pilot,1fc7aef55720e2f4,2,0,kv_only,4x16k,65536,0.85,30,49.485305963499734,6.613444116,True
pilot,2d1c5ec97dd52667,36,0,greedy,8x16k,131072,0.725,30,49.48530596349974,10.024963502,True
pilot,4bc7db06b6c7d75a,16,0,queue_haul_power_blind,8x8k,65536,0.5,30,49.48530596349974,,False
pilot,3db28e39df1f4a53,28,0,kv_only,8x31k,251904,0.9,30,49.48530596349974,16.280083618,True
pilot,eb0cf7f493e9ebc3,2,0,greedy,4x16k,65536,0.85,30,49.485305963499734,,False
pilot,335ff2b27db5bd35,27,0,replay_only,8x31k,251904,0.85,30,49.48530596349974,,False
pilot,f52568b605be49e0,18,0,queue_haul_power_blind,8x8k,65536,0.9,30,49.48530596349974,,False
pilot,70a835fa467f8a8b,17,0,greedy,8x8k,65536,0.85,30,49.48530596349974,5.498113874,True
pilot,b5982e8ddad90d56,34,0,queue_haul,8x16k,131072,0.675,30,49.48530596349974,16.277439289,True
pilot,cfb7b643d8579081,17,0,queue_haul_power_blind,8x8k,65536,0.85,30,49.48530596349974,,False
pilot,eebcb33a963b4c11,14,0,queue_haul,16x16k,262144,0.95,30,49.48530596349974,10.520466589,True
pilot,3d6cfb0fbd784cb3,9,0,greedy,8x16k,131072,0.95,30,49.48530596349974,13.161029113,True
pilot,dcb8e78ae14c1467,4,0,replay_only,4x16k,65536,0.95,30,49.485305963499734,6.864328933,True
pilot,87907cb09dd29d03,26,0,queue_haul_power_blind,8x31k,251904,0.5,30,49.48530596349974,,False
pilot,7e6896d9f4a63e69,34,0,queue_haul_power_blind,8x16k,131072,0.675,30,49.48530596349974,,False
pilot,83e6b2871b53acfc,10,0,greedy,16x16k,262144,0.0,30,49.48530596349974,10.109159012,True
pilot,5ce2c2736e29983e,20,0,replay_only,8x24k,196608,0.0,30,49.48530596349974,9.468178453,True
pilot,83f552cea9fbef55,19,0,queue_haul,8x8k,65536,0.95,30,49.48530596349974,5.732550205,True
pilot,2959c1bfca1f9af1,6,0,greedy,8x16k,131072,0.5,30,49.48530596349974,9.941829114,True
pilot,009a499c2eee2f92,12,0,greedy,16x16k,262144,0.85,30,49.48530596349974,10.102324915,True
pilot,08895ea3d1661530,0,0,queue_haul_power_blind,4x16k,65536,0.0,30,49.485305963499734,7.773969143,True
pilot,82a805639a89e3c6,21,0,queue_haul_power_blind,8x24k,196608,0.5,30,49.48530596349974,,False
pilot,7dfeb89a7b5304de,27,0,greedy,8x31k,251904,0.85,30,49.48530596349974,20.202648544,True
pilot,6e3b5a2ea0350efc,10,0,queue_haul,16x16k,262144,0.0,30,49.48530596349974,10.32956636,True
pilot,90b910bcec9a147e,12,0,queue_haul_power_blind,16x16k,262144,0.85,30,49.48530596349974,15.510192502,True
pilot,0b8dee76ccc0b8e0,35,0,replay_only,8x16k,131072,0.7,30,49.48530596349974,10.228052353,True
pilot,885985ca796fc627,26,0,replay_only,8x31k,251904,0.5,30,49.48530596349974,,False
pilot,ce40db3217028689,25,0,replay_only,8x31k,251904,0.0,30,49.48530596349974,,False
pilot,0a75f6ceb7a4960f,14,0,replay_only,16x16k,262144,0.95,30,49.48530596349974,10.255853297,True
pilot,b3276759fb6f1ef4,15,0,replay_only,8x8k,65536,0.0,30,49.48530596349974,5.31807639,True
pilot,e1a3353ce27dbe87,9,0,kv_only,8x16k,131072,0.95,30,49.48530596349974,10.216945777,True
pilot,e305fab073cf90ba,25,0,queue_haul_power_blind,8x31k,251904,0.0,30,49.48530596349974,,False
pilot,63454bdc717e14c5,30,0,kv_only,8x16k,131072,0.5,30,49.48530596349974,13.943787941,True
pilot,b4f8886f89fe23e8,25,0,kv_only,8x31k,251904,0.0,30,49.48530596349974,18.908522655,True
pilot,45f4ab5ea8c55fb1,17,0,queue_haul,8x8k,65536,0.85,30,49.48530596349974,6.371556264,True
pilot,b472b4d45a7f5f25,36,0,queue_haul,8x16k,131072,0.725,30,49.48530596349974,15.944207086,True
pilot,f87ffa721579373e,15,0,queue_haul,8x8k,65536,0.0,30,49.48530596349974,7.485824713,True
pilot,aabfd597943272b6,9,0,replay_only,8x16k,131072,0.95,30,49.48530596349974,10.237476874,True
pilot,4ce7626a1f20a5c3,5,0,queue_haul,8x16k,131072,0.0,30,49.48530596349974,10.555588236,True
pilot,a5de519d8a800511,21,0,greedy,8x24k,196608,0.5,30,49.48530596349974,12.997538301,True
pilot,9a1d4a6b808034b2,31,0,queue_haul_power_blind,8x16k,131072,0.675,30,49.48530596349974,,False
pilot,e794a3c77e0dc49e,14,0,queue_haul_power_blind,16x16k,262144,0.95,30,49.48530596349974,16.635768083,True
pilot,2d3b59c128bc00f1,23,0,replay_only,8x24k,196608,0.9,30,49.48530596349974,9.723996417,True
pilot,4595e9cf4ce25701,30,0,queue_haul,8x16k,131072,0.5,30,49.48530596349974,12.912250332,True
pilot,5d9977001c9f9c61,29,0,greedy,8x31k,251904,0.95,30,49.48530596349974,11.751195696,True
pilot,c1f1561e8df83f93,17,0,kv_only,8x8k,65536,0.85,30,49.48530596349974,5.567561366,True
pilot,b42371d0683ef0f0,11,0,queue_haul_power_blind,16x16k,262144,0.5,30,49.48530596349974,15.107879223,True
pilot,9cf7f1f95b4747ae,28,0,greedy,8x31k,251904,0.9,30,49.48530596349974,11.63747794,True
pilot,37793b881fd3348a,35,0,queue_haul_power_blind,8x16k,131072,0.7,30,49.48530596349974,,False
pilot,f8f6417afc3d55a0,22,0,replay_only,8x24k,196608,0.85,30,49.48530596349974,9.604175195,True
pilot,3f3286be3a8fdc77,11,0,greedy,16x16k,262144,0.5,30,49.48530596349974,10.215014004,True
pilot,55d7a4236ff22823,27,0,queue_haul,8x31k,251904,0.85,30,49.48530596349974,15.856600692,True
pilot,b98997ae1a1a6276,32,0,queue_haul,8x16k,131072,0.7,30,49.48530596349974,9.249266476,True
pilot,d7e2eb070aeb8a96,21,0,kv_only,8x24k,196608,0.5,30,49.48530596349974,14.396744174,True
pilot,abafaefa9acbb6ec,11,0,queue_haul,16x16k,262144,0.5,30,49.48530596349974,10.704426355,True
pilot,8af4f350db1b6419,35,0,queue_haul,8x16k,131072,0.7,30,49.48530596349974,9.415080028,True
pilot,aa91734d8ebd5d0e,0,0,replay_only,4x16k,65536,0.0,30,49.485305963499734,6.767936126,True
pilot,b5b32685a994b798,27,0,kv_only,8x31k,251904,0.85,30,49.48530596349974,15.457954256,True
pilot,5e6d48db136a0152,1,0,greedy,4x16k,65536,0.5,30,49.485305963499734,7.31293017,True
pilot,145723fbdf366a42,1,0,queue_haul,4x16k,65536,0.5,30,49.485305963499734,6.65940456,True
pilot,88663828725de5d9,34,0,greedy,8x16k,131072,0.675,30,49.48530596349974,9.505013618,True
pilot,6aa00b1b6fb0f022,16,0,greedy,8x8k,65536,0.5,30,49.48530596349974,5.584037621,True
pilot,2c617f64adc681e7,5,0,greedy,8x16k,131072,0.0,30,49.48530596349974,9.73364473,True
pilot,c20ca273ee0c21dc,30,0,greedy,8x16k,131072,0.5,30,49.48530596349974,9.919763085,True
pilot,009d5e03f0d618cf,11,0,kv_only,16x16k,262144,0.5,30,49.48530596349974,14.464678919,True
pilot,22ee97a4280e618e,13,0,kv_only,16x16k,262144,0.9,30,49.48530596349974,14.148215374,True
pilot,c4d8d9cca7899440,22,0,queue_haul_power_blind,8x24k,196608,0.85,30,49.48530596349974,,False
pilot,68edffd356775628,0,0,queue_haul,4x16k,65536,0.0,30,49.485305963499734,7.11008097,True
pilot,a8ed6ab7f65edd27,31,0,queue_haul,8x16k,131072,0.675,30,49.48530596349974,9.262888638,True
pilot,7b8ea6ec0d0fd5e3,22,0,queue_haul,8x24k,196608,0.85,30,49.48530596349974,12.89633041,True
pilot,5f649e58c3363642,19,0,queue_haul_power_blind,8x8k,65536,0.95,30,49.48530596349974,,False
pilot,abd48964645fbd19,1,0,replay_only,4x16k,65536,0.5,30,49.485305963499734,7.075945749,True
pilot,0e7545dd270aa97a,24,0,queue_haul_power_blind,8x24k,196608,0.95,30,49.48530596349974,,False
pilot,85ce6cb5762f3053,4,0,queue_haul_power_blind,4x16k,65536,0.95,30,49.485305963499734,6.529370518,True
pilot,d8e8d28b104030f6,10,0,kv_only,16x16k,262144,0.0,30,49.48530596349974,13.666652897,True
pilot,3936c1888e04c2db,19,0,replay_only,8x8k,65536,0.95,30,49.48530596349974,5.514008063,True
pilot,ae101d9ba946349c,33,0,greedy,8x16k,131072,0.725,30,49.48530596349974,6.910718735,True
pilot,782e40ac9a98b191,24,0,queue_haul,8x24k,196608,0.95,30,49.48530596349974,12.779697536,True
pilot,9af7cb21f663dcac,23,0,queue_haul,8x24k,196608,0.9,30,49.48530596349974,12.424172858,True
pilot,7f8f1b3e40b9f2ec,25,0,greedy,8x31k,251904,0.0,30,49.48530596349974,11.683604488,True
pilot,efc7380028019feb,6,0,queue_haul,8x16k,131072,0.5,30,49.48530596349974,9.604789817,True
pilot,44b130edc1301d75,13,0,queue_haul,16x16k,262144,0.9,30,49.48530596349974,10.467957055,True
pilot,466b8179bb003070,3,0,greedy,4x16k,65536,0.9,30,49.485305963499734,8.662765111,True
pilot,2d82e46134bf4b31,29,0,queue_haul,8x31k,251904,0.95,30,49.48530596349974,13.104565923,True
pilot,af6a2c95cac54514,6,0,queue_haul_power_blind,8x16k,131072,0.5,30,49.48530596349974,,False
refinement,9da014414624e46a,37,0,queue_haul,8x16k,131072,0.875,30,49.48530596349974,9.412177713,True
refinement,390a39afff9224aa,37,0,greedy,8x16k,131072,0.875,30,49.48530596349974,8.966113458,True
refinement,36bba13afcbf7b39,37,0,replay_only,8x16k,131072,0.875,30,49.48530596349974,10.073506018,True
refinement,8f4e15eb6516d05c,37,0,kv_only,8x16k,131072,0.875,30,49.48530596349974,13.902614379,True
refinement,1b3436f4ef2fa659,37,0,queue_haul_power_blind,8x16k,131072,0.875,30,49.48530596349974,,False
refinement,a284f6fac7887697,38,0,queue_haul,8x16k,131072,0.925,30,49.48530596349974,9.333104509,True
refinement,c0e12de4b7a6e70d,38,0,greedy,8x16k,131072,0.925,30,49.48530596349974,9.634320678,True
refinement,b772d4dd82379865,38,0,replay_only,8x16k,131072,0.925,30,49.48530596349974,10.057686431,True
refinement,d4ef2f89b8f1ddb0,38,0,kv_only,8x16k,131072,0.925,30,49.48530596349974,10.520240049,True
refinement,78f1e9a7d06ae59b,38,0,queue_haul_power_blind,8x16k,131072,0.925,30,49.48530596349974,,False
refinement,c6094570ae3b7fc6,39,0,queue_haul,4x16k,65536,0.875,30,49.485305963499734,7.710488866,True
refinement,a9e2b87e724b1b41,39,0,greedy,4x16k,65536,0.875,30,49.485305963499734,6.424661582,True
refinement,e3b07469257d152b,39,0,replay_only,4x16k,65536,0.875,30,49.485305963499734,6.92207657,True
refinement,6ad161ff9e89c4c4,39,0,kv_only,4x16k,65536,0.875,30,49.485305963499734,6.315553003,True
refinement,26e64014dde9dfea,39,0,queue_haul_power_blind,4x16k,65536,0.875,30,49.485305963499734,7.319615842,True
refinement,07cfe449a078e070,40,0,queue_haul,8x8k,65536,0.875,30,49.48530596349974,5.248579419,True
refinement,98d591464e319adb,40,0,greedy,8x8k,65536,0.875,30,49.48530596349974,5.593033003,True
refinement,9da94d879f34a2ed,40,0,replay_only,8x8k,65536,0.875,30,49.48530596349974,5.552324284,True
refinement,f2adab9eb5f30060,40,0,kv_only,8x8k,65536,0.875,30,49.48530596349974,5.328784468,True
refinement,01723769c1c899ac,40,0,queue_haul_power_blind,8x8k,65536,0.875,30,49.48530596349974,,False
refinement,d4a00583baf6baed,41,0,queue_haul,16x16k,262144,0.925,30,49.48530596349974,10.671860968,True
refinement,af1083a6f2d14ef1,41,0,greedy,16x16k,262144,0.925,30,49.48530596349974,10.305766702,True
refinement,788160bac8db7e19,41,0,replay_only,16x16k,262144,0.925,30,49.48530596349974,10.139663836,True
refinement,e351d83f410dba44,41,0,kv_only,16x16k,262144,0.925,30,49.48530596349974,14.037925452,True
refinement,6faec144a475216a,41,0,queue_haul_power_blind,16x16k,262144,0.925,30,49.48530596349974,14.801982196,True
refinement,d66133c7a68813c2,37,1,queue_haul,8x16k,131072,0.875,30,49.48530596349974,9.663277777,True
refinement,85d624c39df9927f,37,1,greedy,8x16k,131072,0.875,30,49.48530596349974,9.494495431,True
refinement,0764411cbdbccd77,37,1,replay_only,8x16k,131072,0.875,30,49.48530596349974,10.200866724,True
refinement,28d28cef07330c70,37,1,kv_only,8x16k,131072,0.875,30,49.48530596349974,10.489472442,True
refinement,bdb8501a93d79dce,37,1,queue_haul_power_blind,8x16k,131072,0.875,30,49.48530596349974,,False
refinement,15e55c1c0eac6a29,38,1,queue_haul,8x16k,131072,0.925,30,49.48530596349974,9.630467804,True
refinement,fd75418a99a10a48,38,1,greedy,8x16k,131072,0.925,30,49.48530596349974,14.330590706,True
refinement,2970bbe6efd0682e,38,1,replay_only,8x16k,131072,0.925,30,49.48530596349974,10.230772696,True
refinement,6055f8eedc42a79f,38,1,kv_only,8x16k,131072,0.925,30,49.48530596349974,10.892737241,True
refinement,0a9120ca3846b8cf,38,1,queue_haul_power_blind,8x16k,131072,0.925,30,49.48530596349974,,False
refinement,7cbc4c712571732d,39,1,queue_haul,4x16k,65536,0.875,30,49.485305963499734,6.190437328,True
refinement,5051590d05962285,39,1,greedy,4x16k,65536,0.875,30,49.485305963499734,6.105378443,True
refinement,17d36ef6158e1ab4,39,1,replay_only,4x16k,65536,0.875,30,49.485305963499734,9.068262067,True
refinement,74df8aba32bddac1,39,1,kv_only,4x16k,65536,0.875,30,49.485305963499734,6.17798354,True
refinement,59052ef13cbe0afa,39,1,queue_haul_power_blind,4x16k,65536,0.875,30,49.485305963499734,9.074591517,True
refinement,30f6f8a3f1105251,40,1,queue_haul,8x8k,65536,0.875,30,49.48530596349974,5.19059356,True
refinement,c0bd200514de08ad,40,1,greedy,8x8k,65536,0.875,30,49.48530596349974,5.515466462,True
refinement,86637fc4ae282fb4,40,1,replay_only,8x8k,65536,0.875,30,49.48530596349974,5.823612004,True
refinement,92cf23c01d33a14e,40,1,kv_only,8x8k,65536,0.875,30,49.48530596349974,5.303716286,True
refinement,1c7ffa7c8c260874,40,1,queue_haul_power_blind,8x8k,65536,0.875,30,49.48530596349974,,False
refinement,4828677ea6294e83,41,1,queue_haul,16x16k,262144,0.925,30,49.48530596349974,10.622624946,True
refinement,a3fdd639cabf1eac,41,1,greedy,16x16k,262144,0.925,30,49.48530596349974,10.225926097,True
refinement,de158268dd3363b7,41,1,replay_only,16x16k,262144,0.925,30,49.48530596349974,10.212826836,True
refinement,b3cddc51b71af42a,41,1,kv_only,16x16k,262144,0.925,30,49.48530596349974,14.036409936,True
refinement,9f72ed0567359558,41,1,queue_haul_power_blind,16x16k,262144,0.925,30,49.48530596349974,14.589111357,True
refinement,805b83aefa6586f3,37,2,queue_haul,8x16k,131072,0.875,30,49.48530596349974,9.555160073,True
refinement,f4078d2efcf6f025,37,2,greedy,8x16k,131072,0.875,30,49.48530596349974,9.375120914,True
refinement,bbc4cd5dbc56c190,37,2,replay_only,8x16k,131072,0.875,30,49.48530596349974,10.136845755,True
refinement,db1260c867fa2717,37,2,kv_only,8x16k,131072,0.875,30,49.48530596349974,9.519421635,True
refinement,2acc46eeff865321,37,2,queue_haul_power_blind,8x16k,131072,0.875,30,49.48530596349974,,False
refinement,9d131d78b0e3b8e5,38,2,queue_haul,8x16k,131072,0.925,30,49.48530596349974,9.585058697,True
refinement,4adf818e3dcbfd29,38,2,greedy,8x16k,131072,0.925,30,49.48530596349974,10.795735795,True
refinement,a7f337c1140f85e1,38,2,replay_only,8x16k,131072,0.925,30,49.48530596349974,10.15420319,True
refinement,4fbda0836d24684d,38,2,kv_only,8x16k,131072,0.925,30,49.48530596349974,9.613766017,True
refinement,124f37921f0dc109,38,2,queue_haul_power_blind,8x16k,131072,0.925,30,49.48530596349974,,False
refinement,b67425979360dd79,39,2,queue_haul,4x16k,65536,0.875,30,49.485305963499734,6.568947882,True
refinement,14fb7a9aab5e8812,39,2,greedy,4x16k,65536,0.875,30,49.485305963499734,6.592436937,True
refinement,b0567ab8c646ec13,39,2,replay_only,4x16k,65536,0.875,30,49.485305963499734,6.920086465,True
refinement,69b091983ef54c05,39,2,kv_only,4x16k,65536,0.875,30,49.485305963499734,6.337461048,True
refinement,b6c9df7f4ba52893,39,2,queue_haul_power_blind,4x16k,65536,0.875,30,49.485305963499734,7.759988503,True
deadline-blind,5e21aae9384bc54e,0,0,queue_haul_deadline_blind,4x16k,65536,0.0,30,49.485305963499734,7.423491738,True
