episode,workload,seed,rate,cohort,window_start_s,window_end_s,control_admitted_at_window_start,replay_admitted_at_window_start,equivalent_full_incoming_population,replay_arrival_ttft_p90_s,control_arrival_ttft_p90_s,replay_request_tpot_p90_s,control_request_tpot_p90_s,replay_outstanding,control_outstanding,completion_deficit_requests,replay_completed_rps,control_completed_rps,replay_screen_pass,control_screen_pass,replay_exact_coverage,control_exact_coverage,replay_completed_n,control_completed_n
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,resident,60,180,0,0,False,2.705316360200005,0.15751249220000005,0.03749402413638796,0.03676348742202517,1,1,0,0.225,0.225,False,False,1.0,1.0,27,27
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,incoming,0,60,0,0,False,,,,,0,0,0,0.0,0.0,False,False,0.0,0.0,0,0
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,incoming,60,90,0,0,False,12.291674844500001,0.0986049569,0.03882359691505682,0.03412392521846153,0,0,0,0.4,0.4,False,True,1.0,1.0,12,12
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,incoming,90,120,8,8,True,0.2873194662,0.28404022980000004,0.061262099719384615,0.05977815818523077,1,1,0,0.26666666666666666,0.26666666666666666,False,False,1.0,1.0,8,8
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,incoming,120,150,8,8,True,0.1114228882,0.1249581532,0.034219001205698006,0.03347430844900285,2,2,0,0.3333333333333333,0.3333333333333333,False,False,1.0,1.0,9,9
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,incoming,150,180,8,8,True,0.109731335,0.106278768,0.03393207044705883,0.03392243651176471,1,1,0,0.43333333333333335,0.43333333333333335,False,False,1.0,1.0,11,11
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,incoming,60,180,0,0,False,1.616623581200007,0.12952911880000004,0.03753113386722757,0.034574319946787335,1,1,0,0.35833333333333334,0.35833333333333334,False,False,1.0,1.0,43,43
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,resident,0,60,0,0,False,0.13706205,0.139365163,0.033609197421875,0.03383703829111842,0,0,0,0.18333333333333332,0.18333333333333332,True,True,1.0,1.0,11,11
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,resident,60,90,0,0,False,11.7611508851,0.135031885,0.03606356400987395,0.0348240794745098,0,0,0,0.3333333333333333,0.3333333333333333,False,True,1.0,1.0,10,10
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,resident,90,120,8,6,False,0.12319817,0.121711122,0.035158150610769226,0.03568325187230769,0,0,0,0.2,0.2,True,True,1.0,1.0,6,6
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,resident,120,150,8,6,False,0.52358477,0.5275305035,0.035681662068954026,0.034274376018092106,0,0,0,0.2,0.2,True,True,1.0,1.0,6,6
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,resident,150,180,8,6,False,0.23203917349999997,0.225239762,0.039943200740252455,0.03929746990098176,0,0,0,0.2,0.2,True,True,1.0,1.0,6,6
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,resident,60,180,0,0,False,5.655549824500003,0.135356715,0.035855332631578946,0.03517975128235294,0,0,0,0.23333333333333334,0.23333333333333334,False,True,1.0,1.0,28,28
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,incoming,0,60,0,0,False,,,,,0,0,0,0.0,0.0,False,False,0.0,0.0,0,0
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,incoming,60,90,0,0,False,9.3366518808,0.14900490499999994,0.035740784420384614,0.03571167922729529,4,1,3,0.23333333333333334,0.3333333333333333,False,False,1.0,1.0,7,10
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,incoming,90,120,8,6,False,0.121443097,0.13942949449999995,0.034673627711384616,0.03399814322153846,5,0,5,0.3,0.36666666666666664,False,True,1.0,1.0,8,10
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,incoming,120,150,8,6,False,0.11237271280000001,0.1282365633,0.03562218515604395,0.03471532106189213,9,1,8,0.23333333333333334,0.3333333333333333,False,False,1.0,1.0,7,10
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,incoming,150,180,8,6,False,0.1024100003,0.111423039,0.03356462311764706,0.03274929262352941,11,0,11,0.3,0.4,False,True,1.0,1.0,8,11
episodes-coding-1-replay-7102,coding,7102,0.22130012741816424,incoming,60,180,0,0,False,6.092310001900014,0.132369488,0.03578427461730769,0.03532507587692307,11,0,11,0.26666666666666666,0.35833333333333334,False,True,1.0,1.0,32,43
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,resident,0,60,0,0,False,0.1459353844,0.1580925156,0.03475426471663953,0.03525974467541518,0,0,0,0.15,0.15,True,True,1.0,1.0,9,9
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,resident,60,90,0,0,False,18.1320465778,0.1275472348,0.04049349057868853,0.034000953341176476,0,0,0,0.23333333333333334,0.23333333333333334,False,True,1.0,1.0,7,7
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,resident,90,120,8,8,True,0.2974997705,0.3106055125,0.037304886021425725,0.03748172779697331,1,1,0,0.2,0.2,False,False,1.0,1.0,6,6
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,resident,120,150,8,8,True,0.13971870390000002,0.1303240674,0.0322337397619883,0.030728511981871345,0,0,0,0.16666666666666666,0.16666666666666666,True,True,1.0,1.0,4,4
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,resident,150,180,8,8,True,0.1698296243,0.163547453,0.03463164132584892,0.034782101965257564,0,0,0,0.13333333333333333,0.13333333333333333,True,True,1.0,1.0,4,4
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,resident,60,180,0,0,False,14.985548035100024,0.1845997484,0.03922821672835458,0.03554635424568439,0,0,0,0.18333333333333332,0.18333333333333332,False,True,1.0,1.0,22,22
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,incoming,0,60,0,0,False,,,,,0,0,0,0.0,0.0,False,False,0.0,0.0,0,0
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,incoming,60,90,0,0,False,25.6694046096,0.1499265412,0.03932042023529412,0.0356686388627451,4,0,4,0.16666666666666666,0.3,False,True,1.0,1.0,5,9
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,incoming,90,120,8,8,True,0.133221929,0.134044119,0.03520671517105263,0.03495541905160819,0,0,0,0.5,0.36666666666666664,True,True,1.0,1.0,11,11
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,incoming,120,150,8,8,True,0.1495601636,0.1536622707,0.03478064926972269,0.035505896528579516,0,0,0,0.26666666666666666,0.26666666666666666,True,True,1.0,1.0,8,8
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,incoming,150,180,8,8,True,0.1348431741,0.120906145,0.03556617810468059,0.03480939502593296,0,0,0,0.26666666666666666,0.26666666666666666,True,True,1.0,1.0,8,8
episodes-coding_long-0-replay-7101,coding_long,7101,0.1881783279213518,incoming,60,180,0,0,False,18.1973835815,0.139058399,0.03745291952840557,0.03525788728614801,0,0,0,0.3,0.3,False,True,1.0,1.0,36,36
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,resident,0,60,0,0,False,0.21375236940000003,0.20927956880000004,0.03347051148076312,0.03254541494737679,0,0,0,0.15,0.15,True,True,1.0,1.0,9,9
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,resident,60,90,0,0,False,25.6739420988,0.1734031356,0.04782820231721312,0.0342026808925599,1,0,1,0.23333333333333334,0.26666666666666666,False,True,1.0,1.0,7,8
episodes-coding_long-0-replay-7102,coding_long,7102,0.1881783279213518,resident,90,120,8,8,True,0.1712754985,0.1807091055,0.03477246103504388,0.03499212558714859,0,0,0,0.23333333333333334,0.2,True,True,1.0,1.0,6,6
