retained_prefill_fraction,deadline_scale,budget_label,budget_fraction,budget_move_limit,repair_steps,net_changed_requests,fraction_moved_requests_changed,miss_rate,p95_delay,mean_delay,p95_normalized_delay,objective_delta
0.5,0.25,20%,0.2,71,65,65.0,0.18309859154929578,0.0,2.1907446063976295,0.23843383471286356,0.11216332316382704,-0.7736135891900773
0.5,0.25,unbounded,nan,nan,65,65.0,0.18309859154929578,0.0,2.1907446063976295,0.23843383471286356,0.11216332316382704,-0.7736135891900773
0.6,0.25,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.2959961384892567,0.1888361025640961,0.0
0.6,0.25,5%,0.05,20,20,20.0,0.04987531172069826,0.0,2.1907446063976295,0.29214242080956354,0.12589073504273074,-1.4708050255220257
0.6,0.25,10%,0.1,40,40,40.0,0.09975062344139651,0.0,2.1907446063976295,0.29172160584061047,0.11217032487320466,-1.6927441545294073
0.6,0.25,20%,0.2,80,80,80.0,0.19950124688279303,0.0,2.1907446063976295,0.2917205442347971,0.1121661238475582,-1.6930551893769916
0.6,0.25,unbounded,nan,nan,98,98.0,0.24438902743142144,0.0,2.1907446063976295,0.29172048137655804,0.11216332316382704,-1.6930792025866026
0.7,0.25,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.39001721377194937,0.11217032487320466,0.0
0.7,0.25,5%,0.05,15,15,15.0,0.04838709677419355,0.0,2.1907446063976295,0.3885611118493153,0.11216332316382704,-0.36656932908411477
0.7,0.25,10%,0.1,31,26,26.0,0.08387096774193549,0.0,2.1907446063976295,0.3885610282805257,0.11216332316379862,-0.3665899722005861
0.7,0.25,20%,0.2,62,26,26.0,0.08387096774193549,0.0,2.1907446063976295,0.3885610282805257,0.11216332316379862,-0.3665899722005861
0.7,0.25,unbounded,nan,nan,26,26.0,0.08387096774193549,0.0,2.1907446063976295,0.3885610282805257,0.11216332316379862,-0.3665899722005861
0.8,0.25,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.5195895034536097,0.11216332316382704,0.0
0.8,0.25,5%,0.05,21,1,1.0,0.002320185614849188,0.0,2.1907446063976295,0.5169464712364457,0.11216332316382704,7.198097353044645
0.8,0.25,10%,0.1,43,1,1.0,0.002320185614849188,0.0,2.1907446063976295,0.5169464712364457,0.11216332316382704,7.198097353044645
0.8,0.25,20%,0.2,86,1,1.0,0.002320185614849188,0.0,2.1907446063976295,0.5169464712364457,0.11216332316382704,7.198097353044645
0.8,0.25,unbounded,nan,nan,1,1.0,0.002320185614849188,0.0,2.1907446063976295,0.5169464712364457,0.11216332316382704,7.198097353044645
0.9,0.25,0%,0.0,0,0,0.0,0.0,0.0,3.589226341241556,0.6830356155195811,0.23928175608277039,0.0
0.9,0.25,5%,0.05,22,22,22.0,0.04899777282850779,0.0,3.589226341241556,0.6771421154690439,0.23928175608277039,7.1981273007095865
0.9,0.25,10%,0.1,44,44,44.0,0.09799554565701558,0.0,3.589226341241556,0.6771420468554109,0.23928175608277039,7.198135736628018
0.9,0.25,20%,0.2,89,63,63.0,0.1403118040089087,0.0,3.589226341241556,0.6771419875981821,0.23928175608277039,7.198143850950601
0.9,0.25,unbounded,nan,nan,63,63.0,0.1403118040089087,0.0,3.589226341241556,0.6771419875981821,0.23928175608277039,7.198143850950601
0.2,0.5,0%,0.0,0,0,0.0,0.0,0.0,0.22432664632759725,0.25468424905554093,0.05608166158189931,0.0
0.2,0.5,5%,0.05,6,6,6.0,0.049586776859504134,0.0,0.1510688820512769,0.25199252405057926,0.05608166158189931,-0.19507450335686727
0.2,0.5,10%,0.1,12,7,7.0,0.05785123966942149,0.0,0.1510688820512769,0.25199251247750587,0.056081661581898694,-0.19507553796670152
0.2,0.5,20%,0.2,24,7,7.0,0.05785123966942149,0.0,0.1510688820512769,0.25199251247750587,0.056081661581898694,-0.19507553796670152
0.2,0.5,unbounded,nan,nan,7,7.0,0.05785123966942149,0.0,0.1510688820512769,0.25199251247750587,0.056081661581898694,-0.19507553796670152
0.3,0.5,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.3791388715604082,0.03651241010662716,0.0
0.3,0.5,5%,0.05,6,4,4.0,0.03333333333333333,0.0,2.1907446063976295,0.37814693297315166,0.03651241010662716,-0.07183141037228324
0.3,0.5,10%,0.1,12,4,4.0,0.03333333333333333,0.0,2.1907446063976295,0.37814693297315166,0.03651241010662716,-0.07183141037228324
0.3,0.5,20%,0.2,24,4,4.0,0.03333333333333333,0.0,2.1907446063976295,0.37814693297315166,0.03651241010662716,-0.07183141037228324
0.3,0.5,unbounded,nan,nan,4,4.0,0.03333333333333333,0.0,2.1907446063976295,0.37814693297315166,0.03651241010662716,-0.07183141037228324
0.4,0.5,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.39238001470478273,0.05985827523322189,0.0
0.4,0.5,5%,0.05,7,7,7.0,0.04666666666666667,0.0,2.1907446063976295,0.3898889810694744,0.056083061923786204,-0.2655177007668712
0.4,0.5,10%,0.1,15,15,15.0,0.1,0.0,2.1907446063976295,0.3897973389595123,0.05608166158191352,-0.2856774863043512
0.4,0.5,20%,0.2,30,19,19.0,0.12666666666666668,0.0,2.1907446063976295,0.38979730161706216,0.05608166158191352,-0.28568400656595117
0.4,0.5,unbounded,nan,nan,19,19.0,0.12666666666666668,0.0,2.1907446063976295,0.38979730161706216,0.05608166158191352,-0.28568400656595117
0.5,0.5,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.24110342913534125,0.06294536752136537,0.0
0.5,0.5,5%,0.05,17,17,17.0,0.04788732394366197,0.0,2.1907446063976295,0.23864701389244833,0.05608516243660233,-0.6626371448375252
0.5,0.5,10%,0.1,35,35,35.0,0.09859154929577464,0.0,2.1907446063976295,0.23843402405486433,0.056083061923786204,-0.7735595932721111
0.5,0.5,20%,0.2,71,65,65.0,0.18309859154929578,0.0,2.1907446063976295,0.23843383471286356,0.05608166158191352,-0.7736135891900773
0.5,0.5,unbounded,nan,nan,65,65.0,0.18309859154929578,0.0,2.1907446063976295,0.23843383471286356,0.05608166158191352,-0.7736135891900773
0.6,0.5,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.2959961384892567,0.09441805128204805,0.0
0.6,0.5,5%,0.05,20,20,20.0,0.04987531172069826,0.0,2.1907446063976295,0.29214242080956354,0.06294536752136537,-1.4708050255220257
0.6,0.5,10%,0.1,40,40,40.0,0.09975062344139651,0.0,2.1907446063976295,0.29172160584061047,0.05608516243660233,-1.6927441545294073
0.6,0.5,20%,0.2,80,80,80.0,0.19950124688279303,0.0,2.1907446063976295,0.2917205442347971,0.0560830619237791,-1.6930551893769916
0.6,0.5,unbounded,nan,nan,98,98.0,0.24438902743142144,0.0,2.1907446063976295,0.29172048137655804,0.05608166158191352,-1.6930792025866026
0.7,0.5,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.39001721377194937,0.05608516243660233,0.0
0.7,0.5,5%,0.05,15,15,15.0,0.04838709677419355,0.0,2.1907446063976295,0.3885611118493153,0.05608166158191352,-0.36656932908411477
0.7,0.5,10%,0.1,31,26,26.0,0.08387096774193549,0.0,2.1907446063976295,0.3885610282805257,0.05608166158189931,-0.3665899722005861
0.7,0.5,20%,0.2,62,26,26.0,0.08387096774193549,0.0,2.1907446063976295,0.3885610282805257,0.05608166158189931,-0.3665899722005861
0.7,0.5,unbounded,nan,nan,26,26.0,0.08387096774193549,0.0,2.1907446063976295,0.3885610282805257,0.05608166158189931,-0.3665899722005861
0.8,0.5,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.5195895034536097,0.05608166158191352,0.0
0.8,0.5,5%,0.05,21,1,1.0,0.002320185614849188,0.0,2.1907446063976295,0.5169464712364457,0.05608166158191352,7.198097353044645
0.8,0.5,10%,0.1,43,1,1.0,0.002320185614849188,0.0,2.1907446063976295,0.5169464712364457,0.05608166158191352,7.198097353044645
0.8,0.5,20%,0.2,86,1,1.0,0.002320185614849188,0.0,2.1907446063976295,0.5169464712364457,0.05608166158191352,7.198097353044645
0.8,0.5,unbounded,nan,nan,1,1.0,0.002320185614849188,0.0,2.1907446063976295,0.5169464712364457,0.05608166158191352,7.198097353044645
0.9,0.5,0%,0.0,0,0,0.0,0.0,0.0,3.589226341241556,0.6830356155195811,0.11964087804138519,0.0
0.9,0.5,5%,0.05,22,22,22.0,0.04899777282850779,0.0,3.589226341241556,0.6771421154690439,0.11964087804138519,7.1981273007095865
0.9,0.5,10%,0.1,44,44,44.0,0.09799554565701558,0.0,3.589226341241556,0.6771420468554109,0.11964087804138519,7.198135736628018
0.9,0.5,20%,0.2,89,63,63.0,0.1403118040089087,0.0,3.589226341241556,0.6771419875981821,0.11964087804138519,7.198143850950601
0.9,0.5,unbounded,nan,nan,63,63.0,0.1403118040089087,0.0,3.589226341241556,0.6771419875981821,0.11964087804138519,7.198143850950601
