policy,retained_prefill_fraction,deadline_scale,status,safe,rounded_retained_prefill_moved_s,rounded_retained_prefill_target_s,rounded_retained_prefill_ratio,mean_delay,p50_delay,p95_delay,p99_delay,p95_normalized_delay,miss_rate,drain_window_s,retained_prefill_removal_rate_s_per_s,drain_completion_s,network_capacity_pressure,prefill_capacity_pressure,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction,repair_move_count,repair_move_summary
repaired-CVXPY-rounded,0.5,0.25,OK,True,413.7253012048193,413.6867469879518,1.000093196644921,0.23843383471286356,0.056085162436488645,2.1907446063976295,2.1907446063976295,0.11216332316382704,0.0,1800.0,0.22984738955823295,1800.4618851570965,0.008393042415954424,0.024339783375927952,0.7031963470319638,0.29680365296803624,65,class0:k0/replay->k2/replay x18; class0:k0/state->k2/replay x6; class0:k1/replay->k2/replay x18; class0:k1/state->k2/replay x9; class0:k2/state->k2/replay x13; class3:k1/replay->k2/replay x1
deadline-aware-m0.8-rounded,0.5,0.25,OK,True,413.71373493975904,413.6867469879518,1.0000652376514445,2.3119491792747384,0.15965903391128222,14.230324786324822,21.936875583770043,0.28931165812744913,0.0,1800.0,0.2298409638554217,1802.6692233370493,0.033164912951187085,0.026674455397346964,0.465263216751936,0.534736783248064,0,
deadline-aware-m1.0-rounded,0.5,0.25,OK,True,413.6944578313253,413.6867469879518,1.0000186393289843,1.523809121418487,0.06294536752136537,8.578035240561292,22.06303870587245,0.28608669538463116,0.0,1800.0,0.22983025435073626,1820.1129111317061,0.034299703576068374,0.022499208957040284,0.41747590911632587,0.5825240908836741,0,
mirror-descent-rounded,0.5,0.25,OK,True,424.8674698795181,413.6867469879518,1.0270270270270272,0.28823224295286015,0.05608516243660233,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.23603748326639895,1798.9146606334843,0.008392715669515678,0.024339783375927952,0.6542649727767696,0.3457350272232303,0,
crossover-greedy,0.5,0.25,OK,True,424.8674698795181,413.6867469879518,1.0270270270270272,0.28823224295286015,0.05608516243660233,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.23603748326639895,1798.9146606334843,0.008392715669515678,0.024339783375927952,0.6542649727767696,0.3457350272232303,0,
mixed-greedy,0.5,0.25,OK,True,424.8674698795181,413.6867469879518,1.0270270270270272,0.28823224295286015,0.05608516243660233,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.23603748326639895,1798.9146606334843,0.008392715669515678,0.024339783375927952,0.6542649727767696,0.3457350272232303,0,
replay-only,0.5,0.25,OK,True,422.5542168674699,413.6867469879518,1.0214352283317802,2.038903667567882,0.05608516243660233,2.1907446063976295,59.86212906638178,0.07302482021325432,0.005681818181818182,1800.0,0.23475234270414994,1870.072287883468,3.6467236467236467e-06,0.07301935012778386,1.0,0.0,0,
state-only,0.5,0.25,OK,True,424.0,413.6867469879518,1.0249301025163096,1.3375049981737208,0.1510688820512769,12.294017094017136,12.294017094017136,0.40980056980057117,0.0,1800.0,0.23555555555555555,1790.1476923076923,0.056202782146248825,0.0,0.0,1.0,0,
CVXPY-rounded,0.6,0.25,OK,True,496.4395180722892,496.4240963855421,1.0000310655483071,0.2959961384892567,0.05608516243660233,2.1907446063976295,4.028503521367611,0.1888361025640961,0.0,1800.0,0.2757997322623829,1804.1741185497797,0.012924317976068366,0.02720603626627723,0.5942344133453452,0.40576558665465473,0,
repaired-CVXPY-rounded,0.6,0.25,OK,True,496.4395180722892,496.4240963855421,1.0000310655483071,0.29172048137655804,0.056085162436488645,2.1907446063976295,3.589226341241556,0.11216332316382704,0.0,1800.0,0.2757997322623829,1804.1741185497797,0.012294542222222218,0.024339783375927952,0.6070330216520148,0.3929669783479853,98,class0:k0/replay->k2/replay x28; class0:k0/state->k2/replay x8; class0:k1/replay->k2/replay x28; class0:k1/state->k2/replay x12; class0:k2/state->k2/replay x19; class3:k0/replay->k2/replay x1; class3:k1/replay->k2/replay x1; class3:k2/state->k2/replay x1
deadline-aware-m0.8-rounded,0.6,0.25,OK,True,496.44722891566266,496.4240963855421,1.0000465983224605,2.1209373724608445,0.09441805128204805,10.78394471798613,20.506420512820476,0.3468808874659468,0.0,1800.0,0.27580401606425703,1811.0304273504273,0.033355500161823363,0.015736156748204944,0.42172623207989685,0.5782737679201031,0,
deadline-aware-m1.0-rounded,0.6,0.25,OK,True,496.655421686747,496.4240963855421,1.0004659832246041,0.9326681343665959,0.05608516243660233,5.532307692307768,16.7690393162394,0.283254153846201,0.0,1800.0,0.27591967871485945,1829.678445998446,0.0343681379677113,0.019350127783862723,0.4851808725353205,0.5148191274646795,0,
mirror-descent-rounded,0.6,0.25,OK,True,497.1566265060241,496.4240963855421,1.0014756135445793,0.34544033876400504,0.05608516243660233,2.1907446063976295,5.532307692307768,0.07302482021325432,0.0,1800.0,0.2761981258366801,1798.9868531468533,0.01536804649572649,0.024339783375927952,0.5591314462970145,0.44086855370298556,0,
crossover-greedy,0.6,0.25,OK,True,497.1566265060241,496.4240963855421,1.0014756135445793,0.34544033876400504,0.05608516243660233,2.1907446063976295,5.532307692307768,0.07302482021325432,0.0,1800.0,0.2761981258366801,1798.9868531468533,0.01536804649572649,0.024339783375927952,0.5591314462970145,0.44086855370298556,0,
mixed-greedy,0.6,0.25,OK,True,497.1566265060241,496.4240963855421,1.0014756135445793,0.34544033876400504,0.05608516243660233,2.1907446063976295,5.532307692307768,0.07302482021325432,0.0,1800.0,0.2761981258366801,1798.9868531468533,0.01536804649572649,0.024339783375927952,0.5591314462970145,0.44086855370298556,0,
replay-only,0.6,0.25,OK,False,518.9397590361446,496.4240963855421,1.0453557005281144,4.483654909848919,0.05608516243660233,22.502189307345546,107.74775338182498,0.30002919076460727,0.027777777777777776,1800.0,0.2882998661311914,1919.0591444004447,6.07787274453941e-06,0.12169891687963978,1.0,0.0,0,
state-only,0.6,0.25,OK,True,508.3373493975904,496.4240963855421,1.0239981360671018,1.9560177777777847,0.1510688820512769,12.294017094017136,12.294017094017136,0.40980056980057117,0.0,1800.0,0.2824096385542169,1791.0161786600497,0.10401284862298199,0.0,0.0,1.0,0,
CVXPY-rounded,0.7,0.25,OK,True,579.1922891566265,579.1614457831324,1.0000532552256693,0.39001721377194937,0.05608516243660233,2.1907446063976295,5.532307692307768,0.11217032487320466,0.0,1800.0,0.32177349397590366,1799.7258560794046,0.024824849504273494,0.02452671291225508,0.49538035519343937,0.5046196448065605,0,
repaired-CVXPY-rounded,0.7,0.25,OK,True,579.1922891566265,579.1614457831324,1.0000532552256693,0.3885610282805257,0.05608516243660233,2.1907446063976295,5.532307692307768,0.11216332316379862,0.0,1800.0,0.32177349397590366,1799.7258560794046,0.024588559316239305,0.024339783375927952,0.49676491732566513,0.5032350826743348,26,class0:k0/replay->k2/replay x6; class0:k0/state->k2/replay x3; class0:k1/replay->k2/replay x6; class0:k1/state->k2/replay x4; class0:k2/state->k2/replay x6; class3:k0/replay->k2/replay x1
deadline-aware-m0.8-rounded,0.7,0.25,INFEASIBLE,False,nan,579.1614457831324,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
