policy,shed_fraction,slack_multiplier,status,group_type,group,moved_requests,missed_requests,miss_rate,avg_missed_network_wait,avg_missed_prefill_wait,avg_missed_total_delay
deadline-aware-m0.8-rounded,0.3,0.25,OK,class,class0,16,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.3,0.25,OK,class,class1,20,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.3,0.25,OK,class,class2,15,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.3,0.25,OK,class,class3,21,11,0.5238095238095238,18.177696038712337,0.0,23.67110993148623
deadline-aware-m0.8-rounded,0.3,0.25,OK,class,class4,2,2,1.0,24.996241255003795,0.0,40.36376262252516
deadline-aware-m0.8-rounded,0.3,0.25,OK,class,class5,5,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.3,0.25,OK,destination,k0,19,2,0.10526315789473684,12.456958878286272,0.0,21.521091801363198
deadline-aware-m0.8-rounded,0.3,0.25,OK,destination,k1,24,4,0.16666666666666666,16.402808044141512,0.0,25.545130915936383
deadline-aware-m0.8-rounded,0.3,0.25,OK,destination,k2,36,7,0.19444444444444445,22.774569857529247,0.0,27.983861032132427
deadline-aware-m0.8-rounded,0.3,0.25,OK,action,replay,24,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.3,0.25,OK,action,state,55,13,0.23636363636363636,19.22670299506487,0.0,26.239210345492218
deadline-aware-m1.0-rounded,0.3,0.25,OK,class,class0,20,0,0.0,0.0,0.0,0.0
deadline-aware-m1.0-rounded,0.3,0.25,OK,class,class1,31,0,0.0,0.0,0.0,0.0
deadline-aware-m1.0-rounded,0.3,0.25,OK,class,class2,20,0,0.0,0.0,0.0,0.0
deadline-aware-m1.0-rounded,0.3,0.25,OK,class,class3,19,6,0.3157894736842105,15.745099751380899,0.0,20.948583466480617
deadline-aware-m1.0-rounded,0.3,0.25,OK,class,class4,4,2,0.5,16.60671843711845,0.0,36.58449621489622
deadline-aware-m1.0-rounded,0.3,0.25,OK,class,class5,4,0,0.0,0.0,0.0,0.0
deadline-aware-m1.0-rounded,0.3,0.25,OK,destination,k0,28,2,0.07142857142857142,8.085995302982735,0.0,26.448830995290425
deadline-aware-m1.0-rounded,0.3,0.25,OK,destination,k1,29,1,0.034482758620689655,10.861020768184197,0.0,16.90377605023548
deadline-aware-m1.0-rounded,0.3,0.25,OK,destination,k2,41,5,0.12195121951219512,20.130204801674527,0.0,25.811811037571964
deadline-aware-m1.0-rounded,0.3,0.25,OK,action,replay,43,0,0.0,0.0,0.0,0.0
deadline-aware-m1.0-rounded,0.3,0.25,OK,action,state,55,8,0.14545454545454545,15.960504422815285,0.0,24.85756165358452
mirror-descent-rounded,0.3,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.3,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.3,0.25,OK,class,class2,44,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.3,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.3,0.25,OK,class,class4,17,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.3,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
