timestamp, uuid, power.draw [W], power.limit [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/10 17:38:24.938, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.75 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:25.438, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.86 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:25.939, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.89 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:26.439, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.29 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:26.940, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.20 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:27.440, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.01 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:27.940, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.40 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:28.441, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.31 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:28.941, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.51 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:29.441, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.02 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:29.942, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.71 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:30.442, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.01 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:30.943, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.71 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:31.443, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.60 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:31.943, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.52 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:32.444, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 45.78 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:32.944, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.51 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:33.445, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.41 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:33.947, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.33 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:34.449, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.21 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:34.952, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.00 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:35.452, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.03 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:35.954, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.12 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:36.455, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 45.91 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:36.955, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.48 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:37.456, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.82 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:37.956, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.43 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:38.457, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.30 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:38.957, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.10 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:39.457, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.40 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:39.958, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.62 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:40.458, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.03 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:40.958, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.50 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:41.459, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.51 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:41.959, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.01 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:42.460, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.42 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:42.960, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.21 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:43.460, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.42 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:43.961, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.02 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:44.461, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.72 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:44.962, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.02 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:45.462, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.99 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:45.962, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.92 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:46.463, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.73 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:46.963, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.71 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:47.464, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.81 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:47.964, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.42 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:48.465, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.32 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:48.965, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.60 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:49.465, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.91 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:49.966, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 45.92 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:50.466, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.04 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:50.967, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.03 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:51.467, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.49 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:51.968, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.49 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:52.468, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.10 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:52.969, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.58 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:53.469, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.69 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:53.970, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.50 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:54.470, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.00 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:54.971, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.00 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:55.471, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.08 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:55.971, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.67 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:56.472, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.65 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:56.974, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.70 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:57.474, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.70 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:57.974, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.21 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:58.475, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.69 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:58.975, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.39 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:59.476, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.37 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:59.976, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.80 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:39:00.476, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.88 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:39:00.977, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.02 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:39:01.477, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.57 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:39:01.978, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.50 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:39:02.478, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.20 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:39:02.979, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 83.92 W, 300.00 W, 0 %, 24 MiB, 1395 MHz, 1512 MHz
2026/09/10 17:39:03.480, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 93.86 W, 300.00 W, 1 %, 546 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:03.980, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 94.50 W, 300.00 W, 1 %, 1832 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:04.481, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.18 W, 300.00 W, 0 %, 1832 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:04.981, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 94.32 W, 300.00 W, 0 %, 1832 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:05.481, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 94.74 W, 300.00 W, 0 %, 1832 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:05.982, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.13 W, 300.00 W, 0 %, 2300 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:06.482, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 99.52 W, 300.00 W, 35 %, 15166 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:06.983, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 103.30 W, 300.00 W, 24 %, 15166 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:07.483, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.51 W, 300.00 W, 33 %, 15166 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:07.983, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 94.93 W, 300.00 W, 27 %, 15862 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:08.484, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 123.82 W, 300.00 W, 26 %, 23354 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:08.984, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 97.96 W, 300.00 W, 2 %, 14786 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:09.485, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.41 W, 300.00 W, 33 %, 14958 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:09.985, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 309.40 W, 300.00 W, 100 %, 15650 MiB, 1335 MHz, 1512 MHz
2026/09/10 17:39:10.485, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 96.27 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:10.986, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.29 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:11.486, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.35 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:11.987, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.32 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:12.487, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.85 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:12.987, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.45 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:13.488, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.75 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:13.988, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.84 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:14.488, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 96.20 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:14.989, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 96.16 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:15.489, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.31 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:15.989, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.13 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:16.490, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.10 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:16.991, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.31 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:17.491, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.31 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:17.991, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 94.45 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:18.492, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.45 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:18.992, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.92 W, 300.00 W, 0 %, 16032 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:19.493, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.53 W, 300.00 W, 10 %, 16436 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:19.993, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 96.21 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:20.493, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.93 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:20.994, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 96.07 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:21.494, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.18 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:21.995, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.35 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:22.495, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.00 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:22.995, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.33 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:23.496, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.92 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:23.996, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.77 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:24.496, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.73 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:24.997, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 96.14 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:25.497, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 96.32 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
2026/09/10 17:39:25.997, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 95.58 W, 300.00 W, 0 %, 60690 MiB, 1410 MHz, 1512 MHz
