model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,p05_qh_minus_baseline_w,median_qh_minus_baseline_w,p95_qh_minus_baseline_w,qh_win_fraction
gpt-oss-20b,coding,8,40,300,kv_only,0.8,20,-424295.26283853373,-412715.2647125006,-408666.13759531366,0.0
gpt-oss-20b,coding,8,40,300,kv_only,1.0,20,2768773.41371888,2796206.8477117345,2874663.0445743804,1.0
gpt-oss-20b,coding,8,40,300,kv_only,1.2,20,2768773.41371888,2796206.8477117345,2874663.0445743804,1.0
gpt-oss-20b,coding,8,40,300,replay_only,0.8,20,2785.6083101114373,2813.2085468540845,2892.1417787601154,1.0
gpt-oss-20b,coding,8,40,300,replay_only,1.0,20,130171.98354343046,131461.7476319489,135150.31193131767,1.0
gpt-oss-20b,coding,8,40,300,replay_only,1.2,20,-9.313225746154785e-10,0.0,0.0,0.0
gpt-oss-20b,coding,8,40,300,isolated_fastest,0.8,20,-140958.4116730999,-137111.33091121953,-135766.13906702408,0.0
gpt-oss-20b,coding,8,40,300,isolated_fastest,1.0,20,2606288.6950883092,2632112.205430022,2705964.2216078606,1.0
gpt-oss-20b,coding,8,40,300,isolated_fastest,1.2,20,1059198.5583939073,1069693.261063707,1099706.800706291,1.0
gpt-oss-20b,coding,8,400,1,greedy,0.8,20,3149.613681632719,3180.820539734555,3270.068258534179,1.0
gpt-oss-20b,coding,8,400,1,greedy,1.0,20,1550268.7767571437,1565629.0788850186,1609557.6256330553,1.0
gpt-oss-20b,coding,8,400,1,greedy,1.2,20,1762.0774746285751,1779.5364100001752,1829.4667858667672,1.0
gpt-oss-20b,coding,8,400,1,kv_only,0.8,20,-10904.804351295914,-10607.187043226133,-10503.120505431072,0.0
gpt-oss-20b,coding,8,400,1,kv_only,1.0,20,1844470.690043432,1862745.9901009751,1915011.0670655288,1.0
gpt-oss-20b,coding,8,400,1,kv_only,1.2,20,2512025.8096919265,2536915.3488275856,2608096.3239383376,1.0
gpt-oss-20b,coding,8,400,1,replay_only,0.8,20,3153.116389872978,3184.357953348258,3273.7049251838616,1.0
gpt-oss-20b,coding,8,400,1,replay_only,1.0,20,1550272.2794653839,1565632.6162986322,1609561.2622997053,1.0
gpt-oss-20b,coding,8,400,1,replay_only,1.2,20,1765.5801828685217,1783.073823614046,1833.1034525167197,1.0
gpt-oss-20b,coding,8,400,1,isolated_fastest,0.8,20,3171.3520104197137,3202.774255235731,3292.637953152435,1.0
gpt-oss-20b,coding,8,400,1,isolated_fastest,1.0,20,1429462.7218371816,1443626.0589417855,1484131.4351334893,1.0
gpt-oss-20b,coding,8,400,1,isolated_fastest,1.2,20,520805.2486107254,525965.4673343308,540723.0487635818,1.0
gpt-oss-20b,coding,8,400,30,greedy,0.8,20,2789.9214090081027,2817.564380599799,2896.619828839766,1.0
gpt-oss-20b,coding,8,400,30,greedy,1.0,20,108367.03799068369,109440.7553158314,112511.4528398295,1.0
gpt-oss-20b,coding,8,400,30,greedy,1.2,20,-4.656612873077393e-10,0.0,0.0,0.0
gpt-oss-20b,coding,8,400,30,kv_only,0.8,20,-424295.26283853373,-412715.2647125006,-408666.13759531366,0.0
gpt-oss-20b,coding,8,400,30,kv_only,1.0,20,2768773.41371888,2796206.8477117345,2874663.04457438,1.0
gpt-oss-20b,coding,8,400,30,kv_only,1.2,20,2768773.41371888,2796206.8477117345,2874663.04457438,1.0
gpt-oss-20b,coding,8,400,30,replay_only,0.8,20,2789.9214090081027,2817.564380599799,2896.619828839766,1.0
gpt-oss-20b,coding,8,400,30,replay_only,1.0,20,108367.03799068369,109440.7553158314,112511.4528398295,1.0
gpt-oss-20b,coding,8,400,30,replay_only,1.2,20,-4.656612873077393e-10,0.0,0.0,0.0
gpt-oss-20b,coding,8,400,30,isolated_fastest,0.8,20,-174480.3563971287,-169718.38430582764,-168053.28642616328,0.0
gpt-oss-20b,coding,8,400,30,isolated_fastest,1.0,20,2606288.6950883092,2632112.205430022,2705964.22160786,1.0
gpt-oss-20b,coding,8,400,30,isolated_fastest,1.2,20,1059198.5583939077,1069693.261063707,1099706.8007062902,1.0
gpt-oss-20b,coding,8,400,300,greedy,0.8,20,342107.2527831991,345496.9042047283,355190.8841597174,1.0
gpt-oss-20b,coding,8,400,300,greedy,1.0,20,130171.98354343046,131461.7476319489,135150.31193131674,1.0
gpt-oss-20b,coding,8,400,300,greedy,1.2,20,-9.313225746154785e-10,-2.3283064365386963e-10,0.0,0.0
gpt-oss-20b,coding,8,400,300,kv_only,0.8,20,-1184847.6214766365,-1152510.392103525,-1141203.1750449145,0.0
gpt-oss-20b,coding,8,400,300,kv_only,1.0,20,901821.2178738965,910756.6015825509,936310.6836370267,1.0
gpt-oss-20b,coding,8,400,300,kv_only,1.2,20,901821.2178738965,910756.6015825509,936310.6836370267,1.0
gpt-oss-20b,coding,8,400,300,replay_only,0.8,20,342107.2527831991,345496.9042047283,355190.8841597174,1.0
gpt-oss-20b,coding,8,400,300,replay_only,1.0,20,130171.98354343046,131461.7476319489,135150.31193131674,1.0
gpt-oss-20b,coding,8,400,300,replay_only,1.2,20,-9.313225746154785e-10,-2.3283064365386963e-10,0.0,0.0
gpt-oss-20b,coding,8,400,300,isolated_fastest,0.8,20,-662862.8483449558,-644771.7895612696,-638445.9684426143,0.0
gpt-oss-20b,coding,8,400,300,isolated_fastest,1.0,20,1764291.5343385283,1781772.4069558433,1831765.520605126,1.0
gpt-oss-20b,coding,8,400,300,isolated_fastest,1.2,20,217201.39764412632,219353.4625895284,225508.0997035564,1.0
qwen3.8-27b,coding,8,40,1,greedy,0.8,20,-30.760558443402985,-30.760558443402985,-30.652037954329895,0.0
qwen3.8-27b,coding,8,40,1,greedy,1.0,20,172748.6469295579,173360.24631748255,173360.24631748255,1.0
qwen3.8-27b,coding,8,40,1,greedy,1.2,20,51894.290680861566,52078.01725111948,52078.01725111948,1.0
qwen3.8-27b,coding,8,40,1,kv_only,0.8,20,-1542.2388363093226,-1542.2388363093226,-1536.7979561285633,0.0
qwen3.8-27b,coding,8,40,1,kv_only,1.0,20,1198317.9537508343,1202560.4791776873,1202560.4791776873,1.0
qwen3.8-27b,coding,8,40,1,kv_only,1.2,20,2291449.442553055,2299562.0911985585,2299562.0911985585,1.0
qwen3.8-27b,coding,8,40,1,replay_only,0.8,20,12.905915675561214,12.951607785271333,12.951607785271333,1.0
qwen3.8-27b,coding,8,40,1,replay_only,1.0,20,172792.20488318778,173403.95848371123,173403.95848371123,1.0
qwen3.8-27b,coding,8,40,1,replay_only,1.2,20,51937.84863449121,52121.72941734828,52121.72941734828,1.0
qwen3.8-27b,coding,8,40,1,isolated_fastest,0.8,20,-1542.2388363093226,-1542.2388363093226,-1536.7979561285633,0.0
qwen3.8-27b,coding,8,40,1,isolated_fastest,1.0,20,1198317.9537508343,1202560.4791776873,1202560.4791776873,1.0
qwen3.8-27b,coding,8,40,1,isolated_fastest,1.2,20,2291449.442553055,2299562.0911985585,2299562.0911985585,1.0
qwen3.8-27b,coding,8,40,30,greedy,0.8,20,0.0,0.0,0.0,0.0
qwen3.8-27b,coding,8,40,30,greedy,1.0,20,3429515.803942013,3441657.66324945,3441657.66324945,1.0
qwen3.8-27b,coding,8,40,30,greedy,1.2,20,543.0131282489747,544.9356121774763,544.9356121774763,1.0
qwen3.8-27b,coding,8,40,30,kv_only,0.8,20,-48133.40794098244,-48133.40794098244,-47963.59759829569,0.0
qwen3.8-27b,coding,8,40,30,kv_only,1.0,20,6998271.486621308,7023048.1701660035,7023048.1701660035,1.0
qwen3.8-27b,coding,8,40,30,kv_only,1.2,20,8858819.057600617,8890182.8246093,8890182.8246093,1.0
qwen3.8-27b,coding,8,40,30,replay_only,0.8,20,1.8762135162513538,1.8828560634350844,1.8828560634350844,1.0
qwen3.8-27b,coding,8,40,30,replay_only,1.0,20,3429517.680155529,3441659.5461055133,3441659.5461055133,1.0
qwen3.8-27b,coding,8,40,30,replay_only,1.2,20,544.8893417660147,546.818468241021,546.818468241021,1.0
qwen3.8-27b,coding,8,40,30,isolated_fastest,0.8,20,-48133.40794098244,-48133.40794098244,-47963.59759829569,0.0
qwen3.8-27b,coding,8,40,30,isolated_fastest,1.0,20,6998271.486621308,7023048.1701660035,7023048.1701660035,1.0
qwen3.8-27b,coding,8,40,30,isolated_fastest,1.2,20,8858819.057600617,8890182.8246093,8890182.8246093,1.0
qwen3.8-27b,coding,8,40,300,greedy,0.8,20,0.0,0.0,0.0,0.0
qwen3.8-27b,coding,8,40,300,greedy,1.0,20,267649.4388075005,268597.02500202134,268597.02500202134,1.0
qwen3.8-27b,coding,8,40,300,greedy,1.2,20,0.0,0.0,1.862645149230957e-09,0.35
qwen3.8-27b,coding,8,40,300,kv_only,0.8,20,-481640.79846565635,-481640.79846565635,-479941.61296149145,0.0
qwen3.8-27b,coding,8,40,300,kv_only,1.0,20,8870096.9189945,8901500.614148771,8901500.614148771,1.0
qwen3.8-27b,coding,8,40,300,kv_only,1.2,20,8870096.9189945,8901500.614148771,8901500.614148771,1.0
qwen3.8-27b,coding,8,40,300,replay_only,0.8,20,0.0,0.0,0.0,0.0
qwen3.8-27b,coding,8,40,300,replay_only,1.0,20,267649.4388075005,268597.02500202134,268597.02500202134,1.0
qwen3.8-27b,coding,8,40,300,replay_only,1.2,20,0.0,0.0,1.862645149230957e-09,0.35
qwen3.8-27b,coding,8,40,300,isolated_fastest,0.8,20,-481640.79846565635,-481640.79846565635,-479941.61296149145,0.0
qwen3.8-27b,coding,8,40,300,isolated_fastest,1.0,20,8870096.9189945,8901500.614148771,8901500.614148771,1.0
qwen3.8-27b,coding,8,40,300,isolated_fastest,1.2,20,8870096.9189945,8901500.614148771,8901500.614148771,1.0
qwen3.8-27b,coding,8,400,1,greedy,0.8,20,11163.23367135694,11202.755988909134,11202.755988909134,1.0
qwen3.8-27b,coding,8,400,1,greedy,1.0,20,10282.957169272937,10319.362955498043,10319.362955498043,1.0
qwen3.8-27b,coding,8,400,1,greedy,1.2,20,10282.957169272937,10319.362955497578,10319.362955497578,1.0
qwen3.8-27b,coding,8,400,1,kv_only,0.8,20,-4760.825147878457,-4760.825147878457,-4744.02938409576,0.0
qwen3.8-27b,coding,8,400,1,kv_only,1.0,20,1584548.139276103,1590158.0742269307,1590158.0742269307,1.0
qwen3.8-27b,coding,8,400,1,kv_only,1.2,20,2333833.977724063,2342096.684597106,2342096.684597106,1.0
qwen3.8-27b,coding,8,400,1,replay_only,0.8,20,11206.791624986832,11246.468155137807,11246.468155137807,1.0
qwen3.8-27b,coding,8,400,1,replay_only,1.0,20,10326.51512290258,10363.075121726608,10363.075121726608,1.0
qwen3.8-27b,coding,8,400,1,replay_only,1.2,20,10326.51512290258,10363.075121726375,10363.075121726375,1.0
qwen3.8-27b,coding,8,400,1,isolated_fastest,0.8,20,-4760.825147878457,-4760.825147878457,-4744.02938409576,0.0
qwen3.8-27b,coding,8,400,1,isolated_fastest,1.0,20,1584548.139276103,1590158.0742269307,1590158.0742269307,1.0
qwen3.8-27b,coding,8,400,1,isolated_fastest,1.2,20,2333833.977724063,2342096.684597106,2342096.684597106,1.0
qwen3.8-27b,coding,8,400,30,greedy,0.8,20,0.5797175948872011,0.5817700273230206,0.5817700273230206,1.0
qwen3.8-27b,coding,8,400,30,greedy,1.0,20,3462356.4113910673,3474614.5396000072,3474614.5396000072,1.0
qwen3.8-27b,coding,8,400,30,greedy,1.2,20,6335.567187834531,6357.997632782906,6357.997632782906,1.0
qwen3.8-27b,coding,8,400,30,kv_only,0.8,20,-481638.3338395656,-481638.3338395656,-479939.15703038033,0.0
qwen3.8-27b,coding,8,400,30,kv_only,1.0,20,6638509.867705096,6662012.85105104,6662012.85105104,1.0
qwen3.8-27b,coding,8,400,30,kv_only,1.2,20,8432635.472510524,8462490.378961295,8462490.378961295,1.0
qwen3.8-27b,coding,8,400,30,replay_only,0.8,20,2.455931111138555,2.464626090758105,2.464626090758105,1.0
qwen3.8-27b,coding,8,400,30,replay_only,1.0,20,3462358.2876045834,3474616.422456071,3474616.422456071,1.0
qwen3.8-27b,coding,8,400,30,replay_only,1.2,20,6337.443401351571,6359.880488846451,6359.880488846451,1.0
qwen3.8-27b,coding,8,400,30,isolated_fastest,0.8,20,-481638.3338395656,-481638.3338395656,-479939.15703038033,0.0
qwen3.8-27b,coding,8,400,30,isolated_fastest,1.0,20,6638509.867705096,6662012.85105104,6662012.85105104,1.0
qwen3.8-27b,coding,8,400,30,isolated_fastest,1.2,20,8432635.472510524,8462490.378961295,8462490.378961295,1.0
qwen3.8-27b,coding,8,400,300,greedy,0.8,20,0.0,0.0,0.0,0.0
qwen3.8-27b,coding,8,400,300,greedy,1.0,20,267649.43880749866,268597.02500202134,268597.02500202134,1.0
qwen3.8-27b,coding,8,400,300,greedy,1.2,20,0.0,0.0,0.0,0.0
qwen3.8-27b,coding,8,400,300,kv_only,0.8,20,-3518503.936384074,-3518503.936384074,-3506090.970322858,0.0
qwen3.8-27b,coding,8,400,300,kv_only,1.0,20,5633643.267401049,5653588.620579607,5653588.620579607,1.0
qwen3.8-27b,coding,8,400,300,kv_only,1.2,20,5633643.267401049,5653588.620579607,5653588.620579607,1.0
qwen3.8-27b,coding,8,400,300,replay_only,0.8,20,0.0,0.0,0.0,0.0
qwen3.8-27b,coding,8,400,300,replay_only,1.0,20,267649.43880749866,268597.02500202134,268597.02500202134,1.0
qwen3.8-27b,coding,8,400,300,replay_only,1.2,20,0.0,0.0,0.0,0.0
qwen3.8-27b,coding,8,400,300,isolated_fastest,0.8,20,-3518503.936384074,-3518503.936384074,-3506090.970322858,0.0
qwen3.8-27b,coding,8,400,300,isolated_fastest,1.0,20,5633643.267401049,5653588.620579607,5653588.620579607,1.0
qwen3.8-27b,coding,8,400,300,isolated_fastest,1.2,20,5633643.267401049,5653588.620579607,5653588.620579607,1.0
gemma-4-26b,coding,8,40,1,greedy,0.8,20,1066.396551609924,1068.399813825454,1133.3470682663547,1.0
gemma-4-26b,coding,8,40,1,greedy,1.0,20,-1254594.4462865745,-1182699.0251886435,-1180481.4506076258,0.0
gemma-4-26b,coding,8,40,1,greedy,1.2,20,668.4542656186968,669.7099797036499,710.4211665578187,1.0
gemma-4-26b,coding,8,40,1,kv_only,0.8,20,-3853.6181688043407,-3632.7838571135176,-3625.972344659125,0.0
gemma-4-26b,coding,8,40,1,kv_only,1.0,20,2095773.6260419816,2099710.608125256,2227350.5022486825,1.0
gemma-4-26b,coding,8,40,1,kv_only,1.2,20,9275800.695861971,9293225.603158183,9858154.08780842,1.0
gemma-4-26b,coding,8,40,1,replay_only,0.8,20,1070.0318360845126,1072.0419273056498,1137.2105831993026,1.0
gemma-4-26b,coding,8,40,1,replay_only,1.0,20,-1254581.6486270865,-1182686.960908074,-1180469.4089477235,0.0
gemma-4-26b,coding,8,40,1,replay_only,1.2,20,672.0895500928164,673.3520931843668,714.2846814915538,1.0
gemma-4-26b,coding,8,40,1,isolated_fastest,0.8,20,-79803.3043950581,-75230.11965677771,-75089.06229769919,0.0
gemma-4-26b,coding,8,40,1,isolated_fastest,1.0,20,-359897.90242142184,-339273.6988603133,-338637.5566850207,0.0
gemma-4-26b,coding,8,40,1,isolated_fastest,1.2,20,5325842.393497074,5335847.169690931,5660209.472363791,1.0
gemma-4-26b,coding,8,40,30,greedy,0.8,20,0.0,0.0,0.0,0.0
gemma-4-26b,coding,8,40,30,greedy,1.0,20,239339.9978556875,239789.60618726537,254366.24347585067,1.0
gemma-4-26b,coding,8,40,30,greedy,1.2,20,0.0,9.313225746154785e-10,1.862645149230957e-09,0.5
gemma-4-26b,coding,8,40,30,kv_only,0.8,20,-152322.51530969646,-143593.56595614163,-143324.32633128326,0.0
gemma-4-26b,coding,8,40,30,kv_only,1.0,20,13922680.821787624,13948835.051550522,14796774.6781997,1.0
gemma-4-26b,coding,8,40,30,kv_only,1.2,20,13922680.821787624,13948835.051550522,14796774.6781997,1.0
gemma-4-26b,coding,8,40,30,replay_only,0.8,20,0.0,0.0,0.0,0.0
gemma-4-26b,coding,8,40,30,replay_only,1.0,20,239339.9978556875,239789.60618726537,254366.24347585067,1.0
gemma-4-26b,coding,8,40,30,replay_only,1.2,20,0.0,9.313225746154785e-10,1.862645149230957e-09,0.5
gemma-4-26b,coding,8,40,30,isolated_fastest,0.8,20,-4350192.1415216345,-4100901.3075016607,-4093212.0693226308,0.0
gemma-4-26b,coding,8,40,30,isolated_fastest,1.0,20,9972793.078796277,9991527.310005004,10598905.051987762,1.0
gemma-4-26b,coding,8,40,30,isolated_fastest,1.2,20,9972793.078796277,9991527.310005004,10598905.051987762,1.0
gemma-4-26b,coding,8,40,300,greedy,0.8,20,0.0,0.0,0.0,0.0
gemma-4-26b,coding,8,40,300,greedy,1.0,20,387477.35670745745,388205.2461092882,411803.96315143816,1.0
gemma-4-26b,coding,8,40,300,greedy,1.2,20,-1.862645149230957e-09,0.0,1.955777406692506e-09,0.4
gemma-4-26b,coding,8,40,300,kv_only,0.8,20,-1524971.1218532755,-1437581.5743446443,-1434886.0919864858,0.0
gemma-4-26b,coding,8,40,300,kv_only,1.0,20,12631119.05613242,12654847.04316202,13424126.071656123,1.0
gemma-4-26b,coding,8,40,300,kv_only,1.2,20,12631119.05613242,12654847.04316202,13424126.071656123,1.0
gemma-4-26b,coding,8,40,300,replay_only,0.8,20,0.0,0.0,0.0,0.0
gemma-4-26b,coding,8,40,300,replay_only,1.0,20,387477.35670745745,388205.2461092882,411803.96315143816,1.0
gemma-4-26b,coding,8,40,300,replay_only,1.2,20,-1.862645149230957e-09,0.0,1.955777406692506e-09,0.4
gemma-4-26b,coding,8,40,300,isolated_fastest,0.8,20,-1405526.3414415738,-1324981.6614605067,-1322497.3052632045,0.0
gemma-4-26b,coding,8,40,300,isolated_fastest,1.0,20,8681160.753767526,8697468.609694768,9226181.456211492,1.0
gemma-4-26b,coding,8,40,300,isolated_fastest,1.2,20,8681160.753767526,8697468.609694768,9226181.456211492,1.0
gemma-4-26b,coding,8,400,1,greedy,0.8,20,16212.410935641075,16265.288152296447,17254.043292939285,1.0
gemma-4-26b,coding,8,400,1,greedy,1.0,20,2553861.2742303433,2558681.2112020645,2714221.5974008217,1.0
gemma-4-26b,coding,8,400,1,greedy,1.2,20,14173.618688743562,14222.665964774787,15087.251575224102,1.0
gemma-4-26b,coding,8,400,1,kv_only,0.8,20,-33369.08086679715,-31456.842112935097,-31397.860164034246,0.0
gemma-4-26b,coding,8,400,1,kv_only,1.0,20,6142087.144374643,6153625.264112785,6527699.707584731,1.0
gemma-4-26b,coding,8,400,1,kv_only,1.2,20,9246387.95808169,9263757.612548962,9826894.759294422,1.0
gemma-4-26b,coding,8,400,1,replay_only,0.8,20,16241.565850013196,16272.076184221658,17261.24396443153,1.0
gemma-4-26b,coding,8,400,1,replay_only,1.0,20,2553889.5885071727,2558687.1570172803,2714227.904657859,1.0
gemma-4-26b,coding,8,400,1,replay_only,1.2,20,14201.932965572923,14228.611779991537,15093.558832261711,1.0
gemma-4-26b,coding,8,400,1,isolated_fastest,0.8,20,-218604.34517808986,-206077.06873673838,-205690.6718093472,0.0
gemma-4-26b,coding,8,400,1,isolated_fastest,1.0,20,2526130.413870674,2530875.835826482,2684725.95330189,1.0
gemma-4-26b,coding,8,400,1,isolated_fastest,1.2,20,5296429.655716794,5306379.17908171,5628950.143849792,1.0
gemma-4-26b,coding,8,400,30,greedy,0.8,20,0.0,0.0,0.0,0.0
gemma-4-26b,coding,8,400,30,greedy,1.0,20,239339.9978556875,239789.60618726723,254366.24347585067,1.0
gemma-4-26b,coding,8,400,30,greedy,1.2,20,0.0,1.862645149230957e-09,1.862645149230957e-09,0.65
gemma-4-26b,coding,8,400,30,kv_only,0.8,20,-1524971.1218532755,-1437581.5743446443,-1434886.0919864858,0.0
gemma-4-26b,coding,8,400,30,kv_only,1.0,20,12631119.05613242,12654847.043162022,13424126.071656121,1.0
gemma-4-26b,coding,8,400,30,kv_only,1.2,20,12631119.05613242,12654847.043162022,13424126.071656121,1.0
gemma-4-26b,coding,8,400,30,replay_only,0.8,20,0.0,0.0,0.0,0.0
gemma-4-26b,coding,8,400,30,replay_only,1.0,20,239339.9978556875,239789.60618726723,254366.24347585067,1.0
gemma-4-26b,coding,8,400,30,replay_only,1.2,20,0.0,1.862645149230957e-09,1.862645149230957e-09,0.65
gemma-4-26b,coding,8,400,30,isolated_fastest,0.8,20,-1405526.3414415738,-1324981.6614605067,-1322497.3052632045,0.0
gemma-4-26b,coding,8,400,30,isolated_fastest,1.0,20,8681160.753767526,8697468.60969477,9226181.45621149,1.0
gemma-4-26b,coding,8,400,30,isolated_fastest,1.2,20,8681160.753767526,8697468.60969477,9226181.45621149,1.0
gemma-4-26b,coding,8,400,300,greedy,0.8,20,1208122.6289971352,1210392.1284724877,1283970.993354253,1.0
gemma-4-26b,coding,8,400,300,greedy,1.0,20,387477.3567074593,388205.24610929005,411803.96315144,1.0
gemma-4-26b,coding,8,400,300,greedy,1.2,20,0.0,1.862645149230957e-09,3.725290298461914e-09,0.9
gemma-4-26b,coding,8,400,300,kv_only,0.8,20,-4321788.594204318,-4074125.445530073,-4066486.41240713,0.0
gemma-4-26b,coding,8,400,300,kv_only,1.0,20,5437373.693348765,5447587.984885208,5778742.931156414,1.0
gemma-4-26b,coding,8,400,300,kv_only,1.2,20,5437373.693348765,5447587.984885208,5778742.931156414,1.0
gemma-4-26b,coding,8,400,300,replay_only,0.8,20,1208122.6289971352,1210392.1284724877,1283970.993354253,1.0
gemma-4-26b,coding,8,400,300,replay_only,1.0,20,387477.3567074593,388205.24610929005,411803.96315144,1.0
gemma-4-26b,coding,8,400,300,replay_only,1.2,20,0.0,1.862645149230957e-09,3.725290298461914e-09,0.9
gemma-4-26b,coding,8,400,300,isolated_fastest,0.8,20,-4090738.1675751037,-3856315.526832749,-3849084.8898688545,0.0
gemma-4-26b,coding,8,400,300,isolated_fastest,1.0,20,1574115.9606351294,1577072.9910400398,1672942.1212060302,1.0
gemma-4-26b,coding,8,400,300,isolated_fastest,1.2,20,1574115.9606351294,1577072.9910400398,1672942.1212060302,1.0
