model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,snapshots,status,p05_shed_mw,median_shed_mw,p95_shed_mw,workload_p05_mw,workload_p95_mw,median_calibration_width_mw,full_plan_success,p05_completed_sessions,median_completed_sessions,p95_completed_sessions,mean_network_utilization,mean_migration_compute_utilization,mean_serving_utilization,mean_prefill_contention_session_s,mean_prefill_peak_ready_sessions,mean_prefill_ready_at_deadline,mean_prefill_network_blocked_at_deadline,mean_prefill_remaining_gpu_s,mean_planned_shed_mw,mean_kv_utilization,action_counts_mean,action_shed_mw_mean,mean_not_completed,network_budget_gbps_median
gpt-oss-20b,coding,8,40,300,kv_only,1.0,20,1,complete,0.41145605900432175,0.41553282909310046,0.4271918826673735,0.41553282909310046,0.41553282909310046,0.015735823663051766,1.0,4395.0,4395.0,4395.0,"[0.0, 0.9999887892480002, 0.9999887892480002]","[0.0, 0.0]","[0.5, 0.6035034893005997]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.41561256542390496,"[0.027399083221995246, 0.027907700825899218]","[0.0, 0.0, 0.0, 4395.0]","[0.0, 0.0, 0.0, 0.4178234614049097]",395605.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,kv_only,1.2,20,1,complete,0.41145605900432175,0.41553282909310046,0.4271918826673735,0.41553282909310046,0.41553282909310046,0.015735823663051766,1.0,4395.0,4395.0,4395.0,"[0.0, 0.9999887892480002, 0.9999887892480002]","[0.0, 0.0]","[0.41666666666666685, 0.5029195744171665]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.41561256542390496,"[0.027399083221995246, 0.027907700825899218]","[0.0, 0.0, 0.0, 4395.0]","[0.0, 0.0, 0.0, 0.4178234614049097]",395605.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,replay_only,0.8,20,1,complete,4.313098896665285e-06,4.355833745714342e-06,4.478050079650575e-06,4.355833745714342e-06,4.355833745714342e-06,1.6495118298529033e-07,0.0,2.0,2.0,2.0,"[0.006382276997333333, 0.0003282155520000001, 0.006710492549333332]","[9.70588813864247e-07, 1.17253335781125e-05]","[0.9999990284404202, 0.9999882495718314]","[108833589.96538302, 7793734.886375171]","[364229.0, 26075.0]","[364229.0, 26075.0]","[0.0, 0.0]","[142971.27867432073, 6441.3764962232635]",3.2123559754926836,"[0.0676591600883639, 0.02946950156293826]","[0.0, 0.0, 2.0, 0.0]","[0.0, 0.0, 4.379845358814992e-06, 0.0]",399998.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,replay_only,1.0,20,1,complete,3.0500574891797716,3.080277929172886,3.166704615310436,3.080277929172886,3.080277929172886,0.11664712613066472,0.0,397427.0,397427.0,397427.0,"[0.006384360064000003, 0.0005651960106666663, 0.006949556074666667]","[0.007628640942595108, 0.0006335867767239203]","[0.8006355481676938, 0.9993644518323066]","[1581852.2760341438, 7747363.183506845]","[247384.0, 35719.0]","[0.0, 2573.0]","[0.0, 0.0]","[1.2958904782589542e-13, 29.170933386994943]",3.2123559754926836,"[0.06767230029273819, 0.03096439930644479]","[364279.0, 0.0, 33148.0, 0.0]","[1.213607253297309, 0.0, 1.8836507642342157, 0.0]",2573.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,replay_only,1.2,20,1,complete,3.180229472723203,3.211739676804835,3.3018549272417537,3.211739676804835,3.211739676804835,0.121625454518551,1.0,400000.0,400000.0,400000.0,"[0.006384360064000003, 0.0005651960106666665, 0.006949556074666667]","[0.006357200785495927, 0.0005296095880136557]","[0.667196290139744, 0.8328037098602559]","[498084.0842156496, 6065.030018379878]","[181040.0, 16631.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",3.2123559754926836,"[0.06767230029273819, 0.03096439930644479]","[364279.0, 0.0, 35721.0, 0.0]","[1.213607253297309, 0.0, 2.015837197151681, 0.0]",0.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,isolated_fastest,0.8,20,1,complete,0.13855606047603217,0.13992889529181932,0.14385503150193968,0.13992889529181932,0.13992889529181932,0.005298971025907493,0.0,80385.0,80385.0,80385.0,"[0.9987916314453333, 0.0010530672000000003, 0.9998446986453333]","[0.001355092476031779, 9.601202261229051e-07]","[0.6685679442833999, 0.9999990389747188]","[40295.87725051985, 28880213.99511941]","[78443.0, 96416.0]","[0.0, 96416.0]","[0.0, 0.0]","[0.0, 21185.368857952828]",2.142457451668126,"[0.034276238602830356, 0.034041942257284075]","[78443.0, 1942.0, 0.0, 0.0]","[0.04097825795454077, 0.09972199792895729, 0.0, 0.0]",319615.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,isolated_fastest,1.0,20,1,complete,0.5739407776348924,0.5796274713748131,0.5958907056338931,0.5796274713748131,0.5796274713748131,0.021949927999000765,0.0,168718.0,168718.0,168718.0,"[0.9987916314453333, 0.0012078337493333334, 0.9999994651946661]","[0.0010840739808254236, 0.001298891655570614]","[0.5348543554267203, 0.9986998254954699]","[11112.458453794221, 23568636.764644854]","[45337.0, 104848.0]","[0.0, 16515.0]","[0.0, 0.0]","[0.0, 19.01853747297645]",2.142457451668126,"[0.034276238602830356, 0.035018225984095985]","[78443.0, 1942.0, 88333.0, 0.0]","[0.04097825795454077, 0.09972199792895729, 0.44212242251657247, 0.0]",231282.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,isolated_fastest,1.2,20,1,complete,2.1210309143292947,2.142046415741128,2.2021481265354628,2.142046415741128,2.142046415741128,0.0811172122061681,1.0,185233.0,185233.0,185233.0,"[0.9987916314453333, 0.0012078337493333334, 0.9999994651946661]","[0.000903394984021186, 0.0010834662983906771]","[0.4457119628556006, 0.832249854579558]","[5585.513863396264, 92617.18918516116]","[45337.0, 88098.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",2.142457451668126,"[0.034276238602830356, 0.035018225984095985]","[78443.0, 1942.0, 104848.0, 0.0]","[0.04097825795454077, 0.09972199792895729, 2.01315422985778, 0.0]",214767.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,400,1,queue_haul,0.8,20,1,complete,0.003182142770981722,0.003213671932317575,0.003303841398135241,0.003213671932317575,0.003213671932317575,0.00012169862715351929,0.0,80.0,80.0,80.0,"[0.01142535536, 0.98217798392, 0.9936033392799999]","[1.0252661411109458e-05, 0.07255016738511587]","[0.9999896997015117, 0.9265849285889655]","[12498.769520518568, 25268.687726539807]","[12738.0, 29452.0]","[12738.0, 29441.0]","[0.0, 0.0]","[4798.416743554814, 12543.244538723602]",2.5512256669548994,"[0.028873259444390453, 0.03175916657309641]","[0.0, 3.0, 11.0, 66.0]","[0.0, 7.608475479896715e-07, 4.448136219376815e-05, 0.003186145147813787]",399920.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,queue_haul,1.0,20,1,complete,1.8581559533198448,1.8765668490765188,1.92921971281496,1.8765668490765188,1.8765668490765188,0.07106375949511513,0.0,33234.0,33234.0,33234.0,"[0.01399071616, 0.98217798392, 0.9961687000799998]","[0.10203773728044933, 0.25369332077156675]","[0.8940852213281634, 0.741267942871172]","[11162.808688456438, 5083.629077991053]","[16908.0, 29452.0]","[385.0, 12810.0]","[0.0, 0.0]","[193.85157908427888, 251.93628780517946]",2.5512256669548994,"[0.029412678333297637, 0.03175916657309641]","[16523.0, 3.0, 16642.0, 66.0]","[1.5710654937101372, 7.608475479896715e-07, 0.3126590584098437, 0.003186145147813787]",366766.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,queue_haul,1.2,20,1,complete,2.525711072968339,2.550736207803129,2.622304969687769,2.550736207803129,2.550736207803129,0.09659389671942964,1.0,46429.0,46429.0,46429.0,"[0.013990716159999996, 0.9821779839200001, 0.9961687000800004]","[0.08826230738511248, 0.21561003877305848]","[0.7450710177734694, 0.6177232857259766]","[1379.8981746399518, 1674.274082100092]","[16908.0, 29452.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 2.885018612897028e-14]",2.5512256669548994,"[0.029412678333297637, 0.03175916657309641]","[16908.0, 3.0, 29452.0, 66.0]","[1.5908446529302012, 7.608475479896715e-07, 0.970765628822875, 0.003186145147813787]",353571.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,greedy,0.8,20,1,complete,3.252908934900277e-05,3.285139258302036e-05,3.3773139601061854e-05,3.285139258302036e-05,3.285139258302036e-05,1.2440502520590825e-06,0.0,13.0,13.0,13.0,"[0.024919081040000006, 0.011676417120000003, 0.036595498159999997]","[0.07553010431931433, 2.3604956897090302e-05]","[0.9235676824927334, 0.999976258226274]","[24054.838991812394, 13663.773066307625]","[28384.0, 13916.0]","[28377.0, 13916.0]","[0.0, 0.0]","[12545.109351349842, 4958.61454044734]",2.5494457890707865,"[0.03176453298781734, 0.028926050247004342]","[7.0, 3.0, 0.0, 3.0]","[2.9475572813927237e-05, 2.7960661228845217e-06, 0.0, 7.608475479896715e-07]",399987.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,greedy,1.0,20,1,complete,0.3078871765627011,0.31093777019150015,0.3196620871819045,0.31093777019150015,0.31093777019150015,0.011774910619203351,0.0,16645.0,16645.0,16645.0,"[0.024919081040000006, 0.0139213764, 0.03884045743999999]","[0.25776350046767654, 0.10199747256327418]","[0.738854145994187, 0.8960557602604649]","[4550.59057317595, 11790.771585210074]","[28384.0, 17993.0]","[13223.0, 16515.0]","[0.0, 0.0]","[169.11663046861563, 97.33670254789317]",2.5494457890707865,"[0.03176453298781734, 0.029398098249164284]","[15161.0, 3.0, 1478.0, 3.0]","[0.28488073530344266, 2.7960661228845217e-06, 0.027767528113137437, 7.608475479896715e-07]",383355.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,greedy,1.2,20,1,complete,2.5239489954937104,2.548956671393129,2.620475502901902,2.548956671393129,2.548956671393129,0.09652650740819145,1.0,46383.0,46383.0,46383.0,"[0.02491908104000001, 0.0139213764, 0.03884045743999999]","[0.2176215275642074, 0.08662017217852669]","[0.6157117883284892, 0.7467131335503878]","[1424.5488038622889, 1553.5413218087015]","[28384.0, 17993.0]","[0.0, 0.0]","[0.0, 0.0]","[8.214999860922667e-16, 7.686559722053232e-15]",2.5494457890707865,"[0.03176453298781734, 0.029398098249164284]","[28384.0, 3.0, 17993.0, 3.0]","[0.9642049492434512, 2.7960661228845217e-06, 1.5987993354543446, 7.608475479896715e-07]",353617.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,kv_only,0.8,20,1,complete,0.013685263276412793,0.013820858975543708,0.014208645749431155,0.013820858975543708,0.013820858975543708,0.0005233824730183606,1.0,148.0,148.0,148.0,"[0.00281542656, 0.9970601164799999, 0.9998755430400003]","[0.0, 0.0]","[0.6250026077526218, 0.6293006236317141]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.01382351105139938,"[0.02739912924593324, 0.027415987565462374]","[0.0, 2.0, 0.0, 146.0]","[0.0, 8.421592232550638e-06, 0.0, 0.013888625120909253]",399852.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,kv_only,1.0,20,1,complete,0.013685263276412793,0.013820858975543708,0.014208645749431155,0.013820858975543708,0.013820858975543708,0.0005233824730183606,1.0,148.0,148.0,148.0,"[0.00281542656, 0.9970601164799999, 0.9998755430400003]","[0.0, 0.0]","[0.5000020862020975, 0.5034404989053715]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.01382351105139938,"[0.02739912924593324, 0.027415987565462374]","[0.0, 2.0, 0.0, 146.0]","[0.0, 8.421592232550638e-06, 0.0, 0.013888625120909253]",399852.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,kv_only,1.2,20,1,complete,0.013685263276412793,0.013820858975543708,0.014208645749431155,0.013820858975543708,0.013820858975543708,0.0005233824730183606,1.0,148.0,148.0,148.0,"[0.00281542656, 0.9970601164799999, 0.9998755430400003]","[0.0, 0.0]","[0.4166684051684147, 0.41953374908780977]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.01382351105139938,"[0.02739912924593324, 0.027415987565462374]","[0.0, 2.0, 0.0, 146.0]","[0.0, 8.421592232550638e-06, 0.0, 0.013888625120909253]",399852.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,replay_only,0.8,20,1,complete,2.902638110874383e-05,2.9313978969317265e-05,3.013647295137953e-05,2.9313978969317265e-05,2.9313978969317265e-05,1.1100918426357006e-06,0.0,7.0,7.0,7.0,"[0.02076082184, 0.007261584480000001, 0.02802240631999998]","[0.07553108786346933, 2.383778962705989e-05]","[0.9235668166886718, 0.9999760226292359]","[24054.91440979129, 13663.804994178008]","[28384.0, 13916.0]","[28377.0, 13916.0]","[0.0, 0.0]","[12545.06017414209, 4958.602898810844]",2.549442250978381,"[0.031764465062136926, 0.028925977930882474]","[7.0, 0.0, 0.0, 0.0]","[2.9475572813927237e-05, 0.0, 0.0, 0.0]",399993.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,replay_only,1.0,20,1,complete,0.3078836738544608,0.31093423277788645,0.31965845051525477,0.31093423277788645,0.31093423277788645,0.011774776660793927,0.0,16639.0,16639.0,16639.0,"[0.02076082184, 0.009506543759999996, 0.03026736559999999]","[0.25776462171756764, 0.1019979523592833]","[0.7388534533509374, 0.8960555717828346]","[4550.697832511147, 11790.806794971406]","[28384.0, 17993.0]","[13223.0, 16515.0]","[0.0, 0.0]","[169.06056797406467, 97.312712747437]",2.549442250978381,"[0.031764465062136926, 0.029398025933042415]","[15161.0, 0.0, 1478.0, 0.0]","[0.28488073530344266, 0.0, 0.027767528113137437, 0.0]",383361.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,replay_only,1.2,20,1,complete,2.5239454927854705,2.548953133979515,2.620471866235252,2.548953133979515,2.548953133979515,0.09652637344978145,1.0,46377.0,46377.0,46377.0,"[0.02076082184, 0.009506543759999996, 0.03026736559999999]","[0.21762152756420733, 0.0866201721785267]","[0.6157112111257811, 0.746712976485695]","[1424.621065881588, 1553.5418314479693]","[28384.0, 17993.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",2.549442250978381,"[0.031764465062136926, 0.029398025933042415]","[28384.0, 0.0, 17993.0, 0.0]","[0.9642049492434512, 0.0, 1.5987993354543446, 0.0]",353623.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,isolated_fastest,0.8,20,1,complete,1.0790760562008069e-05,1.0897677081844531e-05,1.1203444982805938e-05,1.0897677081844531e-05,1.0897677081844531e-05,4.1268442079786814e-07,0.0,12.0,12.0,12.0,"[0.016091300119999992, 0.04534781635999999, 0.06143911647999998]","[2.3598600356117853e-05, 0.23466639655583324]","[0.9999758526269339, 0.7603587424810333]","[13321.022787880876, 100448.42452321242]","[13916.0, 115982.0]","[13916.0, 115982.0]","[0.0, 0.0]","[4958.636971005296, 12748.741834058606]",2.0251592724409115,"[0.028926133152332723, 0.03510477555550229]","[0.0, 6.0, 0.0, 6.0]","[0.0, 1.521695095979343e-06, 0.0, 9.436055629870204e-06]",399988.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,isolated_fastest,1.0,20,1,complete,0.4286932314826633,0.43294079013473324,0.44508827768147063,0.43294079013473324,0.43294079013473324,0.016395046198807307,0.0,99743.0,99743.0,99743.0,"[0.0183362594, 0.04534781635999999, 0.06368407575999999]","[0.09952552643385659, 0.38265503371391224]","[0.8960554357809928, 0.6082869939848267]","[11482.075178219211, 67463.50119432877]","[17993.0, 115982.0]","[16515.0, 17729.0]","[0.0, 0.0]","[220.9516992034954, 452.8976437846086]",2.0251592724409115,"[0.029398181154492664, 0.03510477555550229]","[1478.0, 6.0, 98253.0, 6.0]","[0.027765457405051305, 1.521695095979343e-06, 0.4075509689940359, 9.436055629870204e-06]",300257.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,1,isolated_fastest,1.2,20,1,complete,2.0049058243576137,2.0247707404687985,2.081581920924187,2.0247707404687985,2.0247707404687985,0.07667609656657325,1.0,133987.0,133987.0,133987.0,"[0.0183362594, 0.04534781635999999, 0.06368407575999999]","[0.0866204670149388, 0.32642748882467026]","[0.7467128631508276, 0.5069058283206893]","[1541.4639829970479, 40521.690456769094]","[17993.0, 115982.0]","[0.0, 0.0]","[0.0, 0.0]","[2.562186574017744e-15, 0.0]",2.0251592724409115,"[0.029398181154492664, 0.03510477555550229]","[17993.0, 6.0, 115982.0, 6.0]","[1.5987972647462587, 1.521695095979343e-06, 0.43712410366949783, 9.436055629870204e-06]",266013.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,queue_haul,0.8,20,1,complete,0.002789921409008103,0.002817564380599799,0.002896619828839766,0.002817564380599799,0.002817564380599799,0.00010669841983166316,0.0,16759.0,16759.0,16759.0,"[0.5659025017946668, 0.0013406699119999999, 0.5672431717066667]","[1.7810305595920118e-07, 8.188550097680159e-09]","[0.9999998216761272, 0.9999999918002122]","[5802685.29804619, 3846838.618493475]","[194108.0, 128577.0]","[194108.0, 128577.0]","[0.0, 0.0]","[79741.27266083984, 27401.488667804446]",3.212355975492683,"[0.050150394656109376, 0.03585617051734458]","[0.0, 16759.0, 0.0, 0.0]","[0.0, 0.0028330962557223736, 0.0, 0.0]",383241.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,queue_haul,1.0,20,1,complete,3.1802294727232017,3.211739676804835,3.3018549272417532,3.211739676804835,3.211739676804835,0.12162545451855147,1.0,400000.0,400000.0,400000.0,"[0.5662111289520001, 0.3150261524533332, 0.8812372814053333]","[0.04657300980126342, 0.035132742876063605]","[0.8942778308802415, 0.9057221691197588]","[1438408.2276823223, 1124893.430575878]","[201516.0, 181118.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 1.1542850009149674e-13]",3.212355975492683,"[0.05209724733619214, 0.04653945226299083]","[201516.0, 16759.0, 181118.0, 607.0]","[1.5887898448333535, 0.0028330962557223736, 1.6066372245636056, 0.031184284796308342]",0.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,queue_haul,1.2,20,1,complete,3.1802294727232017,3.211739676804835,3.3018549272417532,3.211739676804835,3.211739676804835,0.12162545451855147,1.0,400000.0,400000.0,400000.0,"[0.5662111289520002, 0.3150261524533333, 0.8812372814053335]","[0.038810841501052844, 0.029277285730053015]","[0.7452315257335341, 0.7547684742664659]","[438022.0443187264, 313141.9165867743]","[201516.0, 181118.0]","[0.0, 0.0]","[0.0, 0.0]","[7.191296169661854e-15, 1.7310111677382167e-13]",3.212355975492683,"[0.05209724733619214, 0.04653945226299083]","[201516.0, 16759.0, 181118.0, 607.0]","[1.5887898448333535, 0.0028330962557223736, 1.6066372245636056, 0.031184284796308342]",0.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,greedy,0.8,20,1,complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.006382272610666666, 0.00032821993866666657, 0.006710492549333332]","[1.7047799741426323e-06, 1.1004496176529346e-05]","[0.9999982935149345, 0.9999889844973164]","[10883327.944887377, 779464.4219196478]","[364228.0, 26078.0]","[364228.0, 26078.0]","[0.0, 0.0]","[142983.18352498015, 6600.846567217438]",3.2123559754926836,"[0.06765913241680765, 0.02946952923449453]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",400000.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,greedy,1.0,20,1,complete,3.0718624347325183,3.1022989214890035,3.189343474401924,3.1022989214890035,3.1022989214890035,0.11748103966940567,0.0,397858.0,397858.0,397858.0,"[0.006402311711999997, 0.0005472443626666666, 0.006949556074666667]","[0.07652165008145582, 0.006101216102839317]","[0.8061200853076848, 0.9938799146923148]","[2242257.3507816764, 770267.3232020199]","[364709.0, 35290.0]","[0.0, 2142.0]","[0.0, 0.0]","[1.1542850009149674e-13, 28.28744672983384]",3.2123559754926836,"[0.06778554118288752, 0.030851158416295488]","[364709.0, 0.0, 33149.0, 0.0]","[1.2357472633348436, 0.0, 1.883653137635247, 0.0]",2142.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,greedy,1.2,20,1,complete,3.180229472723202,3.211739676804835,3.3018549272417537,3.211739676804835,3.211739676804835,0.12162545451855147,1.0,400000.0,400000.0,400000.0,"[0.006402311711999997, 0.0005472443626666666, 0.006949556074666667]","[0.0637680417345465, 0.005100062000549342]","[0.6717667377564038, 0.8282332622435963]","[1030191.2335949976, 13936.71840679761]","[364709.0, 35288.0]","[0.0, 0.0]","[0.0, 0.0]","[5.833875049710002e-14, 0.0]",3.2123559754926836,"[0.06778554118288752, 0.030851158416295488]","[364709.0, 0.0, 35291.0, 0.0]","[1.2357472633348436, 0.0, 1.993697187114147, 0.0]",0.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,kv_only,0.8,20,1,complete,0.41145605900432175,0.41553282909310046,0.4271918826673735,0.41553282909310046,0.41553282909310046,0.015735823663051766,1.0,4395.0,4395.0,4395.0,"[0.0, 0.9999887892480002, 0.9999887892480002]","[0.0, 0.0]","[0.625, 0.7543793616257497]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.41561256542390496,"[0.027399083221995246, 0.027907700825899218]","[0.0, 0.0, 0.0, 4395.0]","[0.0, 0.0, 0.0, 0.4178234614049097]",395605.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,kv_only,1.0,20,1,complete,0.41145605900432175,0.41553282909310046,0.4271918826673735,0.41553282909310046,0.41553282909310046,0.015735823663051766,1.0,4395.0,4395.0,4395.0,"[0.0, 0.9999887892480002, 0.9999887892480002]","[0.0, 0.0]","[0.5, 0.6035034893005997]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.41561256542390496,"[0.027399083221995246, 0.027907700825899218]","[0.0, 0.0, 0.0, 4395.0]","[0.0, 0.0, 0.0, 0.4178234614049097]",395605.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,kv_only,1.2,20,1,complete,0.41145605900432175,0.41553282909310046,0.4271918826673735,0.41553282909310046,0.41553282909310046,0.015735823663051766,1.0,4395.0,4395.0,4395.0,"[0.0, 0.9999887892480002, 0.9999887892480002]","[0.0, 0.0]","[0.41666666666666685, 0.5029195744171665]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.41561256542390496,"[0.027399083221995246, 0.027907700825899218]","[0.0, 0.0, 0.0, 4395.0]","[0.0, 0.0, 0.0, 0.4178234614049097]",395605.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,replay_only,0.8,20,1,complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.006382272610666666, 0.00032821993866666657, 0.006710492549333332]","[1.7047799741426323e-06, 1.1004496176529346e-05]","[0.9999982935149345, 0.9999889844973164]","[10883327.944887377, 779464.4219196478]","[364228.0, 26078.0]","[364228.0, 26078.0]","[0.0, 0.0]","[142983.18352498015, 6600.846567217438]",3.2123559754926836,"[0.06765913241680765, 0.02946952923449453]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",400000.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,replay_only,1.0,20,1,complete,3.0718624347325183,3.1022989214890035,3.189343474401924,3.1022989214890035,3.1022989214890035,0.11748103966940567,0.0,397858.0,397858.0,397858.0,"[0.006402311711999997, 0.0005472443626666666, 0.006949556074666667]","[0.07652165008145582, 0.006101216102839317]","[0.8061200853076848, 0.9938799146923148]","[2242257.3507816764, 770267.3232020199]","[364709.0, 35290.0]","[0.0, 2142.0]","[0.0, 0.0]","[1.1542850009149674e-13, 28.28744672983384]",3.2123559754926836,"[0.06778554118288752, 0.030851158416295488]","[364709.0, 0.0, 33149.0, 0.0]","[1.2357472633348436, 0.0, 1.883653137635247, 0.0]",2142.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,replay_only,1.2,20,1,complete,3.180229472723202,3.211739676804835,3.3018549272417537,3.211739676804835,3.211739676804835,0.12162545451855147,1.0,400000.0,400000.0,400000.0,"[0.006402311711999997, 0.0005472443626666666, 0.006949556074666667]","[0.0637680417345465, 0.005100062000549342]","[0.6717667377564038, 0.8282332622435963]","[1030191.2335949976, 13936.71840679761]","[364709.0, 35288.0]","[0.0, 0.0]","[0.0, 0.0]","[5.833875049710002e-14, 0.0]",3.2123559754926836,"[0.06778554118288752, 0.030851158416295488]","[364709.0, 0.0, 35291.0, 0.0]","[1.2357472633348436, 0.0, 1.993697187114147, 0.0]",0.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,isolated_fastest,0.8,20,1,complete,0.17084320783517137,0.17253594868642744,0.17737697622596846,0.17253594868642744,0.17253594868642744,0.006533768390797078,0.0,100436.0,100436.0,100436.0,"[0.9991222849693336, 0.0007287276813333336, 0.9998510126506662]","[0.018025363961039282, 2.0423886625404213e-05]","[0.6787204026629184, 0.9999795568233492]","[111066.05111016266, 2297988.654901795]","[98494.0, 76709.0]","[0.0, 76709.0]","[0.0, 0.0]","[0.0, 14587.137800016126]",2.142457451668126,"[0.03636203592844589, 0.031995974343673184]","[98494.0, 1942.0, 0.0, 0.0]","[0.07376505832668998, 0.09972199792895729, 0.0, 0.0]",299564.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,isolated_fastest,1.0,20,1,complete,0.5739407776348924,0.5796274713748131,0.5958907056338931,0.5796274713748131,0.5796274713748131,0.021949927999000765,0.0,168718.0,168718.0,168718.0,"[0.999122284969333, 0.0008771802253333333, 0.9999994651946661]","[0.014420291168831428, 0.00941284462218208]","[0.5429763221303349, 0.9905778587918552]","[54673.58823355604, 1867947.579287205]","[98494.0, 84797.0]","[0.0, 16515.0]","[0.0, 0.0]","[0.0, 13.799396893264234]",2.142457451668126,"[0.03636203592844589, 0.03293242865848045]","[98494.0, 1942.0, 68282.0, 0.0]","[0.07376505832668998, 0.09972199792895729, 0.40933562214442354, 0.0]",231282.0,"[400.0, 400.0, 400.0]"
gpt-oss-20b,coding,8,400,30,isolated_fastest,1.2,20,1,complete,2.1210309143292942,2.142046415741128,2.202148126535463,2.142046415741128,2.142046415741128,0.08111721220616903,1.0,185233.0,185233.0,185233.0,"[0.999122284969333, 0.0008771802253333333, 0.9999994651946661]","[0.012016909307359522, 0.007851703516759099]","[0.45248026844194567, 0.825481548993212]","[34204.406573065084, 70124.01002141088]","[98494.0, 84797.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",2.142457451668126,"[0.03636203592844589, 0.03293242865848045]","[98494.0, 1942.0, 84797.0, 0.0]","[0.07376505832668998, 0.09972199792895729, 1.980367429485631, 0.0]",214767.0,"[400.0, 400.0, 400.0]"
