scenario_id,session_id,order,method,destination,policy,bandwidth,bandwidth_mbps,workload,scheduler_wait_s,migration_ttft_s
58d4866836a50060,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,kv_transfer,east,kv_transfer,controlled_40,800,agentic_tool_loop,0.00035278,5.761732089
5902b901b8e88f8a,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,replay,east,replay,natural,2156.442281566448,agentic_tool_loop,0.000742387,7.106709449
5c80070e3991b261,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,0,kv_transfer,east,kv_transfer,controlled_40,800,agentic_tool_loop,0.000325059,2.6158432
5fb0102112e9b944,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,replay,east,replay,natural,2156.442281566448,agentic_tool_loop,0.000303597,0.845172037
623689834a525d06,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,kv_transfer,east,kv_transfer,controlled_40,800,agentic_tool_loop,0.000577956,19.650964438
6279bcaa0a1e3511,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,replay,east,replay,controlled_40,800,agentic_tool_loop,0.000704376,7.177879256
633ab9a522c77246,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,kv_transfer,east,kv_transfer,natural,2156.442281566448,agentic_tool_loop,0.000464347,4.037406676
6aa9b62e8b6b8798,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,kv_transfer,east,kv_transfer,natural,2156.442281566448,agentic_tool_loop,0.000598749,11.043500937
6fc4f715badd8068,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,0,replay,east,replay,natural,2156.442281566448,agentic_tool_loop,0.000376954,1.819738937
73308cee6732d120,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,kv_transfer,east,kv_transfer,controlled_40,800,agentic_tool_loop,0.00066293,19.505300195
73997749c2321791,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,kv_transfer,east,kv_transfer,controlled_80,1700,agentic_tool_loop,0.00031306,2.263590567
78f88dd3a0ac98b9,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,0,replay,east,replay,controlled_40,800,agentic_tool_loop,0.000399102,1.808101669
80480faa1be2af75,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,kv_transfer,east,kv_transfer,controlled_40,800,agentic_tool_loop,0.00031578,2.655771981
8393acc55157a8d7,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,0,kv_transfer,east,kv_transfer,natural,2156.442281566448,agentic_tool_loop,0.000293208,2.110516937
83a4a121e7c946b8,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,kv_transfer,east,kv_transfer,natural,2156.442281566448,agentic_tool_loop,0.000720552,11.092184856
8a91d887aff63f51,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,replay,east,replay,controlled_40,800,agentic_tool_loop,0.000307483,0.878343773
95d5718c00c68d59,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,0,replay,east,replay,controlled_80,1700,agentic_tool_loop,0.000411088,1.838929535
97a7cda91263cdb4,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,replay,east,replay,controlled_80,1700,agentic_tool_loop,0.000805716,7.182956458
9a40f64e45abad94,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,kv_transfer,east,kv_transfer,controlled_80,1700,agentic_tool_loop,0.00064219,13.630622765
9e6d05465b345fd7,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,replay,east,replay,natural,2156.442281566448,agentic_tool_loop,0.000274558,0.843390545
a3eb6dbfc6928dad,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,kv_transfer,east,kv_transfer,controlled_40,800,agentic_tool_loop,0.000675669,19.503784097
a9808b98cc634259,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,kv_transfer,east,kv_transfer,natural,2156.442281566448,agentic_tool_loop,0.000684154,2.104486512
accb36868d0d208a,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,kv_transfer,east,kv_transfer,controlled_80,1700,agentic_tool_loop,0.000318095,2.438286977
b52e9b3aba204738,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,replay,east,replay,controlled_40,800,agentic_tool_loop,0.000609009,7.203513815
c62770f352339bf9,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,replay,east,replay,natural,2156.442281566448,agentic_tool_loop,0.000428667,1.723756845
c8681ece05a8ea1c,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,0,kv_transfer,east,kv_transfer,controlled_80,1700,agentic_tool_loop,0.00042816,4.645061334
c91e745b733dfb74,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,kv_transfer,east,kv_transfer,natural,2156.442281566448,agentic_tool_loop,0.000278031,2.224505416
ca1de1fcad5cd46a,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,kv_transfer,east,kv_transfer,controlled_40,800,agentic_tool_loop,0.000310271,2.656603072
cbacebf1220e0c09,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,replay,east,replay,controlled_80,1700,agentic_tool_loop,0.000326279,0.873653034
cbdcb35ca0c0e087,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,kv_transfer,east,kv_transfer,controlled_80,1700,agentic_tool_loop,0.000571072,13.465666638
cbddc5368848bf1d,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,replay,east,replay,controlled_80,1700,agentic_tool_loop,0.000323444,0.852356224
d5287aea2e012884,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,replay,east,replay,controlled_40,800,agentic_tool_loop,0.000565106,1.711776514
d6a1a894b1c005f2,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,replay,east,replay,natural,2156.442281566448,agentic_tool_loop,0.000669446,7.160881632
da46cedb153ea239,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,kv_transfer,east,kv_transfer,natural,2156.442281566448,agentic_tool_loop,0.000611783,11.305641824
dc1df1b309cb46eb,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,0,kv_transfer,east,kv_transfer,controlled_80,1700,agentic_tool_loop,0.000327702,2.233082199
dd36e211d7d2408c,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,0,replay,east,replay,controlled_40,800,agentic_tool_loop,0.000261027,0.858118909
e47f0ca40398e32d,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,replay,east,replay,controlled_80,1700,agentic_tool_loop,0.000659788,7.188621677
ea45e65c3850956f,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,0,kv_transfer,east,kv_transfer,natural,2156.442281566448,agentic_tool_loop,0.000351582,4.090142548
eeb6a353507636db,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,kv_transfer,east,kv_transfer,controlled_80,1700,agentic_tool_loop,0.000399596,4.875830986
f9d2fb8958563048,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,0,replay,east,replay,controlled_80,1700,agentic_tool_loop,0.00030506,0.835579752
faea7381fb94d2d6,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,replay,east,replay,controlled_80,1700,agentic_tool_loop,0.000539538,1.757311272
fd978e3659b90cc9,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,replay,east,replay,controlled_40,800,agentic_tool_loop,0.000322302,1.736442233
