stratum,bin,n,mean_predicted_p,observed_rate
swe-agent x short,9,176413,0.9718792915080156,1.0
swe-agent x medium,0,72173,0.05422175408878589,0.0429246394080889
swe-agent x medium,1,108099,0.1518943384738404,0.15150001387616907
swe-agent x medium,2,105919,0.2544113446111285,0.2593302429214777
swe-agent x medium,3,90281,0.3532984575705033,0.377000697821247
swe-agent x medium,4,56221,0.44756607875169185,0.536418775902243
swe-agent x medium,5,102202,0.5568071534603086,0.6527758752274907
swe-agent x medium,6,94057,0.6426908715922875,0.7156192521556077
swe-agent x medium,7,125814,0.7521200593390706,0.8959654728408604
swe-agent x medium,8,167286,0.8583361379071874,0.983154597515632
swe-agent x medium,9,387506,0.9707882182748069,0.9992206572285333
hermes,0,1188,0.07089198881156447,0.1127946127946128
hermes,1,13026,0.15266293243384427,0.1759557807461999
hermes,2,23616,0.24573115296727657,0.2590616531165312
hermes,3,24165,0.3545483029792296,0.3644941030415891
hermes,4,25893,0.44794803133141536,0.45425404549492143
hermes,5,17484,0.5491174464627253,0.5606840539922214
hermes,6,25176,0.6506009373567815,0.6545519542421354
hermes,7,19026,0.7434735128441619,0.7487122884473878
hermes,8,19497,0.8482021628547333,0.8537210852951737
hermes,9,82963,0.9738384562500996,0.9760254571314924
hermes x medium,0,374,0.07225369264057957,0.06951871657754011
hermes x medium,1,4955,0.149582604047192,0.15055499495459132
hermes x medium,2,7464,0.2438042388251457,0.3027867095391211
hermes x medium,3,7832,0.3546226585993485,0.45658835546475995
hermes x medium,4,7757,0.44604705046813736,0.5964934897511924
hermes x medium,5,5210,0.5491222907095556,0.7627639155470249
hermes x medium,6,7822,0.6510850163651588,0.8398107900792636
hermes x medium,7,6193,0.7419306198291925,0.9294364605199419
hermes x medium,8,5000,0.8429448042556825,0.991
hermes x medium,9,27539,0.9741014625473756,0.9996368786085188
hermes x short,0,188,0.06867343827659951,0.40425531914893614
hermes x short,1,1571,0.1524977591437518,0.6314449395289624
hermes x short,2,3954,0.24832227488201583,0.5399595346484573
hermes x short,3,3356,0.3520720291632159,0.7771156138259833
hermes x short,4,3420,0.44269301286523843,0.8728070175438597
hermes x short,5,1743,0.5442148143501557,0.9374641422834193
hermes x short,6,2803,0.6585223080664666,0.9946485907955762
hermes x short,7,1981,0.7502388047862112,1.0
hermes x short,8,546,0.8421993777665198,0.9926739926739927
hermes x short,9,11208,0.9755612770387744,1.0
hermes x long,0,626,0.07074472086990587,0.051118210862619806
hermes x long,1,6500,0.15505101157148288,0.08523076923076923
hermes x long,2,12198,0.24607032259396905,0.1412526643712084
hermes x long,3,12977,0.3551438197943969,0.20220389920628803
hermes x long,4,14716,0.4501713305778533,0.28200597988583853
hermes x long,5,10531,0.5499264911162083,0.39834773525781025
hermes x long,6,14551,0.6488148011392343,0.48945089684557763
hermes x long,7,10852,0.7431190245566343,0.599705123479543
hermes x long,8,13951,0.8503213165822396,0.7990825030463766
hermes x long,9,44216,0.9732379427298484,0.9552424461733309
terminalbench,0,10992,0.06442628301514922,0.10944323144104803
terminalbench,1,35543,0.15356063540492293,0.18847593056298007
terminalbench,2,32052,0.24696193429202626,0.29049669287407964
terminalbench,3,27410,0.34282807851143166,0.3742429770156877
terminalbench,4,26285,0.4497694172314762,0.4722845729503519
terminalbench,5,19627,0.5472258132339433,0.5719671880572681
terminalbench,6,25868,0.6490227097933658,0.6721045306942941
terminalbench,7,20987,0.7476474761316512,0.7684757230666603
terminalbench,8,32695,0.8469770426615587,0.8592445328031809
terminalbench,9,67976,0.9579204382405989,0.956396375191244
terminalbench x long,0,10877,0.06433230389863896,0.10692286476050382
terminalbench x long,1,29848,0.1517017845870923,0.15585633878316804
terminalbench x long,2,26553,0.24600682164556914,0.24377659774790042
terminalbench x long,3,21525,0.34474235685245963,0.2944018583042973
terminalbench x long,4,20239,0.44856968453225665,0.3759079005879737
terminalbench x long,5,15462,0.5487463099162104,0.49327383262191177
terminalbench x long,6,19669,0.649676358141173,0.5834562001118512
terminalbench x long,7,15812,0.7495218042653538,0.7100935997976221
terminalbench x long,8,24119,0.8482117193630063,0.8118910402587172
terminalbench x long,9,47676,0.9553715129017395,0.9378723047235507
terminalbench x medium,0,113,0.07320007950333687,0.35398230088495575
terminalbench x medium,1,4332,0.1605791131766758,0.2693905817174515
terminalbench x medium,2,4957,0.24990602737881212,0.47448053258018963
terminalbench x medium,3,4672,0.33830923245193195,0.604666095890411
terminalbench x medium,4,5118,0.4528827319381283,0.7704181320828448
terminalbench x medium,5,2895,0.543492424395307,0.816580310880829
terminalbench x medium,6,5299,0.6464688325911407,0.9477259860351009
terminalbench x medium,7,3703,0.7489158335583621,0.9265460437483122
terminalbench x medium,8,6457,0.8409700811342269,0.9899334056063187
terminalbench x medium,9,15366,0.9621639039173565,0.9998698425094364
terminalbench x short,0,2,0.07981220657276995,0.0
terminalbench x short,1,1363,0.17196043988267193,0.6456346294937637
terminalbench x short,2,542,0.2668276846058996,0.8966789667896679
terminalbench x short,3,1213,0.32626353399338276,0.9035449299258038
terminalbench x short,4,928,0.4587645092904382,0.9299568965517241
terminalbench x short,5,1270,0.5372244281841162,0.9724409448818898
terminalbench x short,6,900,0.6497742497292499,0.9866666666666667
terminalbench x short,7,1472,0.7243230168918974,0.9979619565217391
terminalbench x short,8,2119,0.8512280021804957,1.0
terminalbench x short,9,4934,0.9693345993406334,1.0
