episode,workload,arm,seed,session,phase,serving_role,prompt_tokens,cached_tokens,output_tokens,ttft_s,elapsed_s,after_first_token_s
episodes-coding-0-control-7102,coding,control,7102,3,control_preepoch_materialization,destination,9251,,1,9.470463541,9.472330165,0.001866624
episodes-coding-0-control-7102,coding,control,7102,5,control_preepoch_materialization,destination,3585,,1,9.138384536,9.13928185,0.000897314
episodes-coding-0-control-7102,coding,control,7102,6,control_preepoch_materialization,destination,6295,,1,6.616366229,6.617775785,0.001409556
episodes-coding-0-control-7102,coding,control,7102,0,control_preepoch_materialization,destination,23336,,1,9.344916324,9.349216828,0.004300504
episodes-coding-0-control-7102,coding,control,7102,7,control_preepoch_materialization,destination,10892,,1,9.056665138,9.058666646,0.002001508
episodes-coding-0-control-7102,coding,control,7102,1,control_preepoch_materialization,destination,31246,,1,9.965716243,9.971200939,0.005484696
episodes-coding-0-control-7102,coding,control,7102,5,control_baseline_materialization,destination,3648,3584,1,0.127871056,0.128849603,0.000978547
episodes-coding-0-control-7102,coding,control,7102,6,control_baseline_materialization,destination,6578,6288,1,0.157889853,0.159520574,0.001630721
episodes-coding-0-control-7102,coding,control,7102,7,control_baseline_materialization,destination,10983,10880,1,0.135896734,0.138104649,0.002207915
episodes-coding-0-control-7102,coding,control,7102,4,control_baseline_materialization,destination,5762,2736,1,0.306462182,0.307822947,0.001360765
episodes-coding-0-control-7102,coding,control,7102,2,control_baseline_materialization,destination,10983,10880,1,0.16097282,0.16343373,0.00246091
episodes-coding-0-control-7102,coding,control,7102,0,control_baseline_materialization,destination,23390,23328,1,0.209159932,0.213271942,0.00411201
episodes-coding-0-control-7102,coding,control,7102,3,control_baseline_materialization,destination,9401,9248,1,0.196542608,0.198198457,0.001655849
episodes-coding-0-control-7102,coding,control,7102,6,control_baseline_materialization,destination,6650,6576,1,0.22284853,0.224075012,0.001226482
episodes-coding-0-control-7102,coding,control,7102,7,control_baseline_materialization,destination,11447,10976,1,0.150198544,0.15229476,0.002096216
episodes-coding-0-control-7102,coding,control,7102,5,control_baseline_materialization,destination,3780,3648,1,0.135960656,0.136736092,0.000775436
episodes-coding-0-control-7102,coding,control,7102,2,control_baseline_materialization,destination,11447,10976,1,0.187501653,0.18951866,0.002017007
episodes-coding-0-control-7102,coding,control,7102,4,control_baseline_materialization,destination,14511,5760,1,1.017240046,1.019997613,0.002757567
episodes-coding-0-control-7102,coding,control,7102,1,control_baseline_materialization,destination,31689,31232,1,0.243063969,0.248336017,0.005272048
episodes-coding-0-control-7102,coding,control,7102,3,control_baseline_materialization,destination,9429,9392,1,0.32275974,0.324734788,0.001975048
episodes-coding-0-control-7102,coding,control,7102,0,control_baseline_materialization,destination,24816,23376,1,0.461172429,0.465743751,0.004571322
episodes-coding-0-control-7102,coding,control,7102,1,control_baseline_materialization,destination,31802,31680,1,0.247962305,0.253434698,0.005472393
episodes-coding-0-control-7102,coding,control,7102,6,control_baseline_materialization,destination,6682,6640,1,0.16301021,0.164243826,0.001233616
episodes-coding-0-control-7102,coding,control,7102,7,control_baseline_materialization,destination,11767,11440,1,0.126763005,0.128969116,0.002206111
episodes-coding-0-control-7102,coding,control,7102,5,control_baseline_materialization,destination,3874,3776,1,0.130434427,0.131429254,0.000994827
episodes-coding-0-control-7102,coding,control,7102,4,control_baseline_materialization,destination,15514,14496,1,0.260377783,0.263181006,0.002803223
episodes-coding-0-control-7102,coding,control,7102,2,control_baseline_materialization,destination,11767,11440,1,0.19091772,0.193172101,0.002254381
episodes-coding-0-control-7102,coding,control,7102,2,control_final_materialization,destination,11767,11760,1,0.288851424,0.290939292,0.002087868
episodes-coding-0-control-7102,coding,control,7102,5,control_final_materialization,destination,3874,3872,1,0.280720314,0.281513322,0.000793008
episodes-coding-0-control-7102,coding,control,7102,0,control_final_materialization,destination,24816,24800,1,0.315075332,0.325997721,0.010922389
episodes-coding-0-control-7102,coding,control,7102,6,control_final_materialization,destination,6682,6672,1,0.289864897,0.291156882,0.001291985
episodes-coding-0-control-7102,coding,control,7102,3,control_final_materialization,destination,9429,9424,1,0.303956313,0.305643851,0.001687538
episodes-coding-0-control-7102,coding,control,7102,4,control_final_materialization,destination,15514,15504,1,0.314980003,0.318049434,0.003069431
episodes-coding-0-control-7102,coding,control,7102,7,control_final_materialization,destination,11767,11760,1,0.311002098,0.313079436,0.002077338
episodes-coding-0-control-7102,coding,control,7102,1,control_final_materialization,destination,31802,31792,1,0.353796375,0.358968832,0.005172457
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,6,initial_source_export,source,10336,10320,2,0.319261535,0.33511765,0.015856115
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,3,initial_source_export,source,3780,3776,84,0.236373867,3.259493474,3.023119607
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,6,initial,destination,10336,10240,2,0.177547918,0.21527961,0.037731692
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,6,catch_up_source_export,source,10336,10320,2,0.12800239,0.155962938,0.027960548
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,6,catch_up,destination,10336,10320,2,0.186341075,0.188708339,0.002367264
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,5,initial_source_export,source,19895,19888,390,0.328572584,14.839557935,14.510985351
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,1,initial_source_export,source,7340,7328,512,0.256204043,19.162224956,18.906020913
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,0,initial_source_export,source,32091,32080,512,0.355047122,19.16945629,18.814409168
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,4,initial_source_export,source,7340,7328,512,0.233524598,19.151172218,18.91764762
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,2,initial_source_export,source,32130,32128,512,0.347307033,19.159993947,18.812686914
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,7,initial_source_export,source,19895,19888,512,0.320298812,19.134355208,18.814056396
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,3,initial,destination,3780,3584,512,0.171780847,15.249299716,15.077518869
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,5,initial,destination,19895,19712,512,0.281815255,16.21475294,15.932937685
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,3,catch_up_source_export,source,3874,3872,512,0.096634794,19.242465299,19.145830505
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,1,initial,destination,7340,7168,512,0.544827922,16.079750461,15.534922539
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,4,initial,destination,7340,7168,512,0.251658341,16.001974329,15.750315988
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,5,catch_up_source_export,source,19947,19936,512,0.114577361,18.574463075,18.459885714
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,0,initial,destination,32091,32000,512,0.329963763,15.880456977,15.550493214
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,1,catch_up_source_export,source,7458,7456,512,0.116852514,18.604990776,18.488138262
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,0,catch_up_source_export,source,2554,2544,63,0.092413642,2.296654984,2.204241342
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,4,catch_up_source_export,source,7458,7456,512,0.119109554,18.578478865,18.459369311
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,7,initial,destination,19895,19712,512,0.295101049,15.952556812,15.657455763
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,2,initial,destination,32130,32000,512,0.351654872,15.818941845,15.467286973
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,5,catch_up,destination,19947,19888,512,0.177293441,15.39296478,15.215671339
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,7,catch_up_source_export,source,21120,21104,512,0.122014744,18.53923711,18.417222366
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,3,catch_up,destination,3874,3840,512,0.212249565,15.552221277,15.339971712
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,1,catch_up,destination,7458,7424,512,0.199857734,15.525449822,15.325592088
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,0,catch_up,destination,2554,2304,512,0.214349236,15.532582858,15.318233622
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,4,catch_up,destination,7458,7424,512,0.189733077,15.515531464,15.325798387
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,2,catch_up_source_export,source,9773,9760,512,0.124142547,18.155971757,18.03182921
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,7,catch_up,destination,21120,20992,512,0.233502652,15.432914033,15.199411381
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,2,catch_up,destination,9773,9728,107,0.251700629,3.336072148,3.084371519
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,2,initial_source_export,source,11767,11760,8,0.23316795,0.457048409,0.223880459
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,5,initial_source_export,source,3874,3872,142,0.287947362,5.739763856,5.451816494
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,5,initial,destination,3874,3840,150,0.286419689,4.942743537,4.656323848
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,5,catch_up_source_export,source,3874,3872,135,0.092159268,5.144146495,5.051987227
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,4,initial_source_export,source,15514,15504,512,0.222843279,19.26658048,19.043737201
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,3,initial_source_export,source,9429,9424,512,0.233182478,19.278838353,19.045655875
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,7,initial_source_export,source,11767,11760,512,0.275232867,19.290482172,19.015249305
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,6,initial_source_export,source,6682,6672,512,0.28548403,19.30135982,19.01587579
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,0,initial_source_export,source,24816,24800,512,0.318825922,19.346374026,19.027548104
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,1,initial_source_export,source,31802,31792,512,0.312173519,19.334298613,19.022125094
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,2,initial,destination,11767,11520,512,0.202585748,15.229510164,15.026924416
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,5,catch_up,destination,3874,3872,190,0.200757377,5.728469837,5.52771246
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,6,initial,destination,6682,6656,54,0.214276202,1.780451051,1.566174849
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,3,initial,destination,9429,9216,512,0.153215414,15.613498596,15.460283182
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,2,catch_up_source_export,source,12237,12224,512,0.093827301,19.198707108,19.104879807
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,4,initial,destination,15514,15360,512,0.295028117,15.288312304,14.993284187
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,7,initial,destination,11767,11520,512,0.251663825,15.831618333,15.579954508
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,6,catch_up_source_export,source,6972,6960,512,0.102365371,19.108350388,19.005985017
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,3,catch_up_source_export,source,2138,2128,512,0.103502835,19.057678503,18.954175668
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,4,catch_up_source_export,source,16960,16944,512,0.120612247,18.981844142,18.861231895
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,1,initial,destination,31802,31744,512,0.319510852,16.235617425,15.916106573
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,1,catch_up_source_export,source,8577,8576,108,0.10389082,3.898088555,3.794197735
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,7,catch_up_source_export,source,12283,12272,512,0.12209099,18.346484566,18.224393576
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,3,catch_up,destination,2138,2048,116,0.188481552,3.578802609,3.390321057
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,0,initial,destination,24816,24576,512,0.303636753,16.380508604,16.076871851
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,1,catch_up,destination,8577,8448,162,0.220855545,5.042079652,4.821224107
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,2,catch_up,destination,12237,12032,512,0.225662975,15.550088445,15.32442547
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,6,catch_up,destination,6972,6912,512,0.21117546,15.550368519,15.339193059
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,4,catch_up,destination,16960,16896,512,0.230106196,15.716885628,15.486779432
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,7,catch_up,destination,12283,12032,512,0.219041388,17.275617555,17.056576167
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,0,catch_up_source_export,source,26037,26032,512,0.12379183,18.077112684,17.953320854
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,0,catch_up,destination,26037,25856,512,0.291513402,16.038148768,15.746635366
episodes-coding-0-replay-7101,coding,replay,7101,1,initial,destination,7340,,512,0.668428639,30.346849993,29.678421354
episodes-coding-0-replay-7101,coding,replay,7101,3,initial,destination,3780,,512,1.139956583,30.359003753,29.21904717
episodes-coding-0-replay-7101,coding,replay,7101,0,initial,destination,32091,,512,5.647577234,30.503727186,24.856149952
episodes-coding-0-replay-7101,coding,replay,7101,2,initial,destination,32130,,512,10.074326892,30.609189793,20.534862901
episodes-coding-0-replay-7101,coding,replay,7101,4,initial,destination,7340,,512,10.640573545,30.709479404,20.068905859
episodes-coding-0-replay-7101,coding,replay,7101,6,initial,destination,10336,,512,11.226994544,30.732959815,19.505965271
episodes-coding-0-replay-7101,coding,replay,7101,5,initial,destination,19895,,512,13.106726557,31.046229025,17.939502468
episodes-coding-0-replay-7101,coding,replay,7101,7,initial,destination,19895,,512,15.504521054,31.121120218,15.616599164
episodes-coding-0-replay-7101,coding,replay,7101,1,catch_up,destination,7458,7328,512,0.190652347,15.44831165,15.257659303
episodes-coding-0-replay-7101,coding,replay,7101,3,catch_up,destination,3886,3776,512,0.158555629,15.42426348,15.265707851
episodes-coding-0-replay-7101,coding,replay,7101,0,catch_up,destination,2050,,512,0.222456115,15.410890411,15.188434296
episodes-coding-0-replay-7101,coding,replay,7101,2,catch_up,destination,4742,,512,0.417563413,15.345162032,14.927598619
episodes-coding-0-replay-7101,coding,replay,7101,4,catch_up,destination,7458,7328,512,0.374313743,15.303834159,14.929520416
episodes-coding-0-replay-7101,coding,replay,7101,5,catch_up,destination,19947,19888,512,0.200455478,15.376492807,15.176037329
episodes-coding-0-replay-7101,coding,replay,7101,7,catch_up,destination,19947,19888,512,0.165220015,15.342491882,15.177271867
episodes-coding-0-replay-7101,coding,replay,7101,6,catch_up,destination,2525,,512,0.251309075,15.60727341,15.355964335
episodes-coding-0-replay-7102,coding,replay,7102,6,initial,destination,6682,,21,11.271683945,13.175091397,1.903407452
episodes-coding-0-replay-7102,coding,replay,7102,5,initial,destination,3874,,105,3.548925596,15.308890971,11.759965375
episodes-coding-0-replay-7102,coding,replay,7102,0,initial,destination,24816,,512,3.586105406,26.823667401,23.237561995
episodes-coding-0-replay-7102,coding,replay,7102,2,initial,destination,11767,,512,4.242977949,26.830991904,22.588013955
episodes-coding-0-replay-7102,coding,replay,7102,3,initial,destination,9429,,512,5.431575608,26.885682575,21.454106967
episodes-coding-0-replay-7102,coding,replay,7102,4,initial,destination,15514,,512,6.38158663,26.908179875,20.526593245
episodes-coding-0-replay-7102,coding,replay,7102,1,initial,destination,31802,,512,10.767256886,27.310146206,16.54288932
episodes-coding-0-replay-7102,coding,replay,7102,7,initial,destination,11767,,512,12.495820219,28.043198539,15.54737832
episodes-coding-0-replay-7102,coding,replay,7102,6,catch_up,destination,6682,6672,512,0.147116656,15.51490043,15.367783774
episodes-coding-0-replay-7102,coding,replay,7102,5,catch_up,destination,3886,3872,512,0.110307238,15.503328686,15.393021448
episodes-coding-0-replay-7102,coding,replay,7102,4,catch_up,destination,16938,15504,116,0.701860075,4.351712528,3.649852453
episodes-coding-0-replay-7102,coding,replay,7102,1,catch_up,destination,32130,31792,114,0.76103735,3.980001634,3.218964284
episodes-coding-0-replay-7102,coding,replay,7102,2,catch_up,destination,12237,11760,512,0.490794453,15.758275481,15.267481028
episodes-coding-0-replay-7102,coding,replay,7102,0,catch_up,destination,25948,24816,512,0.506252079,15.801011469,15.29475939
episodes-coding-0-replay-7102,coding,replay,7102,3,catch_up,destination,2138,,512,0.725295403,15.749535024,15.024239621
episodes-coding-0-replay-7102,coding,replay,7102,7,catch_up,destination,12237,11760,512,0.189140481,14.815388966,14.626248485
episodes-coding_long-0-control-7101,coding_long,control,7101,0,control_preepoch_materialization,destination,27679,,1,29.76376723,29.768362299,0.004595069
episodes-coding_long-0-control-7101,coding_long,control,7101,1,control_preepoch_materialization,destination,30504,,1,29.060732762,29.066042827,0.005310065
episodes-coding_long-0-control-7101,coding_long,control,7101,2,control_preepoch_materialization,destination,26166,,1,29.084788489,29.089214692,0.004426203
episodes-coding_long-0-control-7101,coding_long,control,7101,3,control_preepoch_materialization,destination,26229,,1,28.183420426,28.1879127,0.004492274
episodes-coding_long-0-control-7101,coding_long,control,7101,4,control_preepoch_materialization,destination,30504,,1,29.022670029,29.027904357,0.005234328
episodes-coding_long-0-control-7101,coding_long,control,7101,5,control_preepoch_materialization,destination,29729,,1,28.914611555,28.919650791,0.005039236
episodes-coding_long-0-control-7101,coding_long,control,7101,6,control_preepoch_materialization,destination,30608,,1,28.170529822,28.175936488,0.005406666
episodes-coding_long-0-control-7101,coding_long,control,7101,7,control_preepoch_materialization,destination,29729,,1,29.398939998,29.403944322,0.005004324
episodes-coding_long-0-control-7101,coding_long,control,7101,6,control_baseline_materialization,destination,30754,30608,1,0.252906395,0.258209921,0.005303526
episodes-coding_long-0-control-7101,coding_long,control,7101,2,control_baseline_materialization,destination,26227,26160,1,0.227343227,0.232034052,0.004690825
episodes-coding_long-0-control-7101,coding_long,control,7101,7,control_baseline_materialization,destination,29854,29728,1,0.237705874,0.242959987,0.005254113
episodes-coding_long-0-control-7101,coding_long,control,7101,0,control_baseline_materialization,destination,27893,27664,1,0.243060596,0.247777821,0.004717225
episodes-coding_long-0-control-7101,coding_long,control,7101,5,control_baseline_materialization,destination,29854,29728,1,0.265032386,0.270812231,0.005779845
episodes-coding_long-0-control-7101,coding_long,control,7101,1,control_baseline_materialization,destination,30609,30496,1,0.241677669,0.24686535,0.005187681
episodes-coding_long-0-control-7101,coding_long,control,7101,3,control_baseline_materialization,destination,26511,26224,1,0.247427692,0.252223777,0.004796085
episodes-coding_long-0-control-7101,coding_long,control,7101,4,control_baseline_materialization,destination,30609,30496,1,0.257727612,0.262900446,0.005172834
episodes-coding_long-0-control-7101,coding_long,control,7101,6,control_baseline_materialization,destination,30815,30752,1,0.2396567,0.245525662,0.005868962
episodes-coding_long-0-control-7101,coding_long,control,7101,2,control_baseline_materialization,destination,1726,,1,0.218456089,0.218921263,0.000465174
episodes-coding_long-0-control-7101,coding_long,control,7101,0,control_baseline_materialization,destination,28274,27888,1,0.228036342,0.2336548,0.005618458
episodes-coding_long-0-control-7101,coding_long,control,7101,7,control_baseline_materialization,destination,30187,29840,1,0.362902447,0.373781513,0.010879066
episodes-coding_long-0-control-7101,coding_long,control,7101,1,control_baseline_materialization,destination,30754,30608,1,0.267794177,0.273347191,0.005553014
episodes-coding_long-0-control-7101,coding_long,control,7101,3,control_baseline_materialization,destination,26545,26496,1,0.203712888,0.208250765,0.004537877
episodes-coding_long-0-control-7101,coding_long,control,7101,4,control_baseline_materialization,destination,30754,30608,1,0.179391487,0.184649798,0.005258311
episodes-coding_long-0-control-7101,coding_long,control,7101,5,control_baseline_materialization,destination,30187,29840,1,0.223079477,0.228416776,0.005337299
episodes-coding_long-0-control-7101,coding_long,control,7101,2,control_baseline_materialization,destination,2300,1712,1,0.110525366,0.111076261,0.000550895
episodes-coding_long-0-control-7101,coding_long,control,7101,2,control_final_materialization,destination,2300,2288,1,0.151437669,0.152036214,0.000598545
episodes-coding_long-0-control-7101,coding_long,control,7101,1,control_final_materialization,destination,30754,30752,1,0.309484297,0.314903721,0.005419424
episodes-coding_long-0-control-7101,coding_long,control,7101,5,control_final_materialization,destination,30187,30176,1,0.329842864,0.335353188,0.005510324
episodes-coding_long-0-control-7101,coding_long,control,7101,3,control_final_materialization,destination,26545,26544,1,0.328856831,0.367032408,0.038175577
episodes-coding_long-0-control-7101,coding_long,control,7101,4,control_final_materialization,destination,30754,30752,1,0.337195059,0.358726749,0.02153169
episodes-coding_long-0-control-7101,coding_long,control,7101,6,control_baseline_materialization,destination,31134,30800,1,0.311720051,0.317560666,0.005840615
episodes-coding_long-0-control-7101,coding_long,control,7101,6,control_final_materialization,destination,31134,31120,1,0.324015364,0.329758265,0.005742901
episodes-coding_long-0-control-7101,coding_long,control,7101,0,control_baseline_materialization,destination,28574,28272,1,0.165869614,0.170851195,0.004981581
episodes-coding_long-0-control-7101,coding_long,control,7101,0,control_final_materialization,destination,28574,28560,1,0.180756839,0.1856692,0.004912361
episodes-coding_long-0-control-7101,coding_long,control,7101,7,control_baseline_materialization,destination,30493,30176,1,0.178476283,0.184020702,0.005544419
episodes-coding_long-0-control-7101,coding_long,control,7101,7,control_final_materialization,destination,30493,30480,1,0.180815468,0.185890384,0.005074916
episodes-coding_long-0-control-7102,coding_long,control,7102,0,control_preepoch_materialization,destination,31781,,1,26.436218365,26.441890662,0.005672297
episodes-coding_long-0-control-7102,coding_long,control,7102,3,control_preepoch_materialization,destination,25629,,1,25.519475723,25.523759646,0.004283923
episodes-coding_long-0-control-7102,coding_long,control,7102,4,control_preepoch_materialization,destination,25629,,1,25.558564573,25.563214693,0.00465012
episodes-coding_long-0-control-7102,coding_long,control,7102,1,control_preepoch_materialization,destination,26166,,1,25.615820586,25.620621349,0.004800763
episodes-coding_long-0-control-7102,coding_long,control,7102,2,control_preepoch_materialization,destination,26559,,1,25.706843107,25.711781738,0.004938631
episodes-coding_long-0-control-7102,coding_long,control,7102,5,control_preepoch_materialization,destination,26229,,1,26.351659652,26.356340078,0.004680426
episodes-coding_long-0-control-7102,coding_long,control,7102,7,control_preepoch_materialization,destination,25545,,1,25.396415561,25.40092211,0.004506549
episodes-coding_long-0-control-7102,coding_long,control,7102,6,control_preepoch_materialization,destination,27494,,1,26.458323511,26.463035086,0.004711575
episodes-coding_long-0-control-7102,coding_long,control,7102,6,control_baseline_materialization,destination,27582,27488,1,0.195286602,0.200217738,0.004931136
