activity,bandwidth_mbps,catch_up_cache_hit_bytes,catch_up_cache_hit_chunks,catch_up_end_ns,catch_up_new_tokens,catch_up_prompt_tokens,catch_up_request_s,catch_up_response_s,catch_up_s,catch_up_start_ns,catch_up_time_to_first_response_s,catch_up_validation_s,concurrency,current_model_time_s,idle_ns,initial_end_ns,initial_request_s,initial_response_s,initial_start_ns,initial_time_to_first_response_s,initial_validation_s,job_class,match_id,measured_kv_bytes,measured_kv_chunks,measured_processed_tokens,measured_prompt_tokens,method,order,pause_start_ns,repeat,request_wait_s,route_switch_s,scenario_id,service_pause_s,session_id,success,switch_end_ns,switch_start_ns
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,1.3487820348543986,5791262188985911,5791262188881972,3.491289669,2.139112757,5791258667984081,1.352176912,0.029214456,coding,3003506b1931dade,0,0,11047,11047,replay,0,5791262188882402,0,0.000103509,7.8199e-05,m-bfbe1246a75e6ef4,0.000182598,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791262189065000,5791262188986801
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,7.6404428390870205,5791282360852893,5791282360648435,8.349338738,0.688631366,5791273975690158,7.660707372,0.034868267,coding,2b563800448c8dea,0,0,30474,30474,replay,0,5791282360648665,1,0.000204228,0.000183828,m-fd637de1bf415b8a,0.000388526,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791282361037191,5791282360853363
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,4.343857152,5791294872322355,5791294872221126,6.537547233,2.104896432,5791288302660930,4.432650801,0.031628577,coding,fa2799ac94a53532,542982144,44,0,11047,kv_transfer,0,5791294872221526,1,0.000100829,6.9909e-05,m-a9d9176c629ac240,0.000171278,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791294872392804,5791294872322895
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,4.343857152,5791307005987058,5791307005885589,6.35329888,1.91293897,5791300621935741,4.44035991,0.030294121,coding,b816f26a5a80e29c,542982144,44,0,11047,kv_transfer,0,5791307005886019,2,0.000101039,7.3269e-05,m-7a0a0d02ab900950,0.000175128,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791307006061147,5791307005987878
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,,5791322225132095,5791322224901097,2.961413607,0.678716314,5791319228638926,2.282697293,0.034001683,coding,2b563800448c8dea,1497858048,120,0,30474,kv_transfer,0,5791322224901547,1,0.000230548,0.000172368,m-5d6081134d92fd1a,0.000403396,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791322225304943,5791322225132575
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,1.3487820348543986,5791331644462472,5791331644359904,3.271490878,1.921338652,5791328340034911,1.350152226,0.032469479,coding,fa2799ac94a53532,0,0,11047,11047,replay,0,5791331644360303,1,0.000102169,7.102e-05,m-b126de5f780335ce,0.000174049,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791331644534352,5791331644463332
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,7.6404428390870205,5791352246933064,5791352246696504,8.352667387,0.692717692,5791343864411588,7.659949695,0.029152714,coding,234a053f10496d75,0,0,30474,30474,replay,0,5791352246696894,2,0.00023617,0.000182009,m-bae67f202d673444,0.000418859,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791352247115753,5791352246933744
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,,5791387628182778,5791387627960410,12.854032704,0.684341278,5791374731772757,12.169691426,0.041311228,coding,1858969b477f5a36,1497858048,120,0,30474,kv_transfer,0,5791387627960610,0,0.000222168,0.000174518,m-d08729f0c7069bd6,0.000397436,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791387628358046,5791387628183528
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,1.3487820348543986,5791397038716729,5791397038598660,3.432496337,2.080818413,5791393569098280,1.351677924,0.036637077,coding,fa2799ac94a53532,0,0,11047,11047,replay,0,5791397038599050,1,0.000117679,6.9599e-05,m-e2fec54e089eebe7,0.000188158,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791397038787208,5791397038717609
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,4.343857152,5791410421301439,5791410421198940,6.516230359,2.078650456,5791403868615990,4.437579903,0.035992364,coding,3003506b1931dade,542982144,44,0,11047,kv_transfer,0,5791410421199460,0,0.000101979,6.7279e-05,m-9289994ecdbc6f52,0.000170078,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791410421369538,5791410421302259
none,1000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,1.3487820348543986,5791421137360889,5791421137267000,3.433282543,2.078449108,5791417661509577,1.354833435,0.042118184,coding,b816f26a5a80e29c,0,0,11047,11047,replay,0,5791421137267200,2,9.3689e-05,6.6679e-05,m-91e98fbbb97afd4c,0.000160938,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791421137428138,5791421137361459
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,7.6404428390870205,5791440680684936,5791440680467598,8.342042326,0.687414173,5791432298038841,7.654628153,0.039568119,coding,2b563800448c8dea,0,0,30474,30474,replay,0,5791440680467998,1,0.000216938,0.000175358,m-682b3476b5d23080,0.000393056,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791440680861054,5791440680685696
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,0.5501419779063589,5791449055613293,5791449055511744,2.374910523,1.833009803,5791446640865934,0.54190072,0.03946245,coding,b816f26a5a80e29c,542982144,44,0,11047,kv_transfer,0,5791449055512144,2,0.000101149,6.7509e-05,m-fd67a24cedd25cd2,0.000168928,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791449055681072,5791449055613563
none,10000.0,0,0,,0,0,0.0,0.0,0.0,,0.0,0.0,1,,5791464182122276,5791464181894689,2.75442485,0.679738301,5791461382361591,2.074686549,0.044266066,coding,234a053f10496d75,1497858048,120,0,30474,kv_transfer,0,5791464181895099,2,0.000227177,0.000175129,m-cd842d0ee91933e8,0.000402866,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5791464182297965,5791464182122836
