gpus,load,wan_gbps,deadline_s,draw,policy,shed_fraction,action_fractions,resource_utilization,qh_gap
64,0.5,40,1,4,kv_only,0.04580731227179058,"[0.0, 0.0, 0.0, 0.04580731227179058]","[0.36645849817432463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07329169963486493, 0.0, 0.0008361114376983219, 0.0, 1.0, 1.0]",0.2498162227478966
64,0.5,40,1,4,replay_only,0.25,"[0.125, 0.0, 0.125, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.004563198516960482, 0.002281599258480241, 0.0063037167579780675, 0.00026357444349631013, 0.0030801483412859843]",0.04562353501968719
64,0.5,40,1,4,isolated_fastest,0.04580731227179058,"[0.0, 0.0, 0.0, 0.04580731227179058]","[0.36645849817432463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07329169963486493, 0.0, 0.0008361114376983219, 0.0, 1.0, 1.0]",0.2498162227478966
64,0.5,40,1,5,queue_haul,0.2956261397823692,"[0.125, 0.020762625729381964, 0.125, 0.02486351405298721]","[1.0, 1.0, 0.36500911825895344, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.23322020116701117, 0.23978162248477955, 0.004942174448706567, 0.003568232393850465, 1.0, 0.5439647651924178, 1.0]",0.0
64,0.5,40,1,5,greedy,0.27283407197456006,"[0.125, 0.0, 0.125, 0.02283407197456005]","[1.0, 0.1826725757964804, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2365345151592961, 0.004563198516960482, 0.0031151704854440916, 0.006085409738156908, 0.9972248387411593, 1.0]",0.022792067807809124
64,0.5,40,1,5,kv_only,0.04580731227179058,"[0.0, 0.0, 0.0, 0.04580731227179058]","[0.36645849817432463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07329169963486493, 0.0, 0.0008361114376983219, 0.0, 1.0, 1.0]",0.2498188275105786
64,0.5,40,1,5,replay_only,0.25,"[0.125, 0.0, 0.125, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.004563198516960482, 0.002281599258480241, 0.006085409738156908, 0.00026296334984057416, 0.003038124608681307]",0.04562613978236918
64,0.5,40,1,5,isolated_fastest,0.04580731227179058,"[0.0, 0.0, 0.0, 0.04580731227179058]","[0.36645849817432463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07329169963486493, 0.0, 0.0008361114376983219, 0.0, 1.0, 1.0]",0.2498188275105786
64,0.5,40,1,6,queue_haul,0.2952182013797357,"[0.125, 0.020573145406518726, 0.125, 0.024645055973216985]","[1.0, 1.0, 0.3617456110378856, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.23291703265043, 0.23943208955714718, 0.004938715903393436, 0.0035567989078523297, 1.0, 0.5439647651924179, 1.0]",0.0
64,0.5,40,1,6,greedy,0.27263147648128,"[0.125, 0.0, 0.125, 0.022631476481279996]","[1.0, 0.18105181185023997, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.236210362370048, 0.004563198516960482, 0.0031077746178082644, 0.006556998776583197, 0.997009777523288, 1.0]",0.0225867248984557
64,0.5,40,1,6,kv_only,0.0454108197785293,"[0.0, 0.0, 0.0, 0.0454108197785293]","[0.3632865582282344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07265731164564689, 0.0, 0.0008288743418693786, 0.0, 1.0, 1.0]",0.2498073816012064
64,0.5,40,1,6,replay_only,0.25,"[0.125, 0.0, 0.125, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.004563198516960482, 0.002281599258480241, 0.006556998776583197, 0.00026597982684608125, 0.0032562023035582286]",0.0452182013797357
64,0.5,40,1,6,isolated_fastest,0.0454108197785293,"[0.0, 0.0, 0.0, 0.0454108197785293]","[0.3632865582282344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07265731164564689, 0.0, 0.0008288743418693786, 0.0, 1.0, 1.0]",0.2498073816012064
64,0.5,40,1,7,queue_haul,0.29518537502196657,"[0.12499999999999999, 0.020130287737598774, 0.125, 0.025055087284367797]","[1.0, 0.9999999999999999, 0.36148300017573254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 1.0, 0.23220846038015802, 0.24008813965498849, 0.004930632513561275, 0.003563683952187775, 0.9999999999999998, 0.5531883798197339, 0.9999999999999998]",0.0
64,0.5,40,1,7,greedy,0.27261933624713997,"[0.125, 0.0, 0.125, 0.02261933624713994]","[1.0, 0.18095468997711953, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.23619093799542393, 0.004563198516960482, 0.0031073314314208765, 0.007875484272719578, 0.9964811421124019, 1.0]",0.022566038774826602
64,0.5,40,1,7,kv_only,0.0454108197785293,"[0.0, 0.0, 0.0, 0.0454108197785293]","[0.3632865582282344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07265731164564689, 0.0, 0.0008288743418693786, 0.0, 1.0, 1.0]",0.24977455524343728
64,0.5,40,1,7,replay_only,0.25,"[0.125, 0.0, 0.125, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.2, 0.004563198516960482, 0.002281599258480241, 0.007875484272719578, 0.00027202906597357444, 0.003790886953571613]",0.04518537502196657
64,0.5,40,1,7,isolated_fastest,0.0454108197785293,"[0.0, 0.0, 0.0, 0.0454108197785293]","[0.3632865582282344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07265731164564689, 0.0, 0.0008288743418693786, 0.0, 1.0, 1.0]",0.24977455524343728
64,0.5,40,1,8,queue_haul,0.2956181928028018,"[0.125, 0.021341923159109304, 0.125, 0.024276269643692564]","[1.0, 1.0, 0.36494554242241495, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.23414707705457488, 0.23884203142990812, 0.0049527482453954105, 0.003557368487998615, 1.0, 0.5311919959511604, 1.0]",0.0
64,0.5,40,1,8,greedy,0.27283113592513364,"[0.125, 0.0, 0.125, 0.022831135925133642]","[1.0, 0.18264908740106914, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.23652981748021384, 0.004563198516960482, 0.003115063303232985, 0.006189173519495973, 0.997098465915613, 0.9999999999999998]",0.022787056877668188
