sessions,source_instances,source_nodes,solver,bandwidth_gbps_per_node,deadline_s,end_s,target_fraction_of_removable_power,initial_source_power_w,minimum_awake_source_power_w,removable_source_power_w,requested_source_drop_w,planned_source_drop_w,modeled_source_drop_at_deadline_w,modeled_fraction_of_removable_power_shed,plan_feasible,planned_moves,replay_moves,kv_moves,moves_completed_by_deadline,moves_completed_by_end,source_nodes_drained_by_deadline,source_nodes_drained_by_end,makespan_s,p95_migration_time_s,p95_service_pause_ms,network_gb,destination_queue_max_depth,destination_queue_p95_observed_wait_s,build_s,plan_s,execute_s
32,1,1,lp_peak_first,1.0,900,1350,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817685,119.36748709404162,119.36748709404162,0.805402239171362,True,28,28,0,28,28,0,0,199.9664581489446,8.136982026543208,0.0,0.001666292,0,0.0,0.0008778329938650131,0.015228667296469212,0.001642707735300064
32,1,1,lp_work_first,1.0,900,1350,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817685,119.36748709404162,119.36748709404162,0.805402239171362,True,28,28,0,28,28,0,0,199.9664581489446,8.136982026543208,0.0,0.001666292,0,0.0,0.0008778329938650131,0.01519020926207304,0.0016700001433491707
100,3,1,lp,1.0,900,1350,0.5,980.4740943860552,536.9633567344,443.5107376516552,221.7553688258276,354.6143384734015,354.6143384734015,0.7995620136528122,True,85,85,0,85,85,0,0,309.2099664186418,8.136982026543208,0.0,0.004932119,0,0.0,0.00235708337277174,0.015539041720330715,0.005117333028465509
100,3,1,lp_peak_first,1.0,900,1350,0.5,980.4740943860552,536.9633567344,443.5107376516552,221.7553688258276,354.6143384734015,354.6143384734015,0.7995620136528122,True,85,85,0,85,85,0,0,309.2099664186418,8.136982026543208,0.0,0.004932119,0,0.0,0.00235708337277174,0.03051487496122718,0.004637833219021559
100,3,1,lp_work_first,1.0,900,1350,0.5,980.4740943860552,536.9633567344,443.5107376516552,221.7553688258276,354.6143384734015,354.6143384734015,0.7995620136528122,True,85,85,0,85,85,0,0,309.2099664186418,8.136982026543208,0.0,0.004932119,0,0.0,0.00235708337277174,0.02827725000679493,0.005019249860197306
316,8,1,lp,1.0,900,1350,0.5,1865.2837936436406,536.9633567344,1328.3204369092405,664.1602184546202,1172.8768447748917,1172.8768447748917,0.8829773390402411,True,290,290,0,290,290,0,0,354.05968518115844,8.138009018543208,0.0,0.016876246,0,0.0,0.0063677080906927586,0.04183983290567994,0.015079333912581205
316,8,1,lp_peak_first,1.0,900,1350,0.5,1865.2837936436406,536.9633567344,1328.3204369092405,664.1602184546202,1172.8768447748917,1172.8768447748917,0.8829773390402411,True,290,290,0,290,290,0,0,354.05968518115844,8.138009018543208,0.0,0.016876246,0,0.0,0.0063677080906927586,0.09241016581654549,0.015588291920721531
316,8,1,lp_work_first,1.0,900,1350,0.5,1865.2837936436406,536.9633567344,1328.3204369092405,664.1602184546202,1172.8768447748917,1172.8768447748917,0.8829773390402411,True,290,290,0,290,290,0,0,354.05968518115844,8.138009018543208,0.0,0.016876246,0,0.0,0.0063677080906927586,0.07006120914593339,0.015403290744870901
1000,25,4,lp,1.0,900,1350,0.5,6292.4845896509805,2147.8534269375896,4144.631162713391,2072.3155813566955,3836.2254387483636,3836.225438748358,0.9255891026589862,True,937,937,0,937,937,2,2,368.3076543488738,8.139701120943206,0.0,0.054631667,0,0.0,0.019594041164964437,0.13304362492635846,0.053229209035634995
1000,25,4,lp_peak_first,1.0,900,1350,0.5,6292.4845896509805,2147.8534269375896,4144.631162713391,2072.3155813566955,3836.225438748364,3836.2254387483645,0.9255891026589878,True,937,937,0,937,937,3,3,365.24768733528794,8.138993567543203,0.0,0.054631667,0,0.0,0.019594041164964437,0.2322189579717815,0.0725723342038691
