scenario_id,method,bandwidth,bandwidth_mbps,workload,context_size,migration_s,migration_ttft_s,destination_request_ttft_s
aeddcab8448d85ca,replay,natural,9442.357706538389,agentic_tool_loop,8192,1.430152328,1.175087907,1.174735316
b42824122164cd0f,replay,controlled_40,3700,agentic_tool_loop,32768,5.75861689,5.497750727,5.49708894
b887db0940641542,kv_transfer,controlled_80,7500,agentic_tool_loop,32768,4.191559155,3.941686074,3.941051488
b9eee6d2f6683179,replay,controlled_80,7500,agentic_tool_loop,32768,5.8595022,5.606353518,5.605560569
c19c8559c088ce7e,replay,controlled_40,3700,agentic_tool_loop,2048,0.906161911,0.653386933,0.653060494
c52f7a48191524f3,replay,controlled_40,3700,agentic_tool_loop,32768,5.743510931,5.495197321,5.494598568
d0737ab78dbbaaa9,kv_transfer,controlled_40,3700,agentic_tool_loop,32768,6.360464867,6.107610478,6.107025981
d2d5dba5edce0db3,kv_transfer,controlled_40,3700,agentic_tool_loop,8192,2.281013317,2.096355168,2.095977298
d60c77c1ab3bbd2e,kv_transfer,natural,9442.357706538389,agentic_tool_loop,8192,1.94525319,1.689456943,1.689094887
d9578e41ad68afa3,kv_transfer,controlled_40,3700,agentic_tool_loop,8192,1.981655802,1.726792502,1.726208431
da1f4989c9075cec,kv_transfer,controlled_80,7500,agentic_tool_loop,2048,1.232537462,0.988109456,0.987734611
e6e5546e39ac4f9e,kv_transfer,controlled_80,7500,agentic_tool_loop,8192,1.850528594,1.596199531,1.595704175
e989bd131508775d,replay,controlled_80,7500,agentic_tool_loop,32768,5.723705456,5.481930066,5.481233825
f119807a1f78bc98,kv_transfer,controlled_80,7500,agentic_tool_loop,32768,4.377095893,4.128696398,4.127975851
f394baaaa63fdc00,kv_transfer,controlled_40,3700,agentic_tool_loop,32768,5.700300279,5.458044542,5.457320446
f5520701115d6bdd,kv_transfer,natural,9442.357706538389,agentic_tool_loop,8192,1.772175072,1.582114139,1.581783154
f62d8b8aac5c8bbc,replay,controlled_80,7500,agentic_tool_loop,32768,5.740249836,5.483699939,5.483071655
f9696127d3ee9a54,kv_transfer,controlled_40,3700,agentic_tool_loop,2048,1.291929344,1.05050494,1.050152331
