api_wire_bytes,bandwidth,cached_tokens,chunk_tokens,completion_s,context_tokens,destination,destination_ready_s,destination_region,exact_token_timestamps,kv_wire_bytes,mean_tpot_s,method,model,passed,repeat,revision,source,source_region,stream_span_s,timing_root,readiness_root
161741,controlled_40,0,784,50.525525758,32256,east,41.807609278,southeastasia,True,0,0.06864467527559055,replay,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,8.71787376,/datadrive/k21-qwen,/datadrive/k22-qwen
20863,controlled_40,3920,784,8.653873642,4096,germany,3.014547522,southcentralus,True,411041895,0.0444037737007874,kv_transfer,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.63927926,/datadrive/k21-qwen,/datadrive/k22-qwen
20941,controlled_40,0,784,6.95121618,4096,germany,1.313765904,southcentralus,True,0,0.044389001771653544,replay,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.637403225,/datadrive/k21-qwen,/datadrive/k22-qwen
20863,controlled_40,3920,784,8.611730429,4096,germany,2.97400673,southcentralus,True,411041895,0.04439115266929134,kv_transfer,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.637676389,/datadrive/k21-qwen,/datadrive/k22-qwen
20941,controlled_40,0,784,6.942361531,4096,germany,1.305275489,southcentralus,True,0,0.04438616339370079,replay,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.637042751,/datadrive/k21-qwen,/datadrive/k22-qwen
20863,controlled_40,3920,784,8.631435213,4096,germany,2.996987451,southcentralus,True,411041895,0.0443653828503937,kv_transfer,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.634403622,/datadrive/k21-qwen,/datadrive/k22-qwen
20941,controlled_40,0,784,6.925293495,4096,germany,1.305803257,southcentralus,True,0,0.04424760817322835,replay,Qwen/Qwen3.8-27B,True,2,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,5.619446238,/datadrive/k21-qwen,/datadrive/k22-qwen
82302,controlled_40,15680,784,13.114617245,16384,germany,6.817015519,southcentralus,True,1181745520,0.049587061149606294,kv_transfer,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,6.297556766,/datadrive/k21-qwen,/datadrive/k22-qwen
82380,controlled_40,0,784,18.135632258,16384,germany,11.845110854,southcentralus,True,0,0.04953131372440945,replay,Qwen/Qwen3.8-27B,True,0,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,6.290476843,/datadrive/k21-qwen,/datadrive/k22-qwen
82302,controlled_40,15680,784,13.041989866,16384,germany,6.740069509,southcentralus,True,1181745520,0.049621052338582675,kv_transfer,Qwen/Qwen3.8-27B,True,1,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,westus3,westus3,6.301873647,/datadrive/k21-qwen,/datadrive/k22-qwen
