context_seed,fault_axis,target_fraction,requested_shed_w,repair_outcome,changed_sessions,repair_target_s,no_replan_target_s,repair_by_cutoff,no_replan_by_cutoff
47,bandwidth,0.5,30.928316227187338,applied,4,30.774086998763757,35.389353478923944,False,False
49,bandwidth,0.5,30.928316227187338,applied,5,31.699269383254467,,False,False
54,bandwidth,0.5,30.928316227187338,applied,4,23.833737535513823,39.698242560511986,True,False
57,bandwidth,0.5,30.928316227187338,applied,3,27.18106039556462,28.795951901546218,False,False
59,bandwidth,0.5,30.928316227187338,applied,3,29.344030755857908,36.71067474244029,False,False
61,bandwidth,0.5,30.928316227187338,applied,4,29.059058877310832,34.920863457555335,False,False
62,bandwidth,0.5,30.928316227187338,applied,4,37.39395699909572,39.698242560511986,False,False
64,bandwidth,0.5,30.928316227187338,applied,3,22.118709414060902,34.376862729923886,True,False
66,bandwidth,0.5,30.928316227187338,applied,4,27.14076433606929,28.964922979640253,False,False
69,bandwidth,0.5,30.928316227187338,applied,4,29.883663778751636,36.25028089954069,False,False
70,bandwidth,0.5,30.928316227187338,applied,3,26.61111663847047,37.18952831662368,False,False
72,bandwidth,0.5,30.928316227187338,applied,3,30.53701502777475,27.63477011071039,False,False
73,bandwidth,0.5,30.928316227187338,applied,3,25.015283097521696,38.14221191788891,False,False
74,bandwidth,0.5,30.928316227187338,applied,4,23.263793778419675,37.06909511663372,True,False
75,bandwidth,0.5,30.928316227187338,applied,6,31.059058877310832,,False,False
76,bandwidth,0.5,30.928316227187338,applied,3,26.210315080105197,37.51842968337938,False,False
78,bandwidth,0.5,30.928316227187338,applied,3,24.59663055387337,33.750293571891774,True,False
85,bandwidth,0.5,30.928316227187338,applied,3,23.270235363799003,34.09189085137682,True,False
90,bandwidth,0.5,30.928316227187338,applied,4,32.61827734963331,29.79121627858703,False,False
92,bandwidth,0.5,30.928316227187338,applied,5,32.819803604630025,38.61961165254536,False,False
99,bandwidth,0.5,30.928316227187338,applied,4,23.71960730918987,34.376862729923886,True,False
102,bandwidth,0.5,30.928316227187338,applied,4,34.16890540424244,,False,False
107,bandwidth,0.5,30.928316227187338,applied,4,31.641852255553815,72.22545682025036,False,False
110,bandwidth,0.5,30.928316227187338,applied,5,35.01090139743192,48.22754233813632,False,False
113,bandwidth,0.5,30.928316227187338,applied,4,41.11685899215475,52.85315294898035,False,False
116,bandwidth,0.5,30.928316227187338,applied,5,29.965679695751483,,False,False
118,bandwidth,0.5,30.928316227187338,applied,4,34.51849417302236,,False,False
119,bandwidth,0.5,30.928316227187338,applied,5,33.836437980267476,,False,False
122,bandwidth,0.5,30.928316227187338,applied,3,34.02092098040211,37.51842968337938,False,False
124,joint,0.5,30.928316227187338,applied,14,19.907777924668682,73.05727759213701,True,False
124,prefill,0.5,30.928316227187338,applied,14,19.907777924668682,65.45929237533436,True,False
125,bandwidth,0.5,30.928316227187338,applied,3,21.283825485718264,35.19586847736424,True,False
128,bandwidth,0.5,30.928316227187338,applied,5,25.636161685639507,37.4083600362042,False,False
131,bandwidth,0.5,30.928316227187338,applied,4,24.506814467600705,37.04993966201077,True,False
132,bandwidth,0.5,30.928316227187338,applied,3,30.0408666627395,35.22481480036683,False,False
135,bandwidth,0.5,30.928316227187338,applied,5,35.54507316265706,,False,False
137,bandwidth,0.5,30.928316227187338,applied,3,29.059058877310832,37.51842968337938,False,False
139,bandwidth,0.5,30.928316227187338,applied,5,37.302266215042344,62.81140783029572,False,False
142,bandwidth,0.5,30.928316227187338,applied,3,18.7857171077017,34.849938852170865,True,False
147,bandwidth,0.5,30.928316227187338,applied,3,32.239915233538625,47.44068733930454,False,False
148,bandwidth,0.5,30.928316227187338,applied,3,23.773900350213268,32.584302957583226,True,False
152,joint,0.5,30.928316227187338,applied,14,38.51619411838549,107.34092184785098,False,False
152,prefill,0.5,30.928316227187338,applied,14,38.51619411838549,93.57159699017126,False,False
153,bandwidth,0.5,30.928316227187338,applied,5,34.47095791629681,,False,False
155,bandwidth,0.5,30.928316227187338,applied,3,25.833431316877007,32.47920477025005,False,False
158,joint,0.5,30.928316227187338,applied,15,40.96413635722585,93.57159699017126,False,False
158,prefill,0.5,30.928316227187338,applied,15,40.96413635722585,86.07147109376183,False,False
159,bandwidth,0.5,30.928316227187338,applied,3,24.643308761137813,35.72861839849442,True,False
164,bandwidth,0.5,30.928316227187338,applied,4,30.3174517662232,37.10977684731132,False,False
172,bandwidth,0.5,30.928316227187338,applied,3,21.833737535513826,34.37686272992389,True,False
173,bandwidth,0.5,30.928316227187338,applied,5,32.93106878212388,51.523735506994996,False,False
175,bandwidth,0.5,30.928316227187338,applied,4,37.475972916095564,74.24446337753061,False,False
179,bandwidth,0.5,30.928316227187338,applied,5,32.121180546568844,,False,False
181,bandwidth,0.5,30.928316227187338,applied,3,19.60408384800849,32.94618308256031,True,False
185,bandwidth,0.5,30.928316227187338,applied,5,31.174353026246504,48.22754233813632,False,False
187,bandwidth,0.5,30.928316227187338,applied,4,35.14793583852636,34.9098041814014,False,False
189,bandwidth,0.5,30.928316227187338,applied,3,24.41653091375681,36.261340175694635,True,False
191,bandwidth,0.5,30.928316227187338,applied,5,23.54876565696675,39.42736659348445,True,False
192,bandwidth,0.5,30.928316227187338,applied,4,21.283825485718264,28.714521580022755,True,False
192,joint,0.5,30.928316227187338,applied,12,34.27798728004449,99.10324190656848,False,False
192,prefill,0.5,30.928316227187338,applied,12,34.27798728004449,65.55715169572758,False,False
193,bandwidth,0.5,30.928316227187338,applied,6,32.901819521629875,,False,False
198,bandwidth,0.5,30.928316227187338,applied,5,29.01459389174162,52.33149044793409,False,False
200,bandwidth,0.5,30.928316227187338,applied,3,22.96356712342804,37.06909511663372,True,False
202,bandwidth,0.5,30.928316227187338,applied,3,21.54876565696675,34.09189085137682,True,False
206,bandwidth,0.5,30.928316227187338,applied,2,21.833737535513826,26.401894141428393,True,False
208,bandwidth,0.5,30.928316227187338,applied,5,30.19323444659791,,False,False
212,joint,0.5,30.928316227187338,applied,15,37.01090139743192,127.10010988983032,False,False
212,prefill,0.5,30.928316227187338,applied,15,37.01090139743192,73.05727759213701,False,False
216,joint,0.5,30.928316227187338,applied,8,30.23986245521584,73.05727759213701,False,False
216,prefill,0.5,30.928316227187338,applied,8,30.23986245521584,52.54295819410276,False,False
218,bandwidth,0.5,30.928316227187338,applied,5,23.434635430642793,36.68403105375082,True,False
219,bandwidth,0.5,30.928316227187338,applied,3,22.96356712342804,27.863719457174106,True,False
223,bandwidth,0.5,30.928316227187338,applied,5,29.500608177087845,,False,False
226,bandwidth,0.5,30.928316227187338,applied,3,27.64116304977373,34.58159853798486,False,False
228,bandwidth,0.5,30.928316227187338,applied,4,31.344030755857908,52.513888029409884,False,False
229,bandwidth,0.5,30.928316227187338,applied,4,32.994942591910025,28.064849561658605,False,False
231,bandwidth,0.5,30.928316227187338,applied,5,31.861518038087972,25.148755825364162,False,False
232,bandwidth,0.5,30.928316227187338,applied,6,35.01090139743192,,False,False
234,bandwidth,0.5,30.928316227187338,applied,4,24.049123659373535,25.506814467600705,True,False
236,bandwidth,0.5,30.928316227187338,applied,3,24.167549548030227,32.47960092076227,True,False
248,bandwidth,0.5,30.928316227187338,applied,5,31.677842768374305,,False,False
251,bandwidth,0.5,30.928316227187338,applied,3,25.7805786915007,29.506244400039954,False,False
253,joint,0.5,30.928316227187338,applied,13,35.21333624390392,106.58579049179608,False,False
253,prefill,0.5,30.928316227187338,applied,13,35.21333624390392,73.05727759213701,False,False
254,bandwidth,0.5,30.928316227187338,applied,4,30.93853571192353,37.45047323972791,False,False
255,bandwidth,0.5,30.928316227187338,applied,3,26.326144759923395,35.72861839849442,False,False
259,joint,0.5,30.928316227187338,applied,14,33.45384313688178,114.0859163882055,False,False
259,prefill,0.5,30.928316227187338,applied,14,33.45384313688178,114.0859163882055,False,False
260,bandwidth,0.5,30.928316227187338,applied,5,33.90249509174542,37.06909511663372,False,False
262,bandwidth,0.5,30.928316227187338,applied,5,27.708128640959416,35.72861839849442,False,False
265,bandwidth,0.5,30.928316227187338,applied,4,24.379763497470897,30.220415809071067,True,False
271,bandwidth,0.5,30.928316227187338,applied,3,29.059058877310832,36.71067474244029,False,False
275,bandwidth,0.5,30.928316227187338,applied,3,21.54876565696675,34.920863457555335,True,False
276,bandwidth,0.5,30.928316227187338,applied,3,27.28518134193048,33.12757348563218,False,False
278,bandwidth,0.5,30.928316227187338,applied,5,35.68349337996713,,False,False
283,bandwidth,0.5,30.928316227187338,applied,4,32.79121627858704,29.730258531940734,False,False
287,joint,0.5,30.928316227187338,applied,13,40.394192600131696,106.58579049179608,False,False
287,prefill,0.5,30.928316227187338,applied,13,40.394192600131696,86.07147109376183,False,False
291,bandwidth,0.5,30.928316227187338,applied,4,30.94202622351156,26.82010982326684,False,False
297,bandwidth,0.5,30.928316227187338,applied,5,27.583745922073085,,False,False
298,bandwidth,0.5,30.928316227187338,applied,3,23.71960730918987,35.389353478923944,True,False
300,bandwidth,0.5,30.928316227187338,applied,5,26.885122864011905,,False,False
301,bandwidth,0.5,30.928316227187338,applied,3,21.283825485718264,33.404363946698396,True,False
303,bandwidth,0.5,30.928316227187338,applied,4,29.635459316490476,,False,False
305,bandwidth,0.5,30.928316227187338,applied,4,21.548765656966747,35.8386880456696,True,False
308,bandwidth,0.5,30.928316227187338,applied,3,26.326144759923395,37.4083600362042,False,False
311,bandwidth,0.5,30.928316227187338,applied,4,37.14575253683455,26.960826710110396,False,False
314,joint,0.5,30.928316227187338,applied,15,22.925663920603192,80.85254269102816,True,False
314,prefill,0.5,30.928316227187338,applied,15,22.925663920603192,80.85254269102816,True,False
319,bandwidth,0.5,30.928316227187338,applied,6,29.59845514429646,52.33149044793409,False,False
320,bandwidth,0.5,30.928316227187338,applied,4,33.52413039597447,,False,False
321,bandwidth,0.5,30.928316227187338,applied,5,35.03093310473052,43.92861225283089,False,False
323,bandwidth,0.5,30.928316227187338,applied,3,27.579448587016202,25.435889862216236,False,False
326,bandwidth,0.5,30.928316227187338,applied,2,17.770629837898873,25.4903531048492,True,False
327,joint,0.5,30.928316227187338,applied,8,17.86331293909947,73.05727759213701,True,False
327,prefill,0.5,30.928316227187338,applied,8,17.86331293909947,50.709741221222004,True,False
328,bandwidth,0.5,30.928316227187338,applied,4,32.57159914236887,67.10881279772325,False,False
334,bandwidth,0.5,30.928316227187338,applied,4,21.833737535513823,38.74883675434349,True,False
334,joint,0.5,30.928316227187338,applied,14,40.27568722540763,129.22164263587672,False,False
334,prefill,0.5,30.928316227187338,applied,14,40.27568722540763,52.54295819410276,False,False
336,bandwidth,0.5,30.928316227187338,applied,4,29.059058877310832,30.232765578364052,False,False
339,bandwidth,0.5,30.928316227187338,applied,4,33.32516297117103,33.304411926406424,False,False
341,bandwidth,0.5,30.928316227187338,applied,3,21.833737535513826,34.37686272992389,True,False
342,joint,0.5,30.928316227187338,applied,14,35.21333624390392,134.60023578623975,False,False
342,prefill,0.5,30.928316227187338,applied,14,35.21333624390392,73.05727759213701,False,False
343,bandwidth,0.5,30.928316227187338,applied,4,21.833737535513823,32.35897673398938,True,False
343,joint,0.5,30.928316227187338,applied,13,39.72814386845655,106.58579049179608,False,False
343,prefill,0.5,30.928316227187338,applied,13,39.72814386845655,73.05727759213701,False,False
344,bandwidth,0.5,30.928316227187338,applied,6,31.059058877310832,,False,False
346,bandwidth,0.5,30.928316227187338,applied,4,31.140061966920253,37.51842968337938,False,False
350,bandwidth,0.5,30.928316227187338,applied,3,28.944928650986874,39.358977640941504,False,False
351,bandwidth,0.5,30.928316227187338,applied,5,23.996707895807106,65.1936126175575,True,False
356,bandwidth,0.5,30.928316227187338,applied,5,28.72311145644243,71.88619190067988,False,False
357,bandwidth,0.5,30.928316227187338,applied,3,21.263793778419675,32.12717733511997,True,False
358,bandwidth,0.5,30.928316227187338,applied,3,24.566651652901257,28.735706153944797,True,False
361,bandwidth,0.5,30.928316227187338,applied,4,31.791972994698263,51.523735506994996,False,False
367,bandwidth,0.5,30.928316227187338,applied,4,32.994942591910025,66.76954787815276,False,False
370,bandwidth,0.5,30.928316227187338,applied,5,39.51622826429324,,False,False
373,bandwidth,0.5,30.928316227187338,applied,3,27.60687199044748,27.63477011071039,False,False
378,bandwidth,0.5,30.928316227187338,applied,3,31.791972994698263,25.435889862216236,False,False
379,bandwidth,0.5,30.928316227187338,applied,4,30.032479887676125,,False,False
380,bandwidth,0.5,30.928316227187338,applied,4,35.260149930425975,,False,False
381,bandwidth,0.5,30.928316227187338,applied,3,27.242837848368126,36.93987001483559,False,False
385,joint,0.5,30.928316227187338,applied,13,36.56935209765491,73.05727759213701,False,False
385,prefill,0.5,30.928316227187338,applied,13,36.56935209765491,32.028638796068506,False,False
386,bandwidth,0.5,30.928316227187338,applied,4,28.767694059700414,31.412582241408085,False,False
388,bandwidth,0.5,30.928316227187338,applied,3,26.181776400378194,32.69712109221412,False,False
390,bandwidth,0.5,30.928316227187338,applied,5,31.018852175429142,,False,False
391,bandwidth,0.5,30.928316227187338,applied,3,22.736789276047034,27.109136995912678,True,False
392,joint,0.5,30.928316227187338,applied,14,35.25140829040979,93.88431350383482,False,False
392,prefill,0.5,30.928316227187338,applied,14,35.25140829040979,50.709741221222004,False,False
394,bandwidth,0.5,30.928316227187338,applied,5,34.82619654369337,,False,False
396,bandwidth,0.5,30.928316227187338,applied,3,23.092027903443594,35.26012837712581,True,False
398,bandwidth,0.5,30.928316227187338,applied,4,22.96356712342804,25.616884114775885,True,False
401,bandwidth,0.5,30.928316227187338,applied,3,21.485351740714982,28.111474640877255,True,False
402,bandwidth,0.5,30.928316227187338,applied,5,40.43067430802401,,False,False
403,bandwidth,0.5,30.928316227187338,applied,4,34.499545242339806,67.44807771729371,False,False
404,bandwidth,0.5,30.928316227187338,applied,4,33.97606117155861,,False,False
405,bandwidth,0.5,30.928316227187338,applied,4,35.93108241778842,31.470957916296804,False,False
407,bandwidth,0.5,30.928316227187338,applied,4,33.32159389326359,26.62156179053992,False,False
409,joint,0.5,30.928316227187338,applied,13,35.25140829040979,93.57159699017126,False,False
409,prefill,0.5,30.928316227187338,applied,13,35.25140829040979,93.57159699017126,False,False
413,bandwidth,0.5,30.928316227187338,applied,5,36.85432397620199,37.0280306772552,False,False
416,bandwidth,0.5,30.928316227187338,applied,4,26.02838700324964,,False,False
418,bandwidth,0.5,30.928316227187338,applied,5,36.883613671394016,,False,False
419,bandwidth,0.5,30.928316227187338,applied,3,26.94322919749263,33.80691897282974,False,False
420,bandwidth,0.5,30.928316227187338,applied,4,33.538680223593715,51.18447058742453,False,False
421,bandwidth,0.5,30.928316227187338,applied,5,25.605439704220704,39.698242560511986,False,False
422,joint,0.5,30.928316227187338,applied,9,17.212935853787123,73.05727759213701,True,False
422,prefill,0.5,30.928316227187338,applied,9,17.212935853787123,32.028638796068506,True,False
423,bandwidth,0.5,30.928316227187338,applied,6,32.51849417302236,56.30111460995164,False,False
427,bandwidth,0.5,30.928316227187338,applied,3,26.04117288137632,33.54507316265706,False,False
433,bandwidth,0.5,30.928316227187338,applied,2,22.96356712342804,27.45506662110605,True,False
434,bandwidth,0.5,30.928316227187338,applied,4,24.76418282870635,40.07015801785984,True,False
435,bandwidth,0.5,30.928316227187338,applied,4,21.485351740714982,32.412149213667035,True,False
437,bandwidth,0.5,30.928316227187338,applied,5,29.24640692627557,,False,False
438,joint,0.5,30.928316227187338,applied,13,39.1582001113624,134.60023578623975,False,False
438,prefill,0.5,30.928316227187338,applied,13,39.1582001113624,73.05727759213701,False,False
439,bandwidth,0.5,30.928316227187338,applied,6,29.559416879717617,,False,False
440,bandwidth,0.5,30.928316227187338,applied,3,30.67538659876884,27.055964516235022,False,False
441,bandwidth,0.5,30.928316227187338,applied,4,25.636161685639514,37.28426295114207,False,False
442,bandwidth,0.5,30.928316227187338,applied,4,30.396460155088867,34.920863457555335,False,False
443,bandwidth,0.5,30.928316227187338,applied,5,34.56295915859157,34.388141680355126,False,False
444,bandwidth,0.5,30.928316227187338,applied,3,24.28167977435418,34.920863457555335,True,False
445,bandwidth,0.5,30.928316227187338,applied,4,30.344746760671477,,False,False
449,bandwidth,0.5,30.928316227187338,applied,4,30.210315080105204,52.513888029409884,False,False
454,bandwidth,0.5,30.928316227187338,applied,5,35.295873275979005,,False,False
456,joint,0.5,30.928316227187338,applied,8,17.212935853787123,73.05727759213701,True,False
456,prefill,0.5,30.928316227187338,applied,8,17.212935853787123,50.709741221222004,True,False
457,bandwidth,0.5,30.928316227187338,applied,4,23.798451051770677,27.581597631032736,True,False
458,bandwidth,0.5,30.928316227187338,applied,3,22.96356712342804,35.8386880456696,True,False
465,joint,0.5,30.928316227187338,applied,14,30.150985262400198,80.5675708124811,False,False
465,prefill,0.5,30.928316227187338,applied,14,30.150985262400198,80.5675708124811,False,False
471,bandwidth,0.5,30.928316227187338,applied,6,31.059058877310832,,False,False
473,joint,0.5,30.928316227187338,applied,13,27.506948337828405,73.05727759213701,False,False
473,prefill,0.5,30.928316227187338,applied,13,27.506948337828405,52.54295819410276,False,False
474,bandwidth,0.5,30.928316227187338,applied,3,21.310212753434982,35.389353478923944,True,False
475,bandwidth,0.5,30.928316227187338,applied,4,22.887599220971563,42.27955837606278,True,False
478,bandwidth,0.5,30.928316227187338,applied,5,34.908212460693214,,False,False
479,bandwidth,0.5,30.928316227187338,applied,3,22.118709414060902,34.376862729923886,True,False
482,bandwidth,0.5,30.928316227187338,applied,3,29.629002634404983,35.72861839849442,False,False
484,bandwidth,0.5,30.928316227187338,applied,3,24.452521426577302,35.43003520960154,True,False
487,bandwidth,0.5,30.928316227187338,applied,3,25.114377068352567,36.6703897058393,False,False
488,bandwidth,0.5,30.928316227187338,applied,5,26.02838700324964,40.03750748008245,False,False
489,bandwidth,0.5,30.928316227187338,applied,2,23.089132096889408,29.214559728128187,True,False
490,bandwidth,0.5,30.928316227187338,applied,3,25.74599457690659,33.46532169334469,False,False
492,joint,0.5,30.928316227187338,applied,13,33.45384313688178,127.11768720101217,False,False
492,prefill,0.5,30.928316227187338,applied,13,33.45384313688178,93.57159699017126,False,False
493,bandwidth,0.5,30.928316227187338,applied,4,35.8903751110747,26.503507483593225,False,False
494,bandwidth,0.5,30.928316227187338,applied,3,24.506814467600705,33.92477967572252,True,False
498,bandwidth,0.5,30.928316227187338,applied,4,29.78697163056404,55.96184969038117,False,False
499,bandwidth,0.5,30.928316227187338,applied,5,33.836437980267476,39.00402314394329,False,False
500,bandwidth,0.5,30.928316227187338,applied,3,24.28167977435418,36.261340175694635,True,False
501,bandwidth,0.5,30.928316227187338,applied,4,28.774086998763757,30.40790456564405,False,False
502,bandwidth,0.5,30.928316227187338,applied,5,33.37757873473746,,False,False
505,bandwidth,0.5,30.928316227187338,applied,5,30.774086998763757,,False,False
509,bandwidth,0.5,30.928316227187338,applied,3,22.850831804685647,32.12717733511997,True,False
510,bandwidth,0.5,30.928316227187338,applied,3,29.96211061784404,32.26644144485054,False,False
