checkpoint_id,checkpoint_step,lead_time,predicted_probability,run_id,threshold_name,threshold_value
progress_drop_01_lint_then_runtime_failure__armC__a943cd95::6,6,1,0.499205977477384,progress_drop_01_lint_then_runtime_failure__armC__a943cd95,prevalence,0.14553990610328638
progress_drop_03_lint_clean_logic_wrong__armC__8e0cde09::1,1,2,0.7730913803296892,progress_drop_03_lint_clean_logic_wrong__armC__8e0cde09,prevalence,0.14553990610328638
progress_drop_03_lint_clean_logic_wrong__armC__8e0cde09::2,2,1,0.8919062492251795,progress_drop_03_lint_clean_logic_wrong__armC__8e0cde09,prevalence,0.14553990610328638
progress_drop_03_lint_clean_logic_wrong__armC__bf4b2df7::1,1,2,0.7730913803296892,progress_drop_03_lint_clean_logic_wrong__armC__bf4b2df7,prevalence,0.14553990610328638
progress_drop_03_lint_clean_logic_wrong__armC__bf4b2df7::2,2,1,0.8919062492251795,progress_drop_03_lint_clean_logic_wrong__armC__bf4b2df7,prevalence,0.14553990610328638
stuck_blocked_01_missing_dep_loop__armB__22d3af19::3,3,2,0.8969347691872066,stuck_blocked_01_missing_dep_loop__armB__22d3af19,prevalence,0.14553990610328638
stuck_blocked_01_missing_dep_loop__armB__22d3af19::4,4,1,0.8989336350847242,stuck_blocked_01_missing_dep_loop__armB__22d3af19,prevalence,0.14553990610328638
stuck_blocked_01_missing_dep_loop__armB__a0441ef5::2,2,4,0.8378214587314725,stuck_blocked_01_missing_dep_loop__armB__a0441ef5,prevalence,0.14553990610328638
stuck_blocked_01_missing_dep_loop__armC__1317d385::6,6,2,0.9765544648431095,stuck_blocked_01_missing_dep_loop__armC__1317d385,prevalence,0.14553990610328638
stuck_blocked_01_missing_dep_loop__armC__1317d385::7,7,1,0.912319427662949,stuck_blocked_01_missing_dep_loop__armC__1317d385,prevalence,0.14553990610328638
stuck_blocked_04_module_not_found_pythonpath__armC__7824b1d7::4,4,1,0.9238801983570408,stuck_blocked_04_module_not_found_pythonpath__armC__7824b1d7,prevalence,0.14553990610328638
validation_new_work_04_tz_offset_in_log__armC__c4758717::4,4,2,0.920938104725098,validation_new_work_04_tz_offset_in_log__armC__c4758717,prevalence,0.14553990610328638
validation_new_work_04_tz_offset_in_log__armC__c4758717::5,5,1,0.8832781523993806,validation_new_work_04_tz_offset_in_log__armC__c4758717,prevalence,0.14553990610328638
validation_new_work_05_quoted_field_in_tsv__armC__09b20117::4,4,1,0.9193564233987154,validation_new_work_05_quoted_field_in_tsv__armC__09b20117,prevalence,0.14553990610328638
validation_new_work_05_quoted_field_in_tsv__armC__3393383d::2,2,2,0.8439432725109676,validation_new_work_05_quoted_field_in_tsv__armC__3393383d,prevalence,0.14553990610328638
validation_new_work_05_quoted_field_in_tsv__armC__3393383d::3,3,1,0.9024595483368216,validation_new_work_05_quoted_field_in_tsv__armC__3393383d,prevalence,0.14553990610328638
