arm,checkpoint_event_types,checkpoint_has_add_split_reopen,checkpoint_id,checkpoint_step,coding_progress,current_progress,drop_magnitude,features_max_step,features_max_step_status,future_min_progress_within_h5,horizon,label,label_matches,lead_time,model_name,next_drop_step,run_id,shipped_label,task_family,task_id
C,UPDATE_STATUS,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::3,3,1.0,1.0,0.33333333333333337,3,assumed,0.6666666666666666,5,1,True,2.0,claude-haiku-4-5,5.0,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,1.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,"ADD_SUBTASK,UPDATE_STATUS",True,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::4,4,1.0,1.0,0.33333333333333337,4,assumed,0.6666666666666666,5,1,True,1.0,claude-haiku-4-5,5.0,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,1.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,ADD_SUBTASK,True,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::5,5,0.6666666666666666,0.6666666666666666,0.0,5,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::6,6,0.6666666666666666,0.6666666666666666,0.0,6,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::7,7,0.6666666666666666,0.6666666666666666,0.0,7,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::8,8,0.6666666666666666,0.6666666666666666,0.0,8,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::9,9,0.6666666666666666,0.6666666666666666,0.0,9,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::10,10,0.6666666666666666,0.6666666666666666,0.0,10,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208::11,11,0.6666666666666666,0.6666666666666666,0.0,11,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__825e9208,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,INIT,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,ADD_SUBTASK,True,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::1,1,0.0,0.0,0.0,1,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,UPDATE_STATUS,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::2,2,1.0,1.0,0.33333333333333337,2,assumed,0.6666666666666666,5,1,True,2.0,claude-haiku-4-5,4.0,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,1.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,"ADD_SUBTASK,UPDATE_STATUS",True,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::3,3,1.0,1.0,0.33333333333333337,3,assumed,0.6666666666666666,5,1,True,1.0,claude-haiku-4-5,4.0,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,1.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,ADD_SUBTASK,True,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::4,4,0.6666666666666666,0.6666666666666666,0.0,4,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::5,5,0.6666666666666666,0.6666666666666666,0.0,5,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
C,,False,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd::6,6,0.6666666666666666,0.6666666666666666,0.0,6,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_01_subtasks_done_verifier_strict__armC__9d5fecbd,0.0,high_progress_failure,high_progress_failure_01_subtasks_done_verifier_strict
A,INIT,False,high_progress_failure_02_partial_solution_passes_smoke__armA__89405640::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_02_partial_solution_passes_smoke__armA__89405640,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
A,ADD_SUBTASK,True,high_progress_failure_02_partial_solution_passes_smoke__armA__89405640::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_02_partial_solution_passes_smoke__armA__89405640,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
A,,False,high_progress_failure_02_partial_solution_passes_smoke__armA__89405640::2,2,0.0,0.0,0.0,2,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_02_partial_solution_passes_smoke__armA__89405640,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
A,INIT,False,high_progress_failure_02_partial_solution_passes_smoke__armA__d83c4aa3::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_02_partial_solution_passes_smoke__armA__d83c4aa3,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
B,INIT,False,high_progress_failure_02_partial_solution_passes_smoke__armB__3db6b834::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-sonnet-4-6,,high_progress_failure_02_partial_solution_passes_smoke__armB__3db6b834,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
B,INIT,False,high_progress_failure_02_partial_solution_passes_smoke__armB__c283f388::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-sonnet-4-6,,high_progress_failure_02_partial_solution_passes_smoke__armB__c283f388,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
B,ADD_SUBTASK,True,high_progress_failure_02_partial_solution_passes_smoke__armB__c283f388::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-sonnet-4-6,,high_progress_failure_02_partial_solution_passes_smoke__armB__c283f388,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,INIT,False,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,,False,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,ADD_SUBTASK,True,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795::2,2,0.0,0.0,0.0,2,assumed,0.0,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,,False,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795::3,3,0.0,0.0,0.0,3,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,UPDATE_STATUS,False,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795::4,4,1.0,1.0,0.33333333333333337,4,assumed,0.6666666666666666,5,1,True,2.0,claude-haiku-4-5,6.0,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,1.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,"ADD_SUBTASK,UPDATE_STATUS",True,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795::5,5,1.0,1.0,0.33333333333333337,5,assumed,0.6666666666666666,5,1,True,1.0,claude-haiku-4-5,6.0,high_progress_failure_02_partial_solution_passes_smoke__armC__924a5795,1.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,INIT,False,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,ADD_SUBTASK,True,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,,False,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::2,2,0.0,0.0,0.0,2,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,UPDATE_STATUS,False,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::3,3,1.0,1.0,0.33333333333333337,3,assumed,0.6666666666666666,5,1,True,4.0,claude-haiku-4-5,7.0,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,1.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,,False,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::4,4,1.0,1.0,0.33333333333333337,4,assumed,0.6666666666666666,5,1,True,3.0,claude-haiku-4-5,7.0,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,1.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,,False,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::5,5,1.0,1.0,0.33333333333333337,5,assumed,0.6666666666666666,5,1,True,2.0,claude-haiku-4-5,7.0,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,1.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,"ADD_SUBTASK,UPDATE_STATUS",True,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::6,6,1.0,1.0,0.33333333333333337,6,assumed,0.6666666666666666,5,1,True,1.0,claude-haiku-4-5,7.0,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,1.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,ADD_SUBTASK,True,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::7,7,0.6666666666666666,0.6666666666666666,0.0,7,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,,False,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::8,8,0.6666666666666666,0.6666666666666666,0.0,8,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,,False,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::9,9,0.6666666666666666,0.6666666666666666,0.0,9,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,,False,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd::10,10,0.6666666666666666,0.6666666666666666,0.0,10,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_02_partial_solution_passes_smoke__armC__f4f11fbd,0.0,high_progress_failure,high_progress_failure_02_partial_solution_passes_smoke
C,INIT,False,high_progress_failure_03_url_encode_strict__armC__b8f48a10::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-haiku-4-5,,high_progress_failure_03_url_encode_strict__armC__b8f48a10,0.0,high_progress_failure,high_progress_failure_03_url_encode_strict
A,INIT,False,high_progress_failure_04_idempotent_required__armA__abe752e5::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-opus-4-7,,high_progress_failure_04_idempotent_required__armA__abe752e5,0.0,high_progress_failure,high_progress_failure_04_idempotent_required
C,INIT,False,high_progress_failure_04_idempotent_required__armC__d1780157::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-haiku-4-5,,high_progress_failure_04_idempotent_required__armC__d1780157,0.0,high_progress_failure,high_progress_failure_04_idempotent_required
C,ADD_SUBTASK,True,high_progress_failure_04_idempotent_required__armC__d1780157::1,1,0.0,0.0,0.0,1,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,high_progress_failure_04_idempotent_required__armC__d1780157,0.0,high_progress_failure,high_progress_failure_04_idempotent_required
C,UPDATE_STATUS,False,high_progress_failure_04_idempotent_required__armC__d1780157::2,2,1.0,1.0,0.33333333333333337,2,assumed,0.6666666666666666,5,1,True,2.0,claude-haiku-4-5,4.0,high_progress_failure_04_idempotent_required__armC__d1780157,1.0,high_progress_failure,high_progress_failure_04_idempotent_required
C,INIT,False,low_progress_success_01_oneline_fix__armC__747b0e3f::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-haiku-4-5,,low_progress_success_01_oneline_fix__armC__747b0e3f,0.0,low_progress_success,low_progress_success_01_oneline_fix
C,ADD_SUBTASK,True,low_progress_success_01_oneline_fix__armC__747b0e3f::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-haiku-4-5,,low_progress_success_01_oneline_fix__armC__747b0e3f,0.0,low_progress_success,low_progress_success_01_oneline_fix
A,INIT,False,low_progress_success_04_missing_env_export__armA__250c1650::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-opus-4-7,,low_progress_success_04_missing_env_export__armA__250c1650,0.0,low_progress_success,low_progress_success_04_missing_env_export
A,ADD_SUBTASK,True,low_progress_success_04_missing_env_export__armA__250c1650::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-opus-4-7,,low_progress_success_04_missing_env_export__armA__250c1650,0.0,low_progress_success,low_progress_success_04_missing_env_export
A,,False,low_progress_success_04_missing_env_export__armA__250c1650::2,2,0.0,0.0,0.0,2,assumed,0.0,5,0,True,,claude-opus-4-7,,low_progress_success_04_missing_env_export__armA__250c1650,0.0,low_progress_success,low_progress_success_04_missing_env_export
A,,False,low_progress_success_04_missing_env_export__armA__250c1650::3,3,0.0,0.0,0.0,3,assumed,0.0,5,0,True,,claude-opus-4-7,,low_progress_success_04_missing_env_export__armA__250c1650,0.0,low_progress_success,low_progress_success_04_missing_env_export
A,,False,low_progress_success_04_missing_env_export__armA__250c1650::4,4,0.0,0.0,0.0,4,assumed,1.0,5,0,True,,claude-opus-4-7,,low_progress_success_04_missing_env_export__armA__250c1650,0.0,low_progress_success,low_progress_success_04_missing_env_export
B,INIT,False,low_progress_success_04_missing_env_export__armB__457c3488::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-sonnet-4-6,,low_progress_success_04_missing_env_export__armB__457c3488,0.0,low_progress_success,low_progress_success_04_missing_env_export
B,ADD_SUBTASK,True,low_progress_success_04_missing_env_export__armB__457c3488::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-sonnet-4-6,,low_progress_success_04_missing_env_export__armB__457c3488,0.0,low_progress_success,low_progress_success_04_missing_env_export
B,,False,low_progress_success_04_missing_env_export__armB__457c3488::2,2,0.0,0.0,0.0,2,assumed,0.0,5,0,True,,claude-sonnet-4-6,,low_progress_success_04_missing_env_export__armB__457c3488,0.0,low_progress_success,low_progress_success_04_missing_env_export
B,,False,low_progress_success_04_missing_env_export__armB__457c3488::3,3,0.0,0.0,0.0,3,assumed,0.0,5,0,True,,claude-sonnet-4-6,,low_progress_success_04_missing_env_export__armB__457c3488,0.0,low_progress_success,low_progress_success_04_missing_env_export
C,INIT,False,low_progress_success_04_missing_env_export__armC__d3a97362::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-haiku-4-5,,low_progress_success_04_missing_env_export__armC__d3a97362,0.0,low_progress_success,low_progress_success_04_missing_env_export
C,ADD_SUBTASK,True,low_progress_success_04_missing_env_export__armC__d3a97362::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-haiku-4-5,,low_progress_success_04_missing_env_export__armC__d3a97362,0.0,low_progress_success,low_progress_success_04_missing_env_export
C,,False,low_progress_success_04_missing_env_export__armC__d3a97362::2,2,0.0,0.0,0.0,2,assumed,0.0,5,0,True,,claude-haiku-4-5,,low_progress_success_04_missing_env_export__armC__d3a97362,0.0,low_progress_success,low_progress_success_04_missing_env_export
C,,False,low_progress_success_04_missing_env_export__armC__d3a97362::3,3,0.0,0.0,0.0,3,assumed,1.0,5,0,True,,claude-haiku-4-5,,low_progress_success_04_missing_env_export__armC__d3a97362,0.0,low_progress_success,low_progress_success_04_missing_env_export
A,INIT,False,progress_drop_01_lint_then_runtime_failure__armA__c88194a9::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-opus-4-7,,progress_drop_01_lint_then_runtime_failure__armA__c88194a9,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
A,ADD_SUBTASK,True,progress_drop_01_lint_then_runtime_failure__armA__c88194a9::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-opus-4-7,,progress_drop_01_lint_then_runtime_failure__armA__c88194a9,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
A,INIT,False,progress_drop_01_lint_then_runtime_failure__armA__d6b86432::0,0,0.0,0.0,0.0,0,assumed,0.6666666666666666,5,0,True,,claude-opus-4-7,,progress_drop_01_lint_then_runtime_failure__armA__d6b86432,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
B,INIT,False,progress_drop_01_lint_then_runtime_failure__armB__7528f935::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-sonnet-4-6,,progress_drop_01_lint_then_runtime_failure__armB__7528f935,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,INIT,False,progress_drop_01_lint_then_runtime_failure__armC__3a328701::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__3a328701,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,,False,progress_drop_01_lint_then_runtime_failure__armC__3a328701::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__3a328701,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,ADD_SUBTASK,True,progress_drop_01_lint_then_runtime_failure__armC__3a328701::2,2,0.0,0.0,0.0,2,assumed,0.0,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__3a328701,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,,False,progress_drop_01_lint_then_runtime_failure__armC__3a328701::3,3,0.0,0.0,0.0,3,assumed,0.0,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__3a328701,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,,False,progress_drop_01_lint_then_runtime_failure__armC__3a328701::4,4,0.0,0.0,0.0,4,assumed,0.0,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__3a328701,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,,False,progress_drop_01_lint_then_runtime_failure__armC__3a328701::5,5,0.0,0.0,0.0,5,assumed,0.0,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__3a328701,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,,False,progress_drop_01_lint_then_runtime_failure__armC__3a328701::6,6,0.0,0.0,0.0,6,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__3a328701,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,UPDATE_STATUS,False,progress_drop_01_lint_then_runtime_failure__armC__3a328701::7,7,1.0,1.0,0.33333333333333337,7,assumed,0.6666666666666666,5,1,True,2.0,claude-haiku-4-5,9.0,progress_drop_01_lint_then_runtime_failure__armC__3a328701,1.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,"ADD_SUBTASK,UPDATE_STATUS",True,progress_drop_01_lint_then_runtime_failure__armC__3a328701::8,8,1.0,1.0,0.33333333333333337,8,assumed,0.6666666666666666,5,1,True,1.0,claude-haiku-4-5,9.0,progress_drop_01_lint_then_runtime_failure__armC__3a328701,1.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,ADD_SUBTASK,True,progress_drop_01_lint_then_runtime_failure__armC__3a328701::9,9,0.6666666666666666,0.6666666666666666,0.0,9,assumed,0.6666666666666666,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__3a328701,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,INIT,False,progress_drop_01_lint_then_runtime_failure__armC__a943cd95::0,0,0.0,0.0,0.0,0,assumed,0.0,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__a943cd95,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,ADD_SUBTASK,True,progress_drop_01_lint_then_runtime_failure__armC__a943cd95::1,1,0.0,0.0,0.0,1,assumed,0.0,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__a943cd95,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
C,,False,progress_drop_01_lint_then_runtime_failure__armC__a943cd95::2,2,0.0,0.0,0.0,2,assumed,0.0,5,0,True,,claude-haiku-4-5,,progress_drop_01_lint_then_runtime_failure__armC__a943cd95,0.0,progress_drop,progress_drop_01_lint_then_runtime_failure
