case_id,deadline_s,planning_deadline_s,sessions,maximum_removable_w,requested_fraction,requested_shed_w,policy,raw_safe_shed_w,plan_safe,target_met_by_30s,failure_reason,selected_sessions,bottleneck,service:pool/east:0,service:pool/germany:0,kv:pool/east,kv:pool/germany,migration:pool/east:replay,migration:pool/germany:replay,migration:pool/east:kv_transfer,migration:pool/germany:kv_transfer,used|service:pool/east:0,used|service:pool/germany:0,used|kv:pool/east,used|kv:pool/germany,used|migration:pool/east:replay,used|migration:pool/germany:replay,used|migration:pool/east:kv_transfer,used|migration:pool/germany:kv_transfer,capacity|service:pool/east:0,capacity|service:pool/germany:0,capacity|kv:pool/east,capacity|kv:pool/germany,capacity|migration:pool/east:replay,capacity|migration:pool/germany:replay,capacity|migration:pool/east:kv_transfer,capacity|migration:pool/germany:kv_transfer,unit|service:pool/east:0,unit|service:pool/germany:0,unit|kv:pool/east,unit|kv:pool/germany,unit|migration:pool/east:replay,unit|migration:pool/germany:replay,unit|migration:pool/east:kv_transfer,unit|migration:pool/germany:kv_transfer,east_replay,east_kv_transfer,germany_replay,germany_kv_transfer,safely_attained_shed_w,safely_attained_fraction
hardware_gap/all-bind,30,30,28,61.856632454374676,0.5,30.928316227187338,queue_haul_lp,43.06119380429308,True,True,,16,service:pool/germany:0,0.30910110754014375,0.9951046754607135,0.9142091152815013,0.23277467411545627,0.8970087016931956,0.9304412511447089,0.0,0.9811203749668695,0.2318258306551078,0.24877616886517825,341.0,875.0000000000001,22.42521754232989,23.261031278617722,0.0,24.528009374171738,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,5,0,7,4,43.06119380429308,0.6961451358680887
hardware_gap/all-bind,30,30,28,61.856632454374676,0.525,32.474732038546705,queue_haul_lp,44.13093561599268,True,True,,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.55,34.02114784990607,queue_haul_lp,44.13093561599268,True,True,,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.5750000000000001,35.567563661265446,queue_haul_lp,44.13093561599268,True,True,,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.6000000000000001,37.11397947262481,queue_haul_lp,44.13093561599268,True,True,,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.625,38.66039528398417,queue_haul_lp,44.13093561599268,True,True,,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.65,40.20681109534354,queue_haul_lp,44.13093561599268,True,True,,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.675,41.753226906702906,queue_haul_lp,44.13093561599268,True,True,,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.7000000000000001,43.29964271806228,queue_haul_lp,44.13093561599268,True,True,,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.72,44.536775367149765,queue_haul_lp,44.13093561599268,True,False,target_unmet,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.7250000000000001,44.84605852942165,queue_haul_lp,44.13093561599268,True,False,target_unmet,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.75,46.39247434078101,queue_haul_lp,44.13093561599268,True,False,target_unmet,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.775,47.938890152140374,queue_haul_lp,44.13093561599268,True,False,target_unmet,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.8,49.48530596349974,queue_haul_lp,44.13093561599268,True,False,target_unmet,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.8250000000000001,51.031721774859115,queue_haul_lp,44.13093561599268,True,False,target_unmet,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
hardware_gap/all-bind,30,30,28,61.856632454374676,0.8500000000000001,52.57813758621848,queue_haul_lp,44.13093561599268,True,False,target_unmet,15,migration:pool/germany:kv_transfer,0.4612823149278831,0.5380820697997049,0.9517426273458445,0.23197658951848898,0.6311536597788343,0.9304412511447089,0.651552962764993,0.9778285851556126,0.3459617361959123,0.13452051744992616,355.0,872.0000000000001,15.778841494470857,23.261031278617722,16.288824069124825,24.445714628890315,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,3,1,7,4,44.13093561599268,0.7134390260986737
