workload,deadline_s,bandwidth_tbps,policy,handoff_fraction,recovered_handoff_fraction,power_shed_mw,full_handoff_power_mw,kv_source_session_fraction,replay_source_session_fraction,kv_share_of_moved,timing_consistent_handoff_fraction,locally_passing_handoff_fraction,simulate_s,audit_s,resident_ttft_attainment,incoming_ttft_attainment
coding,60,5.0,queue_haul,0.9999999949523602,0.9999999919331826,0.45020098414572934,0.45020098641818174,0.29593359583404777,0.704066395377547,0.29593359843483213,0.64274224476585,0.2946673420004027,17.476291125640273,9.687586332671344,0.869409861582273,0.9299464509954263
coding,60,5.0,greedy,0.8695566363363555,0.8695566363363556,0.39147525542510336,0.45020098641818174,0.17126087608760876,0.620518301830183,0.21629878741947708,0.4770065335594526,0.28668621019842117,2.922322917729616,2.3832624992355704,0.904986927264155,0.9498897439359165
coding,60,5.0,kv_only,0.5111625325160328,0.5111625325160323,0.23012587635873388,0.45020098641818174,0.5225268127107091,0.0,1.0,0.5111625325160294,0.4391105195143774,3.7948030829429626,0.831598000600934,1.0,0.9096730973382331
coding,60,5.0,replay_only,0.9488016401303273,0.9488016401303263,0.42715143430186203,0.45020098641818174,0.0,0.8993961652605393,0.0,0.3387520797836906,3.644692046244731e-09,6.331906625069678,3.402720792219043,0.8330172185504141,0.9313555696465682
coding,60,5.0,isolated_fastest,0.9367356960160467,0.9367356960160466,0.4217193343595462,0.45020098641818174,0.1240999099909991,0.7346420420397854,0.14451362216265676,0.6461447136496482,0.14647124971422695,4.123534083366394,4.4217945002019405,0.8571028703466391,0.9489910708052782
coding,60,10.0,queue_haul,0.9999999935820759,0.9999999935820759,0.450200983528826,0.45020098641818174,0.6365601727048458,0.3634398115855382,0.6365601827049617,0.9315106272889536,0.5890855819341311,8.63614199962467,1.300125416368246,0.9538244020741342,0.9418898188351305
coding,60,10.0,greedy,0.9020771689230693,0.9020771689230693,0.4061160312744866,0.45020098641818174,0.33515226522652264,0.4975810081008101,0.4024725274725275,0.4835622900016539,0.2860860541467549,2.120103041641414,0.9473499581217766,0.9166613089880417,0.954417937954336
coding,60,10.0,kv_only,0.738056583972716,0.7109461315702399,0.33227380213695035,0.45020098641818174,0.6646782419712711,0.0,1.0,0.7380565839727052,0.6726009336474407,4.577103124931455,0.7139966245740652,1.0,0.9340188101663057
coding,60,10.0,replay_only,0.9488016401303268,0.9488016401303273,0.4271514343018618,0.45020098641818174,0.0,0.8993961652605394,0.0,0.3387520797836945,3.6446920433203044e-09,4.364611540921032,0.9521917924284935,0.8330172185504168,0.9313555696465675
coding,60,10.0,isolated_fastest,0.9496290128069276,0.9496290128069278,0.4275239182970029,0.45020098641818174,0.1240999099909991,0.7541441634391445,0.14130458006543,0.5877266678086956,0.14647124926944852,6.764727124944329,3.594776500016451,0.8393956447743849,0.9389792873511056
coding,60,25.6,queue_haul,0.9999999975242897,0.9999999975242886,0.4502009853036145,0.45020098641818174,0.944288179914486,0.05571181462822614,0.9442881850677384,0.9999999975242869,0.6647136039787642,5.3639989998191595,0.8198917498812079,0.9954513307035558,0.9387764360205709
coding,60,25.6,greedy,0.8852631458141379,0.8852631458141381,0.3985463414851875,0.45020098641818174,0.6743174317431743,0.0822082208220822,0.8913345231013285,0.8852631458141352,0.6377331782750107,1.7549342075362802,0.22193987481296062,0.9882773991684882,0.948592210229939
coding,60,25.6,kv_only,0.983349206400673,0.9833492064006732,0.4427047827151192,0.45020098641818174,0.9663341312389833,0.0,1.0,0.98334920640069,0.7190120090765777,2.7808676660060883,0.45114108454436064,1.0,0.9379342551903205
coding,60,25.6,replay_only,0.9488016401303273,0.9488016401303263,0.42715143430186203,0.45020098641818174,0.0,0.8993961652605393,0.0,0.3387520797836906,3.644692046244731e-09,3.8327670004218817,0.3213484585285187,0.8330172185504141,0.9313555696465682
coding,60,25.6,isolated_fastest,0.9496290574266744,0.949629057426675,0.42752393838485697,0.45020098641818174,0.12409990999099914,0.7541443318823791,0.14130455296385694,0.5877269234519347,0.146471248846484,2.805666917003691,0.4319366253912449,0.8395966377459929,0.9389793089481492
coding,60,100.0,queue_haul,0.9999999967170773,0.9999999967170775,0.4502009849402067,0.45020098641818174,0.9442881772725321,0.05571181480793449,0.944288184750854,0.9999999967170831,0.6694438379527827,4.548015999607742,0.5973017085343599,0.9918134677602053,0.9400807976922164
coding,60,100.0,greedy,0.8852631458141379,0.8852631458141381,0.3985463414851875,0.45020098641818174,0.6743174317431743,0.0822082208220822,0.8913345231013285,0.8852631458141352,0.6377331782750107,1.7695540422573686,0.09208474960178137,0.9882773991684882,0.948592210229939
coding,60,100.0,kv_only,0.9833492042778175,0.983349204277818,0.44270478175940753,0.45020098641818174,0.9663341261871647,0.0,1.0,0.983349204277825,0.7228225871198595,4.385552957653999,0.37847370840609074,1.0,0.9393055445505598
coding,60,100.0,replay_only,0.9488016401303273,0.9488016401303263,0.42715143430186203,0.45020098641818174,0.0,0.8993961652605393,0.0,0.3387520797836906,3.644692046244731e-09,3.820409333333373,0.25088208448141813,0.8330172185504141,0.9313555696465682
coding,60,100.0,isolated_fastest,0.9496290133243567,0.9496290133243572,0.42752391852995003,0.45020098641818174,0.1240999099909991,0.7541441644164413,0.1413045799081884,0.5877267418797248,0.14647124884648374,2.4552570832893252,0.33442920818924904,0.8279891569221903,0.9389792874922774
coding,120,0.1,queue_haul,0.9651708249477647,0.9651708249477637,0.4345208574535339,0.45020098641818174,0.004317229268707669,0.9230408784116743,0.004655406830384474,0.34987160943687745,1.2512375720756803e-05,21.847425624728203,27.745817666873336,0.7795614553333985,0.9299776640986407
coding,120,0.1,greedy,0.8802572701747672,0.8802572701747674,0.3962926913344561,0.45020098641818174,0.003975397539753975,0.75,0.00527258257063271,0.5891736650000635,0.003742238081684085,3.7093926249071956,9.670418875291944,0.8462989156058462,0.9499988768840271
coding,120,0.1,kv_only,0.27703146526348643,0.2734688519407878,0.12471983893049585,0.45020098641818174,0.243160014440449,0.0,1.0,0.2770314652634847,0.1832431423176874,6.573922749608755,8.559700416401029,1.0,0.6814160904243667
coding,120,0.1,replay_only,0.9633977975513961,0.9633977975513948,0.4337226387707423,0.45020098641818174,0.0,0.9243893110757601,0.0,0.3519033058206317,0.0,15.095668249763548,24.190359750762582,0.8136743747113887,0.9366315462902611
