deadline_s,headline,mode,policy,rho,row_id,seed,sessions,tier,workload,git_sha,planner_seed,source_replicas,destination_replicas,destination_pools,migration_headroom,absorbed_fraction,initial_source_power_w,idle_source_power_w,removable_power_w,credit_target_w,max_shed_probes,planned_shed_w,moves,replay_moves,kv_moves,solve_s,feasible,failure_reason,binding_resource,binding_utilization,executed_shed_w,executed_shed_fraction,landed_sessions,migration_makespan_s,within_contract,within_envelope,destination_offered_rps,destination_rho,committed_kv_fraction,east_replay,east_kv_transfer,germany_replay,germany_kv_transfer
750.0,True,normal,greedy,0.2,692,1003,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,13450543232424438878,595,1190,150,0.30571707466974074,0.4942829253302593,117685.83026335188,58869.74132999953,58816.088933352345,29421.45756583797,8,58816.088933352345,12000,12000,0,15.42390984200756,True,,service:pool/east/node-65:0,0.995194883211246,58816.088933351595,0.9999999999999872,12000,331.3174060837912,True,True,4.980779532844991,0.9961559065689982,0.0,9530,0,2470,0
750.0,True,normal,kv_only,0.3,724,1002,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,9158392092677333325,592,1184,148,0.2058394425693741,0.49416055743062587,116824.78142117317,58084.81144559924,58739.969975573935,58412.39071058659,8,58739.969975573935,12000,0,12000,9.09423974598758,True,,service:pool/germany/node-65:0,0.9748847835538738,58739.969975573265,0.9999999999999886,12000,578.7524203972755,True,True,4.912096742438558,0.9824193484877115,1.0,0,3746,0,8254
900.0,True,normal,queue_haul,0.38,756,1001,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,8377115175514719658,594,1188,150,0.12582317276063526,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,29413.922892162045,8,58785.950238648664,12000,7064,4936,15.921191450004699,True,,service:pool/germany/node-65:0,0.9906087316757103,58785.95023864815,0.9999999999999912,12000,490.81064607566316,True,True,4.970887068194697,0.9941774136389394,0.41133333333333333,5071,0,1993,4936
900.0,True,normal,isolated_fastest,0.38,788,1003,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,3968514580975397789,595,1190,150,0.1257170746697407,0.4942829253302593,117685.83026335188,58869.74132999953,58816.088933352345,29421.45756583797,8,58816.088933352345,12000,3938,8062,9.172470232995693,True,,service:pool/east/node-65:0,0.9906087316757103,58816.08893335173,0.9999999999999896,12000,654.3990685481535,True,True,4.9708870681947035,0.9941774136389407,0.6718333333333333,2795,3116,1143,4946
900.0,True,normal,replay_only,0.44,820,1002,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,13463854247224929644,592,1184,148,0.06583944256937418,0.49416055743062587,116824.78142117317,58084.81144559924,58739.969975573935,29206.195355293294,8,55026.17525610389,11586,11586,0,11.407117816008395,True,,migration:pool/east/node-64,0.999232918304239,55026.17525610377,0.9367756789624767,11586,894.3136353252942,True,True,4.9370647050092105,0.9874129410018421,0.0,5448,0,6138,0
1800.0,True,normal,greedy,0.48,852,1001,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,15278150510308831159,594,1188,150,0.025823172760635282,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,29413.922892162045,8,47034.76559539097,9925,5765,4160,15.739253676001681,True,,migration:pool/east/node-65,0.9971754672332444,47034.7655953912,0.8001021571387023,9925,1789.9301371266743,True,True,4.9672622834166456,0.9934524566833292,0.41914357682619646,4313,0,1452,4160
1800.0,True,normal,kv_only,0.48,884,1003,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,7852285170843627220,595,1190,150,0.025717074669740714,0.4942829253302593,117685.83026335188,58869.74132999953,58816.088933352345,29421.45756583797,8,38347.19099914796,8155,0,8155,10.177823657984845,True,,migration:pool/east/node-65,0.9991806934027114,38347.19099914814,0.6519847153149096,8155,1793.529518100867,True,True,4.780662281190651,0.9561324562381301,1.0,0,2775,0,5380
2700.0,True,normal,greedy,0.2,916,1002,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,8403034729917294849,592,1184,148,0.3058394425693742,0.49416055743062587,116824.78142117317,58084.81144559924,58739.969975573935,58412.39071058659,8,58739.969975573935,12000,12000,0,10.58149318501819,True,,service:pool/east/node-65:0,0.995194883211246,58739.969975573156,0.9999999999999868,12000,331.1848443921728,True,True,4.980779532844991,0.9961559065689982,0.0,9648,0,2352,0
2700.0,True,normal,kv_only,0.3,948,1001,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,11840153573187488117,594,1188,150,0.20582317276063522,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,29413.922892162045,8,58785.950238648664,12000,0,12000,9.575894109002547,True,,service:pool/germany/node-65:0,0.9748847835538738,58785.95023864602,0.999999999999955,12000,955.7029481817792,True,True,4.912096742438558,0.9824193484877115,1.0,0,6392,0,5608
30.0,False,normal,queue_haul,0.38,980,1001,12000,natural,coding,4aefc342a38d45083a0fc372c3f3fe399919790f,10280463880719511708,362,724,92,0.43221427865028894,0.18778572134971105,50400.72218679602,36106.77468240733,14293.947504388685,1181.2669262530317,8,1319.9565109608084,1187,1182,5,6.864241545001278,True,,migration:pool/germany/node-24,0.995202146030527,1319.9565109608084,0.09234373573539016,1187,24.880227093763175,True,True,2.024492574081841,0.40489851481636824,0.004212299915754001,492,0,690,5
60.0,False,normal,greedy,0.38,1012,1001,12000,controlled_80,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,9021290585628564754,594,1188,150,0.12582317276063526,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,7353.480723040511,8,8232.83721414821,2055,1287,768,4.7863005730032455,True,,migration:pool/germany/node-64,0.9915363083488147,8232.837214148254,0.14004770154647594,2055,54.534670402184794,True,True,2.38136167814062,0.47627233562812404,0.37372262773722625,1041,0,246,768
120.0,False,normal,greedy,0.38,1044,1001,12000,natural,agentic_rps_shape,4aefc342a38d45083a0fc372c3f3fe399919790f,1227672095012923452,502,1004,126,0.18789341157738038,0.4321065884226196,133817.31800254446,49450.58271719963,84366.73528534482,33454.329500636115,8,61429.24816788646,9103,9103,0,9.023314237012528,True,,migration:pool/east/node-62,0.9992136479191912,61429.24816788676,0.7281216697566999,9103,114.90974295370698,True,True,3.9560599986214764,0.7912119997242952,0.0,4150,0,4953,0
180.0,False,normal,greedy,0.38,1076,1001,12000,natural,coding,4aefc342a38d45083a0fc372c3f3fe399919790f,1325421915531337486,362,724,92,0.43221427865028894,0.18778572134971105,50400.72218679602,36106.77468240733,14293.947504388685,9450.135410024253,8,10013.094400853595,8511,8511,0,6.104569040006027,True,,migration:pool/east/node-25,0.9996011225461718,10013.094400853595,0.7005128847562414,8511,174.93036988858,True,True,2.781024370425336,0.5562048740850672,0.0,3660,0,4851,0
240.0,False,normal,isolated_fastest,0.38,1108,1001,12000,controlled_80,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,12949284897854240573,594,1188,150,0.12582317276063526,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,11030.221084560766,8,12960.552660572153,3092,2445,647,34.70736019895412,True,,migration:pool/germany/node-65,0.9959314160985875,12960.552660572212,0.22047024174921528,3092,234.0440562261681,True,True,3.9086837997546104,0.7817367599509221,0.2092496765847348,1518,0,927,647
300.0,False,normal,isolated_fastest,0.38,1140,1001,12000,natural,agentic_rps_shape,4aefc342a38d45083a0fc372c3f3fe399919790f,121907696473655677,502,1004,126,0.18789341157738038,0.4321065884226196,133817.31800254446,49450.58271719963,84366.73528534482,33454.329500636115,8,66412.07993081123,9627,9404,223,115.89470318402164,True,,service:pool/east/node-48:0,0.997702122297713,66412.07993081138,0.7871832388226558,9627,291.33182933294773,True,True,4.9928765791229,0.9985753158245799,0.023164017866417367,4096,0,5308,223
375.0,False,normal,isolated_fastest,0.38,1172,1001,12000,natural,coding,4aefc342a38d45083a0fc372c3f3fe399919790f,4869988023547244267,362,724,92,0.43221427865028894,0.18778572134971105,50400.72218679602,36106.77468240733,14293.947504388685,196.87782104217195,8,167.48261519886728,163,0,163,4.0360041609965265,False,target_unmet,route:pipeline/germany/node-25,0.9044235149756755,167.48261519886728,0.011717030242866425,163,366.8794731972148,False,True,2.379935445158564,0.4759870890317128,1.0,0,0,0,163
450.0,False,normal,kv_only,0.38,1204,1001,12000,controlled_80,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,7295761102007857392,594,1188,150,0.12582317276063526,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,29413.922892162045,8,33697.983157870636,7353,0,7353,79.61663677799515,True,,migration:pool/germany/node-65,0.9946097214949354,33697.98315787078,0.5732319205706423,7353,444.2748621309627,True,True,4.901906626925012,0.9803813253850023,1.0,0,268,0,7085
600.0,False,normal,kv_only,0.38,1236,1001,12000,natural,agentic_rps_shape,4aefc342a38d45083a0fc372c3f3fe399919790f,8937495197627781627,502,1004,126,0.18789341157738038,0.4321065884226196,133817.31800254446,49450.58271719963,84366.73528534482,66908.65900127223,8,84366.73528534482,12000,0,12000,10.756026037037373,True,,service:pool/germany/node-48:0,0.997702122297713,84366.73528534398,0.99999999999999,12000,506.9309581317451,True,True,4.992876579122903,0.9985753158245807,1.0,0,2898,0,9102
750.0,False,normal,kv_only,0.38,1268,1001,12000,natural,coding,4aefc342a38d45083a0fc372c3f3fe399919790f,4587831776164337117,362,724,92,0.43221427865028894,0.18778572134971105,50400.72218679602,36106.77468240733,14293.947504388685,196.87782104217195,8,243.2183126689415,211,0,211,3.9286325610009953,True,,route:pipeline/germany/node-25,0.9113105809776848,243.2183126689415,0.017015475437716972,211,744.3418296751089,True,True,2.873715182004399,0.5747430364008798,1.0,0,0,0,211
900.0,False,normal,replay_only,0.38,1300,1001,12000,controlled_80,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,18032271218641006369,594,1188,150,0.12582317276063526,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,29413.922892162045,8,58785.950238648664,12000,12000,0,9.573430916003417,True,,service:pool/east/node-65:0,0.9906087316757103,58785.95023864806,0.9999999999999897,12000,653.8472586396063,True,True,4.970887068194697,0.9941774136389394,0.0,7430,0,4570,0
1800.0,False,normal,replay_only,0.38,1332,1001,12000,natural,agentic_rps_shape,4aefc342a38d45083a0fc372c3f3fe399919790f,11844352830236783146,502,1004,126,0.18789341157738038,0.4321065884226196,133817.31800254446,49450.58271719963,84366.73528534482,66908.65900127223,8,84366.73528534482,12000,12000,0,10.719819744001143,True,,service:pool/east/node-48:0,0.997702122297713,84366.73528534592,1.0000000000000129,12000,351.16021654250005,True,True,4.992876579122903,0.9985753158245807,0.0,5854,0,6146,0
2700.0,False,normal,replay_only,0.38,1364,1001,12000,natural,coding,4aefc342a38d45083a0fc372c3f3fe399919790f,11766191022062736752,362,724,92,0.43221427865028894,0.18778572134971105,50400.72218679602,36106.77468240733,14293.947504388685,12600.180546699004,8,14293.947504388685,12000,12000,0,5.384031754976604,True,,kv:pool/germany/node-0,0.988835725677831,14293.947504388685,1.0,12000,452.79124002036684,True,True,4.198324444587846,0.8396648889175692,0.0,0,0,12000,0
