scenario_id,action,predicted_s,measured_s
fd4c98972907e9c9,replay,11.317794319687437,6.07432389
08031522d8c1af4c,replay,29.890594449132855,15.812354421
6dc0ecaceb91eae1,replay,34.4462896861248,18.53798808
67b935f7abafa758,kv_transfer,45.930510579083325,33.966518351
6717f879b85e6b94,mixed,7.084053913499999,7.151644469
8bb95bac8d5d8d35,replay,19.694919123301947,13.838975245
3af1441a7d99ee83,kv_transfer,70.95352214816666,52.020744437
f145036e2f68b787,mixed,18.099419350416664,15.778234337
d19a99a6a2d90702,mixed,28.793861397666664,25.26572197
26f483708fa9f714,mixed,30.181525144583333,22.265297858
ba22eb224f837290,replay,21.54018784319262,11.789650436
99a23061fb2017af,mixed,11.015365436916666,10.369855109
9cee79e3acd12e04,replay,32.7253629792081,17.19831023
898696a260b305a4,kv_transfer,52.132025170999995,37.154500195
cfba119c1cfccb1f,mixed,6.306636722394659,4.412894663
7118dcd2f78a4a99,kv_transfer,64.43108416658333,45.433452173
c3b34a509c59fce4,replay,29.611539769092758,15.21326745
3ca29a40db5aba48,kv_transfer,45.47286483541666,31.0181392
7212c84eb3d87ac3,kv_transfer,44.40612447816666,32.27808967
e4f89330a779b5c4,replay,28.905162190590296,15.15140247
16a7f6b3ca984e83,kv_transfer,55.12430586625,37.144939542
32a254656fa3e819,kv_transfer,28.095523111749998,19.159112587
200a93458c005703,replay,11.63297247684067,7.889513167
b664fc498a8b63d4,mixed,9.330517641166665,8.931921763
d62b91689e88c3cc,mixed,21.813777672416663,15.664267738
492e184b6cd8bb97,replay,30.23175657569439,16.272033657
fab83dae8fce03ff,replay,33.28079489156651,17.481089517
adb19a6ea181c250,kv_transfer,59.216079084499995,42.937909268
b9ea7c02f14c9495,mixed,18.925467165416666,14.224458827
