window_s,ell_lo,ell_hi,ell_mean,power_mean_w,power_p10_w,power_p90_w,n
5.0,0.08472771241138409,0.16945542482276818,0.12404696485308954,132.54558652745996,78.23259999999998,182.93535,552
5.0,0.16945542482276818,0.25418313723415226,0.20884242843442324,166.6602666917293,106.03680000000001,214.84015,350
5.0,0.25418313723415226,0.33891084964553636,0.29525119421946383,197.41743927125503,154.10535000000002,234.74229999999997,260
5.0,0.33891084964553636,0.42363856205692046,0.3788470517034665,212.8913620300752,169.15835,253.12214999999998,210
5.0,0.42363856205692046,0.5083662744683045,0.46618010221579426,238.36104365079362,195.06,282.52675,126
5.0,0.5083662744683045,0.5930939868796886,0.5524134277363236,255.26471369087278,212.6498,289.25630000000007,158
5.0,0.5930939868796886,0.6778216992910727,0.6344014976427745,262.7938175888439,224.56259999999997,291.5109,117
5.0,0.6778216992910727,0.7625494117024568,0.7226826981745568,274.07622098922,237.70720000000003,302.6319,83
5.0,0.7625494117024568,0.8472771241138409,0.8069648059772679,282.5259113360324,258.4519,304.84190000000007,65
5.0,0.8472771241138409,0.932004836525225,0.8894180928855353,287.97420547945205,257.44960000000003,315.702,73
5.0,0.932004836525225,1.016732548936609,0.9746845317555113,301.1104195402299,277.82609999999994,321.44950000000006,87
5.0,1.016732548936609,1.1014602613479931,1.0606583287100333,309.60393446852424,287.58670000000006,326.79245000000003,102
5.0,1.1014602613479931,1.1861879737593772,1.1387442515443644,309.81679149797566,286.368,324.86150000000004,91
5.0,1.1861879737593772,1.2709156861707613,1.2338998406017372,319.4963277511962,306.992947368421,332.39160000000004,77
5.0,1.2709156861707613,1.3556433985821454,1.3113039341833703,317.0438666061706,300.8222,329.27490000000006,87
5.0,1.3556433985821454,1.4403711109935295,1.3984494905935458,322.9256998880179,309.638,332.7514,47
5.0,1.4403711109935295,1.5250988234049137,1.4784675803892613,323.92913984962405,310.55789999999996,335.121,35
5.0,1.5250988234049137,1.6098265358162978,1.561118696449082,324.58294258373206,312.76394999999997,335.632,22
5.0,1.6098265358162978,1.6945542482276819,1.654582274242903,329.3673611111111,320.44515000000007,336.96945,18
5.0,1.6945542482276819,1.779281960639066,1.7238650160859559,328.9203195488722,314.34695000000005,337.0367,14
5.0,1.779281960639066,1.86400967305045,1.8232305102809836,332.50271428571426,324.9837,339.01910000000004,7
5.0,1.86400967305045,1.9487373854618342,1.9189894569230301,334.4427157894737,327.8335,339.4315315789474,5
5.0,1.9487373854618342,2.033465097873218,2.028066004466642,336.48225,333.27725,339.68725000000006,2
10.0,0.0,0.08360584797032655,0.03662304661653989,87.17318933900796,67.59232499999997,116.4648,488
10.0,0.08360584797032655,0.1672116959406531,0.12399049075767757,124.71655924036278,90.60184166666664,158.45087500000002,294
10.0,0.1672116959406531,0.25081754391097966,0.2103401995772864,155.22170816089368,122.47967500000009,187.0811749999999,180
10.0,0.25081754391097966,0.3344233918813062,0.291618766380079,185.7855197324415,152.1779,215.5865,115
10.0,0.3344233918813062,0.41802923985163276,0.37166690073213,200.10724866452992,173.11230769230767,224.43699999999998,96
10.0,0.41802923985163276,0.5016350878219593,0.461543425607235,217.09991973244144,191.43959999999996,244.52319999999997,69
10.0,0.5016350878219593,0.5852409357922859,0.5439472991893707,235.82502521367525,201.12117499999997,271.02457499999997,90
10.0,0.5852409357922859,0.6688467837626124,0.613950747986449,253.37057744636311,222.94719999999998,278.1454,49
10.0,0.6688467837626124,0.752452631732939,0.7123542809886305,260.8685417700579,244.35357499999992,277.53035,62
10.0,0.752452631732939,0.8360584797032655,0.7911323820240337,265.17775485100486,236.15634999999997,287.88915,37
10.0,0.8360584797032655,0.9196643276735921,0.8789500412882887,264.5845283530572,230.05562499999996,295.63824999999986,26
10.0,0.9196643276735921,1.0032701756439186,0.9510116211946049,296.1125769230769,270.6605999999999,311.30621153846164,15
10.0,1.0032701756439186,1.0868760236142452,1.0575819517290992,292.2397319902319,266.8796500000001,312.67465,42
10.0,1.0868760236142452,1.1704818715845717,1.135800994695082,304.6095679487179,290.4166,315.99252499999994,30
10.0,1.1704818715845717,1.2540877195548983,1.2147713222333887,306.0091383374689,291.22375,321.06725,31
10.0,1.2540877195548983,1.3376935675252248,1.3005538873667264,312.79360576923074,298.39442499999996,324.84295,52
10.0,1.3376935675252248,1.4212994154955514,1.3767464458290024,315.72321863553105,298.76974999999993,328.4759999999999,56
10.0,1.4212994154955514,1.504905263465878,1.4639708823492505,320.2177205128205,309.22459999999995,330.86325000000005,35
10.0,1.504905263465878,1.5885111114362045,1.5471005389301917,321.55700135975127,312.79859999999996,330.38294999999994,33
10.0,1.5885111114362045,1.672116959406531,1.6290925248531458,325.1371470588235,311.67004999999995,332.9015,17
10.0,1.672116959406531,1.7557228073768576,1.708131777739136,323.42021193910256,313.61662499999994,335.19312500000007,16
10.0,1.7557228073768576,1.8393286553471841,1.7851530884925426,333.5840416666667,330.80724999999995,337.36800000000005,6
10.0,1.8393286553471841,1.9229345033175107,1.902124438776981,331.98075,331.85994999999997,332.10155000000003,2
10.0,1.9229345033175107,2.0065403512878373,1.9793915076202675,334.9233076923076,333.83635384615377,336.0102615384615,2
30.0,0.0,0.07930443404345161,0.04759550778886758,87.02543862791019,72.28405833333338,99.55597675070032,122
30.0,0.07930443404345161,0.15860886808690322,0.11382548588403162,112.06956177351934,90.80272058823527,133.58235,94
30.0,0.15860886808690322,0.23791330213035483,0.19465004370572686,140.89655260854343,124.81220833333333,156.19220833333344,56
30.0,0.23791330213035483,0.31721773617380644,0.27215525440305083,166.00383193277315,146.8638750000002,183.24566666666675,46
30.0,0.31721773617380644,0.39652217021725805,0.3585819817198826,185.2065698091737,163.4557041316528,206.6740244397759,32
30.0,0.39652217021725805,0.47582660426070966,0.43796140778897824,198.72114805619222,177.70890266106446,214.25257563025212,33
30.0,0.47582660426070966,0.5551310383041612,0.5221666285851899,211.56399671407024,189.0842229691878,232.7968499999999,13
30.0,0.5551310383041612,0.6344354723476129,0.5892482591520122,225.49594266456586,202.61662500000008,243.6767955882353,8
30.0,0.6344354723476129,0.7137399063910645,0.6758886441421974,245.5812139507977,233.6538268907563,257.60611666666676,23
30.0,0.7137399063910645,0.7930443404345161,0.7568517222528341,246.0454433551198,235.49526666666668,260.32285,18
30.0,0.7930443404345161,0.8723487744779677,0.8308644559031472,256.227200280112,238.82555861344545,276.76362514005604,24
30.0,0.8723487744779677,0.9516532085214193,0.9070146742718607,265.5815915178571,247.55323529411754,285.651894957983,16
30.0,0.9516532085214193,1.030957642564871,0.9739147736538035,272.67653371348536,264.3439166666667,280.17636666666664,7
30.0,1.030957642564871,1.1102620766083224,1.0622462797647882,264.36675,264.36675,264.36675,1
30.0,1.2688709446952258,1.3481753787386774,1.3389066045973879,288.07501750700277,285.57967016806714,290.5703648459384,2
30.0,1.3481753787386774,1.427479812782129,1.391500772926583,308.5291405228757,302.39867499999997,313.14495833333325,18
30.0,1.427479812782129,1.5067842468255805,1.4757164623371746,309.29480625583557,301.15007366946776,318.29019999999986,15
30.0,1.5067842468255805,1.5860886808690322,1.557305824544673,314.5146763372014,303.4355833333331,323.1023529411765,21
30.0,1.5860886808690322,1.6653931149124839,1.6331952223335453,314.6934745564892,303.4718088235294,322.8832779411764,24
30.0,1.6653931149124839,1.7446975489559353,1.6963173870384427,318.95921610644257,311.80086666666676,324.9375749999998,10
30.0,1.7446975489559353,1.824001982999387,1.7968074032871775,328.492361111111,327.39356666666646,329.31229999999994,3
30.0,1.824001982999387,1.9033064170428386,1.8608341774231059,330.3354459617179,326.45291666666645,334.83687499999996,6
