D,method,metric,mean,std
45.0,state_only,evac_frac,0.6554829284107551,0.0
45.0,state_only,token_wtd,0.1302205469636551,0.0
45.0,state_only,kv_wtd,0.11378463774928234,0.0
45.0,state_only,min_class,0.0,0.0
45.0,state_only,phi,15.379932077087778,0.0
45.0,state_only,num_starved,12.0,0.0
45.0,least_loaded,evac_frac,0.5368280398675422,0.0
45.0,least_loaded,token_wtd,0.09303346614456331,0.0
45.0,least_loaded,kv_wtd,0.07328143404452363,0.0
45.0,least_loaded,min_class,0.0,0.0
45.0,least_loaded,phi,414.6562174951757,0.0
45.0,least_loaded,num_starved,13.0,0.0
60.0,optimizer,evac_frac,0.9018984358064607,0.0
60.0,optimizer,token_wtd,0.41126386726322584,0.0
60.0,optimizer,kv_wtd,0.25352694541371557,0.0
60.0,optimizer,min_class,0.2142714979893764,0.0
60.0,optimizer,phi,1.0,0.0
60.0,random,evac_frac,0.714528155257425,0.03348338317463282
60.0,random,token_wtd,0.20203439283281555,0.028634836027709585
60.0,random,kv_wtd,0.18673559699966652,0.013525483134302768
60.0,random,min_class,0.0,0.0
60.0,random,phi,213.92171371112852,115.35956862954656
60.0,random,num_starved,9.46,0.8534635317340747
60.0,replay_only,evac_frac,0.5842390646510275,0.0
60.0,replay_only,token_wtd,0.11465640915849491,0.0
60.0,replay_only,kv_wtd,0.08963445069931278,0.0
60.0,replay_only,min_class,0.0,0.0
60.0,replay_only,phi,379.9388294865687,0.0
60.0,replay_only,num_starved,12.0,0.0
60.0,state_only,evac_frac,0.682501951102241,0.0
60.0,state_only,token_wtd,0.17603336464429167,0.0
60.0,state_only,kv_wtd,0.15171285033237641,0.0
60.0,state_only,min_class,0.0,0.0
60.0,state_only,phi,11.534949057815833,0.0
60.0,state_only,num_starved,10.0,0.0
60.0,least_loaded,evac_frac,0.5842390646510275,0.0
60.0,least_loaded,token_wtd,0.11465640915849491,0.0
60.0,least_loaded,kv_wtd,0.08963445069931278,0.0
60.0,least_loaded,min_class,0.0,0.0
60.0,least_loaded,phi,310.9921631213818,0.0
60.0,least_loaded,num_starved,12.0,0.0
90.0,optimizer,evac_frac,0.9457436796867129,0.0
90.0,optimizer,token_wtd,0.5256020702942459,0.0
90.0,optimizer,kv_wtd,0.36247222869316525,0.0
90.0,optimizer,min_class,0.32140729698406467,0.0
90.0,optimizer,phi,1.0,0.0
90.0,random,evac_frac,0.8891587161406936,0.005663181713432491
90.0,random,token_wtd,0.36936698214306624,0.009381787475037944
90.0,random,kv_wtd,0.28021212254153427,0.019633659456514026
90.0,random,min_class,0.0,0.0
90.0,random,phi,142.614475807419,76.90637908636437
90.0,random,num_starved,5.16,0.36660605559646714
90.0,replay_only,evac_frac,0.6429586350478358,0.0
90.0,replay_only,token_wtd,0.15022346314501156,0.0
90.0,replay_only,kv_wtd,0.11869357432772014,0.0
90.0,replay_only,min_class,0.0,0.0
90.0,replay_only,phi,253.2925529910458,0.0
90.0,replay_only,num_starved,11.0,0.0
90.0,state_only,evac_frac,0.8380786588980389,0.0
90.0,state_only,token_wtd,0.3244236557169224,0.0
90.0,state_only,kv_wtd,0.22756927549856465,0.0
90.0,state_only,min_class,0.0,0.0
90.0,state_only,phi,7.689966038543889,0.0
90.0,state_only,num_starved,6.0,0.0
90.0,least_loaded,evac_frac,0.6429586350478358,0.0
90.0,least_loaded,token_wtd,0.15022346314501156,0.0
90.0,least_loaded,kv_wtd,0.11869357432772014,0.0
90.0,least_loaded,min_class,0.0,0.0
90.0,least_loaded,phi,207.32810874758786,0.0
90.0,least_loaded,num_starved,11.0,0.0
120.0,optimizer,evac_frac,0.9644926287271841,0.0
