method,seed,D_s,kv_evac_pct
random,23,10,3.2778552130645053
random,24,10,2.8830694471118044
random,25,10,3.156508618227468
random,26,10,2.992731422293516
random,27,10,3.3353226871784116
random,28,10,3.2329907626401164
random,29,10,3.404478825111169
ours,-1,20,9.246643820328579
greedy,0,20,5.057095011079215
round_robin,0,20,5.057095011079215
replay_only,0,20,4.182215494915036
state_only,0,20,5.057095011079215
least_loaded,0,20,4.182215494915036
random,0,20,6.738441947713417
random,1,20,7.097213612683487
random,2,20,5.88134720724763
random,3,20,7.254684061701763
random,4,20,6.548605389324521
random,5,20,6.707043600916475
random,6,20,7.36883954254418
random,7,20,7.164801556649171
random,8,20,7.046607862729195
random,9,20,6.987963479143546
random,10,20,6.539534355116407
random,11,20,7.678254224558427
random,12,20,6.745556870838892
random,13,20,5.930792209619231
random,14,20,6.414805089977531
random,15,20,7.0679143666994975
random,16,20,6.99543539985913
random,17,20,6.690430567497282
random,18,20,7.600577426310988
random,19,20,7.117180501630194
random,20,20,7.355666087721917
random,21,20,7.7624701866393
random,22,20,7.09513046153212
random,23,20,6.041945696792943
random,24,20,5.3793179361796994
random,25,20,5.837328083587804
random,26,20,5.99128351402181
random,27,20,6.881250534251769
random,28,20,7.432311032918381
random,29,20,6.305551024671603
ours,-1,30,13.622755397220146
greedy,0,30,7.585642516618822
round_robin,0,30,7.585642516618821
replay_only,0,30,5.591324148363469
state_only,0,30,7.585642516618822
least_loaded,0,30,5.591324148363469
random,0,30,10.126644254328985
random,1,30,10.75538371252918
random,2,30,8.701484180037895
random,3,30,11.357766822776853
random,4,30,9.24984456867667
random,5,30,9.107637157630696
random,6,30,11.583131632402562
random,7,30,10.186211850216987
random,8,30,10.286377599408072
random,9,30,10.213788992288974
random,10,30,8.527822608446325
random,11,30,10.942955713704022
random,12,30,10.479082597086895
random,13,30,8.843090672710554
random,14,30,9.544203335039871
random,15,30,9.967763336766048
random,16,30,9.904297820486823
random,17,30,9.58298732067863
random,18,30,10.30843675978169
random,19,30,10.334316259356532
random,20,30,10.848974040166997
random,21,30,11.013219584156902
random,22,30,11.10512404744551
random,23,30,8.656267433658744
random,24,30,8.16555455399523
random,25,30,8.767306935367495
random,26,30,8.768078544310638
random,27,30,9.352253682488376
random,28,30,10.322926690982593
random,29,30,9.054504723820921
ours,-1,45,19.644944444086942
greedy,0,45,11.378463774928234
round_robin,0,45,11.378463774928234
replay_only,0,45,7.328143404452363
state_only,0,45,11.378463774928234
least_loaded,0,45,7.328143404452363
random,0,45,14.823358918417565
random,1,45,14.81458470325605
random,2,45,13.130572852611063
random,3,45,16.30669536583004
random,4,45,14.38445394407404
random,5,45,13.76652614696893
random,6,45,16.04977921814383
random,7,45,13.653355838354331
random,8,45,15.17521775645382
random,9,45,13.8485366864504
random,10,45,12.283548773381394
random,11,45,15.887681696661215
random,12,45,15.46345536518306
random,13,45,13.367060002425601
random,14,45,14.117080677115853
random,15,45,13.427423677066495
random,16,45,13.826573564840952
random,17,45,14.233475609009982
random,18,45,13.929935599573595
random,19,45,15.060011674734586
random,20,45,14.882685650168623
random,21,45,14.333193964462865
random,22,45,15.45060150339323
random,23,45,13.262193895312285
random,24,45,12.22579988698056
random,25,45,13.033462887507296
random,26,45,13.468896952994802
random,27,45,13.760345716388125
random,28,45,14.292511131120753
random,29,45,13.818149054895427
ours,-1,60,25.35269454132314
greedy,0,60,15.171285033237641
round_robin,0,60,15.171285033237641
replay_only,0,60,8.963445069931279
state_only,0,60,15.171285033237641
least_loaded,0,60,8.963445069931279
random,0,60,20.046581712558307
random,1,60,19.028446308347053
random,2,60,18.184379162966184
random,3,60,20.907949424217815
random,4,60,21.016830137164618
random,5,60,18.079429952451136
random,6,60,20.50744779326524
random,7,60,17.988261599607792
random,8,60,19.86669683265785
random,9,60,17.40485348998241
random,10,60,17.745133329566276
random,11,60,20.555959955038855
random,12,60,19.51940528037458
random,13,60,17.624287386122457
random,14,60,19.435324048066526
random,15,60,18.43939718351199
random,16,60,17.733706957080102
random,17,60,17.7978592499859
random,18,60,17.39268638050153
random,19,60,19.432738849165734
random,20,60,19.65398720829432
random,21,60,18.093667785806844
random,22,60,19.6396372706412
random,23,60,19.06767506381131
random,24,60,17.92135666313514
random,25,60,16.89903892002453
random,26,60,17.714606191618902
random,27,60,19.764962889063867
random,28,60,17.98810109511167
random,29,60,18.230730839687997
ours,-1,90,36.247222869033806
greedy,0,90,22.756927549856464
round_robin,0,90,22.756927549856464
replay_only,0,90,11.869357432772015
state_only,0,90,22.756927549856464
least_loaded,0,90,11.869357432772015
random,0,90,28.473202315877693
random,1,90,26.413678120699576
random,2,90,26.730799504807624
random,3,90,31.125378740232733
random,4,90,30.574309786774034
random,5,90,29.474303894066633
random,6,90,30.980651943659375
random,7,90,27.178280355394058
random,8,90,28.71780409375705
random,9,90,25.566407423176557
random,10,90,28.16509364805314
random,11,90,29.89251647179414
random,12,90,28.053545975487047
random,13,90,26.603449981546994
random,14,90,30.46096926355966
random,15,90,27.596060803384205
random,16,90,29.299070597984823
random,17,90,25.925522103047637
random,18,90,25.481674487492157
random,19,90,26.968686815442283
random,20,90,29.058204455194875
random,21,90,26.40125093590862
random,22,90,27.4523237809268
random,23,90,29.06231570672827
random,24,90,26.564017094527
random,25,90,24.910260083638754
random,26,90,26.642602019697225
random,27,90,28.081205627532153
random,28,90,28.583549366264755
random,29,90,27.367440415538795
ours,-1,120,47.104923766843136
greedy,0,120,30.342570066475282
round_robin,0,120,30.342570066475282
replay_only,0,120,14.695934101832517
state_only,0,120,30.342570066475282
least_loaded,0,120,14.695934101832517
random,0,120,36.569959046196814
random,1,120,34.411184713404644
random,2,120,35.93386728284292
random,3,120,39.02593534719896
random,4,120,39.27814942675314
random,5,120,36.53343298394216
random,6,120,39.76325729356454
random,7,120,36.05167591063086
random,8,120,38.711840445688594
random,9,120,35.73174394531739
random,10,120,37.32786365066615
random,11,120,40.61235503188645
random,12,120,36.67188384694772
random,13,120,34.9398025390226
random,14,120,39.243820320863435
random,15,120,36.519333991609926
random,16,120,39.03532866340073
random,17,120,35.74620660682411
random,18,120,33.25397640037853
random,19,120,34.88035240859086
random,20,120,38.03848946281649
random,21,120,34.01318976289224
random,22,120,35.22876646289491
random,23,120,38.40426064143213
random,24,120,36.680496089420565
random,25,120,32.85665408983579
random,26,120,34.238850535875855
random,27,120,36.29124472736626
random,28,120,37.698610190296925
random,29,120,37.24621142774426
ours,-1,180,67.87843502670385
greedy,0,180,45.51385509971293
round_robin,0,180,45.51385509971293
replay_only,0,180,19.39405158152345
state_only,0,180,45.51385509971293
least_loaded,0,180,19.39405158152345
random,0,180,54.8323970534345
random,1,180,51.45077479598796
random,2,180,57.91876400545184
random,3,180,57.177420906910946
random,4,180,55.60679178916165
random,5,180,56.45620582666354
random,6,180,61.15362518593599
random,7,180,53.49099571864594
random,8,180,54.3570995703733
random,9,180,53.61505952706458
random,10,180,53.27401130806953
random,11,180,59.89536872383505
random,12,180,55.7238311561833
random,13,180,53.62332742765492
random,14,180,58.57280986879779
random,15,180,55.01997344652081
random,16,180,57.46195192673843
random,17,180,53.18852095419256
random,18,180,49.505392327413766
random,19,180,51.668094227222795
random,20,180,55.78382309463228
random,21,180,50.65444391318217
random,22,180,52.90409393340045
random,23,180,56.070390149584185
random,24,180,55.609121594461975
random,25,180,51.23636300692686
random,26,180,51.165960908087925
random,27,180,54.64598161509579
random,28,180,54.002522920101015
random,29,180,53.94437066243337
ours,-1,300,99.99999999999991
greedy,0,300,75.85642516618822
round_robin,0,300,75.85642516618822
replay_only,0,300,26.19898779281911
state_only,0,300,75.85642516618822
least_loaded,0,300,26.198987792819107
random,0,300,88.43367145367283
random,1,300,89.07680477180267
random,2,300,94.64441312843756
random,3,300,92.21734328506035
random,4,300,90.27541618009334
random,5,300,88.99603561624222
random,6,300,96.07852014385179
random,7,300,87.52003736440805
random,8,300,92.1682273194167
random,9,300,88.2783146100863
random,10,300,87.32425341058662
random,11,300,93.36722910029806
random,12,300,94.33310884068142
random,13,300,86.87843346165702
random,14,300,95.30665647508575
random,15,300,92.39142438497883
random,16,300,90.26803652596298
random,17,300,87.69254100452268
random,18,300,81.5768622723332
random,19,300,85.08300861683877
random,20,300,91.81409516739656
random,21,300,89.78506696500739
random,22,300,85.31507093026607
random,23,300,88.27561305134394
random,24,300,94.33766714508461
random,25,300,87.28023207445216
random,26,300,86.07318314497682
random,27,300,87.67088715131621
random,28,300,82.94363530853688
random,29,300,90.001560784694
ours,-1,600,99.99999999999962
greedy,0,600,100.0
round_robin,0,600,100.0
replay_only,0,600,42.029850181471616
state_only,0,600,100.0
least_loaded,0,600,42.029850181471616
random,0,600,100.0
random,1,600,100.0
random,2,600,100.0
random,3,600,100.0
random,4,600,100.0
random,5,600,100.0
random,6,600,100.0
random,7,600,100.0
random,8,600,100.0
random,9,600,100.0
random,10,600,100.0
random,11,600,100.0
random,12,600,100.0
random,13,600,100.0
random,14,600,100.0
random,15,600,100.0
random,16,600,100.0
random,17,600,100.0
random,18,600,100.0
random,19,600,100.0
random,20,600,100.0
random,21,600,100.0
random,22,600,100.0
random,23,600,100.0
random,24,600,100.0
random,25,600,100.0
random,26,600,100.0
random,27,600,100.0
random,28,600,100.0
random,29,600,100.0
ours,-1,900,99.99999999999766
greedy,0,900,100.0
round_robin,0,900,100.0
replay_only,0,900,55.27988667567546
state_only,0,900,100.0
least_loaded,0,900,55.27988667567546
random,0,900,100.0
random,1,900,100.0
random,2,900,100.0
random,3,900,100.0
random,4,900,100.0
random,5,900,100.0
random,6,900,100.0
random,7,900,100.0
random,8,900,100.0
random,9,900,100.0
random,10,900,100.0
random,11,900,100.0
random,12,900,100.0
random,13,900,100.0
random,14,900,100.0
random,15,900,100.0
random,16,900,100.0
random,17,900,100.0
random,18,900,100.0
random,19,900,100.0
random,20,900,100.0
random,21,900,100.0
random,22,900,100.0
random,23,900,100.0
random,24,900,100.0
random,25,900,100.0
random,26,900,100.0
random,27,900,100.0
random,28,900,100.0
random,29,900,100.0
