activity,activity_output_tokens,activity_overlapped_initial_copy,activity_s,bandwidth_mbps,campaign,catch_up_cache_hit_bytes,catch_up_cache_hit_chunks,catch_up_end_ns,catch_up_kv_throughput_mbps,catch_up_kv_wire_bytes,catch_up_network_window_s,catch_up_new_tokens,catch_up_prompt_tokens,catch_up_request_s,catch_up_response_s,catch_up_s,catch_up_start_ns,catch_up_time_to_first_response_s,catch_up_validation_s,concurrency,copy_policy,current_model_time_s,idle_ns,initial_end_ns,initial_kv_throughput_mbps,initial_kv_wire_bytes,initial_network_window_s,initial_request_s,initial_response_s,initial_start_ns,initial_time_to_first_response_s,initial_validation_s,job_class,match_id,measured_activity_append_tokens,measured_kv_bytes,measured_kv_chunks,measured_processed_tokens,measured_prompt_tokens,method,move_concurrency,order,pause_start_ns,repeat,request_wait_s,requested_activity_tokens,route_switch_s,scenario_id,service_pause_s,serving_concurrency,session_id,split,success,switch_end_ns,switch_start_ns
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890187654038515,5890187653879127,7319.763210893518,805313316,0.880152314,1.515922103,0.602037358,5890186119847686,0.913884745,0.01787912,coding,175f22bb9b0161fa,0,805306368,64,145,16529,kv_transfer,2,3,5890187653880687,0,0.000157828,0,9.6399e-05,m-2d8ae59fa44a27ea,0.000254487,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,True,5890187654135174,5890187654038775
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890206059392588,5890206059285299,857.7340451674422,435223400,4.059285299,4.052194808,0.597475171,5890201986602653,3.454719637,0.020328299,coding,f4ddc1c2c69765cf,0,208158720,17,0,4235,kv_transfer,2,0,5890206059287179,2,0.000105409,0,5.5479e-05,m-b9b168fcc387e82e,0.000161238,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,True,5890206059448417,5890206059392938
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890209267892957,5890209267828187,713.0529597919897,647793300,7.267828187,7.250231554,3.79628368,5890201987474575,3.453947874,0.0298552,coding,f4ddc1c2c69765cf,0,208601088,17,0,4244,kv_transfer,2,1,5890209267829977,2,6.298e-05,0,3.6169e-05,m-b9b168fcc387e82e,9.9419e-05,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,validation,True,5890209267929396,5890209267893227
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890211138985231,5890211138897442,675.17725301305,416960088,4.940451843,5.056990954,3.313265985,5890206059548157,1.743724969,0.022255972,coding,f4ddc1c2c69765cf,0,208502784,17,0,4242,kv_transfer,2,2,5890211138899802,2,8.5429e-05,0,4.8789e-05,m-b9b168fcc387e82e,0.000135088,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,validation,True,5890211139034890,5890211138986101
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890211626934730,5890211626881500,706.9658053640669,208456080,2.358881614,2.340078031,0.588302547,5890209267999886,1.751775484,0.018723234,coding,f4ddc1c2c69765cf,0,208453632,17,0,4241,kv_transfer,2,3,5890211626882510,2,5.222e-05,0,3.7619e-05,m-b9b168fcc387e82e,9.0109e-05,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,validation,True,5890211626972619,5890211626935000
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890398334667569,5890398334412811,890.6274735430261,1615151248,14.507984952,14.492234755,0.636628621,5890383826427859,13.855606134,0.014297082,coding,175f22bb9b0161fa,0,805306368,64,139,16523,kv_transfer,2,0,5890398334423611,0,0.000243958,0,0.000171519,m-6d4544361087c38a,0.000415967,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,True,5890398334839578,5890398334668059
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890405491932316,5890405491641308,912.8414434831157,2415939948,21.172920798,21.648533156,14.462998822,5890383827079202,7.185534334,0.015708443,coding,175f22bb9b0161fa,0,805306368,64,148,16532,kv_transfer,2,1,5890405491645218,0,0.000287098,0,0.000249328,m-6d4544361087c38a,0.000537276,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,True,5890405492182494,5890405491933166
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890413398058971,5890413397788983,855.4288406078191,1610628972,15.062657657,15.050073914,8.38163976,5890398335131326,6.668434154,0.012274405,coding,175f22bb9b0161fa,0,805306368,64,146,16530,kv_transfer,2,2,5890413397791013,0,0.000267958,0,0.000169899,m-6d4544361087c38a,0.000438287,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,True,5890413398229300,5890413398059401
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890412844658997,5890412844489018,954.4454115555556,805313316,6.75,7.339701431,0.644660381,5890405492484213,6.69504105,0.011866147,coding,175f22bb9b0161fa,0,805306368,64,145,16529,kv_transfer,2,3,5890412844491708,0,0.000167289,0,0.000121019,m-6d4544361087c38a,0.000288838,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,True,5890412844780546,5890412844659527
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5895138789978225,5895138789726078,956.583695554466,2963258124,24.782008205,24.754339165,12.615687678,5895114007717873,12.138651487,0.026306429,coding,063565740025b8d1,0,1481392128,118,0,30139,kv_transfer,2,0,5895138789728358,0,0.000249867,0,0.000169058,m-e93e7614cef4547b,0.000419815,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,True,5895138790148173,5895138789979115
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5895138856627892,5895138856410695,954.0869375656779,2963258124,24.846860447,24.825658085,0.50204061,5895114009550248,24.323617475,0.020852137,coding,063565740025b8d1,0,1481834496,118,0,30148,kv_transfer,2,1,5895138856412065,0,0.000215827,0,0.000157489,m-e93e7614cef4547b,0.000373696,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,True,5895138856785761,5895138856628272
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5895163656338860,5895163656115602,953.4236499643858,2963450952,24.865764151,24.847099221,12.605831131,5895138790351451,12.24126809,0.018365593,coding,063565740025b8d1,0,1481736192,118,0,30146,kv_transfer,2,2,5895163656116672,0,0.000222188,0,0.000165868,m-e93e7614cef4547b,0.000388396,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,True,5895163656505068,5895163656339200
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5895163589942700,5895163589687503,958.553188109789,2963450952,24.732699145,24.706229418,0.434660381,5895138856988358,24.271569037,0.02617522,coding,063565740025b8d1,0,1481687040,118,0,30145,kv_transfer,2,3,5895163589691123,0,0.000251577,0,0.000178898,m-e93e7614cef4547b,0.000431285,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,True,5895163590122408,5895163589943510
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,4,initial_final,,5895211140858244,5895211140630776,5125.795314162162,5926700832,9.25,9.640709212,6.929182774,5895201459219949,2.711526438,0.038693047,coding,68757ca6403bf6d6,0,1481392128,118,0,30139,kv_transfer,4,0,5895211140632586,1,0.000225658,0,0.000175398,m-ba2be7639ded4ccb,0.000401506,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,True,5895211141034092,5895211140858694
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,4,initial_final,,5895211197874311,5895211197684213,5125.795314162162,5926700832,9.25,9.706562003,0.489827619,5895201460390126,9.216734384,0.028636137,coding,68757ca6403bf6d6,0,1481834496,118,0,30148,kv_transfer,4,1,5895211197686163,1,0.000188148,0,0.000163998,m-ba2be7639ded4ccb,0.000352476,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,True,5895211198038639,5895211197874641
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,4,initial_final,,5895211246824196,5895211246569139,5125.795314162162,5926700832,9.25,9.752363373,0.536721647,5895201462848629,9.215641726,0.030443417,coding,68757ca6403bf6d6,0,1481736192,118,0,30146,kv_transfer,4,2,5895211246569979,1,0.000254217,0,0.000155059,m-ba2be7639ded4ccb,0.000409556,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,True,5895211246979535,5895211246824476
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,4,initial_final,,5895211169228904,5895211168900568,5125.795314162162,5926700832,9.25,9.671758433,0.457300904,5895201463964277,9.214457529,0.032574305,coding,68757ca6403bf6d6,0,1481687040,118,0,30145,kv_transfer,4,3,5895211168901928,1,0.000326976,0,0.000170918,m-ba2be7639ded4ccb,0.000498194,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,True,5895211169400122,5895211169229204
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.7122997543551475,5890765603878871,5890765603651053,1870.9650578556716,805363052,3.443626266,3.429920975,0.642799566,5890762160024787,2.787121409,0.013470974,coding,b182bb88b660801d,0,805306368,64,139,16523,kv_transfer,1,0,5890765603652883,1,0.000225988,0,0.000184408,m-4a17bb7b6c222980,0.000410916,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,True,5890765604063799,5890765603879391
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.7122997543551475,5890769456727035,5890769456335929,1672.488315716602,805314000,3.852052023,3.836951385,1.549775711,5890765604283906,2.287175674,0.014799871,coding,b182bb88b660801d,0,805306368,64,148,16532,kv_transfer,1,1,5890769456339179,1,0.000387856,0,0.000162679,m-4a17bb7b6c222980,0.000551245,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,True,5890769456890424,5890769456727745
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.7122997543551475,5890771907627340,5890771907415882,2629.3080053710364,805316952,2.450278021,2.435879706,1.549247326,5890769457137861,0.88663238,0.014088488,coding,b182bb88b660801d,0,805306368,64,146,16530,kv_transfer,1,2,5890771907417342,1,0.000209998,0,0.000170888,m-4a17bb7b6c222980,0.000381326,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,True,5890771907798668,5890771907627780
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.7122997543551475,5890773432337053,5890773432157715,4227.022380974372,805315332,1.524127879,1.511381687,0.599718089,5890771908029836,0.911663598,0.012442155,coding,b182bb88b660801d,0,805306368,64,145,16529,kv_transfer,1,3,5890773432160205,1,0.000176848,0,9.6069e-05,m-4a17bb7b6c222980,0.000273157,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,True,5890773432433362,5890773432337293
one_turn,632,True,14.074745838,10000,staged_append,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,after_each_request,,5890806951029002,5890791433218881,5392.786027361278,1383100008,2.051778062,2.713167076,0.605244996,5890788698221938,2.10792208,0.021333532,coding,1354cbc6feb5d874,2129,1383088128,110,0,28139,kv_transfer,1,0,5890806950797365,1,0.000231637,2048,0.000162879,m-f1de779d5522ff55,0.000394786,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,True,5890806951192151,5890806951029272
one_turn,519,True,11.840719126,10000,staged_append,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,after_each_request,,5890833309866686,5890819747862569,5660.058294241796,1383100008,1.954891538,2.433546643,0.610410553,5890817295108462,1.82313609,0.01861703,coding,476c4b17360f0f6a,2129,1383088128,110,0,28139,kv_transfer,1,0,5890833309651548,2,0.000215138,2048,0.000176688,m-2031ff7ab0881bf6,0.000392126,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,True,5890833310043674,5890833309866986
one_turn,112,True,8.3492887,1000,staged_append,0,0,5895234840218285,0.37987864655152775,4284,0.090218285,2156,30295,1.453903667,0.446886518,1.484370764,5895233355847521,1.007017149,0.030088081,1,initial_final,,5895233355846981,5895230076166989,0.0,0,0.0,7.063246479,0.447106245,5895222981805180,6.616140234,0.030519787,coding,476c4b17360f0f6a,2129,0,0,28139,28139,replay,1,0,5895230076169169,2,3.279677812,2048,0.000192118,m-543cf556ff42fecd,4.764241614,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,True,5895234840410783,5895234840218665
