case_id,bound_constraint,constraints,replicate,sessions,target_w,power_bootstrap_index,timing_fit_sha256,bandwidth_projection_regions,fractional_lp_opportunity_w,target_met,feasible,power_shortfall_w,planned_shed_w,predicted_migration_makespan_s,loaded_candidate_count,loaded_pool_count,loaded_selected_count,loaded_context_below_session_count,loaded_context_above_session_count,loaded_context_below_candidate_count,loaded_context_above_candidate_count,loaded_context_below_selected_count,loaded_context_above_selected_count,loaded_bandwidth_below_pool_count,loaded_bandwidth_above_pool_count,loaded_bandwidth_below_candidate_count,loaded_bandwidth_above_candidate_count,loaded_bandwidth_below_selected_count,loaded_bandwidth_above_selected_count,loaded_context_below_replay_selected_count,loaded_context_above_replay_selected_count,loaded_bandwidth_below_replay_selected_count,loaded_bandwidth_above_replay_selected_count,loaded_context_below_kv_transfer_selected_count,loaded_context_above_kv_transfer_selected_count,loaded_bandwidth_below_kv_transfer_selected_count,loaded_bandwidth_above_kv_transfer_selected_count,candidate_matched_pairs,candidate_replay_only,candidate_kv_only,candidate_neither,candidate_replay_dominates,candidate_kv_dominates,candidate_equivalent,candidate_incomparable,replay_count,kv_transfer_count,not_moved_count,replay,kv_transfer,not_moved,replay_phase_load,kv_transfer_phase_load,not_moved_phase_load,route_utilization,service_utilization,hbm_utilization,migration_utilization,binding_resources,failure
dest_compute-hbm,HBM + compute,dest_compute+hbm,2,28,41.27304919979958,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,1,20.584841060973474,False,False,22.611707029445824,18.66134217035375,10.718653606712634,80,2,11,1,12,4,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,16,26,0,0,14,6,5,17,0.21428571428571427,0.17857142857142858,0.6071428571428571,0.27304564624104555,0.26723677447222277,0.4597175792867316,0.059803927040556766,0.7924902728645085,0.92,0.42874614426850527,,target_unmet
bandwidth-dest_compute,Bandwidth + compute,bandwidth+dest_compute,2,28,41.27304919979958,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,1,21.14467738605987,False,False,25.166747177681827,16.106302022117745,23.177680613244544,108,2,17,1,12,4,48,1,3,1,0,54,0,5,0,1,3,5,0,0,0,0,0,54,0,0,2,33,0,0,21,17,0,11,0.6071428571428571,0.0,0.39285714285714285,0.4892109216789396,0.0,0.5107890783210605,5.483263999999999e-05,0.981764661735762,0.09064327485380116,0.9271072245297814,,target_unmet
bandwidth-dest_compute-hbm,All bound,bandwidth+dest_compute+hbm,2,28,41.27304919979958,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,1,20.584841060973474,False,False,22.611707029445824,18.66134217035375,10.873054864455804,80,2,11,1,12,4,20,1,0,1,0,40,0,5,0,1,0,5,0,0,0,0,0,40,0,0,16,26,0,0,14,11,0,17,0.39285714285714285,0.0,0.6071428571428571,0.5402824207132685,0.0,0.4597175792867315,1.5694675820600253e-05,0.7715237428796508,0.92,0.4349221945782321,,target_unmet
none,None bound,none,2,28,41.27304919979958,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,1,60.106600177138716,True,True,0.0,42.649466907621914,9.370674875004445,112,2,7,1,12,4,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,0,0,0,47,0,0,9,7,0,21,0.25,0.0,0.75,0.8577785607851676,0.0,0.14222143921483243,4.963900023682382e-06,0.24170864250024243,0.025518341307814996,0.37482699500017774,,
hbm,HBM,hbm,3,28,39.91426662467869,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,0,46.2076671177782,True,True,0.0,41.661816691608735,8.44961384075332,76,2,8,4,13,16,16,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,38,0,0,18,38,0,0,0,8,0,20,0.2857142857142857,0.0,0.7142857142857143,0.8512757217183425,0.0,0.14872427828165746,3.383173198056221e-06,0.11716589324575646,0.9600000000000001,0.3379845536301328,,
bandwidth,Bandwidth,bandwidth,3,28,39.91426662467869,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,0,59.12471975193718,True,True,0.0,41.661816691608735,9.689234263835036,112,2,8,4,13,16,52,3,0,1,0,56,0,0,0,3,0,0,0,0,0,0,0,56,0,0,0,50,0,0,6,8,0,20,0.2857142857142857,0.0,0.7142857142857143,0.8512757217183425,0.0,0.14872427828165746,1.5415679999999997e-05,0.14183103124806695,0.026049973418394476,0.38756937055340146,,
dest_compute,Dest. compute,dest_compute,3,28,39.91426662467869,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,0,38.888882439698875,False,False,4.749283520109884,35.164983104568805,18.096760565711122,112,2,14,4,13,16,52,3,2,0,0,0,0,0,0,1,0,0,0,2,2,0,0,56,0,0,0,34,0,0,22,6,8,14,0.21428571428571427,0.2857142857142857,0.5,0.4011775735004785,0.3795639276222844,0.21925849887723703,0.20671435196109791,0.9945269765839755,0.06804891015417332,0.7238704226284449,,target_unmet
bandwidth-hbm,HBM + bandwidth,bandwidth+hbm,3,28,39.91426662467869,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,0,46.2076671177782,True,True,0.0,41.661816691608735,8.44961384075332,76,2,8,4,13,16,16,3,0,1,0,38,0,1,0,3,0,1,0,0,0,0,0,38,0,0,18,38,0,0,0,8,0,20,0.2857142857142857,0.0,0.7142857142857143,0.8512757217183425,0.0,0.14872427828165746,1.116288e-05,0.11716589324575646,0.9600000000000001,0.3379845536301328,,
dest_compute-hbm,HBM + compute,dest_compute+hbm,3,28,39.91426662467869,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,0,38.888882439698875,False,False,5.688973668249673,34.225292956429016,8.102140820361658,76,2,10,4,13,16,16,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,38,0,0,18,25,0,0,13,6,4,18,0.21428571428571427,0.14285714285714285,0.6428571428571429,0.4011775735004785,0.3683380315817062,0.23048439491781525,0.03390653648704067,0.9984692373970501,0.9066666666666666,0.3240856328144663,,target_unmet
bandwidth-dest_compute,Bandwidth + compute,bandwidth+dest_compute,3,28,39.91426662467869,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,0,38.888882439698875,False,False,4.749283520109884,35.164983104568805,19.98696719194243,112,2,14,4,13,16,52,3,2,1,0,56,0,3,0,3,2,3,0,0,0,0,0,56,0,0,0,34,0,0,22,14,0,14,0.5,0.0,0.5,0.7807415011227631,0.0,0.21925849887723692,4.1023359999999995e-05,0.9945269765839755,0.06804891015417332,0.799478687677697,,target_unmet
