replicate,case_id,bound_constraint,policy,power_bootstrap_index,timing_fit_sha256,target_w,requested_fraction,deadline_s,horizon_s,attainment_time_s,target_met_by_30s
1,dest_compute,Dest. compute,isolated_fastest,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,15.21584066498006,True
1,dest_compute,Dest. compute,kv_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,28.586126160916667,True
1,dest_compute,Dest. compute,replay_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,19.477318904402733,True
1,bandwidth-hbm,HBM + bandwidth,queue_haul,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,10.75891100012366,True
1,bandwidth-hbm,HBM + bandwidth,greedy,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,10.75891100012366,True
1,bandwidth-hbm,HBM + bandwidth,isolated_fastest,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,bandwidth-hbm,HBM + bandwidth,kv_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,bandwidth-hbm,HBM + bandwidth,replay_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,dest_compute-hbm,HBM + compute,queue_haul,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,11.304257599507334,True
1,dest_compute-hbm,HBM + compute,greedy,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,11.304257599507334,True
1,dest_compute-hbm,HBM + compute,isolated_fastest,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
