policy,requested_fraction,cases,maximum_removable_w_p05,maximum_removable_w_median,maximum_removable_w_p95,safely_attained_w_p05,safely_attained_w_median,safely_attained_w_p95
power_blind,0.0,800,32.486651845203546,51.799607255886244,61.019757441959825,0.0,0.0,0.0
power_blind,0.125,800,32.486651845203546,51.799607255886244,61.019757441959825,0.4337986836814722,4.133206656279015,16.38813665913843
power_blind,0.25,800,32.486651845203546,51.799607255886244,61.019757441959825,2.993121866955046,9.294404318683583,22.081062659256283
power_blind,0.375,800,32.486651845203546,51.799607255886244,61.019757441959825,8.560452759696462,19.07833769655406,34.959328969765224
power_blind,0.5,800,32.486651845203546,51.799607255886244,61.019757441959825,12.938272512287881,28.144337471575973,40.31100606658935
power_blind,0.625,800,32.486651845203546,51.799607255886244,61.019757441959825,17.28615367507256,32.3316918625454,49.48287114505772
power_blind,0.6666666666666666,800,32.486651845203546,51.799607255886244,61.019757441959825,17.453337681538834,33.03209185504177,50.405309340408174
power_blind,0.75,800,32.486651845203546,51.799607255886244,61.019757441959825,18.135601541576474,34.037074283273945,52.335286838513234
power_blind,0.875,800,32.486651845203546,51.799607255886244,61.019757441959825,18.135601541576474,34.27701185309685,55.28172009081473
power_blind,1.0,800,32.486651845203546,51.799607255886244,61.019757441959825,18.135601541576474,34.30291642566378,55.31641940971335
deadline_blind,0.0,800,32.486651845203546,51.799607255886244,61.019757441959825,0.0,0.0,0.0
deadline_blind,0.125,800,32.486651845203546,51.799607255886244,61.019757441959825,5.54903874509909,8.779682359923186,13.318370019928127
deadline_blind,0.25,800,32.486651845203546,51.799607255886244,61.019757441959825,9.76734555369049,18.3614815925705,27.591697151060714
deadline_blind,0.375,800,32.486651845203546,51.799607255886244,61.019757441959825,14.060267290282638,28.037051821182686,49.347945000757306
deadline_blind,0.5,800,32.486651845203546,51.799607255886244,61.019757441959825,17.33194218087769,33.72050085860206,54.43703318195896
deadline_blind,0.625,800,32.486651845203546,51.799607255886244,61.019757441959825,19.13210267833844,34.23143828973585,54.43703318195896
deadline_blind,0.6666666666666666,800,32.486651845203546,51.799607255886244,61.019757441959825,19.13210267833844,34.23143828973585,54.43703318195896
deadline_blind,0.75,800,32.486651845203546,51.799607255886244,61.019757441959825,19.13210267833844,34.23143828973585,54.43703318195896
