constraint_state,bound_constraint,requested_fraction,attainment_rate,cases
hbm,HBM / HBM + bandwidth,0.59,1.0,100
hbm,HBM / HBM + bandwidth,0.6,1.0,100
hbm,HBM / HBM + bandwidth,0.61,1.0,100
hbm,HBM / HBM + bandwidth,0.62,1.0,100
hbm,HBM / HBM + bandwidth,0.63,1.0,100
hbm,HBM / HBM + bandwidth,0.64,1.0,100
hbm,HBM / HBM + bandwidth,0.65,1.0,100
hbm,HBM / HBM + bandwidth,0.66,1.0,100
hbm,HBM / HBM + bandwidth,0.67,1.0,100
hbm,HBM / HBM + bandwidth,0.68,1.0,100
hbm,HBM / HBM + bandwidth,0.6900000000000001,1.0,100
hbm,HBM / HBM + bandwidth,0.7000000000000001,1.0,100
hbm,HBM / HBM + bandwidth,0.71,1.0,100
hbm,HBM / HBM + bandwidth,0.72,1.0,100
hbm,HBM / HBM + bandwidth,0.73,1.0,100
hbm,HBM / HBM + bandwidth,0.74,1.0,100
hbm,HBM / HBM + bandwidth,0.75,1.0,100
hbm,HBM / HBM + bandwidth,0.76,0.98,100
hbm,HBM / HBM + bandwidth,0.77,0.98,100
hbm,HBM / HBM + bandwidth,0.78,0.98,100
hbm,HBM / HBM + bandwidth,0.79,0.98,100
hbm,HBM / HBM + bandwidth,0.8,0.98,100
hbm,HBM / HBM + bandwidth,0.81,0.98,100
hbm,HBM / HBM + bandwidth,0.8200000000000001,0.98,100
hbm,HBM / HBM + bandwidth,0.8300000000000001,0.97,100
hbm,HBM / HBM + bandwidth,0.84,0.97,100
hbm,HBM / HBM + bandwidth,0.85,0.97,100
hbm,HBM / HBM + bandwidth,0.86,0.97,100
hbm,HBM / HBM + bandwidth,0.87,0.95,100
hbm,HBM / HBM + bandwidth,0.88,0.87,100
hbm,HBM / HBM + bandwidth,0.89,0.8,100
hbm,HBM / HBM + bandwidth,0.9,0.74,100
hbm,HBM / HBM + bandwidth,0.91,0.66,100
hbm,HBM / HBM + bandwidth,0.92,0.58,100
hbm,HBM / HBM + bandwidth,0.93,0.53,100
hbm,HBM / HBM + bandwidth,0.9400000000000001,0.5,100
hbm,HBM / HBM + bandwidth,0.9500000000000001,0.41,100
hbm,HBM / HBM + bandwidth,0.96,0.3,100
hbm,HBM / HBM + bandwidth,0.97,0.18,100
hbm,HBM / HBM + bandwidth,0.98,0.11,100
hbm,HBM / HBM + bandwidth,0.99,0.07,100
hbm,HBM / HBM + bandwidth,1.0,0.0,100
dest_compute,Dest. compute / bandwidth + compute,0.0,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.01,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.02,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.03,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.04,1.0,100
dest_compute,Dest. compute / bandwidth + compute,0.05,1.0,100
