campaign,split,deadline_s,scheduler,independent_value,observations,time_to_full_power_s,deadline_attainment_fraction,watts_shed_by_deadline,target_w,replay_action_fraction,kv_transfer_action_fraction,not_moved_action_fraction
bandwidth,tiny,19.0,greedy,2.5,3,6.901182059,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,kv_only,2.5,3,8.486743,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,tiny,19.0,queue_haul,2.5,3,6.872550154,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,replay_only,2.5,3,6.747036191,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,greedy,5.0,3,6.806815833,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,kv_only,5.0,3,7.537067822,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,tiny,19.0,queue_haul,5.0,3,6.860373999,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,replay_only,5.0,3,7.075698878,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,greedy,10.0,3,6.728799162,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,kv_only,10.0,3,6.63040187,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,tiny,19.0,queue_haul,10.0,3,6.835980796,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,replay_only,10.0,3,6.69508778,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,large,30.0,greedy,1.0,3,18.471415960999998,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,large,30.0,kv_only,1.0,3,58.433679434,0.0,44.13906503703555,156.50014682302742,0.0,1.0,0.0
bandwidth,large,30.0,queue_haul,1.0,3,18.634616981,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,large,30.0,replay_only,1.0,3,18.440918757,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,large,30.0,greedy,2.5,3,18.901403094000003,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,large,30.0,kv_only,2.5,3,27.20751114,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,large,30.0,queue_haul,2.5,3,18.619900322,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,large,30.0,replay_only,2.5,3,18.536984816,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,large,30.0,greedy,5.0,3,18.605385522,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,large,30.0,kv_only,5.0,3,16.896978663,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,large,30.0,queue_haul,5.0,3,16.919120005,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,large,30.0,replay_only,5.0,3,18.590609696,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,large,30.0,greedy,10.0,3,12.967577538,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,large,30.0,kv_only,10.0,3,13.472419919,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,large,30.0,queue_haul,10.0,3,12.327177676,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,large,30.0,replay_only,10.0,3,18.487048025,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,greedy,1.0,3,11.036931543,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,kv_only,1.0,3,31.958216437,0.0,144.1000330390222,156.50014682302742,0.0,1.0,0.0
bandwidth,medium,30.0,queue_haul,1.0,3,11.145440714,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,replay_only,1.0,3,11.032804585000001,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,greedy,2.5,3,14.257153864,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,kv_only,2.5,3,17.178321920000002,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,medium,30.0,queue_haul,2.5,3,14.108960668,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,replay_only,2.5,3,13.98236138,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,greedy,5.0,3,11.129760684,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,kv_only,5.0,3,11.758010637,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,medium,30.0,queue_haul,5.0,3,11.101836092,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,replay_only,5.0,3,11.114921276,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,greedy,10.0,3,11.136994217,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,medium,30.0,kv_only,10.0,3,9.748036872,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,medium,30.0,queue_haul,10.0,3,8.846517058,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,medium,30.0,replay_only,10.0,3,11.05775904,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,30.0,greedy,1.0,3,11.137631568,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,30.0,kv_only,1.0,3,31.69441829,0.0,145.77049549506262,156.50014682302742,0.0,1.0,0.0
bandwidth,mixed,30.0,queue_haul,1.0,3,11.10117154,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,30.0,replay_only,1.0,3,11.151215674,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,30.0,greedy,2.5,3,11.155958393999999,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
