model,workload,density,wan_gbps,deadline_s,policy,service_factor,evaluation,comparator,p05_difference_w,median_difference_w,p95_difference_w,win_fraction
gpt-oss-20b,coding,8,reference,300,lp_plan,1.0,nominal_volume,lp_bound,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.236
gpt-oss-20b,coding,8,reference,300,greedy,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.26225
gpt-oss-20b,coding,8,reference,300,greedy,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.818422555922954e-09,0.35
gpt-oss-20b,coding,8,reference,300,kv_only,1.0,nominal_volume,lp_bound,11306762.971526857,11581676.152209735,11796854.588771826,1.0
gpt-oss-20b,coding,8,reference,300,kv_only,1.0,nominal_volume,lp_plan,11306762.971526857,11581676.152209735,11796854.588771828,1.0
gpt-oss-20b,coding,8,reference,300,replay_only,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.26225
gpt-oss-20b,coding,8,reference,300,replay_only,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.818422555922954e-09,0.35
gpt-oss-20b,coding,8,reference,300,isolated_fastest,1.0,nominal_volume,lp_bound,11306762.971526857,11581676.152209735,11796854.588771826,1.0
gpt-oss-20b,coding,8,reference,300,isolated_fastest,1.0,nominal_volume,lp_plan,11306762.971526857,11581676.152209735,11796854.588771828,1.0
gpt-oss-20b,coding,8,reference,600,lp_plan,1.0,nominal_volume,lp_bound,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.30125
gpt-oss-20b,coding,8,reference,600,greedy,1.0,nominal_volume,lp_bound,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.27525
gpt-oss-20b,coding,8,reference,600,greedy,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,2.793967723831189e-10,0.05
gpt-oss-20b,coding,8,reference,600,kv_only,1.0,nominal_volume,lp_bound,10736169.113550168,11254352.963112345,11602237.44796881,1.0
gpt-oss-20b,coding,8,reference,600,kv_only,1.0,nominal_volume,lp_plan,10736169.11355017,11254352.963112345,11602237.447968809,1.0
gpt-oss-20b,coding,8,reference,600,replay_only,1.0,nominal_volume,lp_bound,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.27525
gpt-oss-20b,coding,8,reference,600,replay_only,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,2.793967723831189e-10,0.05
gpt-oss-20b,coding,8,reference,600,isolated_fastest,1.0,nominal_volume,lp_bound,10736169.113550168,11254352.963112345,11602237.44796881,1.0
gpt-oss-20b,coding,8,reference,600,isolated_fastest,1.0,nominal_volume,lp_plan,10736169.11355017,11254352.963112345,11602237.447968809,1.0
gpt-oss-20b,coding,8,reference,1800,lp_plan,1.0,nominal_volume,lp_bound,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.46275
gpt-oss-20b,coding,8,reference,1800,greedy,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.49925
gpt-oss-20b,coding,8,reference,1800,greedy,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.818422555922954e-09,0.3
gpt-oss-20b,coding,8,reference,1800,kv_only,1.0,nominal_volume,lp_bound,8860160.00944253,9951223.106393125,11008769.219104687,1.0
gpt-oss-20b,coding,8,reference,1800,kv_only,1.0,nominal_volume,lp_plan,8860160.009442529,9951223.106393121,11008769.219104685,1.0
gpt-oss-20b,coding,8,reference,1800,replay_only,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.49925
gpt-oss-20b,coding,8,reference,1800,replay_only,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.818422555922954e-09,0.3
gpt-oss-20b,coding,8,reference,1800,isolated_fastest,1.0,nominal_volume,lp_bound,8860160.00944253,9951223.106393125,11008769.219104687,1.0
gpt-oss-20b,coding,8,reference,1800,isolated_fastest,1.0,nominal_volume,lp_plan,8860160.009442529,9951223.106393121,11008769.219104685,1.0
gpt-oss-20b,coding,8,reference,3600,lp_plan,1.0,nominal_volume,lp_bound,-3.725290298461914e-09,0.0,5.587935447692871e-09,0.47775
gpt-oss-20b,coding,8,reference,3600,greedy,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,5.681067705153911e-09,0.3355
gpt-oss-20b,coding,8,reference,3600,greedy,1.0,nominal_volume,lp_plan,-3.725290298461914e-09,0.0,3.725290298461914e-09,0.25
gpt-oss-20b,coding,8,reference,3600,kv_only,1.0,nominal_volume,lp_bound,6231362.465495582,8491058.297017056,10551291.9255207,1.0
gpt-oss-20b,coding,8,reference,3600,kv_only,1.0,nominal_volume,lp_plan,6231362.465495582,8491058.297017056,10551291.925520694,1.0
