model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,snapshots,status,p05_shed_mw,median_shed_mw,p95_shed_mw,median_shed_fraction,workload_p05_mw,workload_p95_mw,median_calibration_width_mw,full_plan_success,p05_completed_sessions,median_completed_sessions,p95_completed_sessions,mean_network_utilization,mean_migration_compute_utilization,mean_serving_utilization,mean_prefill_contention_session_s,mean_prefill_peak_ready_sessions,mean_prefill_ready_at_deadline,mean_prefill_network_blocked_at_deadline,mean_prefill_remaining_gpu_s,mean_planned_shed_mw,mean_kv_utilization,action_counts_mean,action_shed_mw_mean,mean_not_completed,network_budget_gbps_median
gpt-oss-20b,coding,8,reference,1,replay_only,1.0,4000,20,complete,8.820304030021282e-06,0.6079845263330991,1.7837585072045228,0.050665183666237505,2.2036791014928984e-05,1.7674425074593636,0.007314740846317378,0.0,1.0,22395.0,55739.14999999697,"[0.9412012334415086, 0.604318478538785, 0.6752706083887349]","[0.031041170148085995, 0.1792662251558371]","[0.6623915529590739, 0.6596864828238972]","[155.86942862656377, 8705.923806429437]","[20459.495499999997, 45896.35]","[17098.2945, 33342.713]","[4080.89225, 0.0]","[7153.0139000977915, 10335.124742685994]",4.806519068305758,"[0.03860288577144636, 0.04003948839667626]","[6679.063250000001, 0.0, 19853.137, 0.0]","[0.3391943832821121, 0.0, 0.4048222536548848, 0.0]",506795.79974999995,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,replay_only,1.2,4000,20,complete,0.198315280397262,1.0896004945880104,2.869474944129142,0.09079969438379996,0.2364395006230126,2.8961578591021118,0.016794063001807778,0.05,11241.0,34642.0,67746.34999999404,"[0.9412012334415085, 0.604318478538785, 0.6752706083887346]","[0.02907580886267149, 0.20037078885046725]","[0.551992960799228, 0.5497387356865804]","[14.191427404274998, 3207.324108831999]","[20020.08325, 43932.898]","[15225.024750000002, 24046.25125]","[4080.89225, 0.0]","[5746.969250686225, 5213.8200812656205]",4.806519068305758,"[0.03860288577144636, 0.04003948839667626]","[8552.333, 0.0, 29149.598749999997, 0.0]","[0.5131610017564858, 0.0, 0.8223025603324133, 0.0]",495626.06825,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,isolated_fastest,0.8,4000,20,complete,0.00012066420208005954,0.0007333364347205146,0.0017856222272478548,6.10756858610868e-05,0.0005949371060416796,0.0017020539533593951,0.0008609609161444175,0.6052500000000001,1.0,5.0,24.0,"[0.9334792040744885, 0.9825462648320539, 0.9718105123179972]","[0.0, 0.0]","[0.6250192988125616, 0.6250793418280096]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0011776478173516267,"[0.0375544587136165, 0.03755470408531233]","[0.0, 2.5965, 0.0, 7.097500000000002]","[0.0, 0.00021632969212156657, 0.0, 0.000628414977716927]",533318.3060000001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,isolated_fastest,1.0,4000,20,complete,0.00012066420208005954,0.0007333364347205146,0.0017856222272478548,6.10756858610868e-05,0.0005949371060416796,0.0017020539533593951,0.0008609609161444175,0.6052500000000001,1.0,5.0,24.0,"[0.9334792040744885, 0.9825462648320539, 0.9718105123179972]","[0.0, 0.0]","[0.50001543905005, 0.5000634734624081]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0011776478173516267,"[0.0375544587136165, 0.03755470408531233]","[0.0, 2.5965, 0.0, 7.097500000000002]","[0.0, 0.00021632969212156657, 0.0, 0.000628414977716927]",533318.3060000001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,isolated_fastest,1.2,4000,20,complete,0.00012066420208005954,0.0007333364347205146,0.0017856222272478548,6.10756858610868e-05,0.0005949371060416796,0.0017020539533593951,0.0008609609161444175,0.6052500000000001,1.0,5.0,24.0,"[0.9334792040744885, 0.9825462648320539, 0.9718105123179972]","[0.0, 0.0]","[0.4166795325417082, 0.41671956121867326]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0011776478173516267,"[0.0375544587136165, 0.03755470408531233]","[0.0, 2.5965, 0.0, 7.097500000000002]","[0.0, 0.00021632969212156657, 0.0, 0.000628414977716927]",533318.3060000001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,queue_haul,0.8,4000,20,complete,0.0,0.13569214066785346,1.4983437672687885,0.011399084448701302,3.2280241194033264e-06,1.49881840172643,0.0017079893987480754,0.0,0.0,8298.0,66362.39999999992,"[0.9133295952952556, 0.8997868306077272, 0.9022979283975474]","[0.010556474197538112, 0.07325352964433626]","[0.9596485450562386, 0.909134986101156]","[47319.71034005999, 140478.37826383472]","[48834.7395, 75923.171]","[46326.148, 67931.117]","[2110.302, 0.0]","[37019.41019618249, 52025.32513485699]",7.772599272713326,"[0.04059495677906021, 0.042770746009557284]","[5541.25, 0.0, 13913.333000000002, 2.6092500000000003]","[0.24937983833604987, 0.0, 0.1935998313094048, 0.00013070020837865684]",513870.80775,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,queue_haul,1.0,4000,20,complete,0.4429542937244713,2.310151088148813,5.093853507590285,0.1935321276666277,0.4952954582842784,5.093796307498087,0.030951826603542083,0.0,44536.0,80261.0,112480.79999999405,"[0.9876250969461935, 0.9725615721489556, 0.9754027927954398]","[0.041545345188090776, 0.20183231593984524]","[0.7899257476170611, 0.7309051221054781]","[10040.415227801557, 57071.47239484537]","[37739.53525, 60378.7]","[25741.141749999995, 28814.3705]","[4470.05725, 0.0]","[25726.012530111104, 13452.334694554133]",7.772599272713326,"[0.040854122429644917, 0.042817163523584965]","[26719.951, 0.0, 53491.729499999994, 3.06675]","[1.323025850702332, 0.0, 1.1759040318793852, 0.0001424405272578693]",453113.25275,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,queue_haul,1.2,4000,20,complete,2.046816665230072,4.716601450194922,6.630449728119236,0.39563863798803245,2.0683481074554284,6.56786463836605,0.057209039970928806,0.0,66547.0,96674.0,148427.84999998694,"[0.9876250969461935, 0.9725615721489556, 0.9754027927954398]","[0.04373517486176209, 0.2133173859119119]","[0.6582714563475511, 0.6090876017545649]","[2038.1638540146864, 18563.43060324032]","[31555.7645, 54857.9615]","[20658.013499999997, 7922.348]","[4470.05725, 0.0]","[19615.55122886304, 2185.611300632173]",7.772599272713326,"[0.040854122429644917, 0.042817163523584965]","[31803.07925, 0.0, 74383.75200000001, 3.06675]","[1.7061795469058036, 0.0, 2.764530664451054, 0.0001424405272578693]",427138.10199999996,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,greedy,0.8,4000,20,complete,4.902195238132294e-06,7.549997558275942e-05,1.4888868083445381,6.328170852922149e-06,4.929542956272438e-06,1.4894659925414442,3.881797072366749e-06,0.0,2.900000000000034,8.0,66353.09999999996,"[0.8269942987383452, 0.5201630811439268, 0.5848496891833526]","[0.011469473153020257, 0.088528872795044]","[0.9632281668333409, 0.8803767742129514]","[45607.49870313726, 116164.22733507978]","[44234.98425, 66958.6345]","[40831.883250000006, 64746.8]","[1899.2134999999998, 0.0]","[28640.209963752968, 56218.29937565698]",7.696693403970683,"[0.040107609507924746, 0.04288604098367993]","[6638.7032500000005, 0.65, 5590.8, 2.15]","[0.26022655750789414, 1.3388583568434431e-06, 0.07335109163147485, 4.2740720874323e-06]",521095.69675,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,greedy,1.0,4000,20,complete,0.49814519440482846,2.134817493253247,4.2707363122352024,0.17790077823512554,0.5056048531510442,4.2713187369479595,0.028691622189510612,0.0,22073.0,66490.0,99474.3999999902,"[0.9299252853002689, 0.5201630811439268, 0.6066621876663338]","[0.047360401070586956, 0.2075056465783162]","[0.8114431055854971, 0.704301419370361]","[14964.056345761095, 48084.33281268333]","[34293.513499999994, 55108.27849999999]","[26401.314250000003, 33292.33]","[2534.7827500000003, 0.0]","[18829.06224668354, 17638.40319716609]",7.696693403970683,"[0.040454565366229454, 0.04288604098367993]","[24304.853, 0.61675, 37045.270000000004, 2.15]","[1.3417499762473857, 1.292060131831511e-06, 0.917378460529476, 4.2740720874323e-06]",471975.11025,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,greedy,1.2,4000,20,complete,1.7988437794542766,3.949550696952214,9.865972770012563,0.32912796756042445,1.8179514958463523,9.860856927619652,0.056391164107015355,0.1,26690.950000000084,87478.0,156415.1499999964,"[0.9299252853002686, 0.5201630811439268, 0.6066621876663338]","[0.05944842917550841, 0.22702090725530488]","[0.6762025879879154, 0.5869178494753007]","[3121.140852647609, 15228.940584090544]","[30134.348749999997, 47494.969]","[17166.796500000004, 12009.228749999998]","[2534.7827500000003, 0.0]","[11694.639511755664, 3878.870508700356]",7.696693403970683,"[0.040454565366229454, 0.04288604098367993]","[33539.37075, 0.61675, 58328.371250000004, 2.15]","[2.6500076272851523, 1.292060131831511e-06, 2.0412044173585766, 4.2740720874323e-06]",441457.49124999996,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,kv_only,0.8,4000,20,complete,0.00040221400693353173,0.002245486085759369,0.005484411126546983,0.00018712312571693418,0.0016878341208791034,0.00519335902110112,0.002672371520406106,0.5895,3.0,15.0,74.0,"[0.9570258358149955, 0.9887456380944087, 0.981743957532436]","[0.0, 0.0]","[0.6250609537425096, 0.6252435947387249]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0036359339530052577,"[0.037554627873371396, 0.0375553676183919]","[0.0, 7.789, 0.0, 21.1685]","[0.0, 0.0006835180295801921, 0.0, 0.0019285736718828485]",533299.0425,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,kv_only,1.0,4000,20,complete,0.00040221400693353173,0.002245486085759369,0.005484411126546983,0.00018712312571693418,0.0016878341208791034,0.00519335902110112,0.002672371520406106,0.5895,3.0,15.0,74.0,"[0.9570258358149955, 0.9887456380944087, 0.981743957532436]","[0.0, 0.0]","[0.5000487629940078, 0.5001948757909794]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0036359339530052577,"[0.037554627873371396, 0.0375553676183919]","[0.0, 7.789, 0.0, 21.1685]","[0.0, 0.0006835180295801921, 0.0, 0.0019285736718828485]",533299.0425,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,kv_only,1.2,4000,20,complete,0.00040221400693353173,0.002245486085759369,0.005484411126546983,0.00018712312571693418,0.0016878341208791034,0.00519335902110112,0.002672371520406106,0.5895,3.0,15.0,74.0,"[0.9570258358149955, 0.9887456380944087, 0.981743957532436]","[0.0, 0.0]","[0.4167073024950071, 0.4168290631591497]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0036359339530052577,"[0.037554627873371396, 0.0375553676183919]","[0.0, 7.789, 0.0, 21.1685]","[0.0, 0.0006835180295801921, 0.0, 0.0019285736718828485]",533299.0425,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,replay_only,0.8,4000,20,complete,1.6543895927485054e-06,7.418154576166047e-05,1.4981376668238509,6.245556326823652e-06,1.6636653790847543e-06,1.4988178171068327,0.0008115158176945284,0.0,1.0,9.0,45781.299999994095,"[0.7671634751110312, 0.44939053186730604, 0.5164271893077818]","[0.011469547141271639, 0.09229863741179363]","[0.9632282516614724, 0.8835409327591444]","[46906.87795857342, 132724.6211401248]","[44962.5375, 76965.302]","[41559.4365, 71545.61]","[1899.2134999999998, 0.0]","[28407.275449841116, 54831.394410470944]",7.743342455007581,"[0.040109874523744135, 0.04309742746516161]","[6638.6, 0.0, 11512.84, 0.0]","[0.26022589173417615, 0.0, 0.10655880588879948, 0.0]",515176.55999999994,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,replay_only,1.0,4000,20,complete,0.5519006352064628,2.1348135598382267,4.270732268820884,0.17790045045179254,0.55763604062628,4.271314697973221,0.029755522888728417,0.0,44233.0,69840.0,113183.34999998768,"[0.8719784827742899, 0.44939053186730604, 0.5386372020678702]","[0.04971570608981897, 0.21143587233000255]","[0.8120376655942174, 0.7068327462073146]","[15402.589832073962, 55657.562255826524]","[34472.09249999999, 62283.88324999999]","[26047.96425, 32516.85]","[2534.7827500000003, 0.0]","[18239.081202060228, 16345.998242188074]",7.743342455007581,"[0.04046228455264195, 0.04309742746516161]","[25420.553, 0.0, 50541.6, 0.0]","[1.4404468412115616, 0.0, 0.9470709229473047, 0.0]",457365.84699999995,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,replay_only,1.2,4000,20,complete,1.8424864635420835,4.215211180530911,9.86596440968866,0.3510624887993785,1.8615688331322446,9.860848571574856,0.057595520136164965,0.15,62486.30000000033,116359.0,156881.64999999385,"[0.87197848277429, 0.44939053186730593, 0.5386372020678702]","[0.06076424745306588, 0.22942695124053544]","[0.6766980546618491, 0.5890272885060964]","[3162.5806869661646, 18792.828543161802]","[30312.99875, 53712.401]","[16813.446500000002, 10358.50675]","[2534.7827500000003, 0.0]","[11332.374528391603, 2975.693469498673]",7.743342455007581,"[0.04046228455264195, 0.04309742746516161]","[34655.07075, 0.0, 72699.94325, 0.0]","[2.7487044922493284, 0.0, 2.2046185952061474, 0.0]",425972.98600000003,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,isolated_fastest,0.8,4000,20,complete,0.00040221400693353173,0.002245486085759369,0.005484411126546983,0.00018712312571693418,0.0016878341208791034,0.00519335902110112,0.002672371520406106,0.5895,3.0,15.0,74.0,"[0.9570258358149955, 0.9887456380944087, 0.981743957532436]","[0.0, 0.0]","[0.6250609537425096, 0.6252435947387249]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0036359339530052577,"[0.037554627873371396, 0.0375553676183919]","[0.0, 7.789, 0.0, 21.1685]","[0.0, 0.0006835180295801921, 0.0, 0.0019285736718828485]",533299.0425,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,isolated_fastest,1.0,4000,20,complete,0.00040221400693353173,0.002245486085759369,0.005484411126546983,0.00018712312571693418,0.0016878341208791034,0.00519335902110112,0.002672371520406106,0.5895,3.0,15.0,74.0,"[0.9570258358149955, 0.9887456380944087, 0.981743957532436]","[0.0, 0.0]","[0.5000487629940078, 0.5001948757909794]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0036359339530052577,"[0.037554627873371396, 0.0375553676183919]","[0.0, 7.789, 0.0, 21.1685]","[0.0, 0.0006835180295801921, 0.0, 0.0019285736718828485]",533299.0425,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,3,isolated_fastest,1.2,4000,20,complete,0.00040221400693353173,0.002245486085759369,0.005484411126546983,0.00018712312571693418,0.0016878341208791034,0.00519335902110112,0.002672371520406106,0.5895,3.0,15.0,74.0,"[0.9570258358149955, 0.9887456380944087, 0.981743957532436]","[0.0, 0.0]","[0.4167073024950071, 0.4168290631591497]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0036359339530052577,"[0.037554627873371396, 0.0375553676183919]","[0.0, 7.789, 0.0, 21.1685]","[0.0, 0.0006835180295801921, 0.0, 0.0019285736718828485]",533299.0425,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,10,queue_haul,0.8,4000,20,complete,0.0,3.869794828550408e-06,0.1723224807448849,3.230981348203366e-07,1.626543272974053e-06,0.14053754589550108,4.621969957224725e-08,0.0,0.0,3.0,21909.149999999874,"[0.6924022223055599, 0.39344101079141025, 0.4566185477580892]","[0.0005793925632930768, 0.007216366388001281]","[0.9993054425732639, 0.9920438281142181]","[633403.7510905828, 817064.2305134037]","[106422.80350000001, 98390.0]","[106132.95975000001, 97023.45]","[134.6465, 0.0]","[88067.71843804323, 113523.61221211488]",10.1728705970138,"[0.044090888014611314, 0.04606540682721985]","[289.84375, 1.43475, 1366.7, 2.9965]","[0.011219442579157917, 1.0863611078436734e-05, 0.015552162647365655, 0.00013941526966257278]",531667.025,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,10,queue_haul,1.0,4000,20,complete,3.0057041521545376,5.3575881638446265,9.522774361048155,0.44879902050328274,3.0372015307198916,8.886315168907448,0.06197812263702415,0.0,91360.35000000003,146947.5,244640.94999999987,"[0.938363565069573, 0.9857294798080826, 0.9754085655023683]","[0.07164543821874313, 0.1522335298368263]","[0.854503373651904, 0.8271662782518081]","[183762.30980576453, 422587.4480824034]","[64354.76725, 87337.34275]","[41113.338, 30428.8]","[134.6465, 0.0]","[49233.46741906135, 13733.221350432865]",10.1728705970138,"[0.04611848399034785, 0.047751939720655556]","[78552.6655, 1.5477500000000002, 79945.3, 9.614500000000001]","[2.5064718655599196, 2.3228067102257834e-05, 3.153527137551766, 0.0004475460332496965]",374818.87224999996,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,10,queue_haul,1.2,4000,20,complete,5.986390246112417,9.228852505121747,11.233349320604573,0.7690681044478319,6.048660908040447,11.232720940342523,0.11333637016522605,0.1655,149402.35000000036,213008.0,267180.14999999997,"[0.9383635650695732, 0.9857294798080825, 0.9754085655023681]","[0.09084815852828312, 0.14402797321904637]","[0.7120861447099209, 0.6893052318765069]","[31382.38424406283, 114506.39889566197]","[48202.747749999995, 69567.6665]","[15747.266999999998, 0.0]","[134.6465, 0.0]","[20265.679353842002, 6.069374430123232e-14]",10.1728705970138,"[0.04611848399034785, 0.047751939720655556]","[103918.7365, 1.5477500000000002, 110374.1, 9.614500000000001]","[4.2603613128618205, 2.3228067102257834e-05, 4.883147231561061, 0.0004475460332496965]",319024.00125,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
