model,workload,density,wan_gbps,deadline_s,policy,service_factor,evaluation,draws,snapshots,status,p05_shed_mw,median_shed_mw,p95_shed_mw,workload_p05_mw,workload_p95_mw,median_calibration_width_mw,network_budget_gbps_median,action_counts_mean,action_shed_mw_mean,mean_not_selected
gpt-oss-20b,coding,8,reference,10,lp_plan,1.0,nominal_volume,4000,20,complete,8.837867251598443,10.215735505640973,11.273779286510676,8.929395741110488,11.273751731593407,0.11655587978710327,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[119801.65, 1.85, 110374.05, 14.6]","[5.291918056759268, 2.991017383853498e-05, 4.883146971615007, 0.0006982214363604951]",303135.85
gpt-oss-20b,coding,8,reference,10,greedy,1.0,nominal_volume,4000,20,complete,8.825506260773084,10.214861423791346,11.27366115475326,8.916982860123634,11.273633709946292,0.1163621029617358,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[104833.5, 1.1, 114453.2, 2.4]","[4.717617643779334, 4.4267410921722085e-06, 5.423162123637108, 1.1371526608635122e-05]",314037.8
gpt-oss-20b,coding,8,reference,10,kv_only,1.0,nominal_volume,4000,20,complete,0.0065345849836710695,0.011211280957341986,0.0191711029229064,0.006603646316546655,0.01899467909100727,0.00012822462508350871,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 28.3, 0.0, 107.55]","[0.0, 0.002513603871947993, 0.0, 0.009780572294733857]",533192.15
gpt-oss-20b,coding,8,reference,10,replay_only,1.0,nominal_volume,4000,20,complete,8.82550156836605,10.214845617535074,11.273658629834431,8.91697812739633,11.27363118438231,0.11636199437873625,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[104833.85, 0.0, 114454.15, 0.0]","[4.717618527430382, 0.0, 5.423164440270362, 0.0]",314040.0
gpt-oss-20b,coding,8,reference,10,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.0065345849836710695,0.011211280957341986,0.0191711029229064,0.006603646316546655,0.01899467909100727,0.00012822462508350871,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 28.3, 0.0, 107.55]","[0.0, 0.002513603871947993, 0.0, 0.009780572294733857]",533192.15
gpt-oss-20b,coding,8,reference,30,lp_bound,1.0,nominal_volume,4000,20,complete,11.137084982093613,11.610204645922355,11.852191669593404,11.22944555218981,11.855575815182124,0.13267122123656236,"[2.280176174037911, 8.73331359588583, 11.01348976992374]",,,
gpt-oss-20b,coding,8,reference,30,lp_plan,1.0,nominal_volume,4000,20,complete,11.137060467981632,11.609944259521118,11.852037912064453,11.229359463936046,11.85541546794666,0.13267100833375844,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[201208.2, 5.45, 178829.4, 41.4]","[5.709516697386229, 9.498431984182127e-05, 5.819279991559444, 0.0008090280531615307]",153243.55
gpt-oss-20b,coding,8,reference,30,greedy,1.0,nominal_volume,4000,20,complete,11.136454250650925,11.609976644258,11.852089494546025,11.229063550634693,11.855474251481379,0.1326676400280781,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[194039.65, 3.0, 185950.75, 1.55]","[5.477605731462173, 1.140655657678092e-05, 6.051866258449966, 4.784475514991435e-06]",153333.05
gpt-oss-20b,coding,8,reference,30,kv_only,1.0,nominal_volume,4000,20,complete,0.019656149819350124,0.033754019331273685,0.05752468965562729,0.019863879329216395,0.05699554233645503,0.00038604565980024017,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 84.35, 0.0, 323.15]","[0.0, 0.007654778966884085, 0.0, 0.0294226405448017]",532920.5
gpt-oss-20b,coding,8,reference,30,replay_only,1.0,nominal_volume,4000,20,complete,11.13641946973102,11.609963067282195,11.852083040217387,11.22904827216546,11.85546760969046,0.13266759414864146,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[194040.85, 0.0, 185951.2, 0.0]","[5.477607933178031, 0.0, 6.0518672108411415, 0.0]",153335.95
gpt-oss-20b,coding,8,reference,30,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.019656149819350124,0.033754019331273685,0.05752468965562729,0.019863879329216395,0.05699554233645503,0.00038604565980024017,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 84.35, 0.0, 323.15]","[0.0, 0.007654778966884085, 0.0, 0.0294226405448017]",532920.5
gpt-oss-20b,coding,8,reference,60,lp_bound,1.0,nominal_volume,4000,20,complete,11.831364302670714,11.953442113575843,12.007011045089971,11.877313652580819,12.000045836964976,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]",,,
gpt-oss-20b,coding,8,reference,60,lp_plan,1.0,nominal_volume,4000,20,complete,11.831267951792492,11.953344768534649,12.00701104508997,11.877308479878613,12.000045836964974,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[271246.45, 13.1, 253764.15, 82.6]","[5.955661524025756, 0.00020043905528709148, 5.9740759047570675, 0.0012768251239693084]",8221.7
gpt-oss-20b,coding,8,reference,60,greedy,1.0,nominal_volume,4000,20,complete,11.831138836140532,11.953214320647815,12.00701104508997,11.877310807351034,12.000045836964972,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[260536.95, 1.0, 264519.35, 0.2]","[5.64168045498378, 8.938773108299092e-07, 6.28949576952143, 2.1020924828328607e-07]",8270.5
gpt-oss-20b,coding,8,reference,60,kv_only,1.0,nominal_volume,4000,20,complete,0.03933849707286871,0.06758366519791592,0.11517763012597215,0.039754228848220996,0.11411807552385922,0.0007729514869606864,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 168.75, 0.0, 646.25]","[0.0, 0.01532520593223516, 0.0, 0.05891141570438108]",532513.0
gpt-oss-20b,coding,8,reference,60,replay_only,1.0,nominal_volume,4000,20,complete,11.831137633213304,11.9532131053086,12.00701104508997,11.87731044829118,12.000045836964972,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[260536.95, 0.0, 264519.35, 0.0]","[5.64168045498378, 0.0, 6.28949576952143, 0.0]",8271.7
gpt-oss-20b,coding,8,reference,60,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.03933849707286871,0.06758366519791592,0.11517763012597215,0.039754228848220996,0.11411807552385922,0.0007729514869606864,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 168.75, 0.0, 646.25]","[0.0, 0.01532520593223516, 0.0, 0.05891141570438108]",532513.0
gpt-oss-20b,coding,8,reference,120,lp_bound,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.00004583696497,12.007011045089971,11.877492072733823,12.000045836964972,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]",,,
gpt-oss-20b,coding,8,reference,120,lp_plan,1.0,nominal_volume,4000,20,complete,11.870526864608818,12.000045836964969,12.00701104508997,11.877492072733823,12.000045836964972,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[281253.35, 32.85, 251882.35, 159.45]","[5.968777867161525, 0.0005088321907476029, 5.9704393511278, 0.0024615156580695854]",0.0
gpt-oss-20b,coding,8,reference,120,greedy,1.0,nominal_volume,4000,20,complete,11.870526864608818,12.000045836964969,12.00701104508997,11.87749207273382,12.000045836964974,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[159129.4, 0.0, 374198.6, 0.0]","[5.613330730273579, 0.0, 6.3288568358645625, 0.0]",0.0
gpt-oss-20b,coding,8,reference,120,kv_only,1.0,nominal_volume,4000,20,complete,0.07872825040601399,0.13533611075087612,0.23036664113885236,0.07956026012845903,0.2282476561111517,0.0015478324573234277,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 337.65, 0.0, 1292.75]","[0.0, 0.030718535078820716, 0.0, 0.11787103318519246]",531697.6
gpt-oss-20b,coding,8,reference,120,replay_only,1.0,nominal_volume,4000,20,complete,11.870526864608818,12.000045836964969,12.00701104508997,11.87749207273382,12.000045836964974,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[159129.4, 0.0, 374198.6, 0.0]","[5.613330730273579, 0.0, 6.3288568358645625, 0.0]",0.0
gpt-oss-20b,coding,8,reference,120,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.07872825040601399,0.13533611075087612,0.23036664113885236,0.07956026012845903,0.2282476561111517,0.0015478324573234277,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 337.65, 0.0, 1292.75]","[0.0, 0.030718535078820716, 0.0, 0.11787103318519246]",531697.6
gpt-oss-20b,coding,8,reference,300,lp_bound,1.0,nominal_volume,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089971,11.877492072733821,12.000045836964972,0.13648418048114888,"[2.280176174037911, 8.73331359588583, 11.01348976992374]",,,
gpt-oss-20b,coding,8,reference,300,lp_plan,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.000045836964969,12.007011045089973,11.877492072733823,12.000045836964974,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[278299.05, 93.0, 254546.7, 389.25]","[5.966801578548224, 0.0014357797050147478, 5.967939367591441, 0.006010840293467156]",0.0
gpt-oss-20b,coding,8,reference,300,greedy,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.000045836964969,12.00701104508997,11.877492072733823,12.000045836964972,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[190452.3, 0.0, 342875.7, 0.0]","[5.8125175245881255, 0.0, 6.129670041550017, 0.0]",0.0
gpt-oss-20b,coding,8,reference,300,kv_only,1.0,nominal_volume,4000,20,complete,0.19682005671100478,0.33851511606266016,0.5761731044765661,0.19890008134736786,0.5708731219797776,0.0038715849728191095,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 843.9, 0.0, 3232.0]","[0.0, 0.07688982221014695, 0.0, 0.29470796005518957]",529252.1
gpt-oss-20b,coding,8,reference,300,replay_only,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.000045836964969,12.00701104508997,11.877492072733823,12.000045836964972,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[190452.3, 0.0, 342875.7, 0.0]","[5.8125175245881255, 0.0, 6.129670041550017, 0.0]",0.0
gpt-oss-20b,coding,8,reference,300,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.19682005671100478,0.33851511606266016,0.5761731044765661,0.19890008134736786,0.5708731219797776,0.0038715849728191095,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 843.9, 0.0, 3232.0]","[0.0, 0.07688982221014695, 0.0, 0.29470796005518957]",529252.1
gpt-oss-20b,coding,8,reference,600,lp_bound,1.0,nominal_volume,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089971,11.87749207273382,12.000045836964972,0.13648418048114888,"[2.280176174037911, 8.73331359588583, 11.01348976992374]",,,
gpt-oss-20b,coding,8,reference,600,lp_plan,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.000045836964969,12.00701104508997,11.877492072733823,12.000045836964974,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[275930.05, 193.2, 256432.45, 772.3]","[5.969460970614987, 0.0029814265307577087, 5.957821634727242, 0.01192353426515262]",0.0
gpt-oss-20b,coding,8,reference,600,greedy,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.000045836964972,12.00701104508997,11.877492072733823,12.000045836964974,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[221252.6, 0.0, 312075.4, 0.0]","[5.898640861429902, 0.0, 6.043546704708242, 0.0]",0.0
gpt-oss-20b,coding,8,reference,600,kv_only,1.0,nominal_volume,4000,20,complete,0.39369136968228613,0.6772190016739412,1.1523518993965862,0.39785196512675275,1.1417519964912717,0.007745320395666815,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 1687.75, 0.0, 6463.75]","[0.0, 0.15385960819776107, 0.0, 0.5894820247939851]",525176.5
gpt-oss-20b,coding,8,reference,600,replay_only,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.000045836964972,12.00701104508997,11.877492072733823,12.000045836964974,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[221252.6, 0.0, 312075.4, 0.0]","[5.898640861429902, 0.0, 6.043546704708242, 0.0]",0.0
gpt-oss-20b,coding,8,reference,600,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.39369136968228613,0.6772190016739412,1.1523518993965862,0.39785196512675275,1.1417519964912717,0.007745320395666815,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 1687.75, 0.0, 6463.75]","[0.0, 0.15385960819776107, 0.0, 0.5894820247939851]",525176.5
gpt-oss-20b,coding,8,reference,1800,lp_bound,1.0,nominal_volume,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089975,11.877492072733823,12.000045836964976,0.13648418048114888,"[2.280176174037911, 8.73331359588583, 11.01348976992374]",,,
gpt-oss-20b,coding,8,reference,1800,lp_plan,1.0,nominal_volume,4000,20,complete,11.870526864608818,12.000045836964969,12.007011045089973,11.877492072733823,12.000045836964974,0.13648418048114888,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[269389.25, 593.7, 261040.05, 2305.0]","[5.963465179735954, 0.009167252778395205, 5.933976484997758, 0.03557864862604283]",0.0
gpt-oss-20b,coding,8,reference,1800,greedy,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.000045836964969,12.00701104508997,11.877492072733823,12.000045836964972,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[257032.05, 0.0, 276295.95, 0.0]","[5.95770732190169, 0.0, 5.984480244236456, 0.0]",0.0
gpt-oss-20b,coding,8,reference,1800,kv_only,1.0,nominal_volume,4000,20,complete,0.9808523290514218,1.9863182089174016,3.0482105271290916,0.9911964057821001,3.0187740829294674,0.022714635875159758,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 3542.6, 0.0, 17032.3]","[0.0, 0.3419521389631986, 0.0, 1.6204812903652441]",512753.1
gpt-oss-20b,coding,8,reference,1800,replay_only,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.000045836964969,12.00701104508997,11.877492072733823,12.000045836964972,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[257032.05, 0.0, 276295.95, 0.0]","[5.95770732190169, 0.0, 5.984480244236456, 0.0]",0.0
gpt-oss-20b,coding,8,reference,1800,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.9808523290514218,1.9863182089174016,3.0482105271290916,0.9911964057821001,3.0187740829294674,0.022714635875159758,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 3542.6, 0.0, 17032.3]","[0.0, 0.3419521389631986, 0.0, 1.6204812903652441]",512753.1
gpt-oss-20b,coding,8,reference,3600,lp_bound,1.0,nominal_volume,4000,20,complete,11.87052686460882,12.00004583696497,12.007011045089975,11.877492072733821,12.000045836964977,0.13648418048114797,"[2.280176174037911, 8.73331359588583, 11.01348976992374]",,,
gpt-oss-20b,coding,8,reference,3600,lp_plan,1.0,nominal_volume,4000,20,complete,11.870526864608818,12.000045836964969,12.00701104508997,11.877492072733823,12.000045836964974,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[265602.65, 1194.0, 261927.1, 4604.25]","[5.95325072844109, 0.01842823299869535, 5.899435626080239, 0.07107297861812227]",0.0
gpt-oss-20b,coding,8,reference,3600,greedy,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.000045836964969,12.00701104508997,11.877492072733823,12.000045836964974,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[263933.9, 0.0, 269394.1, 0.0]","[5.967318581314107, 0.0, 5.974868984824037, 0.0]",0.0
gpt-oss-20b,coding,8,reference,3600,kv_only,1.0,nominal_volume,4000,20,complete,1.4335982668862348,3.4624731221228426,5.703950210278492,1.4486439257150152,5.700992251189484,0.03958490114425705,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 5876.5, 0.0, 28312.85]","[0.0, 0.6001916098055468, 0.0, 2.722414482527335]",499138.65
gpt-oss-20b,coding,8,reference,3600,replay_only,1.0,nominal_volume,4000,20,complete,11.870526864608822,12.000045836964969,12.00701104508997,11.877492072733823,12.000045836964974,0.13648418048114702,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[263933.9, 0.0, 269394.1, 0.0]","[5.967318581314107, 0.0, 5.974868984824037, 0.0]",0.0
gpt-oss-20b,coding,8,reference,3600,isolated_fastest,1.0,nominal_volume,4000,20,complete,1.4335982668862348,3.4624731221228426,5.703950210278492,1.4486439257150152,5.700992251189484,0.03958490114425705,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 5876.5, 0.0, 28312.85]","[0.0, 0.6001916098055468, 0.0, 2.722414482527335]",499138.65
gpt-oss-20b,coding,8,10,1,lp_bound,1.0,nominal_volume,4000,20,complete,1.6177883039205205,5.324890389972699,8.270811726529992,1.634580065532884,8.26653586412383,0.06087998478277586,"[10.0, 10.0, 10.0]",,,
gpt-oss-20b,coding,8,10,1,lp_plan,1.0,nominal_volume,4000,20,complete,1.6177830368251518,5.324889861211395,8.270383472114654,1.6345747753953332,8.266107843561459,0.060879978760818486,"[10.0, 10.0, 10.0]","[54539.55, 0.2, 42830.95, 0.55]","[2.3710493707231186, 2.6328384656715635e-05, 2.814492357504838, 4.369588639370581e-05]",435956.75
gpt-oss-20b,coding,8,10,1,greedy,1.0,nominal_volume,4000,20,complete,1.6177830368251516,5.324889861211395,8.270767123684942,1.6345747753953328,8.266491283170328,0.060879978760818486,"[10.0, 10.0, 10.0]","[48241.3, 0.4, 48241.75, 0.7]","[2.592603007076441, 4.214476397925403e-06, 2.5925768389013792, 9.067000635922675e-06]",436843.85
gpt-oss-20b,coding,8,10,1,kv_only,1.0,nominal_volume,4000,20,complete,0.0005249689214043282,0.0009899077142921022,0.001718474582414834,0.0005305005846882714,0.0017026538477887012,1.1321127536427525e-05,"[10.0, 10.0, 10.0]","[0.0, 6.45, 0.0, 6.1]","[0.0, 0.000544906710648221, 0.0, 0.0005254736545374132]",533315.45
gpt-oss-20b,coding,8,10,1,replay_only,1.0,nominal_volume,4000,20,complete,1.617780663850955,5.324889861211395,8.270737879265518,1.6345724037976868,8.266462054268896,0.060879978760818486,"[10.0, 10.0, 10.0]","[48697.55, 0.0, 48697.95, 0.0]","[2.5928249886209924, 0.0, 2.59279994330388, 0.0]",435932.5
gpt-oss-20b,coding,8,10,1,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.0005249689214043282,0.0009899077142921022,0.001718474582414834,0.0005305005846882714,0.0017026538477887012,1.1321127536427525e-05,"[10.0, 10.0, 10.0]","[0.0, 6.45, 0.0, 6.1]","[0.0, 0.000544906710648221, 0.0, 0.0005254736545374132]",533315.45
gpt-oss-20b,coding,8,10,3,lp_bound,1.0,nominal_volume,4000,20,complete,5.06150921401237,8.011686847563142,10.063057799124529,5.114000989285818,10.057827631280507,0.09159745357804466,"[10.0, 10.0, 10.0]",,,
gpt-oss-20b,coding,8,10,3,lp_plan,1.0,nominal_volume,4000,20,complete,5.061468802421487,8.011653168755068,10.062850090675159,5.113960180473423,10.057620026161862,0.09159706786650279,"[10.0, 10.0, 10.0]","[80154.9, 2.2, 63978.0, 2.35]","[3.9377247566042795, 8.151578335971974e-05, 4.00806190443094, 5.6449705544178014e-05]",389190.55
gpt-oss-20b,coding,8,10,3,greedy,1.0,nominal_volume,4000,20,complete,5.035556417983124,7.901806408438917,10.062895237194272,5.087765066764319,10.057665161046744,0.09034842642678134,"[10.0, 10.0, 10.0]","[64402.65, 2.55, 64403.15, 2.65]","[3.953524540367155, 1.0538070177356881e-05, 3.953527830652679, 1.1233532687686715e-05]",404517.0
gpt-oss-20b,coding,8,10,3,kv_only,1.0,nominal_volume,4000,20,complete,0.0017814349722355218,0.0030174417254721165,0.005161114190698543,0.0018002703015203721,0.005113714075082712,3.4511535542673076e-05,"[10.0, 10.0, 10.0]","[0.0, 18.75, 0.0, 18.4]","[0.0, 0.0016757578470768845, 0.0, 0.0016374228037694851]",533290.85
gpt-oss-20b,coding,8,10,3,replay_only,1.0,nominal_volume,4000,20,complete,5.061393278947941,8.011521937088427,10.0628919240881,5.1138838370383,10.057661849290508,0.09159556683621835,"[10.0, 10.0, 10.0]","[71294.35, 0.0, 71293.3, 0.0]","[3.9724850108954364, 0.0, 3.972485079961083, 0.0]",390740.35
gpt-oss-20b,coding,8,10,3,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.0017814349722355218,0.0030174417254721165,0.005161114190698543,0.0018002703015203721,0.005113714075082712,3.4511535542673076e-05,"[10.0, 10.0, 10.0]","[0.0, 18.75, 0.0, 18.4]","[0.0, 0.0016757578470768845, 0.0, 0.0016374228037694851]",533290.85
gpt-oss-20b,coding,8,10,10,lp_bound,1.0,nominal_volume,4000,20,complete,8.837851866945645,10.215842968353664,11.273936195724316,8.9293802025924,11.273908676615152,0.11655724565717206,"[10.0, 10.0, 10.0]",,,
gpt-oss-20b,coding,8,10,10,lp_plan,1.0,nominal_volume,4000,20,complete,8.837817236419895,10.21582696539769,11.27374930898674,8.929345223268635,11.273721760019491,0.11655709945519455,"[10.0, 10.0, 10.0]","[121404.05, 7.05, 108771.5, 6.75]","[5.185539019419418, 0.0003536292144800633, 4.989605054349686, 0.0002653789115815258]",303138.65
gpt-oss-20b,coding,8,10,10,greedy,1.0,nominal_volume,4000,20,complete,8.832244989324996,10.214861729766312,11.273751247447672,8.9237178274377,11.273723779598312,0.1165506993399458,"[10.0, 10.0, 10.0]","[114065.35, 4.05, 114064.45, 3.45]","[5.08732343154319, 3.146302948754101e-05, 5.087320919565872, 3.030825313141678e-05]",305190.7
gpt-oss-20b,coding,8,10,10,kv_only,1.0,nominal_volume,4000,20,complete,0.005941152862279347,0.010175059906839156,0.017330067969228032,0.006003935531893001,0.01717078692398601,0.00011637183557823664,"[10.0, 10.0, 10.0]","[0.0, 61.75, 0.0, 61.4]","[0.0, 0.005621239369900921, 0.0, 0.00558869263427762]",533204.85
gpt-oss-20b,coding,8,10,10,replay_only,1.0,nominal_volume,4000,20,complete,8.832219132884157,10.214847300314215,11.273639649396717,8.923691744827233,11.273612213298785,0.1165505477299178,"[10.0, 10.0, 10.0]","[114068.1, 0.0, 114066.95, 0.0]","[5.0873307503411604, 0.0, 5.0873282378858535, 0.0]",305192.95
gpt-oss-20b,coding,8,10,10,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.005941152862279347,0.010175059906839156,0.017330067969228032,0.006003935531893001,0.01717078692398601,0.00011637183557823664,"[10.0, 10.0, 10.0]","[0.0, 61.75, 0.0, 61.4]","[0.0, 0.005621239369900921, 0.0, 0.00558869263427762]",533204.85
gpt-oss-20b,coding,8,10,30,lp_bound,1.0,nominal_volume,4000,20,complete,11.13701906688181,11.61017600403511,11.852178810465006,11.22939674362099,11.85556300528298,0.1326707909691166,"[10.0, 10.0, 10.0]",,,
