model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,p05_qh_minus_baseline_w,median_qh_minus_baseline_w,p95_qh_minus_baseline_w,qh_win_fraction
gpt-oss-20b,coding,8,reference,10,isolated_fastest,1.2,4000,5977801.055305965,9218920.877507526,11229996.259958286,1.0
gpt-oss-20b,coding,8,reference,30,greedy,0.8,4000,-23.556113948502833,-1.9856360682284233,52.96198427560647,0.25
gpt-oss-20b,coding,8,reference,30,greedy,1.0,4000,-1709452.716041651,-241760.79234317504,1374812.232334252,0.4
gpt-oss-20b,coding,8,reference,30,greedy,1.2,4000,-624258.9280025644,-51.582481572404504,408.5975147923379,0.429
gpt-oss-20b,coding,8,reference,30,kv_only,0.8,4000,-55407.47939760414,-21779.079503870216,-4381.739616173222,0.0
gpt-oss-20b,coding,8,reference,30,kv_only,1.0,4000,4176366.7580417637,8244170.243799936,11153628.988189274,1.0
gpt-oss-20b,coding,8,reference,30,kv_only,1.2,4000,10584070.303280555,11577728.007826649,11828258.489711076,1.0
gpt-oss-20b,coding,8,reference,30,replay_only,0.8,4000,0.0,1.4731305415542817,57.46720965376528,0.75
gpt-oss-20b,coding,8,reference,30,replay_only,1.0,4000,-1709440.165999651,-241744.3827213277,1374846.0424569293,0.4
gpt-oss-20b,coding,8,reference,30,replay_only,1.2,4000,-624224.9159936509,-45.12815293483436,442.1055420974245,0.429
gpt-oss-20b,coding,8,reference,30,isolated_fastest,0.8,4000,-55407.47939760414,-21779.079503870216,-4381.739616173222,0.0
gpt-oss-20b,coding,8,reference,30,isolated_fastest,1.0,4000,4176366.7580417637,8244170.243799936,11153628.988189274,1.0
gpt-oss-20b,coding,8,reference,30,isolated_fastest,1.2,4000,10584070.303280555,11577728.007826649,11828258.489711076,1.0
gpt-oss-20b,coding,8,reference,60,greedy,0.8,4000,-3.685897478254813,0.0,0.0,0.0
gpt-oss-20b,coding,8,reference,60,greedy,1.0,4000,-1535679.027518311,49565.930489458144,871572.3288272141,0.53375
gpt-oss-20b,coding,8,reference,60,greedy,1.2,4000,-2066.251649774611,-1.862645149230957e-09,164.77952968142927,0.29225
gpt-oss-20b,coding,8,reference,60,kv_only,0.8,4000,-111091.21142377726,-43564.62070020946,-8673.682551704704,0.0
gpt-oss-20b,coding,8,reference,60,kv_only,1.0,4000,5301657.763111768,10348521.116006266,11966400.053666972,1.0
gpt-oss-20b,coding,8,reference,60,kv_only,1.2,4000,11764825.157117536,11884032.768691339,11988221.943393672,1.0
gpt-oss-20b,coding,8,reference,60,replay_only,0.8,4000,0.0,0.0,1.2565639614261293,0.1
gpt-oss-20b,coding,8,reference,60,replay_only,1.0,4000,-1535674.306512323,49565.930489458144,871572.3800565122,0.53375
gpt-oss-20b,coding,8,reference,60,replay_only,1.2,4000,-2065.0356051381677,-1.862645149230957e-09,164.77952968142927,0.29225
gpt-oss-20b,coding,8,reference,60,isolated_fastest,0.8,4000,-111091.21142377726,-43564.62070020946,-8673.682551704704,0.0
gpt-oss-20b,coding,8,reference,60,isolated_fastest,1.0,4000,5301657.763111768,10348521.116006266,11966400.053666972,1.0
gpt-oss-20b,coding,8,reference,60,isolated_fastest,1.2,4000,11764825.157117536,11884032.768691339,11988221.943393672,1.0
gpt-oss-20b,coding,8,reference,120,greedy,0.8,4000,0.0,0.0,0.4907588229744999,0.05
gpt-oss-20b,coding,8,reference,120,greedy,1.0,4000,-1.862645149230957e-09,0.0,1740386.0770395056,0.46275
gpt-oss-20b,coding,8,reference,120,greedy,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.2
gpt-oss-20b,coding,8,reference,120,kv_only,0.8,4000,-222182.42284755452,-87129.24140041892,-17387.152638050255,0.0
gpt-oss-20b,coding,8,reference,120,kv_only,1.0,4000,11677107.826249773,11845286.24568033,11982479.28104953,1.0
gpt-oss-20b,coding,8,reference,120,kv_only,1.2,4000,11677107.826249773,11845286.24568033,11982479.28104953,1.0
gpt-oss-20b,coding,8,reference,120,replay_only,0.8,4000,0.0,0.0,0.4907588229744999,0.05
gpt-oss-20b,coding,8,reference,120,replay_only,1.0,4000,-1.862645149230957e-09,0.0,1740386.0770395056,0.46275
gpt-oss-20b,coding,8,reference,120,replay_only,1.2,4000,-3.725290298461914e-09,0.0,1.862645149230957e-09,0.2
gpt-oss-20b,coding,8,reference,120,isolated_fastest,0.8,4000,-222182.42284755452,-87129.24140041892,-17387.152638050255,0.0
gpt-oss-20b,coding,8,reference,120,isolated_fastest,1.0,4000,11677107.826249773,11845286.24568033,11982479.28104953,1.0
