turn,agent,value,raw
7,11,0.2,0.2
7,12,0.2,0.2
7,13,0.2,0.2
7,14,0.2,0.2
7,15,0.15,0.15
7,16,0.2,0.2
7,17,0.2,0.2
7,18,0.2,0.2
7,19,0.2,0.2
7,20,0.2,0.2
7,21,0.25,0.25
7,22,0.2,0.2
7,23,0.3,0.3
7,24,0.15,0.15
7,25,0.2,0.2
7,26,0.2,0.2
7,27,0.2,0.2
7,28,0.2,0.2
7,29,0.2,0.2
7,30,0.2,0.2
7,31,0.2,0.2
7,32,0.3,0.3
7,33,0.2,0.2
7,34,0.2,0.2
7,35,0.15,0.15
7,36,0.2,0.2
7,37,0.2,0.2
7,38,0.25,0.25
7,39,0.2,0.2
7,40,0.3,0.3
8,1,0.2,0.2
8,2,0.2,0.2
8,3,0.2,0.2
8,4,0.2,0.2
8,5,0.2,0.2
8,6,0.2,0.2
8,7,0.2,0.2
8,8,0.2,0.2
8,9,0.2,0.2
8,10,0.2,0.2
8,11,0.2,0.2
8,12,0.2,0.2
8,13,0.2,0.2
8,14,0.2,0.2
8,15,0.2,0.2
8,16,0.2,0.2
8,17,0.2,0.2
8,18,0.2,0.2
8,19,0.2,0.2
8,20,0.2,0.2
8,21,0.2,0.2
8,22,0.3,0.3
8,23,0.2,0.2
8,24,0.2,0.2
8,25,0.2,0.2
8,26,0.2,0.2
8,27,0.2,0.2
8,28,0.2,0.2
8,29,0.2,0.2
8,30,0.3,0.3
8,31,0.2,0.2
8,32,0.2,0.2
8,33,0.2,0.2
8,34,0.2,0.2
8,35,0.2,0.2
8,36,0.2,0.2
8,37,0.2,0.2
8,38,0.2,0.2
8,39,0.2,0.2
8,40,0.2,0.2
9,1,0.2,0.2
9,2,0.2,0.2
9,3,0.2,0.2
9,4,0.2,0.2
9,5,0.2,0.2
9,6,0.1,0.1
9,7,0.2,0.2
9,8,0.2,0.2
9,9,0.2,0.2
9,10,0.2,0.2
9,11,0.2,0.2
9,12,0.1,0.1
9,13,0.15,0.15
9,14,0.15,0.15
9,15,0.2,0.2
9,16,0.2,0.2
9,17,0.2,0.2
9,18,0.2,0.2
9,19,0.2,0.2
9,20,0.2,0.2
9,21,0.1,0.1
9,22,0.2,0.2
9,23,0.2,0.2
9,24,0.2,0.2
9,25,0.2,0.2
9,26,0.2,0.2
9,27,0.2,0.2
9,28,0.2,0.2
9,29,0.1,0.1
9,30,0.2,0.2
9,31,0.2,0.2
9,32,0.2,0.2
9,33,0.2,0.2
9,34,0.2,0.2
9,35,0.2,0.2
9,36,0.2,0.2
9,37,0.2,0.2
9,38,0.15,0.15
9,39,0.3,0.3
9,40,0.2,0.2
10,1,0.2,0.2
10,2,0.2,0.2
10,3,0.15,0.15
10,4,0.2,0.2
10,5,0.1,0.1
10,6,0.35,0.35
10,7,0.2,0.2
10,8,0.2,0.2
10,9,0.3,0.3
10,10,0.25,0.25
10,11,0.2,0.2
10,12,0.2,0.2
10,13,0.2,0.2
10,14,0.2,0.2
10,15,0.2,0.2
10,16,0.2,0.2
10,17,0.2,0.2
10,18,0.1,0.1
10,19,0.2,0.2
10,20,0.2,0.2
10,21,0.15,0.15
10,22,0.2,0.2
10,23,0.2,0.2
10,24,0.2,0.2
10,25,0.15,0.15
10,26,0.1,0.1
10,27,0.25,0.25
10,28,0.2,0.2
10,29,0.2,0.2
10,30,0.3,0.3
10,31,0.2,0.2
10,32,0.2,0.2
10,33,0.2,0.2
10,34,0.1,0.1
10,35,0.2,0.2
10,36,0.15,0.15
10,37,0.2,0.2
10,38,0.1,0.1
10,39,0.2,0.2
10,40,0.3,0.3
11,1,0.2,0.2
11,2,0.2,0.2
11,3,0.07,0.07
11,4,0.2,0.2
11,5,0.2,0.2
11,6,0.2,0.2
11,7,0.2,0.2
11,8,0.1,0.1
11,9,0.2,0.2
11,10,0.2,0.2
11,11,0.0,0
11,12,0.2,0.2
11,13,0.2,0.2
11,14,0.2,0.2
11,15,0.2,0.2
11,16,0.2,0.2
11,17,0.15,0.15
11,18,0.2,0.2
11,19,0.2,0.2
11,20,0.2,0.2
11,21,0.2,0.2
11,22,0.2,0.2
11,23,0.05,0.05
11,24,0.2,0.2
11,25,0.15,0.15
11,26,0.25,0.25
11,27,0.07,0.07
11,28,0.2,0.2
11,29,0.15,0.15
11,30,0.3,0.3
11,31,0.15,0.15
11,32,0.2,0.2
11,33,0.15,0.15
11,34,0.15,0.15
11,35,0.2,0.2
11,36,0.1,0.1
11,37,0.1,0.1
11,38,0.2,0.2
11,39,0.2,0.2
11,40,0.3,0.3
12,1,0.2,0.2
12,2,0.15,0.15
12,3,0.3,0.3
12,4,0.25,0.25
12,5,0.25,0.25
12,6,0.2,0.2
12,7,0.15,0.15
12,8,0.2,0.2
12,9,0.2,0.2
12,10,0.12,0.12
12,11,0.25,0.25
12,12,0.2,0.2
12,13,0.25,0.25
12,14,0.2,0.2
12,15,0.3,0.3
12,16,0.2,0.2
12,17,0.2,0.2
12,18,0.35,0.35
12,19,0.2,0.2
12,20,0.2,0.2
12,21,0.2,0.2
12,22,0.25,0.25
12,23,0.15,0.15
12,24,0.2,0.2
12,25,0.2,0.2
12,26,0.25,0.25
12,27,0.12,0.12
12,28,0.2,0.2
12,29,0.2,0.2
12,30,0.15,0.15
12,31,0.2,0.2
12,32,0.3,0.3
12,33,0.15,0.15
12,34,0.2,0.2
12,35,0.2,0.2
12,36,0.2,0.2
12,37,0.15,0.15
12,38,0.35,0.35
12,39,0.25,0.25
12,40,0.2,0.2
13,1,0.15,0.15
13,2,0.15,0.15
13,3,0.2,0.2
13,4,0.2,0.2
13,5,0.25,0.25
13,6,0.2,0.2
13,7,0.2,0.2
13,8,0.2,0.2
13,9,0.35,0.35
13,10,0.2,0.2
13,11,0.2,0.2
13,12,0.2,0.2
13,13,0.3,0.3
13,14,0.2,0.2
13,15,0.3,0.3
13,16,0.2,0.2
13,17,0.15,0.15
13,18,0.4,0.4
13,19,0.2,0.2
13,20,0.2,0.2
13,21,0.35,0.35
13,22,0.3,0.3
13,23,0.25,0.25
13,24,0.25,0.25
13,25,0.3,0.3
13,26,0.2,0.2
13,27,0.35,0.35
13,28,0.35,0.35
13,29,0.25,0.25
13,30,0.25,0.25
13,31,0.35,0.35
13,32,0.15,0.15
13,33,0.2,0.2
13,34,0.3,0.3
13,35,0.25,0.25
13,36,0.2,0.2
13,37,0.15,0.15
13,38,0.2,0.2
13,39,0.15,0.15
13,40,0.15,0.15
14,1,0.33,0.33
14,2,0.6,0.6
14,3,0.4,0.4
14,4,0.4,0.4
14,5,0.5,0.5
14,6,0.6,0.6
14,7,0.4,0.4
14,8,0.6,0.6
14,9,0.45,0.45
14,10,0.4,0.4
14,11,0.4,0.4
14,12,0.7,0.7
14,13,0.6,0.6
14,14,0.33,0.33
14,15,0.85,0.85
14,16,0.4,0.4
14,17,0.85,0.85
14,18,0.3,0.3
14,19,0.4,0.4
14,20,0.55,0.55
14,21,0.55,0.55
14,22,0.45,0.45
14,23,0.3,0.3
14,24,0.85,0.85
14,25,0.33,0.33
14,26,0.6,0.6
14,27,0.4,0.4
14,28,0.6,0.6
14,29,0.4,0.4
14,30,0.9,0.9
14,31,0.4,0.4
14,32,0.33,0.33
14,33,0.4,0.4
14,34,0.3,0.3
14,35,0.4,0.4
14,36,0.9,0.9
14,37,0.4,0.4
14,38,0.6,0.6
14,39,0.6,0.6
14,40,0.8,0.8
15,1,0.7,0.7
15,2,0.7,0.7
15,3,0.7,0.7
15,4,0.66,0.66
15,5,0.66,0.66
15,6,0.7,0.7
15,7,0.7,0.7
15,8,0.7,0.7
15,9,0.7,0.7
15,10,0.66,0.66
15,11,0.6,0.6
15,12,0.7,0.7
15,13,0.7,0.7
15,14,0.66,0.66
15,15,0.66,0.66
15,16,0.7,0.7
15,17,0.9,0.9
15,18,0.8,0.8
15,19,0.7,0.7
15,20,0.7,0.7
15,21,0.7,0.7
15,22,0.7,0.7
15,23,0.7,0.7
15,24,0.66,0.66
15,25,0.7,0.7
15,26,0.7,0.7
15,27,0.6,0.6
15,28,0.6,0.6
15,29,0.66,0.66
15,30,0.7,0.7
15,31,0.66,0.66
15,32,0.65,0.65
15,33,0.7,0.7
15,34,0.66,0.66
15,35,0.66,0.66
15,36,0.7,0.7
15,37,0.55,0.55
15,38,0.7,0.7
15,39,0.6,0.6
15,40,0.7,0.7
16,1,0.66,0.66
16,2,0.7,0.7
16,3,0.6,0.6
16,4,0.8,0.8
16,5,0.66,0.66
16,6,0.6,0.6
16,7,0.6,0.6
16,8,0.85,0.85
16,9,0.7,0.7
16,10,0.6,0.6
16,11,0.7,0.7
16,12,0.55,0.55
16,13,0.85,0.85
16,14,0.6,0.6
16,15,0.6,0.6
16,16,0.6,0.6
16,17,0.66,0.66
16,18,0.66,0.66
16,19,0.7,0.7
16,20,0.5,0.5
16,21,0.6,0.6
16,22,0.6,0.6
16,23,0.6,0.6
16,24,0.6,0.6
16,25,0.66,0.66
16,26,0.7,0.7
16,27,0.8,0.8
16,28,0.66,0.66
16,29,0.7,0.7
16,30,0.6,0.6
16,31,0.6,0.6
16,32,0.66,0.66
16,33,0.7,0.7
16,34,0.66,0.66
16,35,0.5,0.5
16,36,0.7,0.7
16,37,0.6,0.6
16,38,0.7,0.7
16,39,0.6,0.6
16,40,0.6,0.6
17,1,0.9,0.9
17,2,0.95,0.95
17,3,0.85,0.85
17,4,0.93,0.93
17,5,1.0,1
17,6,0.9,0.9
17,7,0.95,0.95
17,8,0.85,0.85
17,9,0.9,0.9
17,10,0.95,0.95
17,11,0.9,0.9
17,12,0.9,0.9
17,13,0.9,0.9
17,14,0.95,0.95
17,15,0.8,0.8
17,16,0.95,0.95
17,17,0.9,0.9
17,18,0.0,0.
17,19,0.95,0.95
17,20,0.95,0.95
17,21,1.0,1
17,22,0.9,0.9
17,23,0.95,0.95
17,24,0.8,0.8
17,25,0.9,0.9
17,26,0.9,0.9
17,27,0.95,0.95
17,28,0.9,0.9
17,29,0.95,0.95
17,30,0.95,0.95
17,31,0.95,0.95
17,32,0.95,0.95
17,33,0.9,0.9
17,34,1.0,1
17,35,0.9,0.9
17,36,0.95,0.95
17,37,0.95,0.95
17,38,0.9,0.9
17,39,0.9,0.9
17,40,1.0,1
18,1,0.85,0.85
18,2,0.8,0.8
18,3,0.85,0.85
18,4,0.85,0.85
18,5,0.85,0.85
18,6,0.9,0.9
18,7,0.9,0.9
18,8,0.7,0.7
18,9,0.9,0.9
18,10,0.9,0.9
18,11,0.85,0.85
18,12,0.9,0.9
18,13,0.9,0.9
18,14,0.9,0.9
18,15,0.9,0.9
18,16,0.9,0.9
18,17,0.8,0.8
18,18,0.85,0.85
18,19,0.9,0.9
18,20,0.9,0.9
18,21,0.85,0.85
18,22,0.9,0.9
18,23,0.9,0.9
18,24,0.9,0.9
18,25,0.9,0.9
18,26,0.9,0.9
18,27,0.85,0.85
18,28,0.95,0.95
18,29,0.85,0.85
18,30,0.9,0.9
18,31,0.85,0.85
18,32,0.9,0.9
18,33,0.85,0.85
18,34,0.9,0.9
18,35,0.85,0.85
18,36,0.9,0.9
18,37,0.8,0.8
18,38,0.9,0.9
18,39,0.95,0.95
18,40,0.9,0.9
19,1,0.95,0.95
19,2,0.95,0.95
19,3,1.0,1
19,4,0.95,0.95
19,5,0.9,0.9
19,6,1.0,1
19,7,0.95,0.95
19,8,0.95,0.95
19,9,0.9,0.9
19,10,0.85,0.85
19,11,0.97,0.97
19,12,0.95,0.95
19,13,1.0,1
19,14,0.9,0.9
19,15,0.95,0.95
19,16,1.0,1
19,17,0.9,0.9
19,18,1.0,1
19,19,0.95,0.95
19,20,0.95,0.95
19,21,0.9,0.9
19,22,0.9,0.9
19,23,0.95,0.95
19,24,0.9,0.9
19,25,0.9,0.9
19,26,0.9,0.9
19,27,1.0,1
19,28,0.85,0.85
19,29,1.0,1
19,30,0.9,0.9
19,31,0.9,0.9
19,32,0.95,0.95
19,33,0.85,0.85
19,34,0.9,0.9
19,35,0.9,0.9
19,36,0.95,0.95
19,37,0.95,0.95
19,38,1.0,1
19,39,0.95,0.95
19,40,1.0,1
