campaign,episode_id,state_id,pack_id,policy,repeat,phase,wan_mbps,prefill_rps,kv_share_percent,attainment_time_s
wan,675e00adef5263f5,ca95545cdb8c2ff6,0f92bd310a4ec5e2,kv_only,3,additional,2500.0,0.0,100.0,
wan,4cbc0163c39b8c3a,ca95545cdb8c2ff6,0f92bd310a4ec5e2,replay_only,3,additional,2500.0,0.0,0.0,
wan,7ad903c35300cdaa,ca95545cdb8c2ff6,0f92bd310a4ec5e2,queue_haul,3,additional,2500.0,0.0,37.5,25.666132313
wan,6cd0596dda687b84,ca95545cdb8c2ff6,0f92bd310a4ec5e2,greedy,3,additional,2500.0,0.0,37.5,25.663774718
wan,bce19620d744396a,ca95545cdb8c2ff6,0f92bd310a4ec5e2,per_session_greedy,3,additional,2500.0,0.0,0.0,36.846007541
wan,430c6725db85dbaa,ca95545cdb8c2ff6,0f92bd310a4ec5e2,queue_haul,4,additional,2500.0,0.0,37.5,25.719924083
wan,7d1c403f85c857c5,ca95545cdb8c2ff6,0f92bd310a4ec5e2,kv_only,4,additional,2500.0,0.0,100.0,
wan,fc5907f2fcd281d0,ca95545cdb8c2ff6,0f92bd310a4ec5e2,greedy,4,additional,2500.0,0.0,37.5,25.753019258
wan,1424b3baee86f46e,ca95545cdb8c2ff6,0f92bd310a4ec5e2,replay_only,4,additional,2500.0,0.0,0.0,
wan,00e295abaa64b8ff,ca95545cdb8c2ff6,0f92bd310a4ec5e2,per_session_greedy,4,additional,2500.0,0.0,0.0,36.951098453
wan,3174bf59ee02d6da,ed9b12b093451e06,0f92bd310a4ec5e2,per_session_greedy,3,additional,3000.0,0.0,0.0,37.009647202
wan,a3a18a39bb9a2097,ed9b12b093451e06,0f92bd310a4ec5e2,replay_only,3,additional,3000.0,0.0,0.0,
wan,eaf19ce6cce118c9,ed9b12b093451e06,0f92bd310a4ec5e2,greedy,3,additional,3000.0,0.0,37.5,25.703445864
wan,be44a952d912e1c8,ed9b12b093451e06,0f92bd310a4ec5e2,queue_haul,3,additional,3000.0,0.0,37.5,25.815464376
wan,a3a8ad33b1b4720d,ed9b12b093451e06,0f92bd310a4ec5e2,kv_only,3,additional,3000.0,0.0,100.0,
wan,2ea30a9ff4cc3d7b,ed9b12b093451e06,0f92bd310a4ec5e2,replay_only,4,additional,3000.0,0.0,0.0,
wan,32858a19c0be410c,ed9b12b093451e06,0f92bd310a4ec5e2,per_session_greedy,4,additional,3000.0,0.0,0.0,36.934798873
wan,b5b59a0538932965,ed9b12b093451e06,0f92bd310a4ec5e2,queue_haul,4,additional,3000.0,0.0,37.5,25.82602182
wan,431e54adfe2a7ec7,ed9b12b093451e06,0f92bd310a4ec5e2,greedy,4,additional,3000.0,0.0,37.5,25.910748339
wan,f136f1438cf9ebb1,ed9b12b093451e06,0f92bd310a4ec5e2,kv_only,4,additional,3000.0,0.0,100.0,
wan,5e1d3621fcd8d73c,0d145fb3263931d8,0f92bd310a4ec5e2,replay_only,5,additional,3250.0,0.0,0.0,
wan,1f9264d6e14b0fc3,0d145fb3263931d8,0f92bd310a4ec5e2,queue_haul,5,additional,3250.0,0.0,37.5,25.606674033
wan,65485617fb6c62c4,0d145fb3263931d8,0f92bd310a4ec5e2,per_session_greedy,5,additional,3250.0,0.0,0.0,36.980091594
wan,8174fd54be659d53,0d145fb3263931d8,0f92bd310a4ec5e2,greedy,5,additional,3250.0,0.0,37.5,25.747181892
wan,9f9847c48a0c86cc,0d145fb3263931d8,0f92bd310a4ec5e2,kv_only,5,additional,3250.0,0.0,100.0,
wan,a143ededcdbd349e,0d145fb3263931d8,0f92bd310a4ec5e2,queue_haul,6,additional,3250.0,0.0,37.5,25.716887605
wan,e8dcf6fb721533ee,0d145fb3263931d8,0f92bd310a4ec5e2,replay_only,6,additional,3250.0,0.0,0.0,
wan,04de300f5cec48cd,0d145fb3263931d8,0f92bd310a4ec5e2,per_session_greedy,6,additional,3250.0,0.0,0.0,36.917757095
wan,d3ba8ab77c739a20,0d145fb3263931d8,0f92bd310a4ec5e2,greedy,6,additional,3250.0,0.0,37.5,25.919888744
wan,ede3e44d2e993e0a,0d145fb3263931d8,0f92bd310a4ec5e2,kv_only,6,additional,3250.0,0.0,100.0,
wan,00946d55ab5b71e4,6d4e7afd778f5e6e,0f92bd310a4ec5e2,kv_only,5,additional,10000.0,0.0,100.0,
wan,d64e73509b8e8240,6d4e7afd778f5e6e,0f92bd310a4ec5e2,queue_haul,5,additional,10000.0,0.0,87.5,19.404512594
wan,526f50c53fbc486a,6d4e7afd778f5e6e,0f92bd310a4ec5e2,greedy,5,additional,10000.0,0.0,87.5,17.192697340000002
wan,640e4d7429a86115,6d4e7afd778f5e6e,0f92bd310a4ec5e2,replay_only,5,additional,10000.0,0.0,0.0,
wan,5cf328e6494f7c7c,6d4e7afd778f5e6e,0f92bd310a4ec5e2,per_session_greedy,5,additional,10000.0,0.0,100.0,19.954121376
wan,94c128e0f811bb0b,6d4e7afd778f5e6e,0f92bd310a4ec5e2,replay_only,6,additional,10000.0,0.0,0.0,
wan,be9358fdd0484775,6d4e7afd778f5e6e,0f92bd310a4ec5e2,kv_only,6,additional,10000.0,0.0,100.0,
wan,ef93f71fc398a5aa,6d4e7afd778f5e6e,0f92bd310a4ec5e2,queue_haul,6,additional,10000.0,0.0,87.5,17.115314549
wan,68d0b93c58e77f7a,6d4e7afd778f5e6e,0f92bd310a4ec5e2,per_session_greedy,6,additional,10000.0,0.0,100.0,17.807087594000002
wan,6681b817f6dbf5db,6d4e7afd778f5e6e,0f92bd310a4ec5e2,greedy,6,additional,10000.0,0.0,87.5,17.720194405999997
wan,75a45fb1608c7062,c1af3b5bbd298dd0,0f92bd310a4ec5e2,greedy,5,additional,3500.0,0.0,37.5,25.739478072
wan,192cee3c2979cd64,c1af3b5bbd298dd0,0f92bd310a4ec5e2,per_session_greedy,5,additional,3500.0,0.0,0.0,37.917477663
wan,7c9a89772c579c98,c1af3b5bbd298dd0,0f92bd310a4ec5e2,kv_only,5,additional,3500.0,0.0,100.0,
wan,9c38447eb0c27a62,c1af3b5bbd298dd0,0f92bd310a4ec5e2,replay_only,5,additional,3500.0,0.0,0.0,
wan,188454f92f6698f2,c1af3b5bbd298dd0,0f92bd310a4ec5e2,queue_haul,5,additional,3500.0,0.0,37.5,27.975440842
wan,59d19395d0d64cb5,c1af3b5bbd298dd0,0f92bd310a4ec5e2,kv_only,6,additional,3500.0,0.0,100.0,
wan,396241c55dde4889,c1af3b5bbd298dd0,0f92bd310a4ec5e2,replay_only,6,additional,3500.0,0.0,0.0,
wan,78ea8ea5c497efa3,c1af3b5bbd298dd0,0f92bd310a4ec5e2,greedy,6,additional,3500.0,0.0,37.5,25.759208319
wan,57c0ab3e699ad478,c1af3b5bbd298dd0,0f92bd310a4ec5e2,queue_haul,6,additional,3500.0,0.0,37.5,25.801069404
wan,ab28fd20a3f82072,c1af3b5bbd298dd0,0f92bd310a4ec5e2,per_session_greedy,6,additional,3500.0,0.0,0.0,36.950729003
wan,75ccd666e02f0ee6,ca95545cdb8c2ff6,0f92bd310a4ec5e2,queue_haul,5,additional,2500.0,0.0,37.5,25.79916
wan,db48357f53740a57,ca95545cdb8c2ff6,0f92bd310a4ec5e2,greedy,5,additional,2500.0,0.0,37.5,25.632304977
wan,b3e8b4fb084645dd,ca95545cdb8c2ff6,0f92bd310a4ec5e2,replay_only,5,additional,2500.0,0.0,0.0,
wan,a6d5b4664932dcd3,ca95545cdb8c2ff6,0f92bd310a4ec5e2,kv_only,5,additional,2500.0,0.0,100.0,
wan,c7ac14a8032cf69c,ca95545cdb8c2ff6,0f92bd310a4ec5e2,per_session_greedy,5,additional,2500.0,0.0,0.0,36.854353345999996
wan,61f3698d0c2a7568,ca95545cdb8c2ff6,0f92bd310a4ec5e2,per_session_greedy,6,additional,2500.0,0.0,0.0,36.927095961
wan,90711a8732cefec4,ca95545cdb8c2ff6,0f92bd310a4ec5e2,queue_haul,6,additional,2500.0,0.0,37.5,25.758025796
wan,4d42aef72a9ea05c,ca95545cdb8c2ff6,0f92bd310a4ec5e2,kv_only,6,additional,2500.0,0.0,100.0,
wan,9e24d2d2456631a7,ca95545cdb8c2ff6,0f92bd310a4ec5e2,greedy,6,additional,2500.0,0.0,37.5,25.791707163
wan,566fd8bc38016eba,ca95545cdb8c2ff6,0f92bd310a4ec5e2,replay_only,6,additional,2500.0,0.0,0.0,
wan,f0324247154677b4,ed9b12b093451e06,0f92bd310a4ec5e2,replay_only,5,additional,3000.0,0.0,0.0,
wan,dbe4851d5553b9b5,ed9b12b093451e06,0f92bd310a4ec5e2,kv_only,5,additional,3000.0,0.0,100.0,
wan,d1a7116bc895a725,ed9b12b093451e06,0f92bd310a4ec5e2,per_session_greedy,5,additional,3000.0,0.0,0.0,36.955338731
wan,4240a66c86240702,ed9b12b093451e06,0f92bd310a4ec5e2,queue_haul,5,additional,3000.0,0.0,37.5,25.671841479
wan,819b48f598917107,ed9b12b093451e06,0f92bd310a4ec5e2,greedy,5,additional,3000.0,0.0,37.5,25.716242213
wan,ca20bf5ca96bd178,ed9b12b093451e06,0f92bd310a4ec5e2,greedy,6,additional,3000.0,0.0,37.5,25.696444151
wan,bc437920947739bd,ed9b12b093451e06,0f92bd310a4ec5e2,kv_only,6,additional,3000.0,0.0,100.0,
wan,cba22ce1be1f04c8,ed9b12b093451e06,0f92bd310a4ec5e2,per_session_greedy,6,additional,3000.0,0.0,0.0,36.91151325
