timestamp, uuid, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/10 01:40:39.031, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.29 W, 0 %, 61438 MiB
2026/09/10 01:40:40.031, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 0 %, 61438 MiB
2026/09/10 01:40:41.031, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:40:42.031, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.13 W, 0 %, 61438 MiB
2026/09/10 01:40:43.032, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 61438 MiB
2026/09/10 01:40:44.032, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.16 W, 0 %, 61438 MiB
2026/09/10 01:40:45.032, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.26 W, 0 %, 61438 MiB
2026/09/10 01:40:46.032, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.03 W, 0 %, 61438 MiB
2026/09/10 01:40:47.032, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.13 W, 0 %, 61438 MiB
2026/09/10 01:40:48.033, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 0 %, 61438 MiB
2026/09/10 01:40:49.033, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.13 W, 0 %, 61438 MiB
2026/09/10 01:40:50.033, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.20 W, 0 %, 61438 MiB
2026/09/10 01:40:51.033, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 0 %, 61438 MiB
2026/09/10 01:40:52.033, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.35 W, 0 %, 61438 MiB
2026/09/10 01:40:53.034, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.28 W, 0 %, 61438 MiB
2026/09/10 01:40:54.034, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.22 W, 0 %, 61438 MiB
2026/09/10 01:40:55.035, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.26 W, 0 %, 61438 MiB
2026/09/10 01:40:56.035, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 61438 MiB
2026/09/10 01:40:57.035, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.48 W, 0 %, 61438 MiB
2026/09/10 01:40:58.035, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.19 W, 0 %, 61438 MiB
2026/09/10 01:40:59.035, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.96 W, 0 %, 61438 MiB
2026/09/10 01:41:00.036, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.22 W, 0 %, 61438 MiB
2026/09/10 01:41:01.036, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 0 %, 61438 MiB
2026/09/10 01:41:02.036, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.35 W, 0 %, 61438 MiB
2026/09/10 01:41:03.036, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.38 W, 0 %, 61438 MiB
2026/09/10 01:41:04.036, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.29 W, 0 %, 61438 MiB
2026/09/10 01:41:05.036, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.31 W, 0 %, 61438 MiB
2026/09/10 01:41:06.037, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 61438 MiB
2026/09/10 01:41:07.037, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.20 W, 0 %, 61438 MiB
2026/09/10 01:41:08.037, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 61438 MiB
2026/09/10 01:41:09.037, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.22 W, 0 %, 61438 MiB
2026/09/10 01:41:10.038, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 61438 MiB
2026/09/10 01:41:11.038, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.39 W, 0 %, 61438 MiB
2026/09/10 01:41:12.038, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.35 W, 0 %, 61438 MiB
2026/09/10 01:41:13.038, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.29 W, 0 %, 61438 MiB
2026/09/10 01:41:14.038, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.21 W, 0 %, 61438 MiB
2026/09/10 01:41:15.039, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.29 W, 0 %, 61438 MiB
2026/09/10 01:41:16.039, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.44 W, 0 %, 61438 MiB
2026/09/10 01:41:17.039, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.58 W, 0 %, 61438 MiB
2026/09/10 01:41:18.039, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.45 W, 0 %, 61438 MiB
2026/09/10 01:41:19.040, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:41:20.040, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 61438 MiB
2026/09/10 01:41:21.040, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.29 W, 0 %, 61438 MiB
2026/09/10 01:41:22.040, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.31 W, 0 %, 61438 MiB
2026/09/10 01:41:23.040, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 61438 MiB
2026/09/10 01:41:24.041, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.58 W, 0 %, 61438 MiB
