policy,retained_prefill_fraction,deadline_scale,status,group_type,group,moved_requests,missed_requests,miss_rate,avg_missed_network_wait,avg_missed_prefill_wait,avg_missed_total_delay
deadline-penalty-rounded,0.2,0.25,OK,class,class43,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class44,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class45,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class46,0,0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,0.2,0.25,OK,class,class47,9,9,1.0,0.0,292.7783173398754,299.1378239343441
deadline-penalty-rounded,0.2,0.25,OK,destination,k0,356,290,0.8146067415730337,5.389714002786648,170.7292294363675,179.79151171939097
deadline-penalty-rounded,0.2,0.25,OK,destination,k1,345,181,0.5246376811594203,17.63086634301909,116.95521045756232,139.4105729853059
deadline-penalty-rounded,0.2,0.25,OK,destination,k2,599,411,0.6861435726210351,117.17893647349598,174.78190810204447,295.57037124492257
deadline-penalty-rounded,0.2,0.25,OK,action,replay,970,696,0.7175257731958763,36.43885605169478,204.7639854300368,244.98695679459323
deadline-penalty-rounded,0.2,0.25,OK,action,state,330,186,0.5636363636363636,148.13603735226812,0.0,152.3728643096239
CVXPY-rounded,0.2,0.25,OK,class,class0,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class1,2,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class2,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class3,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class4,114,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class6,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class7,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class8,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class9,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class10,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class11,203,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class12,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class13,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class14,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class15,234,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class16,119,86,0.7226890756302521,0.0,1.7295376397312465,2.6254178725170294
CVXPY-rounded,0.2,0.25,OK,class,class17,251,215,0.8565737051792829,0.0,12.103313092428284,13.060914451408735
CVXPY-rounded,0.2,0.25,OK,class,class18,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class19,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class20,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class21,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class22,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class23,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class24,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class25,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class26,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class27,536,523,0.9757462686567164,0.0,194.11006235968438,195.69149137092143
CVXPY-rounded,0.2,0.25,OK,class,class28,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class29,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class30,389,376,0.9665809768637532,0.0,414.5730062856182,417.51380619027253
CVXPY-rounded,0.2,0.25,OK,class,class31,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class32,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class33,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class34,181,166,0.9171270718232044,0.0,241.94465503648607,245.29916133524765
CVXPY-rounded,0.2,0.25,OK,class,class35,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class36,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class37,19,1,0.05263157894736842,0.0,50.36840970000776,54.03973108698847
CVXPY-rounded,0.2,0.25,OK,class,class38,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class39,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class40,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class41,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class42,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class43,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class44,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class45,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class46,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class47,9,9,1.0,0.0,649.944656011227,656.3041626056958
CVXPY-rounded,0.2,0.25,OK,destination,k0,604,385,0.6374172185430463,0.0,420.0752006947883,423.0959184181656
CVXPY-rounded,0.2,0.25,OK,destination,k1,790,610,0.7721518987341772,0.0,166.7519200997243,168.24012402477925
CVXPY-rounded,0.2,0.25,OK,destination,k2,668,381,0.5703592814371258,0.0,112.24416023865818,114.24608238504986
CVXPY-rounded,0.2,0.25,OK,action,replay,2061,1376,0.6676370693837943,0.0,222.53826204887653,224.59750118809094
CVXPY-rounded,0.2,0.25,OK,action,state,1,0,0.0,0.0,0.0,0.0
deadline-aware-CVXPY-rounded,0.2,0.25,INFEASIBLE,all,INFEASIBLE,0,0,nan,nan,nan,nan
repaired-deadline-aware-CVXPY-rounded,0.2,0.25,INFEASIBLE,all,INFEASIBLE,0,0,nan,nan,nan,nan
mirror-descent-rounded,0.2,0.25,OK,class,class0,1,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class2,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class4,114,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class6,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class7,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class8,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class9,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class10,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class11,203,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class12,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class13,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class14,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class15,234,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class16,119,83,0.6974789915966386,0.0,1.6005150296676152,2.496395262453398
mirror-descent-rounded,0.2,0.25,OK,class,class17,251,214,0.852589641434263,0.0,11.841143474155528,12.798744833135979
mirror-descent-rounded,0.2,0.25,OK,class,class18,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class19,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class20,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class21,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class22,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class23,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class24,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class25,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class26,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class27,536,523,0.9757462686567164,0.0,193.5286689298544,195.11009794109142
mirror-descent-rounded,0.2,0.25,OK,class,class28,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class29,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class30,389,376,0.9665809768637532,0.0,414.1475705824033,417.0883704870576
mirror-descent-rounded,0.2,0.25,OK,class,class31,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class32,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class33,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class34,181,166,0.9171270718232044,0.0,241.7377723379153,245.09227863667692
mirror-descent-rounded,0.2,0.25,OK,class,class35,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class36,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class37,20,2,0.1,0.0,51.72827752579178,55.39959891277249
mirror-descent-rounded,0.2,0.25,OK,class,class38,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class39,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class40,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class41,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class42,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class43,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class44,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class45,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class46,0,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,class,class47,9,9,1.0,0.0,648.682141081487,655.0416476759558
mirror-descent-rounded,0.2,0.25,OK,destination,k0,601,385,0.6405990016638935,0.0,419.63019690575845,422.65091462913574
mirror-descent-rounded,0.2,0.25,OK,destination,k1,790,608,0.769620253164557,0.0,166.86150189609842,168.356219124671
mirror-descent-rounded,0.2,0.25,OK,destination,k2,666,380,0.5705705705705706,0.0,112.26967081990321,114.27434117889335
mirror-descent-rounded,0.2,0.25,OK,action,replay,2057,1373,0.6674769081186194,0.0,222.63065831981652,224.69441588346447
mirror-descent-rounded,0.2,0.25,OK,action,state,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class0,1,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class2,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class4,114,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class6,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class7,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class8,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class9,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class10,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class11,203,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class12,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class13,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class14,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class15,234,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class16,119,83,0.6974789915966386,0.0,1.6005150296676152,2.496395262453398
crossover-greedy,0.2,0.25,OK,class,class17,251,214,0.852589641434263,0.0,11.841143474155528,12.798744833135979
crossover-greedy,0.2,0.25,OK,class,class18,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class19,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class20,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class21,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class22,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class23,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class24,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class25,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class26,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class27,536,523,0.9757462686567164,0.0,193.5286689298544,195.11009794109142
crossover-greedy,0.2,0.25,OK,class,class28,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class29,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class30,389,376,0.9665809768637532,0.0,414.1475705824033,417.0883704870576
crossover-greedy,0.2,0.25,OK,class,class31,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class32,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class33,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class34,181,166,0.9171270718232044,0.0,241.7377723379153,245.09227863667692
crossover-greedy,0.2,0.25,OK,class,class35,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class36,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class37,20,2,0.1,0.0,51.72827752579178,55.39959891277249
crossover-greedy,0.2,0.25,OK,class,class38,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class39,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class40,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class41,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class42,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class43,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class44,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class45,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class46,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class47,9,9,1.0,0.0,648.682141081487,655.0416476759558
crossover-greedy,0.2,0.25,OK,destination,k0,601,385,0.6405990016638935,0.0,419.63019690575845,422.65091462913574
crossover-greedy,0.2,0.25,OK,destination,k1,790,608,0.769620253164557,0.0,166.86150189609842,168.356219124671
crossover-greedy,0.2,0.25,OK,destination,k2,666,380,0.5705705705705706,0.0,112.26967081990321,114.27434117889335
crossover-greedy,0.2,0.25,OK,action,replay,2057,1373,0.6674769081186194,0.0,222.63065831981652,224.69441588346447
crossover-greedy,0.2,0.25,OK,action,state,0,0,0.0,0.0,0.0,0.0
least-loaded-destination,0.2,0.25,INFEASIBLE,all,INFEASIBLE,0,0,nan,nan,nan,nan
online-queue-greedy,0.2,0.25,INFEASIBLE,all,INFEASIBLE,0,0,nan,nan,nan,nan
mixed-greedy,0.2,0.25,OK,class,class0,1,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class2,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class4,114,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class6,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class7,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class8,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class9,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class10,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class11,203,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class12,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class13,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class14,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class15,234,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class16,119,83,0.6974789915966386,0.0,1.6005150296676152,2.496395262453398
mixed-greedy,0.2,0.25,OK,class,class17,251,214,0.852589641434263,0.0,11.841143474155528,12.798744833135979
mixed-greedy,0.2,0.25,OK,class,class18,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class19,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class20,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class21,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class22,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class23,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class24,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class25,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class26,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class27,536,523,0.9757462686567164,0.0,193.5286689298544,195.11009794109142
mixed-greedy,0.2,0.25,OK,class,class28,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class29,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class30,389,376,0.9665809768637532,0.0,414.1475705824033,417.0883704870576
mixed-greedy,0.2,0.25,OK,class,class31,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class32,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class33,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class34,181,166,0.9171270718232044,0.0,241.7377723379153,245.09227863667692
mixed-greedy,0.2,0.25,OK,class,class35,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class36,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class37,20,2,0.1,0.0,51.72827752579178,55.39959891277249
mixed-greedy,0.2,0.25,OK,class,class38,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class39,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class40,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class41,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class42,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class43,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class44,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class45,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class46,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class47,9,9,1.0,0.0,648.682141081487,655.0416476759558
mixed-greedy,0.2,0.25,OK,destination,k0,601,385,0.6405990016638935,0.0,419.63019690575845,422.65091462913574
mixed-greedy,0.2,0.25,OK,destination,k1,790,608,0.769620253164557,0.0,166.86150189609842,168.356219124671
mixed-greedy,0.2,0.25,OK,destination,k2,666,380,0.5705705705705706,0.0,112.26967081990321,114.27434117889335
mixed-greedy,0.2,0.25,OK,action,replay,2057,1373,0.6674769081186194,0.0,222.63065831981652,224.69441588346447
mixed-greedy,0.2,0.25,OK,action,state,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class0,1,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class2,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class4,114,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class6,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class7,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class8,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class9,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class10,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class11,203,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class12,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class13,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class14,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class15,234,0,0.0,0.0,0.0,0.0
