model,regime,policy,objective,objective_gap_to_cvx,relative_gap_to_cvx,retained_prefill_moved_s,retained_prefill_target_s,retained_prefill_shortfall_s,excess_retained_prefill_s,resident_state_tb,average_equivalent_state_target_tb,actual_evacuated_state_tb,actual_evacuated_nvl72_hbm_fraction,max_net_util,max_prefill_util,capacity_feasible,alpha,eta_x0,bisection_iterations,active_classes_moved,active_destinations_used,destination_entropy,action_entropy,replay_frac,state_frac,stay_frac,replay_retained_prefill_frac,state_transfer_retained_prefill_frac,replay_demand_over_capacity,state_bytes_over_capacity,deadline_overrun_mean,deadline_overrun_p95,deadline_overrun_max,deadline_load_max,feasible
GLM-5,bandwidth-spread,mirror-descent-best,64.0381335,0,0,26449.61157,26449.61157,3.637978807e-12,0,49.33976666,19.73590666,19.73590666,1.472828855,0.5001806252,0.5149633788,True,0.004043579102,10,16,30,3,0.9809442518,0,0.3964949772,0,0.6035050228,1,0,0.3401441817,3.951132465,nan,nan,nan,nan,True
GLM-5,bandwidth-spread,replay-only,64.0381335,0,0,26449.61157,26449.61157,3.637978807e-12,0,49.33976666,19.73590666,19.73590666,1.472828855,0.5001806252,0.5149633788,True,nan,nan,nan,30,3,0.9809442518,0,0.3964949772,0,0.6035050228,1,0,0.3401441817,3.951132465,nan,nan,nan,nan,True
GLM-5,bandwidth-spread,state-only,2645.642874,2581.60474,40.31355355,26449.61157,26449.61157,0,0,49.33976666,19.73590666,19.73590666,1.472828855,0.999999999,0.5,True,nan,nan,nan,28,3,0.5200103781,0,0,0.3784423219,0.6215576781,0,1,0.3401441817,3.951132465,nan,nan,nan,nan,True
GLM-5,prefill-spread,CVXPY,64.14633994,0,0,26449.61157,26449.61157,0,4.06311301e-07,49.33976666,19.73590666,19.73590666,1.472828855,0.50001043,0.8083689605,True,nan,nan,nan,48,3,0.9879930534,1.290285195e-09,0.3938454544,2.766720152e-11,0.6061545455,1,3.569430714e-11,0.3401441817,5.847676048,nan,nan,nan,nan,True
GLM-5,prefill-spread,mirror-descent-best,64.14633963,0,0,26449.61157,26449.61157,1.091393642e-11,0,49.33976666,19.73590666,19.73590666,1.472828855,0.5000104299,0.8083689605,True,0.004028320312,10,16,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.3401441817,5.847676048,nan,nan,nan,nan,True
GLM-5,prefill-spread,replay-only,64.14633963,0,0,26449.61157,26449.61157,1.091393642e-11,0,49.33976666,19.73590666,19.73590666,1.472828855,0.5000104299,0.8083689605,True,nan,nan,nan,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.3401441817,5.847676048,nan,nan,nan,nan,True
GLM-5,prefill-spread,state-only,INFEASIBLE,INFEASIBLE,INFEASIBLE,26185.39741,26449.61157,264.2141541,0,49.33976666,19.73590666,19.53875799,1.458116268,0.999999999,0.8,True,nan,nan,nan,28,3,0.999824641,0,0,0.4045979682,0.5954020318,0,1,0.3401441817,5.847676048,nan,nan,nan,nan,False
GLM-5,background-load-spread,CVXPY,64.60314517,0,0,26449.61157,26449.61157,0,1.083324605e-06,49.33976666,19.73590666,19.73590666,1.472828855,0.8000064017,0.8110022103,True,nan,nan,nan,48,3,0.9879930598,3.621578462e-09,0.3938454415,8.076337719e-11,0.6061545585,0.9999999999,1.046821213e-10,0.3401441817,5.847676048,nan,nan,nan,nan,True
GLM-5,background-load-spread,mirror-descent-best,64.60314425,0,0,26449.61157,26449.61157,1.091393642e-11,0,49.33976666,19.73590666,19.73590666,1.472828855,0.8000064017,0.8110022095,True,0.004028320312,10,16,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.3401441817,5.847676048,nan,nan,nan,nan,True
GLM-5,background-load-spread,replay-only,64.60314425,0,0,26449.61157,26449.61157,1.091393642e-11,0,49.33976666,19.73590666,19.73590666,1.472828855,0.8000064017,0.8110022095,True,nan,nan,nan,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.3401441817,5.847676048,nan,nan,nan,nan,True
GLM-5,background-load-spread,state-only,INFEASIBLE,INFEASIBLE,INFEASIBLE,25468.44365,26449.61157,981.16792,0,49.33976666,19.73590666,19.0037886,1.418193179,0.999999999,0.8,True,nan,nan,nan,26,3,0.9592563397,0,0,0.3781866371,0.6218133629,0,1,0.3401441817,5.847676048,nan,nan,nan,nan,False
Qwen3-Next-80B-A3B,bandwidth-spread,CVXPY,7.294846349,0,0,1254.467292,1254.467291,0,1.480661922e-07,13.50120422,5.40048169,5.40048169,0.4030210217,0.500075223,0.5007372045,True,nan,nan,nan,48,3,0.9017163045,2.662998795e-09,0.4170411019,6.08354357e-11,0.5829588981,0.9999999999,7.595829184e-11,0.01613255262,1.081177515,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,bandwidth-spread,mirror-descent-best,7.294846211,0,0,1254.467291,1254.467291,0,0,13.50120422,5.40048169,5.40048169,0.4030210216,0.5000752217,0.5007372046,True,0.02967834473,10,16,28,3,0.9017138522,0,0.4170428218,0,0.5829571782,1,0,0.01613255262,1.081177515,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,bandwidth-spread,replay-only,7.294846211,0,0,1254.467291,1254.467291,0,0,13.50120422,5.40048169,5.40048169,0.4030210216,0.5000752217,0.5007372046,True,nan,nan,nan,28,3,0.9017138522,0,0.4170428218,0,0.5829571782,1,0,0.01613255262,1.081177515,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,bandwidth-spread,state-only,337.0516802,329.7568338,45.20408217,1254.467291,1254.467291,0,0,13.50120422,5.40048169,5.40048169,0.4030210216,0.6846843129,0.5,True,nan,nan,nan,27,1,0,0,0,0.3981716553,0.6018283447,0,1,0.01613255262,1.081177515,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,prefill-spread,CVXPY,7.472398861,0,0,1254.467292,1254.467291,0,1.660148428e-07,13.50120422,5.40048169,5.40048169,0.4030210217,0.5000104299,0.8003969278,True,nan,nan,nan,48,3,0.9879930523,1.476584919e-09,0.3938454169,3.173944414e-11,0.606154583,1,4.107841076e-11,0.01613255262,1.600142723,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,prefill-spread,mirror-descent-best,7.47239876,0,0,1254.467291,1254.467291,0,0,13.50120422,5.40048169,5.40048169,0.4030210216,0.5000104299,0.8003969278,True,0.02899169922,10,16,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.01613255262,1.600142723,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,prefill-spread,replay-only,7.47239876,0,0,1254.467291,1254.467291,0,0,13.50120422,5.40048169,5.40048169,0.4030210216,0.5000104299,0.8003969278,True,nan,nan,nan,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.01613255262,1.600142723,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,prefill-spread,state-only,758.7846922,751.3122933,100.5449933,1254.467291,1254.467291,2.273736754e-13,0,13.50120422,5.40048169,5.40048169,0.4030210216,0.7207445283,0.8,True,nan,nan,nan,27,3,0.9744631803,0,0,0.3980391089,0.6019608911,0,1,0.01613255262,1.600142723,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,background-load-spread,CVXPY,7.919168508,0,0,1254.467292,1254.467291,0,8.164442988e-08,13.50120422,5.40048169,5.40048169,0.4030210216,0.8000064017,0.8005218191,True,nan,nan,nan,48,3,0.9879930622,9.256438895e-10,0.3938454282,1.954555937e-11,0.6061545718,1,2.525828089e-11,0.01613255262,1.600142723,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,background-load-spread,mirror-descent-best,7.919168447,0,0,1254.467291,1254.467291,0,0,13.50120422,5.40048169,5.40048169,0.4030210216,0.8000064017,0.8005218191,True,0.02899169922,10,16,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.01613255262,1.600142723,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,background-load-spread,replay-only,7.919168447,0,0,1254.467291,1254.467291,0,0,13.50120422,5.40048169,5.40048169,0.4030210216,0.8000064017,0.8005218191,True,nan,nan,nan,30,3,0.9879930527,0,0.3938454545,0,0.6061545455,1,0,0.01613255262,1.600142723,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,background-load-spread,state-only,759.9134899,751.9943214,94.95874733,1254.467291,1254.467291,0,0,13.50120422,5.40048169,5.40048169,0.4030210216,0.937896907,0.8,True,nan,nan,nan,26,3,0.9729512953,0,0,0.3777475375,0.6222524625,0,1,0.01613255262,1.600142723,nan,nan,nan,nan,True
