cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,policy,exact_p50_resume_s,aggregate_p50_resume_s,relative_p50_error,exact_dominant_bottleneck,aggregate_dominant_bottleneck,bottleneck_agrees,exact_best_policy,aggregate_best_policy,best_policy_agrees
n100_medium_loose_25g,100,medium,loose,25,kv_all,41.1728573,25,0.39280386,network,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_loose_25g,100,medium,loose,25,mixed_min_pressure,25.1169192,12.5,0.502327498,prefill,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_loose_25g,100,medium,loose,25,random_diversification,19.0085564,13.25,0.302945488,workspace,workspace,True,random_diversification,mixed_min_pressure,False
n100_medium_loose_25g,100,medium,loose,25,replay_all,50.1346412,25,0.501342796,prefill,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_loose_25g,100,medium,loose,25,strong_reuse,50.1346412,25,0.501342796,prefill,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_loose_25g,100,medium,loose,25,workspace_sticky,50.1346412,25,0.501342796,prefill,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_loose_100g,100,medium,loose,100,kv_all,49.0098714,25,0.489898682,network,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_loose_100g,100,medium,loose,100,mixed_min_pressure,24.1739298,13,0.462230589,workspace,workspace,True,random_diversification,mixed_min_pressure,False
n100_medium_loose_100g,100,medium,loose,100,random_diversification,23.7991691,13.25,0.443257874,workspace,workspace,True,random_diversification,mixed_min_pressure,False
n100_medium_loose_100g,100,medium,loose,100,replay_all,50.1346412,25,0.501342796,prefill,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_loose_100g,100,medium,loose,100,strong_reuse,50.1346412,25,0.501342796,prefill,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_loose_100g,100,medium,loose,100,workspace_sticky,50.1346412,25,0.501342796,prefill,workspace,False,random_diversification,mixed_min_pressure,False
n100_medium_tight_1g,100,medium,tight,1,kv_all,853.513732,554.331079,0.350530568,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_medium_tight_1g,100,medium,tight,1,mixed_min_pressure,25.6312771,12.75,0.502560878,prefill,workspace,False,mixed_min_pressure,mixed_min_pressure,True
n100_medium_tight_1g,100,medium,tight,1,random_diversification,219.153006,219.101603,0.000234554131,network,network,True,mixed_min_pressure,mixed_min_pressure,True
n100_medium_tight_1g,100,medium,tight,1,replay_all,401.346412,200,0.501677369,prefill,network,False,mixed_min_pressure,mixed_min_pressure,True
