cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,best_policy,best_p50_resume_s,dominant_bottleneck,strong_reuse_p50_resume_s,mixed_p50_resume_s,mixed_vs_strong_reuse_gap_frac
n100_medium_loose_5g,100,medium,loose,5,mixed_min_pressure,12.5,network,40.0,12.5,0.6875
n100_medium_moderate_100g,100,medium,moderate,100,random_diversification,13.25,workspace,25.0,13.5,0.46
n100_medium_moderate_1g,100,medium,moderate,1,mixed_min_pressure,12.5,network,200.0,12.5,0.9375
n100_medium_moderate_25g,100,medium,moderate,25,mixed_min_pressure,12.5,workspace,25.0,12.5,0.5
n100_medium_moderate_5g,100,medium,moderate,5,mixed_min_pressure,12.5,network,40.0,12.5,0.6875
n100_medium_tight_100g,100,medium,tight,100,mixed_min_pressure,13.0,workspace,25.0,13.0,0.48
n100_medium_tight_1g,100,medium,tight,1,mixed_min_pressure,12.75,network,200.0,12.75,0.93625
n100_medium_tight_25g,100,medium,tight,25,mixed_min_pressure,13.25,workspace,25.0,13.25,0.47
n100_medium_tight_5g,100,medium,tight,5,mixed_min_pressure,13.25,network,40.0,13.25,0.66875
n100_monorepo_loose_100g,100,monorepo,loose,100,mixed_min_pressure,125.0,workspace,250.0,125.0,0.5
n100_monorepo_loose_1g,100,monorepo,loose,1,mixed_min_pressure,125.0,network,2000.0,125.0,0.9375
n100_monorepo_loose_25g,100,monorepo,loose,25,mixed_min_pressure,125.0,workspace,250.0,125.0,0.5
n100_monorepo_loose_5g,100,monorepo,loose,5,mixed_min_pressure,125.0,network,400.0,125.0,0.6875
n100_monorepo_moderate_100g,100,monorepo,moderate,100,mixed_min_pressure,125.0,workspace,250.0,125.0,0.5
n100_monorepo_moderate_1g,100,monorepo,moderate,1,mixed_min_pressure,125.0,network,2000.0,125.0,0.9375
n100_monorepo_moderate_25g,100,monorepo,moderate,25,mixed_min_pressure,125.0,workspace,250.0,125.0,0.5
n100_monorepo_moderate_5g,100,monorepo,moderate,5,mixed_min_pressure,125.0,network,400.0,125.0,0.6875
n100_monorepo_tight_100g,100,monorepo,tight,100,mixed_min_pressure,125.0,workspace,250.0,125.0,0.5
n100_monorepo_tight_1g,100,monorepo,tight,1,mixed_min_pressure,125.0,network,2000.0,125.0,0.9375
n100_monorepo_tight_25g,100,monorepo,tight,25,mixed_min_pressure,125.0,workspace,250.0,125.0,0.5
n100_monorepo_tight_5g,100,monorepo,tight,5,mixed_min_pressure,125.0,network,400.0,125.0,0.6875
n100_swe_bench_loose_100g,100,swe_bench,loose,100,mixed_min_pressure,0.891,prefill,2.089531666666667,0.891,0.5735886590216788
n100_swe_bench_loose_1g,100,swe_bench,loose,1,mixed_min_pressure,1.056,network,13.2,1.056,0.9199999999999999
n100_swe_bench_loose_25g,100,swe_bench,loose,25,mixed_min_pressure,0.9433833333333334,prefill,2.089531666666667,0.9433833333333334,0.5485192455406674
n100_swe_bench_loose_5g,100,swe_bench,loose,5,mixed_min_pressure,1.0824,network,2.64,1.0824,0.59
n100_swe_bench_moderate_100g,100,swe_bench,moderate,100,mixed_min_pressure,1.15981701888,network,3.67531078656,1.15981701888,0.6844302193106341
n100_swe_bench_moderate_1g,100,swe_bench,moderate,1,mixed_min_pressure,3.168,network,13.2,3.168,0.76
n100_swe_bench_moderate_25g,100,swe_bench,moderate,25,mixed_min_pressure,2.26054,prefill,6.268595,2.26054,0.6393864972932531
n100_swe_bench_moderate_5g,100,swe_bench,moderate,5,mixed_min_pressure,2.98914,prefill,6.268595,2.98914,0.5231563053602921
n100_swe_bench_tight_100g,100,swe_bench,tight,100,mixed_min_pressure,1.53819554304,network,3.67531078656,1.53819554304,0.5814787830555921
n100_swe_bench_tight_1g,100,swe_bench,tight,1,mixed_min_pressure,10.2046,prefill,20.895316666666666,10.2046,0.5116321919026513
n100_swe_bench_tight_25g,100,swe_bench,tight,25,mixed_min_pressure,4.3037,network,14.70124314624,4.3037,0.7072560492205234
n100_swe_bench_tight_5g,100,swe_bench,tight,5,mixed_min_pressure,8.372383333333334,prefill,20.895316666666666,8.372383333333334,0.5993177099493586
n100_tiny_loose_100g,100,tiny,loose,100,mixed_min_pressure,0.765,prefill,2.089531666666667,0.765,0.6338892526953807
n100_tiny_loose_1g,100,tiny,loose,1,mixed_min_pressure,1.08,network,12.0,1.08,0.91
n100_tiny_loose_25g,100,tiny,loose,25,mixed_min_pressure,0.943075,prefill,2.089531666666667,0.943075,0.54866680651725
n100_tiny_loose_5g,100,tiny,loose,5,mixed_min_pressure,1.08,network,2.4,1.08,0.5499999999999999
n100_tiny_moderate_100g,100,tiny,moderate,100,mixed_min_pressure,1.16276464128,network,3.66331078656,1.16276464128,0.6825918659301402
n100_tiny_moderate_1g,100,tiny,moderate,1,mixed_min_pressure,3.24,network,12.0,3.24,0.73
n100_tiny_moderate_25g,100,tiny,moderate,25,mixed_min_pressure,2.25354,prefill,6.268595,2.25354,0.6405031749538772
n100_tiny_moderate_5g,100,tiny,moderate,5,mixed_min_pressure,2.98804,prefill,6.268595,2.98804,0.5233317832783901
n100_tiny_tight_100g,100,tiny,tight,100,mixed_min_pressure,1.54242665472,network,3.66331078656,1.54242665472,0.5789528258484444
n100_tiny_tight_1g,100,tiny,tight,1,mixed_min_pressure,10.21045,prefill,20.895316666666666,10.21045,0.5113522248605947
n100_tiny_tight_25g,100,tiny,tight,25,mixed_min_pressure,4.2954,network,14.65324314624,4.2954,0.7068635279486103
n100_tiny_tight_5g,100,tiny,tight,5,mixed_min_pressure,8.40105,prefill,20.895316666666666,8.40105,0.5979457916805919
n10_large_artifact_loose_100g,10,large_artifact,loose,100,mixed_min_pressure,50.0,workspace,100.0,50.0,0.5
n10_large_artifact_loose_1g,10,large_artifact,loose,1,mixed_min_pressure,50.0,network,800.0,50.0,0.9375
n10_large_artifact_loose_25g,10,large_artifact,loose,25,mixed_min_pressure,50.0,workspace,100.0,50.0,0.5
n10_large_artifact_loose_5g,10,large_artifact,loose,5,mixed_min_pressure,50.0,network,160.0,50.0,0.6875
n10_large_artifact_moderate_100g,10,large_artifact,moderate,100,mixed_min_pressure,50.0,workspace,100.0,50.0,0.5
n10_large_artifact_moderate_1g,10,large_artifact,moderate,1,mixed_min_pressure,50.0,network,800.0,50.0,0.9375
n10_large_artifact_moderate_25g,10,large_artifact,moderate,25,mixed_min_pressure,50.0,workspace,100.0,50.0,0.5
n10_large_artifact_moderate_5g,10,large_artifact,moderate,5,mixed_min_pressure,50.0,network,160.0,50.0,0.6875
n10_large_artifact_tight_100g,10,large_artifact,tight,100,mixed_min_pressure,50.0,workspace,100.0,50.0,0.5
n10_large_artifact_tight_1g,10,large_artifact,tight,1,mixed_min_pressure,50.0,network,800.0,50.0,0.9375
n10_large_artifact_tight_25g,10,large_artifact,tight,25,mixed_min_pressure,50.0,workspace,100.0,50.0,0.5
n10_large_artifact_tight_5g,10,large_artifact,tight,5,mixed_min_pressure,50.0,network,160.0,50.0,0.6875
n10_medium_loose_100g,10,medium,loose,100,mixed_min_pressure,1.25,workspace,2.5,1.25,0.5
n10_medium_loose_1g,10,medium,loose,1,mixed_min_pressure,1.25,network,20.0,1.25,0.9375
n10_medium_loose_25g,10,medium,loose,25,mixed_min_pressure,1.25,workspace,2.5,1.25,0.5
n10_medium_loose_5g,10,medium,loose,5,mixed_min_pressure,1.25,network,4.0,1.25,0.6875
n10_medium_moderate_100g,10,medium,moderate,100,random_diversification,1.5,workspace,2.5,1.75,0.3
n10_medium_moderate_1g,10,medium,moderate,1,mixed_min_pressure,1.25,network,20.0,1.25,0.9375
n10_medium_moderate_25g,10,medium,moderate,25,mixed_min_pressure,1.25,workspace,2.5,1.25,0.5
n10_medium_moderate_5g,10,medium,moderate,5,mixed_min_pressure,1.25,network,4.0,1.25,0.6875
n10_medium_tight_100g,10,medium,tight,100,mixed_min_pressure,1.25,workspace,2.5,1.25,0.5
n10_medium_tight_1g,10,medium,tight,1,mixed_min_pressure,1.2638166666666666,network,20.0,1.2638166666666666,0.9368091666666667
n10_medium_tight_25g,10,medium,tight,25,mixed_min_pressure,1.25,workspace,2.5030356992,1.25,0.5006064034965562
n10_medium_tight_5g,10,medium,tight,5,mixed_min_pressure,1.25,network,4.0,1.25,0.6875
n10_monorepo_loose_100g,10,monorepo,loose,100,mixed_min_pressure,12.5,workspace,25.0,12.5,0.5
n10_monorepo_loose_1g,10,monorepo,loose,1,mixed_min_pressure,12.5,network,200.0,12.5,0.9375
n10_monorepo_loose_25g,10,monorepo,loose,25,mixed_min_pressure,12.5,workspace,25.0,12.5,0.5
n10_monorepo_loose_5g,10,monorepo,loose,5,mixed_min_pressure,12.5,network,40.0,12.5,0.6875
n10_monorepo_moderate_100g,10,monorepo,moderate,100,mixed_min_pressure,12.5,workspace,25.0,12.5,0.5
n10_monorepo_moderate_1g,10,monorepo,moderate,1,mixed_min_pressure,12.5,network,200.0,12.5,0.9375
n10_monorepo_moderate_25g,10,monorepo,moderate,25,mixed_min_pressure,12.5,workspace,25.0,12.5,0.5
n10_monorepo_moderate_5g,10,monorepo,moderate,5,mixed_min_pressure,12.5,network,40.0,12.5,0.6875
n10_monorepo_tight_100g,10,monorepo,tight,100,mixed_min_pressure,15.0,workspace,25.0,15.0,0.4
n10_monorepo_tight_1g,10,monorepo,tight,1,mixed_min_pressure,12.5,network,200.0,12.5,0.9375
n10_monorepo_tight_25g,10,monorepo,tight,25,mixed_min_pressure,12.5,workspace,25.0,12.5,0.5
n10_monorepo_tight_5g,10,monorepo,tight,5,mixed_min_pressure,12.5,network,40.0,12.5,0.6875
n10_swe_bench_loose_100g,10,swe_bench,loose,100,mixed_min_pressure,0.099,prefill,0.251075,0.099,0.6056955093099671
n10_swe_bench_loose_1g,10,swe_bench,loose,1,mixed_min_pressure,0.12638166666666667,network,1.32,0.12638166666666667,0.9042563131313132
n10_swe_bench_loose_25g,10,swe_bench,loose,25,mixed_min_pressure,0.12040166666666667,prefill,0.251075,0.12040166666666667,0.5204553752198877
n10_swe_bench_loose_5g,10,swe_bench,loose,5,mixed_min_pressure,0.12638166666666667,network,0.264,0.12638166666666667,0.5212815656565657
n10_swe_bench_moderate_100g,10,swe_bench,moderate,100,mixed_min_pressure,0.15915122688,network,0.4389589248,0.15915122688,0.6374348079321703
n10_swe_bench_moderate_1g,10,swe_bench,moderate,1,mixed_min_pressure,0.379145,network,1.32,0.379145,0.7127689393939394
n10_swe_bench_moderate_25g,10,swe_bench,moderate,25,mixed_min_pressure,0.28559,prefill,0.753225,0.28559,0.6208437054001128
n10_swe_bench_moderate_5g,10,swe_bench,moderate,5,mixed_min_pressure,0.379145,prefill,0.753225,0.379145,0.4966377908327525
n10_swe_bench_tight_100g,10,swe_bench,tight,100,mixed_min_pressure,0.1993488384,network,0.4389589248,0.1993488384,0.5458599264365611
n10_swe_bench_tight_1g,10,swe_bench,tight,1,mixed_min_pressure,1.2638166666666666,prefill,2.51075,1.2638166666666666,0.4966377908327525
