cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,policy,p50_resume_s,p90_resume_s,p95_resume_s,makespan_s,dominant_bottleneck
n10_tiny_tight_100g,10,tiny,tight,100,strong_reuse,0.437758925,0.787966065,0.831741957,0.87551785,network
n10_tiny_tight_100g,10,tiny,tight,100,replay_all,2.51075,4.51935,4.770425,5.0215,prefill
n10_tiny_tight_100g,10,tiny,tight,100,kv_all,0.437758925,0.787966065,0.831741957,0.87551785,network
n10_tiny_tight_100g,10,tiny,tight,100,workspace_sticky,0.425758925,0.766366065,0.808941957,0.85151785,network
n10_tiny_tight_100g,10,tiny,tight,100,random_diversification,0.982783333,1.76901,1.86728833,1.96556667,prefill
n10_tiny_tight_100g,10,tiny,tight,100,mixed_min_pressure,0.199348838,0.358827909,0.378762793,0.398697677,network
n10_swe_bench_loose_1g,10,swe_bench,loose,1,strong_reuse,1.32,2.376,2.508,2.64,network
n10_swe_bench_loose_1g,10,swe_bench,loose,1,replay_all,1.32,2.376,2.508,2.64,network
n10_swe_bench_loose_1g,10,swe_bench,loose,1,kv_all,43.8958925,79.0126065,83.4021957,87.791785,network
n10_swe_bench_loose_1g,10,swe_bench,loose,1,workspace_sticky,0.251075,0.451935,0.4770425,0.50215,prefill
n10_swe_bench_loose_1g,10,swe_bench,loose,1,random_diversification,10.00947,18.0170459,19.0179929,20.0189399,network
n10_swe_bench_loose_1g,10,swe_bench,loose,1,mixed_min_pressure,0.126381667,0.227487,0.240125167,0.252763333,prefill
n10_swe_bench_loose_5g,10,swe_bench,loose,5,strong_reuse,0.264,0.4752,0.5016,0.528,network
n10_swe_bench_loose_5g,10,swe_bench,loose,5,replay_all,0.264,0.4752,0.5016,0.528,network
n10_swe_bench_loose_5g,10,swe_bench,loose,5,kv_all,8.7791785,15.8025213,16.6804391,17.558357,network
n10_swe_bench_loose_5g,10,swe_bench,loose,5,workspace_sticky,0.251075,0.451935,0.4770425,0.50215,prefill
n10_swe_bench_loose_5g,10,swe_bench,loose,5,random_diversification,2.00189399,3.60340918,3.80359858,4.00378798,network
n10_swe_bench_loose_5g,10,swe_bench,loose,5,mixed_min_pressure,0.126381667,0.227487,0.240125167,0.252763333,prefill
n10_swe_bench_loose_25g,10,swe_bench,loose,25,strong_reuse,0.251075,0.451935,0.4770425,0.50215,prefill
n10_swe_bench_loose_25g,10,swe_bench,loose,25,replay_all,0.251075,0.451935,0.4770425,0.50215,prefill
n10_swe_bench_loose_25g,10,swe_bench,loose,25,kv_all,1.7558357,3.16050426,3.33608783,3.5116714,network
n10_swe_bench_loose_25g,10,swe_bench,loose,25,workspace_sticky,0.251075,0.451935,0.4770425,0.50215,prefill
n10_swe_bench_loose_25g,10,swe_bench,loose,25,random_diversification,0.400378798,0.720681837,0.760719716,0.800757596,network
n10_swe_bench_loose_25g,10,swe_bench,loose,25,mixed_min_pressure,0.120401667,0.216723,0.228763167,0.240803333,prefill
n10_swe_bench_loose_100g,10,swe_bench,loose,100,strong_reuse,0.251075,0.451935,0.4770425,0.50215,prefill
n10_swe_bench_loose_100g,10,swe_bench,loose,100,replay_all,0.251075,0.451935,0.4770425,0.50215,prefill
n10_swe_bench_loose_100g,10,swe_bench,loose,100,kv_all,0.438958925,0.790126065,0.834021957,0.87791785,network
n10_swe_bench_loose_100g,10,swe_bench,loose,100,workspace_sticky,0.251075,0.451935,0.4770425,0.50215,prefill
n10_swe_bench_loose_100g,10,swe_bench,loose,100,random_diversification,0.1000947,0.180170459,0.190179929,0.200189399,network
n10_swe_bench_loose_100g,10,swe_bench,loose,100,mixed_min_pressure,0.099,0.1782,0.1881,0.198,workspace
n10_swe_bench_moderate_1g,10,swe_bench,moderate,1,strong_reuse,1.32,2.376,2.508,2.64,network
n10_swe_bench_moderate_1g,10,swe_bench,moderate,1,replay_all,1.32,2.376,2.508,2.64,network
n10_swe_bench_moderate_1g,10,swe_bench,moderate,1,kv_all,43.8958925,79.0126065,83.4021957,87.791785,network
n10_swe_bench_moderate_1g,10,swe_bench,moderate,1,workspace_sticky,0.753225,1.355805,1.4311275,1.50645,prefill
n10_swe_bench_moderate_1g,10,swe_bench,moderate,1,random_diversification,10.00947,18.0170459,19.0179929,20.0189399,network
n10_swe_bench_moderate_1g,10,swe_bench,moderate,1,mixed_min_pressure,0.379145,0.682461,0.7203755,0.75829,prefill
n10_swe_bench_moderate_5g,10,swe_bench,moderate,5,strong_reuse,0.753225,1.355805,1.4311275,1.50645,prefill
n10_swe_bench_moderate_5g,10,swe_bench,moderate,5,replay_all,0.753225,1.355805,1.4311275,1.50645,prefill
n10_swe_bench_moderate_5g,10,swe_bench,moderate,5,kv_all,8.7791785,15.8025213,16.6804391,17.558357,network
n10_swe_bench_moderate_5g,10,swe_bench,moderate,5,workspace_sticky,0.753225,1.355805,1.4311275,1.50645,prefill
n10_swe_bench_moderate_5g,10,swe_bench,moderate,5,random_diversification,2.00189399,3.60340918,3.80359858,4.00378798,network
n10_swe_bench_moderate_5g,10,swe_bench,moderate,5,mixed_min_pressure,0.379145,0.682461,0.7203755,0.75829,prefill
n10_swe_bench_moderate_25g,10,swe_bench,moderate,25,strong_reuse,0.753225,1.355805,1.4311275,1.50645,prefill
n10_swe_bench_moderate_25g,10,swe_bench,moderate,25,replay_all,0.753225,1.355805,1.4311275,1.50645,prefill
n10_swe_bench_moderate_25g,10,swe_bench,moderate,25,kv_all,1.7558357,3.16050426,3.33608783,3.5116714,network
n10_swe_bench_moderate_25g,10,swe_bench,moderate,25,workspace_sticky,0.753225,1.355805,1.4311275,1.50645,prefill
n10_swe_bench_moderate_25g,10,swe_bench,moderate,25,random_diversification,0.400378798,0.720681837,0.760719716,0.800757596,network
n10_swe_bench_moderate_25g,10,swe_bench,moderate,25,mixed_min_pressure,0.28559,0.514062,0.542621,0.57118,prefill
n10_swe_bench_moderate_100g,10,swe_bench,moderate,100,strong_reuse,0.438958925,0.790126065,0.834021957,0.87791785,network
