workload,load,wan_gbps,deadline_s,policy,minimum_qh_gap_fraction,median_qh_gap_fraction
measured_pack,0.25,100,1800,isolated_fastest,-0.0032714813154239852,-0.0032714813154239852
measured_pack,0.25,100,1800,kv_only,0.8634598907338643,0.8634598907338643
measured_pack,0.25,100,1800,replay_only,-0.0032714813154239852,-0.0032714813154239852
measured_pack,0.25,100,3600,greedy,-0.006545829737924724,-0.006545829737924724
measured_pack,0.25,100,3600,isolated_fastest,-0.0065458287379244195,-0.0065458287379244195
measured_pack,0.25,100,3600,kv_only,0.7801569193086495,0.7801569193086495
measured_pack,0.25,100,3600,replay_only,-0.0065458287379244195,-0.0065458287379244195
measured_pack,0.25,400,1,greedy,0.0,0.0
measured_pack,0.25,400,1,isolated_fastest,0.0,0.0
measured_pack,0.25,400,1,kv_only,0.0,0.0
measured_pack,0.25,400,1,replay_only,0.0,0.0
measured_pack,0.25,400,3,greedy,0.0,0.0
measured_pack,0.25,400,3,isolated_fastest,0.0,0.0
measured_pack,0.25,400,3,kv_only,0.0,0.0
measured_pack,0.25,400,3,replay_only,0.0,0.0
measured_pack,0.25,400,10,greedy,-0.42460608693758284,-0.42460608693758284
measured_pack,0.25,400,10,isolated_fastest,-0.003967394621251397,-0.003967394621251397
measured_pack,0.25,400,10,kv_only,0.5753939130624172,0.5753939130624172
measured_pack,0.25,400,10,replay_only,-0.003967394621251397,-0.003967394621251397
measured_pack,0.25,400,30,greedy,-0.0030159330952709285,-0.0030159330952709285
measured_pack,0.25,400,30,isolated_fastest,-0.0030159320952706237,-0.0030159320952706237
measured_pack,0.25,400,30,kv_only,0.9899990796202214,0.9899990796202214
measured_pack,0.25,400,30,replay_only,-0.0030159320952706237,-0.0030159320952706237
measured_pack,0.25,400,60,greedy,-0.0008674280985148108,-0.0008674280985148108
measured_pack,0.25,400,60,isolated_fastest,-0.0008674270985145061,-0.0008674270985145061
measured_pack,0.25,400,60,kv_only,0.981088018479007,0.981088018479007
measured_pack,0.25,400,60,replay_only,-0.0008674270985145061,-0.0008674270985145061
measured_pack,0.25,400,120,greedy,-0.0014948092060584894,-0.0014948092060584894
measured_pack,0.25,400,120,isolated_fastest,-0.0014948082060581847,-0.0014948082060581847
measured_pack,0.25,400,120,kv_only,0.9624160828630477,0.9624160828630477
measured_pack,0.25,400,120,replay_only,-0.0014948082060581847,-0.0014948082060581847
measured_pack,0.25,400,300,greedy,-0.004360065349181541,-0.004360065349181541
measured_pack,0.25,400,300,isolated_fastest,-0.004360064349181236,-0.004360064349181236
measured_pack,0.25,400,300,kv_only,0.9054171608509276,0.9054171608509276
measured_pack,0.25,400,300,replay_only,-0.004360064349181236,-0.004360064349181236
measured_pack,0.25,400,600,greedy,-0.004362931456257546,-0.004362931456257546
measured_pack,0.25,400,600,isolated_fastest,-0.004362930456257241,-0.004362930456257241
measured_pack,0.25,400,600,kv_only,0.8361747322448772,0.8361747322448772
measured_pack,0.25,400,600,replay_only,-0.004362930456257241,-0.004362930456257241
measured_pack,0.25,400,1800,greedy,-0.0014085404579271543,-0.0014085404579271543
measured_pack,0.25,400,1800,isolated_fastest,-0.0014085394579268495,-0.0014085394579268495
measured_pack,0.25,400,1800,kv_only,0.6185944913807424,0.6185944913807424
measured_pack,0.25,400,1800,replay_only,-0.0014085394579268495,-0.0014085394579268495
measured_pack,0.25,400,3600,greedy,-0.003906250968749525,-0.003906250968749525
measured_pack,0.25,400,3600,isolated_fastest,-0.0039062499687492203,-0.0039062499687492203
measured_pack,0.25,400,3600,kv_only,0.4447415509755628,0.4447415509755628
measured_pack,0.25,400,3600,replay_only,-0.0039062499687492203,-0.0039062499687492203
measured_pack,0.25,1000,1,greedy,0.0,0.0
measured_pack,0.25,1000,1,isolated_fastest,0.0,0.0
measured_pack,0.25,1000,1,kv_only,0.0,0.0
measured_pack,0.25,1000,1,replay_only,0.0,0.0
measured_pack,0.25,1000,3,greedy,0.0,0.0
measured_pack,0.25,1000,3,isolated_fastest,0.0,0.0
measured_pack,0.25,1000,3,kv_only,0.0,0.0
measured_pack,0.25,1000,3,replay_only,0.0,0.0
measured_pack,0.25,1000,10,greedy,-0.4308012011516843,-0.4308012011516843
measured_pack,0.25,1000,10,isolated_fastest,-0.010162508835352857,-0.010162508835352857
measured_pack,0.25,1000,10,kv_only,0.5691987988483157,0.5691987988483157
measured_pack,0.25,1000,10,replay_only,-0.010162508835352857,-0.010162508835352857
measured_pack,0.25,1000,30,greedy,-0.00760001948677147,-0.00760001948677147
measured_pack,0.25,1000,30,isolated_fastest,-0.007600018486771165,-0.007600018486771165
measured_pack,0.25,1000,30,kv_only,0.9749375093957093,0.9749375093957093
measured_pack,0.25,1000,30,replay_only,-0.007600018486771165,-0.007600018486771165
measured_pack,0.25,1000,60,greedy,-0.004299356381116892,-0.004299356381116892
measured_pack,0.25,1000,60,isolated_fastest,-0.0042993553811165874,-0.0042993553811165874
measured_pack,0.25,1000,60,kv_only,0.9505892580470626,0.9505892580470626
measured_pack,0.25,1000,60,replay_only,-0.0042993553811165874,-0.0042993553811165874
measured_pack,0.25,1000,120,greedy,-0.0016219974692339711,-0.0016219974692339711
measured_pack,0.25,1000,120,isolated_fastest,-0.0016219964692336664,-0.0016219964692336664
measured_pack,0.25,1000,120,kv_only,0.9081552284496252,0.9081552284496252
