admission_mode,attainment_fraction,bandwidth,condition_id,east_kv_fraction,east_kv_transfer,east_replay,family,germany_kv_transfer,germany_load,germany_replay,predicted_makespan_s,requested_shed_w,restriction,selected_sessions,shed_w,target_met
normal,0.6837218762508132,controlled_40,free-service,0.9,2,0,toggle,4,0.25,0,22.740365313024842,40.20681109534354,kv_only,6,27.490276320170295,False
normal,0.7685053433419833,controlled_40,free-service,0.9,0,3,toggle,0,0.25,5,22.770595242827465,40.20681109534354,replay_only,8,30.89914916551325,False
normal,0.5652583957995758,controlled_40,free-service,0.9,0,5,toggle,0,0.25,0,22.42521754232989,40.20681109534354,east_only,5,22.727237539970474,False
normal,0.9256395548846491,controlled_40,free-service,0.9,0,0,toggle,4,0.25,7,24.528009374171738,40.20681109534354,germany_only,11,37.21701472562496,False
normal,1.2699612017687132,natural,free-bandwidth,0.9,2,2,toggle,5,0.75,7,24.906212357349165,40.20681109534354,joint,16,51.06109013793011,True
normal,0.8641715449819102,natural,free-bandwidth,0.9,4,0,toggle,5,0.75,0,23.789109320544945,40.20681109534354,kv_only,9,34.74558206305883,False
normal,0.7685053433419833,natural,free-bandwidth,0.9,0,3,toggle,0,0.75,5,22.770343165956703,40.20681109534354,replay_only,8,30.89914916551325,False
normal,0.5652583957995758,natural,free-bandwidth,0.9,1,4,toggle,0,0.75,0,13.292147684445121,40.20681109534354,east_only,5,22.727237539970474,False
normal,0.6293621188233888,natural,free-bandwidth,0.9,0,0,toggle,5,0.75,7,24.960495375056247,40.20681109534354,germany_only,12,25.304643822097148,False
normal,1.3907750115218778,natural,free-kv-bandwidth,0,3,4,toggle,5,0.75,7,24.960495375056247,40.20681109534354,joint,19,55.91862816438437,True
normal,0.8641715449819102,natural,free-kv-bandwidth,0,4,0,toggle,5,0.75,0,23.789109320544945,40.20681109534354,kv_only,9,34.74558206305883,False
normal,0.7685053433419833,natural,free-kv-bandwidth,0,0,3,toggle,0,0.75,5,22.770343165956703,40.20681109534354,replay_only,8,30.89914916551325,False
normal,0.8097853049202137,natural,free-kv-bandwidth,0,3,7,toggle,0,0.75,0,23.759249035917556,40.20681109534354,east_only,10,32.5588847827122,False
normal,0.6293621188233888,natural,free-kv-bandwidth,0,0,0,toggle,5,0.75,7,24.960495375056247,40.20681109534354,germany_only,12,25.304643822097148,False
normal,1.2699612017687132,natural,free-service-bandwidth,0.9,2,2,toggle,5,0.25,7,24.960495375056247,40.20681109534354,joint,16,51.06109013793011,True
normal,0.9206799950959198,natural,free-service-bandwidth,0.9,4,0,toggle,5,0.25,0,24.960495375056247,40.20681109534354,kv_only,9,37.017606642083464,False
normal,0.7685053433419833,natural,free-service-bandwidth,0.9,0,3,toggle,0,0.25,5,22.770343165956703,40.20681109534354,replay_only,8,30.89914916551325,False
normal,0.5652583957995758,natural,free-service-bandwidth,0.9,1,4,toggle,0,0.25,0,13.292147684445121,40.20681109534354,east_only,5,22.727237539970474,False
normal,1.041493804849085,natural,free-service-bandwidth,0.9,0,0,toggle,5,0.25,7,24.960495375056247,40.20681109534354,germany_only,12,41.87514466853774,True
normal,1.2881289833640992,controlled_40,free-kv-service,0,2,4,toggle,4,0.25,7,24.911306941082685,40.20681109534354,joint,17,51.79155870055726,True
normal,0.6837218762508132,controlled_40,free-kv-service,0,2,0,toggle,4,0.25,0,22.740365313024842,40.20681109534354,kv_only,6,27.490276320170295,False
normal,0.7685053433419833,controlled_40,free-kv-service,0,0,3,toggle,0,0.25,5,22.770595242827465,40.20681109534354,replay_only,8,30.89914916551325,False
normal,0.6792905806508558,controlled_40,free-kv-service,0,2,5,toggle,0,0.25,0,24.705430168376502,40.20681109534354,east_only,7,27.312108055075186,False
normal,0.9256395548846491,controlled_40,free-kv-service,0,0,0,toggle,4,0.25,7,24.528009374171738,40.20681109534354,germany_only,11,37.21701472562496,False
normal,1.3907750115218778,natural,all-release,0,3,4,toggle,5,0.25,7,24.960495375056247,40.20681109534354,joint,19,55.91862816438437,True
normal,0.9206799950959198,natural,all-release,0,4,0,toggle,5,0.25,0,24.960495375056247,40.20681109534354,kv_only,9,37.017606642083464,False
normal,0.7685053433419833,natural,all-release,0,0,3,toggle,0,0.25,5,22.770343165956703,40.20681109534354,replay_only,8,30.89914916551325,False
normal,0.8097853049202137,natural,all-release,0,3,7,toggle,0,0.25,0,23.759249035917556,40.20681109534354,east_only,10,32.5588847827122,False
normal,1.041493804849085,natural,all-release,0,0,0,toggle,5,0.25,7,24.960495375056247,40.20681109534354,germany_only,12,41.87514466853774,True
