apply_s,causal_destination_switches,causal_method_switches,causal_redirected_sessions,cutoff_shed_w,cutoff_shortfall_fraction,decision_s,episode_id,event_s,fault_applied_s,fault_axis,fault_verified,initial_moves_sha256,pair,policy,predecision_shed_w,proposal_s,redirected_sessions,repair_outcome,repeat,requested_shed_w,requests,target_met_by_cutoff,time_to_target_s,ttft_recorded
,0,0,0,16.84922979236663,0.4552167124586168,2.000099797,3dec4d5306df6a9f,1.005013568,1.251337903,joint,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,joint-seed327-0,shadow_validate_but_keep_original_pending,0.0,2.020896778,0,disabled,0,30.928316227187338,11,False,93.741783573,True
2.021948431,6,1,6,34.944990146600304,0.0,2.000101521,74bae7dd2b8f5230,1.00500784,1.25752089,joint,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,joint-seed327-0,shadow_validate_then_apply_pending_only,0.0,2.021923444,6,applied,0,30.928316227187338,12,True,18.618604257,True
2.023214895,5,1,5,34.944990146600304,0.0,2.000102565,0e42dc10246ffb58,1.006281165,1.268004104,prefill,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,prefill-seed327-2,shadow_validate_then_apply_pending_only,0.0,2.023188796,6,applied,2,30.928316227187338,12,True,18.787020066,True
,0,0,0,16.84922979236663,0.4552167124586168,2.000112163,e3dfbb30318e4aa3,1.005042145,1.258350764,prefill,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,prefill-seed327-2,shadow_validate_but_keep_original_pending,0.0,2.025020097,0,disabled,2,30.928316227187338,11,False,81.440077028,True
2.024904031,6,0,6,33.31526184993285,0.0,2.000113814,5903282a1e9b9af5,1.004158833,1.24989572,joint,True,35f68e004bd0825657ddb1c7fcf4fced4e87a85161c7f174bbd2a5f23a4c0c65,joint-seed456-2,shadow_validate_then_apply_pending_only,0.0,2.024876871,6,applied,2,30.928316227187338,11,True,17.766442692,True
,0,0,0,16.84922979236663,0.4552167124586168,2.000116774,ffc7e22f4002371c,1.006815208,1.252312761,joint,True,35f68e004bd0825657ddb1c7fcf4fced4e87a85161c7f174bbd2a5f23a4c0c65,joint-seed456-2,shadow_validate_but_keep_original_pending,0.0,2.024483082,0,disabled,2,30.928316227187338,11,False,94.471879699,True
,0,0,0,16.84922979236663,0.4552167124586168,2.000118228,a425646eac226994,1.004419216,1.257280697,prefill,True,35f68e004bd0825657ddb1c7fcf4fced4e87a85161c7f174bbd2a5f23a4c0c65,prefill-seed456-1,shadow_validate_but_keep_original_pending,0.0,2.020466455,0,disabled,1,30.928316227187338,11,False,81.186558748,True
2.02218963,5,0,5,33.31526184993285,0.0,2.000095647,397551e020de7595,1.00492652,1.25900502,prefill,True,35f68e004bd0825657ddb1c7fcf4fced4e87a85161c7f174bbd2a5f23a4c0c65,prefill-seed456-1,shadow_validate_then_apply_pending_only,0.0,2.022165385,6,applied,1,30.928316227187338,11,True,19.541808527,True
2.023519995,0,2,2,38.60118992924694,0.0,2.000102722,2cd736e3946c8293,1.005041152,1.251246239,bandwidth,True,38c7d2bd1c2d7761f5bf2bae8c18a31fb8152d28ed5bfeb99370130fd05ec630,bandwidth-seed819-2,shadow_validate_then_apply_pending_only,2.19802369921274,2.023504496,2,applied,2,30.928316227187338,12,True,22.77063049,True
,0,0,0,29.901319760846604,0.03320570246362002,2.00010751,24499b0119f14c3c,1.003905904,1.250568528,bandwidth,True,38c7d2bd1c2d7761f5bf2bae8c18a31fb8152d28ed5bfeb99370130fd05ec630,bandwidth-seed819-2,shadow_validate_but_keep_original_pending,2.19802369921274,2.027592776,0,disabled,2,30.928316227187338,11,False,26.968904958,True
,0,0,0,24.901064614398848,0.19487810356421126,2.000093334,22927b818ed99569,1.005238609,1.250111934,bandwidth,True,c016a117f21a15df6ae84c42676982cfc30b7306a04659d161ac32fe96b1c78f,bandwidth-seed553-1,shadow_validate_but_keep_original_pending,2.19802369921274,2.023656317,0,disabled,1,30.928316227187338,13,False,41.826685224,True
2.028122787,0,3,3,38.60118992924696,0.0,2.000104903,fbf2213480de2361,1.005391082,1.251118633,bandwidth,True,c016a117f21a15df6ae84c42676982cfc30b7306a04659d161ac32fe96b1c78f,bandwidth-seed553-1,shadow_validate_then_apply_pending_only,2.19802369921274,2.028104954,3,applied,1,30.928316227187338,12,True,22.693282404,True
,0,0,0,16.84922979236663,0.4552167124586168,2.000116202,3189931c22ea737c,1.005124509,1.249687184,prefill,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,prefill-seed327-1,shadow_validate_but_keep_original_pending,0.0,2.019546868,0,disabled,1,30.928316227187338,11,False,80.656452064,True
2.022667557,5,1,5,34.944990146600304,0.0,2.000101056,fd2294dd55b95d22,1.006375974,1.259475669,prefill,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,prefill-seed327-1,shadow_validate_then_apply_pending_only,0.0,2.022637141,6,applied,1,30.928316227187338,12,True,18.798910995,True
,0,0,0,16.84922979236663,0.4552167124586168,2.000097238,411c3be25ead92a7,1.00350702,1.248608135,joint,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,joint-seed327-1,shadow_validate_but_keep_original_pending,0.0,2.020333011,0,disabled,1,30.928316227187338,11,False,94.831892464,True
2.0210194,6,1,6,34.944990146600304,0.0,2.000067748,80256ca97170dbef,1.004366502,1.249743194,joint,True,669396202bd209d71983ac46f45c5c38137aebbb4ebfa07017a83810c34c614e,joint-seed327-1,shadow_validate_then_apply_pending_only,0.0,2.020990336,6,applied,1,30.928316227187338,12,True,18.593582722,True
