api_request_bytes,attempt,background,bandwidth,condition_index,deadline_met,deadline_s,destination,error,kv_response_bytes,median_tcp_rtt_ms,migration_s,movement_tokens,pack,policy,realized_shed_w,repeat,request_failures,requested_shed_w,retransmissions,scenario_id,session_count,status,target_met,workload
338282,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,38,True,30,germany,,5637152192,,16.72341492,131072,8x16k,queue_haul_power_blind,18.184090680191332,1,0,49.48530596349974,0,0a9120ca3846b8cf,8,complete,False,agentic_tool_loop
195056,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,39,True,30,germany,,3221229824,,11.570010447,65536,4x16k,queue_haul,61.85663245437466,1,0,49.485305963499734,0,7cbc4c712571732d,4,complete,True,agentic_tool_loop
198142,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,39,True,30,germany,,3221229824,,11.754313033,65536,4x16k,greedy,61.85663245437466,1,0,49.485305963499734,0,5051590d05962285,4,complete,True,agentic_tool_loop
244020,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,39,True,30,germany,,0,,16.835214817,65536,4x16k,replay_only,61.85663245437466,1,0,49.485305963499734,0,17d36ef6158e1ab4,4,complete,True,agentic_tool_loop
198142,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,39,True,30,germany,,3221229824,,12.106502657,65536,4x16k,kv_only,61.85663245437466,1,0,49.485305963499734,0,74df8aba32bddac1,4,complete,True,agentic_tool_loop
243820,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,39,True,30,germany,,4026537280,,13.914510254,65536,4x16k,queue_haul_power_blind,61.85663245437466,1,0,49.485305963499734,0,59052ef13cbe0afa,4,complete,True,agentic_tool_loop
197317,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,40,True,30,germany,,3221229824,,11.631480326,65536,8x8k,queue_haul,61.856632454374676,1,0,49.48530596349974,0,30f6f8a3f1105251,8,complete,True,agentic_tool_loop
189922,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,40,True,30,germany,,0,,11.937980828,65536,8x8k,greedy,61.856632454374676,1,0,49.48530596349974,0,c0bd200514de08ad,8,complete,True,agentic_tool_loop
200723,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,40,True,30,east,,0,,13.21549488,65536,8x8k,replay_only,61.856632454374676,1,0,49.48530596349974,0,86637fc4ae282fb4,8,complete,True,agentic_tool_loop
198860,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,40,True,30,germany,,3221229824,,11.72448495,65536,8x8k,kv_only,61.856632454374676,1,0,49.48530596349974,0,92cf23c01d33a14e,8,complete,True,agentic_tool_loop
177282,1,"{""east"": [0.875, 0], ""germany"": [0.875, 0]}",natural,40,True,30,germany,,2818576096,,10.930617497,65536,8x8k,queue_haul_power_blind,18.184090680191332,1,0,49.48530596349974,0,1c7ffa7c8c260874,8,complete,False,agentic_tool_loop
671065,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,41,True,30,"east,germany",,7247767104,,23.915263087,262144,16x16k,queue_haul,61.856632454374676,1,0,49.48530596349974,0,4828677ea6294e83,16,complete,True,agentic_tool_loop
686601,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,41,True,30,"east,germany",,3221229824,,26.229750858,262144,16x16k,greedy,61.856632454374676,1,0,49.48530596349974,0,a3fdd639cabf1eac,16,complete,True,agentic_tool_loop
568102,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,41,True,30,"east,germany",,0,,24.724203945,262144,16x16k,replay_only,58.1378939406208,1,0,49.48530596349974,0,de158268dd3363b7,16,complete,True,agentic_tool_loop
693791,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,41,False,30,"east,germany",,11274304384,,32.016593358,262144,16x16k,kv_only,60.48064724755149,1,0,49.48530596349974,0,b3cddc51b71af42a,16,complete,True,agentic_tool_loop
561681,1,"{""east"": [0.925, 0], ""germany"": [0.925, 0]}",natural,41,True,30,germany,,7247767104,,20.829890901,262144,16x16k,queue_haul_power_blind,56.51588693953447,1,0,49.48530596349974,0,9f72ed0567359558,16,complete,True,agentic_tool_loop
