sessions,source_instances,source_nodes,solver,bandwidth_gbps_per_node,deadline_s,end_s,target_fraction_of_removable_power,initial_source_power_w,minimum_awake_source_power_w,removable_source_power_w,requested_source_drop_w,planned_source_drop_w,modeled_source_drop_at_deadline_w,modeled_fraction_of_removable_power_shed,plan_feasible,planned_moves,replay_moves,kv_moves,moves_completed_by_deadline,moves_completed_by_end,source_nodes_drained_by_deadline,source_nodes_drained_by_end,makespan_s,p95_migration_time_s,p95_service_pause_ms,network_gb,destination_queue_max_depth,destination_queue_p95_observed_wait_s,build_s,plan_s,execute_s
32,1,1,node_drain,1.0,900,1350,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817679,148.2085364163537,148.2085364163537,1.0,True,32,32,0,32,32,1,1,232.51478761111738,8.137082365543208,0.10033899999939422,0.00192304,0,0.0,0.0007551661692559719,0.005026000086218119,0.0023371661081910133
32,1,1,lp,1.0,900,1350,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817679,148.2085364163537,148.2085364163537,1.0,True,32,32,0,32,32,1,1,232.51478761111738,8.137082365543208,0.10033899999939422,0.00192304,0,0.0,0.0007551661692559719,0.01709212502464652,0.0019355001859366894
100,3,1,node_aware,1.0,900,1350,0.5,980.4740943860552,536.9633567344,443.5107376516552,221.75536882582765,224.43065602721913,224.43065602721913,0.5060320686158737,True,60,60,0,60,60,0,0,180.62313772027218,8.137082365543208,0.10033899999939422,0.003327444,0,0.0,0.0018417080864310265,0.008599415887147188,0.003737166989594698
100,3,1,node_drain,1.0,900,1350,0.5,980.4740943860552,536.9633567344,443.5107376516552,221.75536882582765,443.5107376516552,443.5107376516552,1.0,True,100,100,0,100,100,1,1,347.36105527187925,8.137082365543222,0.10033900002781593,0.005894924,0,0.0,0.0018417080864310265,0.013652166817337275,0.005933833308517933
100,3,1,lp,1.0,900,1350,0.5,980.4740943860552,536.9633567344,443.5107376516552,221.75536882582765,354.6143384734015,354.6143384734015,0.7995620136528122,True,85,85,0,85,85,0,0,309.2099664186418,8.137082365543222,0.10033900002781593,0.004932119,0,0.0,0.0018417080864310265,0.030979167204350233,0.005489209201186895
316,8,1,node_aware,1.0,900,1350,0.5,1865.2837936436406,536.9633567344,1328.3204369092405,664.1602184546202,666.9586547283448,666.9586547283448,0.5021067478870053,True,176,176,0,176,176,0,0,299.365667033843,11.20664480337914,0.10033900002781593,0.009558928,0,0.0,0.0052565839141607285,0.0265321247279644,0.01091862516477704
316,8,1,node_drain,1.0,900,1350,0.5,1865.2837936436406,536.9633567344,1328.3204369092405,664.1602184546202,1328.3204369092405,1328.3204369092405,1.0,True,316,316,0,316,316,1,1,361.64748895759436,8.138109357543208,0.10033900002781593,0.018545108,0,0.0,0.0052565839141607285,0.04443862475454807,0.017168375197798014
316,8,1,lp,1.0,900,1350,0.5,1865.2837936436406,536.9633567344,1328.3204369092405,664.1602184546202,1226.3530744831128,1226.3530744831128,0.9232358702065993,True,298,298,0,298,298,0,0,354.05968518115844,8.138109357543206,0.10033900002781593,0.017389742,0,0.0,0.0052565839141607285,0.07614699983969331,0.017498624976724386
1000,25,4,node_aware,1.0,900,1350,0.5,6292.4845896509805,2147.8534269375896,4144.631162713391,2072.3155813566955,2073.282441817457,2073.2824418174505,0.5002332802179005,True,531,531,0,531,531,2,2,350.71676776758113,12.59314498561433,0.10033900002781593,0.028571745,0,0.0,0.016858958173543215,0.1042402503080666,0.031771541107445955
1000,25,4,node_drain,1.0,900,1350,0.5,6292.4845896509805,2147.8534269375896,4144.631162713391,2072.3155813566955,2784.5326743587993,2784.5326743587984,0.6718408864483447,True,688,688,0,688,688,2,2,372.3252349126163,8.137595861543218,0.10033900002781593,0.038744336,0,0.0,0.016858958173543215,0.12481625005602837,0.04056783299893141
1000,25,4,lp,1.0,900,1350,0.5,6292.4845896509805,2147.8534269375896,4144.631162713391,2072.3155813566955,4109.19390862717,4109.193908627164,0.9914498413260429,True,995,995,0,995,995,3,3,365.2538492872878,8.139136349543207,0.10033900002781593,0.058354513,0,0.0,0.016858958173543215,0.24437174992635846,0.06094083422794938
3162,77,10,node_aware,1.0,900,1350,0.5,18412.35248546982,5369.633567344057,13042.718918125762,6521.359459062882,6521.441748969299,6521.441748969279,0.5000063092601255,True,1657,1657,0,1657,1657,4,4,352.3227552229026,11.205655570295798,0.10033900002781593,0.088239971,0,0.0,0.07141966698691249,0.2827353747561574,0.10274945804849267
3162,77,10,node_drain,1.0,900,1350,0.5,18412.35248546982,5369.633567344057,13042.718918125762,6521.359459062882,7029.846948723369,7029.846948723407,0.5389863105118265,True,1752,1752,0,1752,1752,5,5,370.8480033273525,8.137595861543218,0.10033900002781593,0.096647112,0,0.0,0.07141966698691249,0.39737404230982065,0.10714324982836843
3162,77,10,lp,1.0,900,1350,0.5,18412.35248546982,5369.633567344057,13042.718918125762,6521.359459062882,13001.268672165468,13001.268672165415,0.9968219627962125,True,3156,3156,0,3156,3156,9,9,404.46496247673974,13.739227921607766,0.10033900002781593,0.184456284,0,0.0,0.07141966698691249,0.8177076247520745,0.2216228749603033
10000,241,31,node_aware,1.0,900,1350,0.5,57792.46816763987,16645.864058764546,41146.604108875326,20573.302054437663,20575.99337517666,20575.993375176593,0.5000654080888864,True,5255,5255,0,5255,5255,14,14,366.7381869836758,11.206607467428938,0.10033900002781593,0.278139805,0,0.0,0.16562733333557844,0.9811880420893431,0.3875040840357542
10000,241,31,node_drain,1.0,900,1350,0.5,57792.46816763987,16645.864058764546,41146.604108875326,20573.302054437663,21445.302866752856,21445.302866752783,0.5211925341398229,True,5422,5422,0,5422,5422,15,15,359.63929991622337,8.137082365543222,0.10033900002781593,0.289073306,0,0.0,0.16562733333557844,1.2939639589749277,0.38581283390522003
10000,241,31,lp,1.0,900,1350,0.5,57792.46816763987,16645.864058764546,41146.604108875326,20573.302054437663,41062.07379019812,41062.073790201095,0.9979456307390384,True,9986,9986,0,9986,9986,30,30,376.4473093014171,8.140191343543206,0.10033900002781593,0.581808502,0,0.0,0.16562733333557844,2.6778503339737654,0.714649542234838
31623,760,95,node_aware,1.0,900,1350,0.5,181009.33546309167,51011.51888979052,129997.81657330116,64998.90828665058,65004.83395296466,65004.8339529763,0.5000455828142497,True,16551,16551,0,16551,16551,43,43,371.6657848485745,11.206057357434638,0.10033900002781593,0.873668733,0,0.0,0.560746124945581,3.15417620819062,1.2927598748356104
31623,760,95,node_drain,1.0,900,1350,0.5,181009.33546309167,51011.51888979052,129997.81657330116,64998.90828665058,65973.32589964372,65973.32589965448,0.5074956459938268,True,16727,16727,0,16727,16727,46,46,354.0534910001585,8.13708236554325,0.10033900002781593,0.884965645,0,0.0,0.560746124945581,4.1687624999322,1.17261204123497
31623,760,95,lp,1.0,900,1350,0.5,181009.33546309167,51011.51888979052,129997.81657330116,64998.90828665058,129983.39604863548,129983.39604862223,0.9998890710239676,True,31621,31621,0,31621,31621,94,94,516.7736303520232,8.13708236554325,0.10033900002781593,1.840966823,0,0.0,0.560746124945581,8.64744025003165,2.1279952921904624
100000,2403,301,node_aware,1.0,900,1350,0.5,572692.4145814078,161625.97037671055,411066.44420469727,205533.22210234863,205536.37323862343,205536.37323847855,0.5000076657586002,True,52337,52337,0,52337,52337,136,136,380.191487810612,11.20677357412913,0.10033900002781593,2.763655051,0,0.0,1.7690635831095278,10.609087833669037,4.702573333866894
100000,2403,301,node_drain,1.0,900,1350,0.5,572692.4145814078,161625.97037671055,411066.44420469727,205533.22210234863,206745.14353438193,206745.14353423857,0.5029482373202091,True,52459,52459,0,52459,52459,144,144,354.03650829615873,8.137082365543222,0.10033900002781593,2.772878633,0,0.0,1.7690635831095278,15.780338709242642,4.471337791997939
100000,2403,301,lp,1.0,900,1350,0.5,572692.4145814078,161625.97037671055,411066.44420469727,205533.22210234863,410935.728277427,410935.7282770634,0.9996820077885784,True,99974,99974,0,99974,99974,300,300,365.24449421928784,8.138109357543208,0.10033900002781593,5.82133117,0,0.0,1.7690635831095278,33.69698820821941,9.980623874813318
