monotonic_ns,wall_ns,power_w,utilization_pct,memory_mib
5722222250886,1786470988700914587,147.83,100.0,89111.0
5722346821518,1786470988825485169,146.84,100.0,89111.0
5722471604548,1786470988950268369,147.71,100.0,89111.0
5722596282206,1786470989074945797,146.12,100.0,89111.0
5722721358359,1786470989200022030,146.58,100.0,89111.0
5722845736635,1786470989324400456,147.88,100.0,89111.0
5722970556245,1786470989449220066,148.29,100.0,89111.0
5723095234594,1786470989573898355,145.18,100.0,89111.0
5723220371192,1786470989699034763,145.22,100.0,89111.0
5723345273002,1786470989823936673,146.85,100.0,89111.0
5723470278329,1786470989948942110,143.65,100.0,89111.0
5723595171755,1786470990073835376,145.35,100.0,89111.0
5723719893814,1786470990198557505,146.17,100.0,89111.0
5723845310504,1786470990323974315,145.23,100.0,89111.0
5723970341656,1786470990449005337,146.52,100.0,89111.0
5724095230947,1786470990573894598,147.69,100.0,89111.0
5724219848775,1786470990698512426,144.72,100.0,89111.0
5724344784946,1786470990823448917,145.42,100.0,89111.0
5724469627107,1786470990948290868,147.03,100.0,89111.0
5724594803135,1786470991073466816,145.31,100.0,89111.0
5724719682890,1786470991198346691,144.51,100.0,89111.0
5724844113127,1786470991322776748,144.93,100.0,89111.0
5724969293750,1786470991447957421,144.28,100.0,89111.0
5725094112680,1786470991572776361,144.04,100.0,89111.0
5725219612467,1786470991698276048,144.54,100.0,89111.0
5725344398976,1786470991823062577,144.95,100.0,89111.0
5725469239967,1786470991947903628,143.21,100.0,89111.0
5725593918525,1786470992072582126,143.58,100.0,89111.0
5725718587394,1786470992197251065,144.18,100.0,89111.0
5725843444619,1786470992322108170,144.36,100.0,89111.0
5725968063122,1786470992446726763,143.31,100.0,89111.0
5726092909152,1786470992571572923,143.42,100.0,89111.0
5726217752092,1786470992696415803,143.42,100.0,89111.0
5726342299610,1786470992820963541,145.2,100.0,89111.0
5726467197861,1786470992945861522,142.56,100.0,89111.0
5726591985780,1786470993070649601,144.88,100.0,89111.0
5726716681209,1786470993195344780,144.53,100.0,89111.0
5726841502529,1786470993320166260,145.35,100.0,89111.0
5726965986546,1786470993444650237,145.44,100.0,89111.0
5727091329141,1786470993569992782,145.09,100.0,89111.0
5727216232321,1786470993694895762,147.1,100.0,89111.0
5727340835250,1786470993819498801,146.83,100.0,89111.0
5727465708790,1786470993944372641,148.44,100.0,89111.0
5727590435299,1786470994069099120,147.4,100.0,89111.0
5727714963161,1786470994193626713,145.32,100.0,89111.0
5727839982238,1786470994318645779,145.17,100.0,89111.0
5727965021380,1786470994443685221,144.87,100.0,89111.0
5728089867231,1786470994568530972,142.75,100.0,89111.0
5728214732411,1786470994693395972,140.1,100.0,89111.0
5728339375789,1786470994818039550,142.92,100.0,89111.0
5728464219309,1786470994942882730,141.45,100.0,89111.0
5728589162161,1786470995067825862,142.63,100.0,89111.0
5728713896550,1786470995192560101,143.28,100.0,89111.0
5728838683679,1786470995317347430,142.36,100.0,89111.0
5728963548900,1786470995442212731,142.97,100.0,89111.0
5729088171460,1786470995566835021,142.58,100.0,89111.0
5729213320692,1786470995691984243,143.4,100.0,89111.0
5729338265983,1786470995816929634,142.6,100.0,89111.0
5729462968162,1786470995941631753,141.36,100.0,89111.0
5729587879962,1786470996066543733,140.92,100.0,89111.0
5729712847108,1786470996191510829,141.26,100.0,89111.0
5729837401700,1786470996316065471,142.06,100.0,89111.0
5729962180384,1786470996440844125,140.86,100.0,89111.0
5730087538924,1786470996566202625,141.74,100.0,89111.0
5730212400219,1786470996691063910,141.08,100.0,89111.0
5730337655638,1786470996816319399,142.09,100.0,89111.0
5730462953326,1786470996941616977,141.45,100.0,89111.0
5730587845372,1786470997066509133,140.95,100.0,89111.0
5730712825278,1786470997191488909,142.03,100.0,89111.0
5730837604242,1786470997316268123,141.83,100.0,89111.0
5730962327636,1786470997440991247,142.89,100.0,89111.0
5731089320696,1786470997567984347,140.69,100.0,89111.0
5731214100685,1786470997692764426,141.13,100.0,89111.0
5731338936830,1786470997817600551,141.56,100.0,89111.0
5731463947171,1786470997942610882,140.55,100.0,89111.0
5731589395906,1786470998068059457,140.46,100.0,89111.0
5731714351757,1786470998193015368,139.63,100.0,89111.0
5731838954465,1786470998317618196,139.77,100.0,89111.0
5731963480697,1786470998442144278,140.55,100.0,89111.0
5732088171160,1786470998566834831,141.72,100.0,89111.0
5732213430849,1786470998692094560,141.24,100.0,89111.0
5732337987381,1786470998816650932,140.35,100.0,89111.0
5732462906226,1786470998941569947,138.91,100.0,89111.0
5732588316327,1786470999066979868,139.37,100.0,89111.0
5732713203442,1786470999191867023,138.86,100.0,89111.0
5732837879095,1786470999316542876,139.58,100.0,89111.0
5732962785995,1786470999441449676,141.31,100.0,89111.0
5733087874668,1786470999566538349,138.47,100.0,89111.0
5733212908769,1786470999691572510,139.19,100.0,89111.0
5733337437196,1786470999816100847,138.84,100.0,89111.0
5733462378357,1786470999941041898,139.43,100.0,89111.0
5733587137236,1786471000065800887,138.65,100.0,89111.0
5733711576202,1786471000190239833,138.63,100.0,89111.0
5733836297030,1786471000314960611,138.42,100.0,89111.0
5733961183681,1786471000439847502,137.67,100.0,89111.0
5734086220102,1786471000564883933,137.74,100.0,89111.0
5734210620058,1786471000689283669,138.41,100.0,89111.0
5734335422468,1786471000814086219,139.65,100.0,89111.0
5734460418188,1786471000939081689,139.81,100.0,89111.0
5734585363669,1786471001064027401,140.51,100.0,89111.0
5734709973417,1786471001188637088,140.84,100.0,89111.0
