scenario_id,match_id,condition,method,repeat,source_gpu,pre_window_power_w,post_window_power_w,pre_settle_gap_s,post_trace_after_switch_s,valid_settled_windows,measurement_kind,requested_shed_w,predicted_shed_w,measured_shed_w,predicted_percent,measured_percent
p-ddf3722b8089c2a4,a8a20fb13ef7bcc2,large-fixed-2500mbps-19s,queue_haul,104,0,253.72690673172,83.92565385124,0.005006919,2.791538363,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,169.80125288047998,100.0,108.4991013283161
p-df6b38a524fa82c1,a8a20fb13ef7bcc2,large-fixed-2500mbps-19s,queue_haul_power_blind,104,0,236.38650915366,82.47804627416001,0.005592643,2.798658721,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,153.9084628795,100.0,98.34397347469704
p-842e866318912c6a,a8a20fb13ef7bcc2,large-fixed-2500mbps-19s,isolated_fastest,104,0,179.693526865,81.94398971234,0.237792812,2.796089536,False,warmup_contaminated_immediate_pre,156.50014682302742,98.31926724347665,97.74953715266,62.82375399599942,62.45970955106934
p-c079c66f32b56f84,a8a20fb13ef7bcc2,large-fixed-2500mbps-19s,queue_haul_deadline_blind,104,0,184.7383351121,82.3209528168,0.312327592,2.785111428,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,102.4173822953,100.0,65.44235540629558
p-56d20edd328adb84,a8a20fb13ef7bcc2,large-fixed-2500mbps-19s,greedy,104,0,256.73460583203,82.04329956160001,0.003610133,2.764685435,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,174.69130627043,100.0,111.62373315085345
p-47da222e32bd971d,b4a5b2b22b3a2494,medium-fixed-10000mbps-19s,greedy,66,0,242.88975429711002,83.8358361166,0.105752706,2.884343612,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,159.05391818051,100.0,101.63180125343297
p-4842fbf770e221ba,b4a5b2b22b3a2494,medium-fixed-10000mbps-19s,queue_haul,66,0,299.51523243955,82.90157786954,0.004754203,3.266876974,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,216.61365457001,100.0,138.411151022727
p-c4663845c424def2,b4a5b2b22b3a2494,medium-fixed-10000mbps-19s,queue_haul_deadline_blind,66,0,239.43858278951998,83.29,0.004901831,4.000638401,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,156.14858278952,100.0,99.77535865579411
p-2bf2ec488a559862,b4a5b2b22b3a2494,medium-fixed-10000mbps-19s,isolated_fastest,66,0,243.26244798088,83.51615433896,0.004014439,3.313376159,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,159.74629364192,100.0,102.07421327378266
p-69fc31ab8a1d13ef,b4a5b2b22b3a2494,medium-fixed-10000mbps-19s,queue_haul_power_blind,66,0,225.13603994012996,81.79207888351,0.003650313,3.583810147,False,warmup_contaminated_immediate_pre,156.50014682302742,156.50014682302742,143.34396105661995,100.0,91.59349940975795
