timestamp, uuid, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/10 01:24:51.613, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.91 W, 0 %, 6 MiB
2026/09/10 01:24:52.613, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.78 W, 0 %, 6 MiB
2026/09/10 01:24:53.613, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 47.88 W, 0 %, 6 MiB
2026/09/10 01:24:54.614, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.56 W, 0 %, 428 MiB
2026/09/10 01:24:55.614, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.01 W, 0 %, 1698 MiB
2026/09/10 01:24:56.614, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.11 W, 0 %, 1832 MiB
2026/09/10 01:24:57.615, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.21 W, 0 %, 1832 MiB
2026/09/10 01:24:58.615, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.25 W, 0 %, 1832 MiB
2026/09/10 01:24:59.615, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.41 W, 0 %, 14896 MiB
2026/09/10 01:25:00.615, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.44 W, 1 %, 15150 MiB
2026/09/10 01:25:01.615, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.44 W, 0 %, 15150 MiB
2026/09/10 01:25:02.615, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.41 W, 0 %, 15150 MiB
2026/09/10 01:25:03.616, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.60 W, 0 %, 15166 MiB
2026/09/10 01:25:04.616, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.70 W, 0 %, 15166 MiB
2026/09/10 01:25:05.616, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.80 W, 0 %, 15166 MiB
2026/09/10 01:25:06.616, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 0 %, 15166 MiB
2026/09/10 01:25:07.616, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 1 %, 15166 MiB
2026/09/10 01:25:08.616, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.24 W, 0 %, 15166 MiB
2026/09/10 01:25:09.617, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.99 W, 0 %, 15166 MiB
2026/09/10 01:25:10.617, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 0 %, 15166 MiB
2026/09/10 01:25:11.617, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.73 W, 0 %, 15166 MiB
2026/09/10 01:25:12.617, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.59 W, 0 %, 15166 MiB
2026/09/10 01:25:13.617, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.67 W, 0 %, 15166 MiB
2026/09/10 01:25:14.617, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.93 W, 0 %, 15166 MiB
2026/09/10 01:25:15.618, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.22 W, 0 %, 15166 MiB
2026/09/10 01:25:16.618, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 15166 MiB
2026/09/10 01:25:17.618, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.39 W, 0 %, 15166 MiB
2026/09/10 01:25:18.619, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.59 W, 0 %, 15166 MiB
2026/09/10 01:25:19.619, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.49 W, 0 %, 15166 MiB
2026/09/10 01:25:20.619, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.89 W, 1 %, 15166 MiB
2026/09/10 01:25:21.619, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.59 W, 0 %, 15166 MiB
2026/09/10 01:25:22.619, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.68 W, 0 %, 15166 MiB
2026/09/10 01:25:23.620, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.56 W, 0 %, 15166 MiB
2026/09/10 01:25:24.620, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.60 W, 0 %, 15166 MiB
2026/09/10 01:25:25.620, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.79 W, 0 %, 15166 MiB
2026/09/10 01:25:26.620, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.08 W, 1 %, 15166 MiB
2026/09/10 01:25:27.621, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.15 W, 0 %, 15166 MiB
2026/09/10 01:25:28.621, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.42 W, 0 %, 15166 MiB
2026/09/10 01:25:29.621, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.83 W, 0 %, 15166 MiB
2026/09/10 01:25:30.621, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.96 W, 0 %, 15166 MiB
2026/09/10 01:25:31.621, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.99 W, 0 %, 15166 MiB
2026/09/10 01:25:32.622, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.51 W, 0 %, 15166 MiB
2026/09/10 01:25:33.622, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.31 W, 0 %, 15166 MiB
2026/09/10 01:25:34.622, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.21 W, 0 %, 15166 MiB
2026/09/10 01:25:35.622, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.18 W, 0 %, 15166 MiB
2026/09/10 01:25:36.622, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.57 W, 0 %, 15166 MiB
2026/09/10 01:25:37.623, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.41 W, 0 %, 15166 MiB
2026/09/10 01:25:38.623, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.39 W, 0 %, 15166 MiB
2026/09/10 01:25:39.623, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.41 W, 1 %, 15166 MiB
2026/09/10 01:25:40.623, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.42 W, 0 %, 15166 MiB
2026/09/10 01:25:41.623, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.48 W, 0 %, 15166 MiB
2026/09/10 01:25:42.623, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.49 W, 0 %, 15166 MiB
2026/09/10 01:25:43.624, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.58 W, 0 %, 15166 MiB
2026/09/10 01:25:44.624, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.60 W, 0 %, 15166 MiB
2026/09/10 01:25:45.624, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.60 W, 0 %, 15166 MiB
2026/09/10 01:25:46.624, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.71 W, 0 %, 15166 MiB
2026/09/10 01:25:47.624, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.63 W, 0 %, 15166 MiB
2026/09/10 01:25:48.624, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.57 W, 0 %, 15166 MiB
2026/09/10 01:25:49.625, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.80 W, 0 %, 15166 MiB
2026/09/10 01:25:50.625, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.67 W, 1 %, 15166 MiB
2026/09/10 01:25:51.625, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.67 W, 0 %, 15166 MiB
2026/09/10 01:25:52.625, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.88 W, 0 %, 15166 MiB
2026/09/10 01:25:53.625, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.86 W, 0 %, 15166 MiB
2026/09/10 01:25:54.625, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.84 W, 0 %, 15166 MiB
2026/09/10 01:25:55.625, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.80 W, 0 %, 15166 MiB
2026/09/10 01:25:56.626, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.04 W, 1 %, 15166 MiB
2026/09/10 01:25:57.626, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.90 W, 0 %, 15166 MiB
2026/09/10 01:25:58.626, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.86 W, 0 %, 15166 MiB
2026/09/10 01:25:59.626, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.61 W, 0 %, 15166 MiB
2026/09/10 01:26:00.626, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.17 W, 0 %, 15166 MiB
2026/09/10 01:26:01.626, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.88 W, 0 %, 15166 MiB
2026/09/10 01:26:02.627, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.86 W, 0 %, 15166 MiB
2026/09/10 01:26:03.627, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.43 W, 0 %, 15166 MiB
2026/09/10 01:26:04.627, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.16 W, 0 %, 15166 MiB
2026/09/10 01:26:05.627, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.72 W, 0 %, 15166 MiB
2026/09/10 01:26:06.627, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.38 W, 0 %, 15166 MiB
2026/09/10 01:26:07.627, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.39 W, 1 %, 15166 MiB
2026/09/10 01:26:08.627, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.21 W, 0 %, 15166 MiB
2026/09/10 01:26:09.628, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.26 W, 0 %, 15166 MiB
2026/09/10 01:26:10.628, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.28 W, 0 %, 15166 MiB
2026/09/10 01:26:11.628, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.34 W, 0 %, 15166 MiB
2026/09/10 01:26:12.628, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.27 W, 0 %, 15166 MiB
2026/09/10 01:26:13.628, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.38 W, 1 %, 15166 MiB
2026/09/10 01:26:14.628, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.38 W, 0 %, 15166 MiB
2026/09/10 01:26:15.629, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.44 W, 0 %, 15166 MiB
2026/09/10 01:26:16.629, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.47 W, 0 %, 15166 MiB
2026/09/10 01:26:17.629, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.54 W, 0 %, 15166 MiB
2026/09/10 01:26:18.629, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.47 W, 0 %, 15166 MiB
2026/09/10 01:26:19.629, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.57 W, 0 %, 15166 MiB
2026/09/10 01:26:20.630, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.92 W, 0 %, 15166 MiB
2026/09/10 01:26:21.630, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.01 W, 0 %, 15166 MiB
2026/09/10 01:26:22.630, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.97 W, 0 %, 15166 MiB
2026/09/10 01:26:23.630, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.98 W, 0 %, 15166 MiB
2026/09/10 01:26:24.630, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.07 W, 0 %, 15166 MiB
2026/09/10 01:26:25.630, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.17 W, 0 %, 15166 MiB
2026/09/10 01:26:26.631, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.07 W, 0 %, 15166 MiB
2026/09/10 01:26:27.631, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.04 W, 0 %, 15166 MiB
2026/09/10 01:26:28.631, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.04 W, 0 %, 15166 MiB
2026/09/10 01:26:29.631, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.07 W, 0 %, 15166 MiB
2026/09/10 01:26:30.631, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.23 W, 0 %, 15166 MiB
2026/09/10 01:26:31.631, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.27 W, 0 %, 15166 MiB
2026/09/10 01:26:32.632, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.24 W, 0 %, 15166 MiB
2026/09/10 01:26:33.632, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.27 W, 0 %, 15166 MiB
2026/09/10 01:26:34.632, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.31 W, 1 %, 15166 MiB
2026/09/10 01:26:35.632, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.21 W, 1 %, 15166 MiB
2026/09/10 01:26:36.632, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.33 W, 0 %, 15166 MiB
2026/09/10 01:26:37.632, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.31 W, 0 %, 15166 MiB
2026/09/10 01:26:38.633, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.21 W, 0 %, 15166 MiB
2026/09/10 01:26:39.633, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.31 W, 0 %, 15166 MiB
2026/09/10 01:26:40.633, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.31 W, 0 %, 15166 MiB
2026/09/10 01:26:41.634, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.47 W, 0 %, 15166 MiB
2026/09/10 01:26:42.634, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.47 W, 0 %, 15166 MiB
2026/09/10 01:26:43.634, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.34 W, 0 %, 15166 MiB
2026/09/10 01:26:44.634, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.33 W, 0 %, 15166 MiB
2026/09/10 01:26:45.634, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.54 W, 0 %, 15166 MiB
2026/09/10 01:26:46.635, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.28 W, 1 %, 15166 MiB
2026/09/10 01:26:47.635, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 0 %, 15166 MiB
2026/09/10 01:26:48.635, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.33 W, 0 %, 15166 MiB
2026/09/10 01:26:49.635, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.47 W, 0 %, 15166 MiB
2026/09/10 01:26:50.635, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.45 W, 0 %, 15166 MiB
2026/09/10 01:26:51.636, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.63 W, 0 %, 15166 MiB
2026/09/10 01:26:52.636, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.02 W, 0 %, 15166 MiB
2026/09/10 01:26:53.636, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.45 W, 0 %, 15166 MiB
2026/09/10 01:26:54.636, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.19 W, 1 %, 15166 MiB
2026/09/10 01:26:55.636, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.60 W, 0 %, 15166 MiB
2026/09/10 01:26:56.636, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.99 W, 0 %, 15166 MiB
2026/09/10 01:26:57.636, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.73 W, 0 %, 15166 MiB
2026/09/10 01:26:58.637, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 0 %, 15166 MiB
2026/09/10 01:26:59.637, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 0 %, 15166 MiB
2026/09/10 01:27:00.637, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.71 W, 0 %, 15166 MiB
2026/09/10 01:27:01.637, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.81 W, 0 %, 15166 MiB
2026/09/10 01:27:02.637, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 105.57 W, 25 %, 14786 MiB
2026/09/10 01:27:03.638, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.71 W, 0 %, 15086 MiB
2026/09/10 01:27:04.638, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 104.29 W, 0 %, 16032 MiB
2026/09/10 01:27:05.638, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.00 W, 0 %, 16032 MiB
2026/09/10 01:27:06.638, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.02 W, 0 %, 16032 MiB
2026/09/10 01:27:07.638, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.02 W, 0 %, 16032 MiB
2026/09/10 01:27:08.639, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.90 W, 0 %, 16032 MiB
2026/09/10 01:27:09.639, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.96 W, 0 %, 16032 MiB
2026/09/10 01:27:10.639, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 0 %, 16032 MiB
2026/09/10 01:27:11.639, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.06 W, 0 %, 16032 MiB
2026/09/10 01:27:12.639, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.95 W, 0 %, 16032 MiB
2026/09/10 01:27:13.640, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.64 W, 0 %, 16032 MiB
2026/09/10 01:27:14.640, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.02 W, 0 %, 16032 MiB
2026/09/10 01:27:15.640, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.71 W, 7 %, 16436 MiB
2026/09/10 01:27:16.640, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.59 W, 0 %, 60690 MiB
2026/09/10 01:27:17.641, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.03 W, 0 %, 60690 MiB
2026/09/10 01:27:18.641, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.06 W, 0 %, 60690 MiB
2026/09/10 01:27:19.641, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.06 W, 0 %, 60690 MiB
2026/09/10 01:27:20.641, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.10 W, 0 %, 60690 MiB
2026/09/10 01:27:21.641, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.10 W, 0 %, 60690 MiB
2026/09/10 01:27:22.642, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.10 W, 0 %, 60690 MiB
2026/09/10 01:27:23.642, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.10 W, 0 %, 60690 MiB
2026/09/10 01:27:24.642, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.16 W, 0 %, 60690 MiB
2026/09/10 01:27:25.643, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.22 W, 0 %, 60690 MiB
2026/09/10 01:27:26.643, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.22 W, 0 %, 60722 MiB
2026/09/10 01:27:27.643, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.96 W, 0 %, 61438 MiB
2026/09/10 01:27:28.643, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 0 %, 61438 MiB
2026/09/10 01:27:29.643, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.76 W, 0 %, 61438 MiB
2026/09/10 01:27:30.643, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.74 W, 0 %, 61438 MiB
2026/09/10 01:27:31.644, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 0 %, 61438 MiB
2026/09/10 01:27:32.644, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.73 W, 0 %, 61438 MiB
2026/09/10 01:27:33.644, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.64 W, 0 %, 61438 MiB
2026/09/10 01:27:34.644, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.90 W, 0 %, 61438 MiB
2026/09/10 01:27:35.644, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.73 W, 0 %, 61438 MiB
2026/09/10 01:27:36.644, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.73 W, 0 %, 61438 MiB
2026/09/10 01:27:37.645, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.19 W, 0 %, 61438 MiB
2026/09/10 01:27:38.645, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.77 W, 0 %, 61438 MiB
2026/09/10 01:27:39.645, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.06 W, 0 %, 61438 MiB
2026/09/10 01:27:40.645, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.86 W, 0 %, 61438 MiB
2026/09/10 01:27:41.645, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 0 %, 61438 MiB
2026/09/10 01:27:42.645, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 0 %, 61438 MiB
2026/09/10 01:27:43.646, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.93 W, 0 %, 61438 MiB
2026/09/10 01:27:44.646, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.51 W, 0 %, 61438 MiB
2026/09/10 01:27:45.646, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.90 W, 0 %, 61438 MiB
2026/09/10 01:27:46.646, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.12 W, 0 %, 61438 MiB
2026/09/10 01:27:47.646, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.54 W, 0 %, 61438 MiB
2026/09/10 01:27:48.646, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.02 W, 0 %, 61438 MiB
2026/09/10 01:27:49.647, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.83 W, 0 %, 61438 MiB
2026/09/10 01:27:50.647, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.94 W, 0 %, 61438 MiB
2026/09/10 01:27:51.647, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.93 W, 0 %, 61438 MiB
2026/09/10 01:27:52.647, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.96 W, 0 %, 61438 MiB
2026/09/10 01:27:53.647, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.90 W, 0 %, 61438 MiB
