source_prefill_fraction,deadline_scale,budget_label,budget_fraction,budget_move_limit,repair_steps,net_changed_requests,fraction_moved_requests_changed,miss_rate,p95_delay,mean_delay,p95_normalized_delay,objective_delta
0.5,0.25,unbounded,nan,nan,18,18.0,0.029411764705882353,0.014705882352941176,2.407769390945162,0.5397037629509506,0.2941081050220613,6.478907170947252
0.2,0.5,0%,0.0,0,0,0.0,0.0,0.0,2.4581267997523355,0.9193714251798759,0.2074735295377734,0.0
0.2,0.5,5%,0.05,2,0,0.0,0.0,0.0,2.4581267997523355,0.9193714251798759,0.2074735295377734,0.0
0.2,0.5,10%,0.1,4,0,0.0,0.0,0.0,2.4581267997523355,0.9193714251798759,0.2074735295377734,0.0
0.2,0.5,20%,0.2,8,0,0.0,0.0,0.0,2.4581267997523355,0.9193714251798759,0.2074735295377734,0.0
0.2,0.5,unbounded,nan,nan,0,0.0,0.0,0.0,2.4581267997523355,0.9193714251798759,0.2074735295377734,0.0
0.3,0.5,0%,0.0,0,0,0.0,0.0,0.018867924528301886,3.285644068799229,1.4052734036342382,0.3779422487536709,0.0
0.3,0.5,5%,0.05,2,0,0.0,0.0,0.018867924528301886,3.285644068799229,1.4052734036342382,0.3779422487536709,0.0
0.3,0.5,10%,0.1,5,0,0.0,0.0,0.018867924528301886,3.285644068799229,1.4052734036342382,0.3779422487536709,0.0
0.3,0.5,20%,0.2,10,0,0.0,0.0,0.018867924528301886,3.285644068799229,1.4052734036342382,0.3779422487536709,0.0
0.3,0.5,unbounded,nan,nan,0,0.0,0.0,0.018867924528301886,3.285644068799229,1.4052734036342382,0.3779422487536709,0.0
0.4,0.5,0%,0.0,0,0,0.0,0.0,0.0028735632183908046,2.4260811759658716,0.4525144462246666,0.14705405251103065,0.0
0.4,0.5,5%,0.05,17,17,17.0,0.04885057471264368,0.0028735632183908046,2.4260811759658716,0.452255615120795,0.14705405251103065,0.2526759138737731
0.4,0.5,10%,0.1,34,34,34.0,0.09770114942528736,0.0028735632183908046,2.4260811759658716,0.45199678401691423,0.14705405251103065,2.588290224865659
0.4,0.5,20%,0.2,69,35,35.0,0.10057471264367816,0.0028735632183908046,2.4260811759658716,0.4519815586578623,0.14705405251103065,4.045407322361086
0.4,0.5,unbounded,nan,nan,35,35.0,0.10057471264367816,0.0028735632183908046,2.4260811759658716,0.4519815586578623,0.14705405251103065,4.045407322361086
0.5,0.5,0%,0.0,0,0,0.0,0.0,0.0032679738562091504,2.407769390945162,0.5851259616292391,0.14705405251103065,0.0
0.5,0.5,5%,0.05,30,18,18.0,0.029411764705882353,0.0016339869281045752,2.407769390945162,0.5397037629509506,0.14705405251103065,6.478907170947252
0.5,0.5,10%,0.1,61,18,18.0,0.029411764705882353,0.0016339869281045752,2.407769390945162,0.5397037629509506,0.14705405251103065,6.478907170947252
0.5,0.5,20%,0.2,122,18,18.0,0.029411764705882353,0.0016339869281045752,2.407769390945162,0.5397037629509506,0.14705405251103065,6.478907170947252
0.5,0.5,unbounded,nan,nan,18,18.0,0.029411764705882353,0.0016339869281045752,2.407769390945162,0.5397037629509506,0.14705405251103065,6.478907170947252
