policy,source_prefill_fraction,deadline_scale,status,safe,rounded_source_prefill_moved_s,rounded_source_prefill_target_s,rounded_source_prefill_ratio,mean_delay,p50_delay,p95_delay,p99_delay,p95_normalized_delay,miss_rate,drain_window_s,source_prefill_removal_rate_s_per_s,drain_completion_s,network_capacity_pressure,prefill_capacity_pressure,replay_source_prefill_fraction,state_transfer_source_prefill_fraction,repair_move_count,repair_move_summary
repaired-CVXPY-rounded,0.3,0.25,OK,False,375.9190361445783,375.8943614457832,1.0000656426414596,1.4052734036342382,0.862358538587614,3.285644068799229,3.285644068799229,0.7558844975073418,0.05660377358490566,1800.0,0.20884390896921015,1766.9000943876442,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
deadline-aware-m0.8-rounded,0.3,0.25,INFEASIBLE,False,nan,375.8943614457832,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.3,0.25,INFEASIBLE,False,nan,375.8943614457832,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.3,0.25,OK,False,375.98072289156624,375.8943614457832,1.0002297492451093,1.4220531690881657,0.64493734817313,3.285644068799229,3.285644068799229,0.7985016773113138,0.057692307692307696,1800.0,0.20887817938420347,1766.246973923203,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
crossover-greedy,0.3,0.25,OK,False,375.98072289156624,375.8943614457832,1.0002297492451093,1.4220531690881657,0.64493734817313,3.285644068799229,3.285644068799229,0.7985016773113138,0.057692307692307696,1800.0,0.20887817938420347,1766.246973923203,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
mixed-greedy,0.3,0.25,OK,False,375.98072289156624,375.8943614457832,1.0002297492451093,1.4220531690881657,0.64493734817313,3.285644068799229,3.285644068799229,0.7985016773113138,0.057692307692307696,1800.0,0.20887817938420347,1766.246973923203,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
replay-only,0.3,0.25,OK,False,375.98072289156624,375.8943614457832,1.0002297492451093,1.4220531690881657,0.64493734817313,3.285644068799229,3.285644068799229,0.7985016773113138,0.057692307692307696,1800.0,0.20887817938420347,1766.246973923203,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
state-only,0.3,0.25,INFEASIBLE,False,nan,375.8943614457832,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.4,0.25,OK,True,501.20481927710836,501.19248192771096,1.000024615990547,0.4525144462246666,0.23512199153515212,2.4260811759658716,3.285644068799229,0.2941081050220613,0.008620689655172414,1800.0,0.27844712182061576,1794.8303903599926,9.682814751165015e-05,0.9225789976694511,1.0,0.0,0,
repaired-CVXPY-rounded,0.4,0.25,OK,True,501.20481927710836,501.19248192771096,1.000024615990547,0.4519815586578623,0.23512199153515212,2.4260811759658716,3.285644068799229,0.2941081050220613,0.008620689655172414,1800.0,0.27844712182061576,1794.8303903599926,0.00011223836098449276,0.9988353592541093,1.0,0.0,35,class2:k2/replay->k0/replay x35
deadline-aware-m0.8-rounded,0.4,0.25,INFEASIBLE,False,nan,501.19248192771096,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.4,0.25,INFEASIBLE,False,nan,501.19248192771096,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.4,0.25,OK,True,501.20481927710836,501.19248192771096,1.000024615990547,0.45242309407035897,0.23512199153515212,2.4260811759658716,3.285644068799229,0.2941081050220613,0.008620689655172414,1800.0,0.27844712182061576,1794.8303903599926,9.946989839270888e-05,0.9225789976694511,1.0,0.0,0,
crossover-greedy,0.4,0.25,OK,True,501.2048192771084,501.19248192771096,1.0000246159905473,0.48755059908730264,0.23512199153515212,2.458126799752108,3.285644068799229,0.2941081050220613,0.009259259259259259,1800.0,0.27844712182061576,1794.4472485975405,0.00011267865279800255,1.0471894562173523,1.0,0.0,0,
mixed-greedy,0.4,0.25,OK,True,501.2048192771084,501.19248192771096,1.0000246159905473,0.48755059908730264,0.23512199153515212,2.458126799752108,3.285644068799229,0.2941081050220613,0.009259259259259259,1800.0,0.27844712182061576,1794.4472485975405,0.00011267865279800255,1.0471894562173523,1.0,0.0,0,
replay-only,0.4,0.25,OK,True,501.2048192771084,501.19248192771096,1.0000246159905473,0.48755059908730264,0.23512199153515212,2.458126799752108,3.285644068799229,0.2941081050220613,0.009259259259259259,1800.0,0.27844712182061576,1794.4472485975405,0.00011267865279800255,1.0471894562173523,1.0,0.0,0,
state-only,0.4,0.25,INFEASIBLE,False,nan,501.19248192771096,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.5,0.25,OK,False,626.4906024096385,626.4906024096387,0.9999999999999998,0.5851259616292391,0.24042041648499435,2.407769390945162,8.312626564687262,0.2941081050220613,0.0196078431372549,1800.0,0.3480503346720214,1797.0616276825078,0.9552170564003359,0.9848842269434017,0.8408330051201263,0.1591669948798738,0,
repaired-CVXPY-rounded,0.5,0.25,OK,False,626.4906024096385,626.4906024096387,0.9999999999999998,0.5397037629509506,0.24042041648499435,2.407769390945162,6.3519607898482136,0.2941081050220613,0.014705882352941176,1800.0,0.3480503346720214,1797.0616276825078,0.9743983343353393,0.9974211296851074,0.8484147302087438,0.15158526979125625,18,class2:k2/state->k0/replay x7; class2:k2/state->k1/replay x3; class2:k2/state->k2/replay x4; class4:k1/state->k0/state x2; class4:k1/state->k2/state x2
deadline-aware-m0.8-rounded,0.5,0.25,INFEASIBLE,False,nan,626.4906024096387,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.5,0.25,INFEASIBLE,False,nan,626.4906024096387,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.5,0.25,OK,False,626.4906024096385,626.4906024096387,0.9999999999999998,1.0021087927835433,0.24042041648499435,3.285644068799229,3.720777355072869,0.5854130373403141,0.01048951048951049,1800.0,0.3480503346720214,1794.5686522448814,0.995686141891008,0.9848374945593199,0.8365005907837733,0.16349940921622685,0,
crossover-greedy,0.5,0.25,OK,False,626.4906024096385,626.4906024096387,0.9999999999999998,0.5158110003401455,0.24042041648499435,1.869296902032147,6.372286646039348,0.2941081050220613,0.012861736334405145,1800.0,0.3480503346720214,1797.108913477855,0.9967464094609674,1.016036841580377,0.8548148877510833,0.1451851122489167,0,
mixed-greedy,0.5,0.25,OK,False,626.4906024096385,626.4906024096387,0.9999999999999998,0.5158110003401455,0.24042041648499435,1.869296902032147,6.372286646039348,0.2941081050220613,0.012861736334405145,1800.0,0.3480503346720214,1797.108913477855,0.9967464094609674,1.016036841580377,0.8548148877510833,0.1451851122489167,0,
replay-only,0.5,0.25,INFEASIBLE,False,nan,626.4906024096387,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
state-only,0.5,0.25,INFEASIBLE,False,nan,626.4906024096387,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.6,0.25,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
repaired-CVXPY-rounded,0.6,0.25,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m0.8-rounded,0.6,0.25,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.6,0.25,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.6,0.25,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
crossover-greedy,0.6,0.25,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mixed-greedy,0.6,0.25,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
replay-only,0.6,0.25,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
state-only,0.6,0.25,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.7,0.25,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
repaired-CVXPY-rounded,0.7,0.25,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m0.8-rounded,0.7,0.25,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.7,0.25,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.7,0.25,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
crossover-greedy,0.7,0.25,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mixed-greedy,0.7,0.25,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
replay-only,0.7,0.25,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
state-only,0.7,0.25,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.2,0.5,OK,True,250.60240963855424,250.59624096385548,1.0000246159905473,0.9193714251798759,0.42751615775864593,2.4581267997523355,2.6784444632352034,0.2074735295377734,0.0,1800.0,0.1392235609103079,1758.142339036817,2.0542130752346417e-05,0.4113207314527204,1.0,0.0,0,
repaired-CVXPY-rounded,0.2,0.5,OK,True,250.60240963855424,250.59624096385548,1.0000246159905473,0.9193714251798759,0.42751615775864593,2.4581267997523355,2.6784444632352034,0.2074735295377734,0.0,1800.0,0.1392235609103079,1758.142339036817,2.0542130752346417e-05,0.4113207314527204,1.0,0.0,0,
deadline-aware-m0.8-rounded,0.2,0.5,OK,True,250.6024096385542,250.59624096385548,1.0000246159905473,2.158146547488175,1.6088734648070613,6.734768052469462,9.775878589562742,0.22437702501712706,0.0,1800.0,0.13922356091030788,1777.2647962621534,0.7890722932934976,0.3715789308770408,0.5750153846153845,0.42498461538461546,0,
deadline-aware-m1.0-rounded,0.2,0.5,OK,False,250.6024096385542,250.59624096385548,1.0000246159905473,2.6748840227985093,1.6088734648070613,9.421420560066826,16.744653484504514,0.3679915591383647,0.022988505747126436,1800.0,0.13922356091030788,1779.6571252092501,1.1126034729882595,0.5188958618530819,0.4152615384615385,0.5847384615384614,0,
mirror-descent-rounded,0.2,0.5,OK,True,250.66409638554217,250.59624096385548,1.0002707758960219,1.0068123418388906,0.42751615775864593,2.5151055058254905,2.83798484024004,0.2713992992437348,0.0,1800.0,0.1392578313253012,1752.6343831004644,1.95888630263485e-05,0.3922331897047472,1.0,0.0,0,
crossover-greedy,0.2,0.5,OK,True,250.66409638554217,250.59624096385548,1.0002707758960219,1.0068123418388906,0.42751615775864593,2.5151055058254905,2.83798484024004,0.2713992992437348,0.0,1800.0,0.1392578313253012,1752.6343831004644,1.95888630263485e-05,0.3922331897047472,1.0,0.0,0,
mixed-greedy,0.2,0.5,OK,True,250.66409638554217,250.59624096385548,1.0002707758960219,1.0068123418388906,0.42751615775864593,2.5151055058254905,2.83798484024004,0.2713992992437348,0.0,1800.0,0.1392578313253012,1752.6343831004644,1.95888630263485e-05,0.3922331897047472,1.0,0.0,0,
replay-only,0.2,0.5,OK,True,250.66409638554217,250.59624096385548,1.0002707758960219,1.0068123418388906,0.42751615775864593,2.5151055058254905,2.83798484024004,0.2713992992437348,0.0,1800.0,0.1392578313253012,1752.6343831004644,1.95888630263485e-05,0.3922331897047472,1.0,0.0,0,
state-only,0.2,0.5,INFEASIBLE,False,nan,250.59624096385548,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.3,0.5,OK,False,375.9190361445783,375.8943614457832,1.0000656426414596,1.4052734036342382,0.862358538587614,3.285644068799229,3.285644068799229,0.3779422487536709,0.018867924528301886,1800.0,0.20884390896921015,1766.9000943876442,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
repaired-CVXPY-rounded,0.3,0.5,OK,False,375.9190361445783,375.8943614457832,1.0000656426414596,1.4052734036342382,0.862358538587614,3.285644068799229,3.285644068799229,0.3779422487536709,0.018867924528301886,1800.0,0.20884390896921015,1766.9000943876442,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
deadline-aware-m0.8-rounded,0.3,0.5,OK,True,375.91903614457834,375.8943614457832,1.0000656426414598,2.2933432761141215,1.6088734648070613,6.734768052469462,11.27741248401863,0.2871293388878449,0.0,1800.0,0.20884390896921018,1780.5894738893057,0.8617911727222205,0.4941415594574462,0.6715621923203151,0.3284378076796849,0,
deadline-aware-m1.0-rounded,0.3,0.5,OK,False,375.91903614457834,375.8943614457832,1.0000656426414598,2.6530646033902445,1.608873464807175,9.395033781283427,16.204744983223854,0.428419574702498,0.021505376344086023,1800.0,0.20884390896921018,1785.236134565376,1.001100116566383,0.5975386366891994,0.6440761404660322,0.35592385953396777,0,
mirror-descent-rounded,0.3,0.5,OK,False,375.98072289156624,375.8943614457832,1.0002297492451093,1.4220531690881657,0.64493734817313,3.285644068799229,3.285644068799229,0.3992508386556569,0.019230769230769232,1800.0,0.20887817938420347,1766.246973923203,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
crossover-greedy,0.3,0.5,OK,False,375.98072289156624,375.8943614457832,1.0002297492451093,1.4220531690881657,0.64493734817313,3.285644068799229,3.285644068799229,0.3992508386556569,0.019230769230769232,1800.0,0.20887817938420347,1766.246973923203,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
mixed-greedy,0.3,0.5,OK,False,375.98072289156624,375.8943614457832,1.0002297492451093,1.4220531690881657,0.64493734817313,3.285644068799229,3.285644068799229,0.3992508386556569,0.019230769230769232,1800.0,0.20887817938420347,1766.246973923203,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
replay-only,0.3,0.5,OK,False,375.98072289156624,375.8943614457832,1.0002297492451093,1.4220531690881657,0.64493734817313,3.285644068799229,3.285644068799229,0.3992508386556569,0.019230769230769232,1800.0,0.20887817938420347,1766.246973923203,4.8105921947365396e-05,0.6421587335525915,1.0,0.0,0,
state-only,0.3,0.5,INFEASIBLE,False,nan,375.8943614457832,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.4,0.5,OK,True,501.20481927710836,501.19248192771096,1.000024615990547,0.4525144462246666,0.23512199153515212,2.4260811759658716,3.285644068799229,0.14705405251103065,0.0028735632183908046,1800.0,0.27844712182061576,1794.8303903599926,9.682814751165015e-05,0.9225789976694511,1.0,0.0,0,
repaired-CVXPY-rounded,0.4,0.5,OK,True,501.20481927710836,501.19248192771096,1.000024615990547,0.4519815586578623,0.23512199153515212,2.4260811759658716,3.285644068799229,0.14705405251103065,0.0028735632183908046,1800.0,0.27844712182061576,1794.8303903599926,0.00011223836098449276,0.9988353592541093,1.0,0.0,35,class2:k2/replay->k0/replay x35
deadline-aware-m0.8-rounded,0.4,0.5,INFEASIBLE,False,nan,501.19248192771096,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.4,0.5,INFEASIBLE,False,nan,501.19248192771096,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.4,0.5,OK,True,501.20481927710836,501.19248192771096,1.000024615990547,0.45242309407035897,0.23512199153515212,2.4260811759658716,3.285644068799229,0.14705405251103065,0.0028735632183908046,1800.0,0.27844712182061576,1794.8303903599926,9.946989839270888e-05,0.9225789976694511,1.0,0.0,0,
crossover-greedy,0.4,0.5,OK,True,501.2048192771084,501.19248192771096,1.0000246159905473,0.48755059908730264,0.23512199153515212,2.458126799752108,3.285644068799229,0.14705405251103065,0.0030864197530864196,1800.0,0.27844712182061576,1794.4472485975405,0.00011267865279800255,1.0471894562173523,1.0,0.0,0,
mixed-greedy,0.4,0.5,OK,True,501.2048192771084,501.19248192771096,1.0000246159905473,0.48755059908730264,0.23512199153515212,2.458126799752108,3.285644068799229,0.14705405251103065,0.0030864197530864196,1800.0,0.27844712182061576,1794.4472485975405,0.00011267865279800255,1.0471894562173523,1.0,0.0,0,
replay-only,0.4,0.5,OK,True,501.2048192771084,501.19248192771096,1.0000246159905473,0.48755059908730264,0.23512199153515212,2.458126799752108,3.285644068799229,0.14705405251103065,0.0030864197530864196,1800.0,0.27844712182061576,1794.4472485975405,0.00011267865279800255,1.0471894562173523,1.0,0.0,0,
state-only,0.4,0.5,INFEASIBLE,False,nan,501.19248192771096,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.5,0.5,OK,True,626.4906024096385,626.4906024096387,0.9999999999999998,0.5851259616292391,0.24042041648499435,2.407769390945162,8.312626564687262,0.14705405251103065,0.0032679738562091504,1800.0,0.3480503346720214,1797.0616276825078,0.9552170564003359,0.9848842269434017,0.8408330051201263,0.1591669948798738,0,
repaired-CVXPY-rounded,0.5,0.5,OK,True,626.4906024096385,626.4906024096387,0.9999999999999998,0.5397037629509506,0.24042041648499435,2.407769390945162,6.3519607898482136,0.14705405251103065,0.0016339869281045752,1800.0,0.3480503346720214,1797.0616276825078,0.9743983343353393,0.9974211296851074,0.8484147302087438,0.15158526979125625,18,class2:k2/state->k0/replay x7; class2:k2/state->k1/replay x3; class2:k2/state->k2/replay x4; class4:k1/state->k0/state x2; class4:k1/state->k2/state x2
deadline-aware-m0.8-rounded,0.5,0.5,INFEASIBLE,False,nan,626.4906024096387,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.5,0.5,INFEASIBLE,False,nan,626.4906024096387,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.5,0.5,OK,True,626.4906024096385,626.4906024096387,0.9999999999999998,1.0021087927835433,0.24042041648499435,3.285644068799229,3.720777355072869,0.29270651867015707,0.0034965034965034965,1800.0,0.3480503346720214,1794.5686522448814,0.995686141891008,0.9848374945593199,0.8365005907837733,0.16349940921622685,0,
crossover-greedy,0.5,0.5,OK,True,626.4906024096385,626.4906024096387,0.9999999999999998,0.5158110003401455,0.24042041648499435,1.869296902032147,6.372286646039348,0.14705405251103065,0.001607717041800643,1800.0,0.3480503346720214,1797.108913477855,0.9967464094609674,1.016036841580377,0.8548148877510833,0.1451851122489167,0,
mixed-greedy,0.5,0.5,OK,True,626.4906024096385,626.4906024096387,0.9999999999999998,0.5158110003401455,0.24042041648499435,1.869296902032147,6.372286646039348,0.14705405251103065,0.001607717041800643,1800.0,0.3480503346720214,1797.108913477855,0.9967464094609674,1.016036841580377,0.8548148877510833,0.1451851122489167,0,
replay-only,0.5,0.5,INFEASIBLE,False,nan,626.4906024096387,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
state-only,0.5,0.5,INFEASIBLE,False,nan,626.4906024096387,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.6,0.5,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
repaired-CVXPY-rounded,0.6,0.5,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m0.8-rounded,0.6,0.5,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.6,0.5,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.6,0.5,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
crossover-greedy,0.6,0.5,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mixed-greedy,0.6,0.5,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
replay-only,0.6,0.5,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
state-only,0.6,0.5,INFEASIBLE,False,nan,751.7887228915664,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
CVXPY-rounded,0.7,0.5,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
repaired-CVXPY-rounded,0.7,0.5,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m0.8-rounded,0.7,0.5,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
deadline-aware-m1.0-rounded,0.7,0.5,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mirror-descent-rounded,0.7,0.5,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
crossover-greedy,0.7,0.5,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
mixed-greedy,0.7,0.5,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
replay-only,0.7,0.5,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
state-only,0.7,0.5,INFEASIBLE,False,nan,877.086843373494,nan,nan,nan,nan,nan,nan,nan,1800.0,nan,nan,nan,nan,nan,nan,0,
