policy,deadline_scale,max_safe_source_load_fraction,p95_delay_at_frontier,p95_delay_over_deadline_at_frontier,deadline_miss_rate_at_frontier,max_network_busy_fraction_at_frontier,max_prefill_busy_fraction_at_frontier,replay_load_fraction_at_frontier,state_transfer_load_fraction_at_frontier
deadline-aware-m0.8-rounded,2.0,0.5,59.023608998705576,0.8273256999812566,0.0,1.1130414719241084,1.0150318816303052,0.7624064592359198,0.23759354076408024
deadline-aware-m1.0-rounded,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
deadline-aware-m1.0-rounded,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
deadline-aware-m1.0-rounded,1.0,0.2,55.1872263242568,0.6438565581352148,0.01,1.1779786998852053,0.3448265315738178,0.4323692307692308,0.5676307692307693
deadline-aware-m1.0-rounded,2.0,0.4,66.1072643104198,0.7907891326095867,0.005434782608695652,1.303915532320901,0.8429386575187203,0.7145230769230767,0.2854769230769233
mirror-descent-rounded,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
mirror-descent-rounded,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
mirror-descent-rounded,1.0,0.2,22.743141155638565,0.5292516792093463,0.0,1.95888630263485e-05,0.3922331897047472,1.0,0.0
mirror-descent-rounded,2.0,0.3,30.151971825229793,0.2752144171710603,0.0,4.8105921947365396e-05,0.6421587335525915,1.0,0.0
crossover-greedy,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
crossover-greedy,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
crossover-greedy,1.0,0.2,22.743141155638565,0.5292516792093463,0.0,1.95888630263485e-05,0.3922331897047472,1.0,0.0
crossover-greedy,2.0,0.3,30.151971825229793,0.2752144171710603,0.0,4.8105921947365396e-05,0.6421587335525915,1.0,0.0
mixed-greedy,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
mixed-greedy,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
mixed-greedy,1.0,0.2,22.743141155638565,0.5292516792093463,0.0,1.95888630263485e-05,0.3922331897047472,1.0,0.0
mixed-greedy,2.0,0.3,30.151971825229793,0.2752144171710603,0.0,4.8105921947365396e-05,0.6421587335525915,1.0,0.0
replay-only,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
replay-only,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
replay-only,1.0,0.2,22.743141155638565,0.5292516792093463,0.0,1.95888630263485e-05,0.3922331897047472,1.0,0.0
replay-only,2.0,0.3,30.151971825229793,0.2752144171710603,0.0,4.8105921947365396e-05,0.6421587335525915,1.0,0.0
state-only,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
state-only,0.5,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
state-only,1.0,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
state-only,2.0,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
local-repair-oracle,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
local-repair-oracle,0.5,0.2,16.027099061658188,0.8269108322656352,0.0,0.25901345672989984,0.2811838284827704,0.8568615384615385,0.1431384615384615
local-repair-oracle,1.0,0.2,14.461207904342015,0.659639225684318,0.0,0.4520198296323431,0.36008523652672425,0.7907692307692308,0.20923076923076922
local-repair-oracle,2.0,0.4,32.962089623677755,0.9221568105162694,0.0028735632183908046,0.8386972787068422,0.9314010600906477,0.7711999999999999,0.22880000000000006
