model,regime,policy,objective,objective_gap_to_cvx,relative_gap_to_cvx,source_prefill_moved_s,source_prefill_target_s,source_prefill_shortfall_s,excess_source_prefill_s,max_net_util,max_prefill_util,capacity_feasible,alpha,eta_x0,bisection_iterations,active_classes_moved,active_destinations_used,destination_entropy,action_entropy,replay_frac,state_frac,stay_frac,replay_source_prefill_frac,state_transfer_source_prefill_frac,replay_demand_over_capacity,state_bytes_over_capacity,deadline_overrun_mean,deadline_overrun_p95,deadline_overrun_max,deadline_load_max,feasible
DeepSeek-V4-Pro,background-load-spread,replay-only,18.03579303,4.244456204,0.3077624931,299.2732086,299.2732086,5.684341886e-14,0,0.8000056626,0.8150938416,True,nan,nan,nan,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,1.039143086,0.3660709888,nan,nan,nan,nan,True
DeepSeek-V4-Pro,background-load-spread,state-only,15.33824388,1.546907054,0.1121651275,299.2732086,299.2732086,0,0,0.8475214352,0.8,True,nan,nan,nan,7,3,0.7864597632,0,0,0.1406623656,0.8593376344,0,1,1.039143086,0.3660709888,nan,nan,nan,nan,True
GLM-5,bandwidth-spread,CVXPY,21.46110378,0,0,501.192482,501.1924819,0,1.191091883e-07,0.6101733879,0.588303252,True,nan,nan,nan,12,3,0.8413539965,0.8320578962,0.04900000218,0.3602363592,0.5907636386,0.7364488963,0.2635511037,1.740251673,2.24609486,nan,nan,nan,nan,True
GLM-5,bandwidth-spread,mirror-descent-best,21.46110336,0,0,501.1924819,501.1924819,0,1.136868377e-13,0.610173386,0.5883032516,True,0.06150817871,10,16,11,3,0.8413540002,0.8320578948,0.049,0.3602363636,0.5907636364,0.7364488972,0.2635511028,1.740251673,2.24609486,nan,nan,nan,nan,True
GLM-5,bandwidth-spread,replay-only,25.99260956,4.531505783,0.2111497074,501.1924819,501.1924819,0,1.136868377e-13,0.5000545288,0.7566303752,True,nan,nan,nan,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,1.740251673,2.24609486,nan,nan,nan,nan,True
GLM-5,bandwidth-spread,state-only,29.65977812,8.198674341,0.3820248216,501.1924819,501.1924819,0,0,0.8984476839,0.5,True,nan,nan,nan,6,1,0,0,0,0.7860709677,0.2139290323,0,1,1.740251673,2.24609486,nan,nan,nan,nan,True
GLM-5,prefill-spread,CVXPY,26.67631556,0,0,501.192482,501.1924819,0,1.136924084e-07,0.500021814,0.8666256062,True,nan,nan,nan,12,3,0.8891620063,1.51792428e-07,0.1162967946,3.447365625e-09,0.8837032019,0.9999999948,5.243341185e-09,1.740251673,3.324220393,nan,nan,nan,nan,True
GLM-5,prefill-spread,mirror-descent-best,26.67631482,0,0,501.1924819,501.1924819,0,5.684341886e-14,0.5000218115,0.8666256051,True,0.09704589844,10,16,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,1.740251673,3.324220393,nan,nan,nan,nan,True
GLM-5,prefill-spread,replay-only,26.67631482,0,0,501.1924819,501.1924819,0,5.684341886e-14,0.5000218115,0.8666256051,True,nan,nan,nan,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,1.740251673,3.324220393,nan,nan,nan,nan,True
GLM-5,prefill-spread,state-only,INFEASIBLE,INFEASIBLE,INFEASIBLE,500.7146702,501.1924819,0.4778117447,0,0.999999999,0.8,True,nan,nan,nan,9,3,0.9916651027,0,0,0.5044588004,0.4955411996,0,1,1.740251673,3.324220393,nan,nan,nan,nan,False
GLM-5,background-load-spread,CVXPY,26.90742795,0,0,501.192482,501.1924819,0,4.661944786e-08,0.8000056637,0.8252776399,True,nan,nan,nan,12,3,0.8891619865,6.473359981e-08,0.1162967781,1.419609913e-09,0.8837032205,0.9999999979,2.140513357e-09,1.740251673,3.324220393,nan,nan,nan,nan,True
GLM-5,background-load-spread,mirror-descent-best,26.90742764,0,0,501.1924819,501.1924819,0,1.136868377e-13,0.8000056626,0.8252776383,True,0.09703063965,10,16,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,1.740251673,3.324220393,nan,nan,nan,nan,True
GLM-5,background-load-spread,replay-only,26.90742764,0,0,501.1924819,501.1924819,0,1.136868377e-13,0.8000056626,0.8252776383,True,nan,nan,nan,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,1.740251673,3.324220393,nan,nan,nan,nan,True
GLM-5,background-load-spread,state-only,INFEASIBLE,INFEASIBLE,INFEASIBLE,480.4888231,501.1924819,20.70365881,0,0.999999999,0.8,True,nan,nan,nan,8,3,0.9384892091,0,0,0.6901197571,0.3098802429,0,1,1.740251673,3.324220393,nan,nan,nan,nan,False
Qwen3-Next-80B-A3B,bandwidth-spread,CVXPY,5.190893834,0,0,23.77084343,23.77084343,0,6.275904241e-09,0.5000545289,0.512171612,True,nan,nan,nan,12,3,0.889161988,4.267596499e-08,0.1162967824,7.639796348e-10,0.8837032168,0.9999999986,1.382308454e-09,0.08253765079,0.6146155013,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,bandwidth-spread,mirror-descent-best,5.190893798,0,0,23.77084343,23.77084343,0,0,0.5000545288,0.5121716121,True,0.1605529785,10,16,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,0.08253765079,0.6146155013,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,bandwidth-spread,replay-only,5.190893798,0,0,23.77084343,23.77084343,0,0,0.5000545288,0.5121716121,True,nan,nan,nan,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,0.08253765079,0.6146155013,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,bandwidth-spread,state-only,10.9466715,5.755777667,1.108822074,23.77084343,23.77084343,0,0,0.6090301782,0.5,True,nan,nan,nan,6,1,0,0,0,0.7860709677,0.2139290323,0,1,0.08253765079,0.6146155013,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,prefill-spread,CVXPY,5.640903989,0,0,23.77084343,23.77084343,0,4.149939059e-09,0.5000218116,0.8031599573,True,nan,nan,nan,12,3,0.8891619887,1.870728082e-08,0.11629678,4.583182665e-10,0.8837032196,0.9999999994,5.824199813e-10,0.08253765079,0.9096309419,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,prefill-spread,mirror-descent-best,5.640903963,0,0,23.77084343,23.77084343,0,0,0.5000218115,0.8031599573,True,0.1598205566,10,16,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,0.08253765079,0.9096309419,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,prefill-spread,replay-only,5.640903963,0,0,23.77084343,23.77084343,0,0,0.5000218115,0.8031599573,True,nan,nan,nan,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,0.08253765079,0.9096309419,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,prefill-spread,state-only,29.91643536,24.27553137,4.303482459,23.77084343,23.77084343,3.552713679e-15,0,0.7593046129,0.8,True,nan,nan,nan,8,3,0.7927138821,0,0,0.1609419355,0.8390580645,0,1,0.08253765079,0.9096309419,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,background-load-spread,CVXPY,6.079751037,0,0,23.77084343,23.77084343,0,6.032010447e-09,0.8000056627,0.8011988824,True,nan,nan,nan,12,3,0.8891619876,2.55935116e-08,0.1162967824,6.551322689e-10,0.8837032169,0.9999999992,8.087361203e-10,0.08253765079,0.9096309419,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,background-load-spread,mirror-descent-best,6.079751,0,0,23.77084343,23.77084343,0,0,0.8000056626,0.8011988823,True,0.1602935791,10,16,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,0.08253765079,0.9096309419,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,background-load-spread,replay-only,6.079751,0,0,23.77084343,23.77084343,0,0,0.8000056626,0.8011988823,True,nan,nan,nan,11,3,0.8891619841,0,0.1162967742,0,0.8837032258,1,0,0.08253765079,0.9096309419,nan,nan,nan,nan,True
Qwen3-Next-80B-A3B,background-load-spread,state-only,30.99275282,24.91300179,4.097700981,23.77084343,23.77084343,3.552713679e-15,0,0.9180835663,0.8,True,nan,nan,nan,7,3,0.7864597632,0,0,0.1406623656,0.8593376344,0,1,0.08253765079,0.9096309419,nan,nan,nan,nan,True
