stratum,bin,n,mean_predicted_p,observed_rate
hermes x long,5,13798,0.5431876485800929,0.4190462385853022
hermes x long,6,7360,0.6479633052805353,0.5940217391304348
hermes x long,7,13740,0.754456571216244,0.6491266375545851
hermes x long,8,9763,0.841301553527759,0.856908737068524
hermes x long,9,33966,1.0,0.9526585408938351
terminalbench,0,13264,0.0,0.15379975874547647
terminalbench,1,37345,0.14386975047274295,0.1829428303655108
terminalbench,2,33246,0.25983955164671596,0.2848162184924502
terminalbench,3,17537,0.3471317972540928,0.39054570337001765
terminalbench,4,24639,0.4396869498975525,0.45537562401071474
terminalbench,5,25772,0.5441507134226871,0.551567592736303
terminalbench,6,27178,0.6395645235751239,0.6709470895577305
terminalbench,7,20146,0.7584739139748076,0.7626824183460736
terminalbench,8,28716,0.8310893707605008,0.8521033570135116
terminalbench,9,63390,1.0,0.9474996056160278
terminalbench x long,0,11355,0.0,0.09026860413914575
terminalbench x long,1,29986,0.1460055538116432,0.1294270659641166
terminalbench x long,2,25363,0.26037406549232955,0.18775381461183613
terminalbench x long,3,14275,0.34705803979179334,0.2933800350262697
terminalbench x long,4,18064,0.44275759309607277,0.32473427812223205
terminalbench x long,5,21900,0.5446466956808097,0.4864383561643836
terminalbench x long,6,19478,0.6415969989225901,0.5520587329294588
terminalbench x long,7,17255,0.7577388726373652,0.723964068385975
terminalbench x long,8,20621,0.8354868611779976,0.794238882692401
terminalbench x long,9,49214,1.0,0.9323769659040111
terminalbench x medium,0,1352,0.0,0.40606508875739644
terminalbench x medium,1,5793,0.13905701418718833,0.32694631451752115
terminalbench x medium,2,6454,0.2576014948841118,0.5288193368453672
terminalbench x medium,3,2556,0.3512428201865704,0.7777777777777778
terminalbench x medium,4,5148,0.43180013722192917,0.7635975135975136
terminalbench x medium,5,3132,0.5446231875445279,0.9013409961685823
terminalbench x medium,6,5873,0.634372993764067,0.9628809807594074
terminalbench x medium,7,2442,0.7629820884384024,0.9926289926289926
terminalbench x medium,8,6111,0.8207283375448867,0.9993454426444117
terminalbench x medium,9,11141,1.0,1.0
terminalbench x short,0,557,0.0,0.8366247755834829
terminalbench x short,1,1566,0.12077650806014807,0.6749680715197957
terminalbench x short,2,1429,0.26046064589404366,0.9055283414975507
terminalbench x short,3,706,0.3337396062610245,0.953257790368272
terminalbench x short,4,1427,0.4292687389071249,0.9971969166082691
terminalbench x short,5,740,0.5274726047705128,0.9986486486486487
terminalbench x short,6,1827,0.6345843920816843,1.0
terminalbench x short,7,449,0.7622025915639383,1.0
terminalbench x short,8,1984,0.8172968425749033,1.0
terminalbench x short,9,3035,1.0,1.0
