stratum,bin,bootstrap_resamples,seed,observed_low,observed_high
terminalbench x medium,1,1000,1729,0.3035234899328859,0.35042438939892606
terminalbench x medium,2,1000,1729,0.5005474737994682,0.5573694748190359
terminalbench x medium,3,1000,1729,0.7450446949086669,0.809903483004616
terminalbench x medium,4,1000,1729,0.7316000764672147,0.7952426260704092
terminalbench x medium,5,1000,1729,0.8785690843452576,0.9206863062479766
terminalbench x medium,6,1000,1729,0.9506657562307955,0.9737514913925345
terminalbench x medium,7,1000,1729,0.9867164798671648,0.9975227085053675
terminalbench x medium,8,1000,1729,0.9980132450331126,1.0
terminalbench x medium,9,1000,1729,1.0,1.0
terminalbench x long,0,1000,1729,0.0766636505716871,0.10662098155799657
terminalbench x long,1,1000,1729,0.11711278002439181,0.14294565732405146
terminalbench x long,2,1000,1729,0.17204835871145457,0.2032520325203252
terminalbench x long,3,1000,1729,0.26472680245716135,0.3239137872049264
terminalbench x long,4,1000,1729,0.2967586508979413,0.35298676853235894
terminalbench x long,5,1000,1729,0.44340103679782444,0.5333300414773849
terminalbench x long,6,1000,1729,0.5163264307044598,0.5899011488111141
terminalbench x long,7,1000,1729,0.6823784143904064,0.7674404398289554
terminalbench x long,8,1000,1729,0.7680532142694428,0.8230574951715941
terminalbench x long,9,1000,1729,0.9077925852119401,0.9547068209014758
terminalbench,0,1000,1729,0.13279525386313465,0.17960532035121274
terminalbench,1,1000,1729,0.1691941128291678,0.19825436408977556
terminalbench,2,1000,1729,0.26476560935846466,0.30520269161332675
terminalbench,3,1000,1729,0.3613799328085042,0.4228072260518184
terminalbench,4,1000,1729,0.4280752095446651,0.48362560743714345
terminalbench,5,1000,1729,0.5128882095463072,0.5961111536400521
terminalbench,6,1000,1729,0.641502734180811,0.7019088988961065
terminalbench,7,1000,1729,0.7220220122723289,0.8003140539125884
terminalbench,8,1000,1729,0.8277994902293968,0.8751169990640075
terminalbench,9,1000,1729,0.926199315088204,0.9664066256184376
