context_size,bandwidth_mbps,method,migration_median_s,migration_min_s,migration_max_s,energy_median_j,energy_min_j,energy_max_j,timing_winner,energy_winner
24576,1000.0,kv_transfer,10.437154364,10.380917456,10.489189867,29.91766711458004,26.314090661710107,85.32322910554021,False,True
24576,1000.0,replay,4.423300602,4.143779836,4.577661442,939.5747653870404,788.21106533621,963.2935947246904,True,False
24576,2500.0,kv_transfer,4.687758599,4.66241222,4.946172714,30.045216977450018,23.491517804970115,74.73258390824009,False,True
24576,2500.0,replay,3.429376959,3.41148557,3.446724397,742.37592484866,720.77464901324,778.3754209229701,True,False
24576,5000.0,kv_transfer,2.714194062,2.685875788,3.007575979,35.02734316721005,23.285640600519944,56.96504628036003,True,True
24576,5000.0,replay,3.377459938,3.355295036,3.4150211,723.39825335646,686.0218992476101,805.2895717976202,False,False
24576,10000.0,kv_transfer,1.856228845,1.800543922,2.166327514,27.67892812065,27.013490118170004,31.948473315639983,True,True
24576,10000.0,replay,3.380460813,3.331926666,3.582630914,722.2008067412901,699.23866384143,742.2945002017902,False,False
32768,1000.0,kv_transfer,13.812959638,13.719738104,13.823938583,37.94722438760984,35.018497984260264,53.04284556511029,False,True
32768,1000.0,replay,6.57029684,5.98467439,7.026995303,1525.9707705067403,1204.2312433274103,1565.06438854939,True,False
32768,2500.0,kv_transfer,6.07294181,6.069786176,6.076499481,78.96810404169005,75.3614241990202,82.27479706484014,False,True
32768,2500.0,replay,5.0765523,5.040836275,5.132625248,1112.5192624264905,1106.6884860797402,1114.49977770208,True,False
32768,5000.0,kv_transfer,3.51083867,3.475312214,3.567401446,35.55350492657012,30.90715647560004,45.837720997480105,True,True
32768,5000.0,replay,5.049125982,5.047060735,5.085875634,1097.3223449219804,1042.2243268430705,1131.3519158749,False,False
32768,10000.0,kv_transfer,2.273733666,2.268135561,2.404041297,38.07998570098005,31.409601012720024,81.33438460511006,True,True
32768,10000.0,replay,5.086448042,5.066369342,5.315972501,1184.3972344709505,1096.58190344814,1197.57541384165,False,False
