activity,bandwidth_mbps,catch_up_end_ns,catch_up_s,catch_up_start_ns,concurrency,context_size,idle_ns,initial_copy_s,initial_end_ns,initial_start_ns,job_class,logical_kv_bytes,logical_kv_chunks,match_id,method,order,pause_start_ns,processed_tokens,repeat,request_wait_s,route_switch_s,scenario_id,service_pause_s,session_id,success,switch_end_ns,switch_start_ns
one_turn,10000.0,5564131270580990,6.079855567,5564125190725423,4,8192,5564125190725113,15.227132733,5564125190491445,5564109963358712,coding,0,0,3636d8333137a7f0,replay,1,5564125190491645,31474,2,0.000233468,0.020513141,m-3636d8333137a7f0,6.100602706,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,True,5564131291094351,5564131270581210
one_turn,10000.0,5564134632499546,8.324755886,5564126307743660,4,8192,5564126307743350,16.33220497,5564126296933126,5564109964728156,coding,0,0,3636d8333137a7f0,replay,2,5564126296933246,24539,2,0.010810104,0.146659092,m-3636d8333137a7f0,8.482225512,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5564134779158758,5564134632499666
one_turn,10000.0,5564134277853868,8.340829085,5564125937024783,4,8192,5564125937024583,15.96396275,5564125931718660,5564109967755910,coding,0,0,3636d8333137a7f0,replay,3,5564125931718840,31789,2,0.005305743,0.02058407,m-3636d8333137a7f0,8.366719298,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5564134298438138,5564134277854068
one_turn,250.0,5564300690236062,10.304744461,5564290385491601,4,16384,5564290385491391,125.98572156,5564290385258893,5564164399537333,coding,1865121792,149,7cc2d56aebb23780,kv_transfer,0,5564290385258993,92,2,0.000232398,0.010334331,m-7cc2d56aebb23780,10.31531159,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,True,5564300700570583,5564300690236252
one_turn,250.0,5564301078388628,10.232808774,5564290845579854,4,16384,5564290845579684,126.441065496,5564290843418177,5564164402352681,coding,2115993600,169,7cc2d56aebb23780,kv_transfer,1,5564290843418287,73,2,0.002161397,0.001246777,m-7cc2d56aebb23780,10.236217308,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5564301079635595,5564301078388818
one_turn,250.0,5564297912478946,8.158239704,5564289754239242,4,16384,5564289754238662,125.344205364,5564289748749990,5564164404544626,coding,1719140352,137,7cc2d56aebb23780,kv_transfer,2,5564289748750310,191,2,0.005488352,0.015614375,m-7cc2d56aebb23780,8.179343451,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5564297928093761,5564297912479386
one_turn,250.0,5564300684943969,10.516747215,5564290168196754,4,16384,5564290168195874,125.740719163,5564290147414964,5564164406695801,coding,1420836864,113,7cc2d56aebb23780,kv_transfer,3,5564290147415234,270,2,0.02078064,0.020809059,m-7cc2d56aebb23780,10.558337974,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5564300705753208,5564300684944149
none,10000.0,,0.0,,2,2048,5564437685632434,5.701014815,5564437674946783,5564431973931968,coding,671219712,54,ae029f0863733843,kv_transfer,0,5564437674946973,0,2,0.010685461,0.005237132,m-ae029f0863733843,0.015923183,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5564437690870156,5564437685633024
none,10000.0,,0.0,,2,2048,5564441107852515,9.127650517,5564441102453265,5564431974802748,coding,716193792,57,ae029f0863733843,kv_transfer,1,5564441102453605,0,2,0.00539891,0.005237992,m-ae029f0863733843,0.010637592,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5564441113091197,5564441107853205
none,10000.0,,0.0,,2,2048,5564442900948896,5.209722514,5564442900861567,5564437691139053,coding,170704896,14,ae029f0863733843,kv_transfer,2,5564442900861677,0,2,8.7219e-05,3.618e-05,m-ae029f0863733843,0.000123909,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5564442900985586,5564442900949406
none,10000.0,,0.0,,2,2048,5564446027914563,4.89901492,5564446027572226,5564441128557306,coding,1059028992,85,ae029f0863733843,kv_transfer,3,5564446027572606,0,2,0.000341957,0.000531334,m-ae029f0863733843,0.000873851,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5564446028446457,5564446027915123
none,10000.0,,0.0,,2,16384,5564485528464621,10.936503016,5564485528303973,5564474591800957,coding,0,0,b37e83271c40ba30,replay,0,5564485528304153,15877,0,0.000160468,9.7989e-05,m-b37e83271c40ba30,0.000258927,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5564485528563080,5564485528465091
