method,session_id,bandwidth_mbps,measured_prompt_tokens,measured_processed_tokens,measured_kv_bytes,measured_time_s,predicted_time_s,predicted_over_measured,absolute_relative_error
kv_transfer,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,1000.0,13656,0,671219712,5.470834229,5.369757696,0.9815244752867469,0.01847552471325309
kv_transfer,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,1000.0,11047,0,542982144,4.421807696,4.343857152,0.9823713401036154,0.017628659896384624
kv_transfer,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,250.0,11047,0,542982144,17.460409654,17.375428608,0.9951329294281174,0.004867070571882626
kv_transfer,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,250.0,14571,0,716193792,23.02144909,22.918201344,0.9955151499978839,0.00448485000211607
kv_transfer,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,250.0,15877,0,780386304,25.091101365,24.972361728,0.9952676594274322,0.0047323405725677725
kv_transfer,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,250.0,13656,0,671219712,21.589589082,21.479030784,0.9948790920670103,0.005120907932989693
kv_transfer,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,1000.0,14571,0,716193792,5.83949761,5.729550336,0.981171792276836,0.01882820772316396
kv_transfer,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,1000.0,19002,0,933986304,7.597000291,7.471890432,0.9835316764238887,0.016468323576111277
kv_transfer,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,1000.0,15877,0,780386304,6.351737147,6.243090432,0.9828949604674188,0.017105039532581245
kv_transfer,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,1000.0,17568,0,863502336,7.030359938,6.908018688,0.9825981527149514,0.017401847285048566
kv_transfer,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,1000.0,15877,0,780386304,6.382566199,6.243090432,0.978147384194487,0.02185261580551301
kv_transfer,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,1000.0,15720,0,772669440,6.288441601,6.18135552,0.9829709667681464,0.017029033231853563
kv_transfer,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,1000.0,3473,0,170704896,1.415562149,1.365639168,0.9647327522601057,0.035267247739894314
kv_transfer,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,1000.0,14571,0,716193792,5.836004053,5.729550336,0.9817591427227886,0.018240857277211364
kv_transfer,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,10000.0,19002,0,933986304,0.900240992,0.9463019701436256,1.0511651641648703,0.05116516416487027
kv_transfer,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,10000.0,18192,0,894173184,0.842299461,0.9059638691112955,1.0755840541981487,0.07558405419814873
kv_transfer,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,10000.0,19908,0,978518016,1.380530808,0.9914208831501578,0.718144700143597,0.281855299856403
kv_transfer,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,10000.0,21546,0,1059028992,1.062735776,1.072993487459981,1.0096521747847707,0.00965217478477065
kv_transfer,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,10000.0,13656,0,671219712,0.652645236,0.6800705033302469,1.0420217076866043,0.04202170768660429
kv_transfer,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,10000.0,14571,0,716193792,0.681380064,0.7256376174593605,1.0649528153194698,0.06495281531946984
kv_transfer,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,10000.0,3473,0,170704896,0.187196676,0.17295583319170674,0.9239257709453491,0.07607422905465089
kv_transfer,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,10000.0,21546,0,1059028992,0.985587447,1.072993487459981,1.088684206283302,0.08868420628330198
kv_transfer,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,250.0,12252,0,602210304,19.376141218,19.270729728,0.9945597274083615,0.005440272591638484
kv_transfer,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,250.0,21546,0,1059028992,34.026314096,33.888927744,0.9959623498562793,0.004037650143720706
kv_transfer,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,250.0,12805,0,629391360,20.243236835,20.14052352,0.9949260429131366,0.005073957086863423
kv_transfer,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,250.0,13656,0,671219712,21.584879984,21.479030784,0.9950961413694001,0.004903858630599944
kv_transfer,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,10000.0,14571,0,716193792,0.703738656,0.7256376174593605,1.0311180312075403,0.03111803120754031
kv_transfer,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,10000.0,21546,0,1059028992,0.997879384,1.072993487459981,1.075273730136488,0.07527373013648808
kv_transfer,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,10000.0,11047,0,542982144,0.524033118,0.5501419779063589,1.0498229196009687,0.04982291960096874
kv_transfer,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,10000.0,13656,0,671219712,0.633503878,0.6800705033302469,1.073506456625427,0.0735064566254271
